GEO_ID,B17020A_001E,B17020A_001M,B17020A_002E,B17020A_002M,B17020A_003E,B17020A_003M,B17020A_004E,B17020A_004M,B17020A_005E,B17020A_005M,B17020A_006E,B17020A_006M,B17020A_007E,B17020A_007M,B17020A_008E,B17020A_008M,B17020A_009E,B17020A_009M,B17020A_010E,B17020A_010M,B17020A_011E,B17020A_011M,B17020A_012E,B17020A_012M,B17020A_013E,B17020A_013M,B17020A_014E,B17020A_014M,B17020A_015E,B17020A_015M,B17020A_016E,B17020A_016M,B17020A_017E,B17020A_017M,NAME,B17020A_001MA,B17020A_001EA,B17020A_002MA,B17020A_002EA,B17020A_003MA,B17020A_003EA,B17020A_004EA,B17020A_004MA,B17020A_005EA,B17020A_005MA,B17020A_006EA,B17020A_006MA,B17020A_007MA,B17020A_007EA,B17020A_008MA,B17020A_008EA,B17020A_009EA,B17020A_009MA,B17020A_010EA,B17020A_010MA,B17020A_011EA,B17020A_011MA,B17020A_012MA,B17020A_012EA,B17020A_013MA,B17020A_013EA,B17020A_014MA,B17020A_014EA,B17020A_015EA,B17020A_015MA,B17020A_016EA,B17020A_016MA,B17020A_017MA,B17020A_017EA,state
0400000US06,23208414,58056,3486527,51348,329073,10284,73370,5346,389757,13264,357322,12546,2048464,27959,140450,5817,148091,6158,19721887,70682,1074588,12323,218287,7072,1340896,18723,1452574,19932,12617185,41697,1675025,7256,1343332,7755,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4287901,16448,509464,19087,44592,4507,9525,1560,52690,4499,41706,4420,321045,10808,20516,2102,19390,1832,3778437,20398,216550,5118,45486,3822,276591,6572,274809,6356,2457035,11865,303023,2715,204943,2124,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2731555,10653,216302,11575,16287,2479,2884,883,18683,2839,17673,2807,133647,7650,12749,1711,14379,1972,2515253,13458,113778,3031,25972,2319,168835,5067,193206,3981,1581684,9670,231630,1965,200148,1993,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,622842,4368,62583,6084,6073,1587,836,489,4845,1338,4699,1306,38686,3963,3927,906,3517,678,560259,5814,26422,1531,5533,1005,34949,2212,38174,2258,348650,4115,61651,1210,44880,845,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,236314,4267,19083,3646,551,582,34,57,543,490,422,325,16695,3041,267,212,571,370,217231,5070,12603,694,1636,564,7151,862,4746,974,167485,4170,14328,520,9282,496,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14478594,23644,2069349,32626,157903,7369,33988,3631,180247,8738,169972,8334,1249793,20290,138597,6282,138849,7437,12409245,35976,539549,7806,111019,5854,705737,13738,776503,12728,7491979,24908,1508254,6733,1276204,7295,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5869835,16252,811800,26341,72618,5774,17281,2466,84615,7234,67968,4558,496885,15451,37506,3323,34927,2948,5058035,29576,280547,6082,61325,4095,362189,7924,386602,7698,3197784,18518,467676,3800,301912,3540,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,332789,3157,37471,3984,2940,917,452,267,2252,938,2360,793,26686,2823,1979,536,802,375,295318,5314,13662,1175,2853,652,12070,1424,9753,1033,206483,3635,31574,645,18923,694,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1431667,6996,216022,12622,22868,2642,5221,1416,23447,3802,20975,3306,124180,6858,10287,2352,9044,1377,1215645,12497,77330,2918,15539,2330,102868,4138,103674,4571,734730,6723,107483,2603,74021,1464,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,9165273,23898,982123,26270,89530,5466,16662,2048,99928,6233,79856,5515,600136,14896,47274,3330,48737,2917,8183150,30715,440764,6217,90397,4367,571852,8134,623852,9416,5200725,17589,691746,4077,563814,4297,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,5364294,10436,689196,16511,70291,4430,14101,1990,73245,4561,59582,4277,421506,10351,24951,2162,25520,2152,4675098,17765,250632,4544,54484,3804,338419,6627,369313,6336,2923849,11723,421214,2932,317187,2725,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2732418,5785,312717,12073,27369,2851,5374,1051,29668,3356,23278,3037,193961,6520,13872,1481,19195,1628,2419701,12059,139281,2827,27966,2291,180693,4641,187243,4382,1482241,6900,216349,1689,185928,1841,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2406294,7509,299053,12605,30724,2781,5898,1220,33108,3569,26069,2536,181519,7061,9828,1576,11907,1356,2107241,12302,126441,2654,28415,2015,159447,4741,165739,4186,1300262,7456,177462,1762,149475,1829,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3742531,6503,658182,20975,59483,3742,13087,1468,62590,4372,58249,4494,400084,12818,34732,2246,29957,2080,3084349,20861,162241,3702,35537,2642,206405,6401,232133,5399,1958038,12774,293821,2246,196174,2246,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
