GEO_ID,B17025_001E,B17025_001M,B17025_002E,B17025_002M,B17025_003E,B17025_003M,B17025_004E,B17025_004M,B17025_005E,B17025_005M,B17025_006E,B17025_006M,B17025_007E,B17025_007M,B17025_008E,B17025_008M,B17025_009E,B17025_009M,B17025_010E,B17025_010M,B17025_011E,B17025_011M,B17025_012E,B17025_012M,B17025_013E,B17025_013M,B17025_014E,B17025_014M,B17025_015E,B17025_015M,NAME,B17025_001MA,B17025_001EA,B17025_002MA,B17025_002EA,B17025_003EA,B17025_003MA,B17025_004EA,B17025_004MA,B17025_005EA,B17025_005MA,B17025_006MA,B17025_006EA,B17025_007MA,B17025_007EA,B17025_008EA,B17025_008MA,B17025_009EA,B17025_009MA,B17025_010EA,B17025_010MA,B17025_011MA,B17025_011EA,B17025_012MA,B17025_012EA,B17025_013MA,B17025_013EA,B17025_014EA,B17025_014MA,B17025_015EA,B17025_015MA,state
0400000US06,37303266,7131,6325319,64334,4396317,50533,4337193,49604,59124,5008,1929002,31271,542237,13233,1386765,25930,30977947,64509,22711119,62628,22325115,63765,386004,12030,8266828,45411,4318092,36705,3948736,35368,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5069071,2557,694842,20406,594472,18357,584672,18037,9800,2061,100370,7663,21734,3003,78636,7044,4374229,20336,3975782,20419,3907050,20280,68732,4762,398447,13177,176994,7293,221453,10727,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3484178,1411,372390,14270,317163,11735,275379,11396,41784,4339,55227,5054,16854,2358,38373,4538,3111788,14576,2680496,17885,2596178,18281,84318,4995,431292,12413,213491,8815,217801,9691,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,890738,1221,107307,7877,97129,7351,94391,7061,2738,1169,10178,2482,3832,1398,6346,1731,783431,7770,716963,7669,705274,7644,11689,1710,66468,4408,33897,2846,32571,3390,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,598151,630,108732,7746,96129,7204,95146,7194,983,460,12603,2116,3305,833,9298,2035,489419,7620,414983,8103,406403,8487,8580,1526,74436,4533,31979,3026,42457,4126,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18912479,5600,3238581,49032,2500621,44386,2389558,44261,111063,9473,737960,24542,265908,12343,472052,19529,15673898,48471,12703675,46726,12198699,44129,504976,17924,2970223,30771,1651564,23831,1318659,23167,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9652596,3256,1848533,37552,1645477,35854,1628462,35379,17015,3293,203056,11704,45601,5612,157455,10813,7804063,37411,7085599,38144,6972987,37062,112612,6583,718464,17440,303977,11546,414487,17560,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1356822,1094,157243,9661,124445,8203,119989,8062,4456,1398,32798,3729,10757,1798,22041,2988,1199579,9654,984963,12037,946891,12104,38072,3934,214616,9102,127702,5550,86914,6701,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1565511,1631,248494,13813,225358,12416,222224,11997,3134,1844,23136,4050,4371,1250,18765,3961,1317017,13659,1244610,13514,1234613,13534,9997,1689,72407,6070,32574,4064,39833,4825,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,12573676,4182,1850562,32138,1567166,25891,1547128,25942,20038,2647,283396,12452,82295,5602,201101,10997,10723114,32834,9236638,30824,9119946,30313,116692,6158,1486476,22475,748766,16495,737710,20833,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,6342423,3178,990325,21187,926017,19213,920622,19077,5395,1419,64308,5442,9634,2081,54674,5004,5352098,21176,5121647,21354,5091746,20828,29901,2465,230451,9160,95740,5593,134711,7584,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2974225,2122,377484,13405,352127,12123,349760,12145,2367,887,25357,4205,5541,1515,19816,3551,2596741,13372,2489561,13005,2474625,13352,14936,2338,107180,4921,46559,3423,60621,4188,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2802207,2002,391734,12565,353268,12049,350435,12046,2833,838,38466,4634,6157,1527,32309,4470,2410473,12906,2266351,13582,2245161,13709,21190,2194,144122,5899,60520,3555,83602,5473,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,4247103,3119,823197,22937,789253,22294,784617,22094,4636,1332,33944,4881,5924,2156,28020,4480,3423906,23170,3323898,23320,3302281,23301,21617,2937,100008,5716,43399,3195,56609,4838,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,4471142,2830,891981,23215,859909,21921,856011,21852,3898,1015,32072,3844,7460,1396,24612,3532,3579161,23441,3447877,22936,3426120,23495,21757,2579,131284,6575,59249,4418,72035,5514,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1293457,1275,189786,9666,179746,9387,178538,9431,1208,469,10040,2338,3845,1306,6195,2233,1103671,9544,1067563,9805,1057294,9820,10269,1593,36108,3158,20935,2292,15173,2379,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,5744445,2780,590803,19639,496077,16618,490291,16735,5786,1672,94726,7920,23656,2488,71070,7308,5153642,20190,4417151,21993,4348101,22084,69050,4841,736491,13327,365133,9327,371358,12300,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,6414762,2601,762645,18273,613012,17328,559354,16505,53658,4243,149633,8522,54524,3922,95109,7264,5652117,18568,4831006,21252,4718804,19939,112202,6966,821111,15125,446277,11988,374834,12690,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,9663760,3870,1685178,30444,1557556,29207,1544540,29007,13016,2298,127622,7501,45133,3366,82489,6374,7978582,30906,7511284,28295,7460909,28059,50375,3704,467298,10744,255539,6614,211759,8849,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,5257443,1790,598371,17622,521802,15902,517894,15900,3908,915,76569,6169,24315,2986,52254,5178,4659072,17904,4352857,17415,4324657,17002,28200,2266,306215,9919,156202,7078,150013,8314,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,2890890,1973,698252,22688,683376,22377,680660,22317,2716,1109,14876,2947,3438,1371,11438,2825,2192638,22488,2153306,22968,2139790,23484,13516,2086,39332,3825,17375,2041,21957,3232,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,5838008,3872,947792,20935,901433,19812,896232,19875,5201,1129,46359,5554,10990,2050,35369,5143,4890216,22145,4713974,21063,4680612,21486,33362,3357,176242,6434,86680,4437,89562,5153,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,980594,1227,152199,8004,149431,7909,147918,7878,1513,752,2768,817,1024,448,1744,700,828395,7854,813317,8391,806999,8441,6318,1085,15078,1947,9291,1337,5787,1284,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1800904,1635,233973,10768,205126,9966,203823,9814,1303,528,28847,3868,6471,1720,22376,3436,1566931,10809,1479636,9771,1467013,9749,12623,1487,87295,4345,35598,3400,51697,4339,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,2718565,3392,446840,19216,344996,16320,339595,16043,5401,1428,101844,6180,23622,2904,78222,5583,2271725,19890,1846960,21003,1803411,20989,43549,4895,424765,10171,203707,7538,221058,10139,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,1280027,1345,128466,10865,120790,10041,119344,9832,1446,880,7676,2468,1484,539,6192,2320,1151561,10760,1089776,10986,1078218,11146,11558,1720,61785,4226,32570,3001,29215,3269,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,8691673,2911,934943,22315,697233,19043,656964,19048,40269,4250,237710,11241,77492,4803,160218,9956,7756730,22453,6126444,29872,5969710,29450,156734,6566,1630286,19287,890108,15682,740178,17705,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,2044778,1740,426245,13843,372748,12988,369550,13099,3198,1232,53497,5605,9703,1579,43794,5057,1618533,13880,1483470,13817,1463284,14172,20186,3097,135063,7306,55953,3854,79110,5603,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,19064064,4156,3025016,36603,2197375,33281,2080472,32369,116903,6903,827641,21206,327414,10952,500227,17096,16039048,36344,12498009,37504,12170090,39209,327919,11268,3541039,28779,1994374,24562,1546665,22942,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,9498993,3156,1713132,31019,1541822,27242,1528876,27266,12946,2361,171310,9965,23629,3091,147681,9843,7785861,31167,7218916,31559,7135819,30293,83097,5457,566945,14438,212764,7972,354181,12516,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,674852,714,75703,4270,70653,4424,70200,4422,453,277,5050,1615,1023,527,4027,1547,599149,4409,585730,4936,580349,4926,5381,1357,13419,2541,6796,1854,6623,1671,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,11227482,4488,1824628,28992,1742600,28975,1723647,29080,18953,2865,82028,7126,27995,3686,54033,5865,9402854,28545,9045952,29508,8983342,28624,62610,3674,356902,10580,198699,8148,158203,7170,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,3699653,1970,637429,14041,593715,14126,589872,13931,3843,927,43714,4429,8140,1509,35574,3778,3062224,14348,2898072,14217,2870244,14418,27828,2371,164152,5747,59160,3279,104992,5332,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,3826398,2672,658359,22218,577496,20422,571563,20383,5933,1644,80863,7213,18193,2854,62670,6482,3168039,22792,2880255,23448,2845583,22632,34672,3254,287784,9981,132668,6476,155116,7781,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,12353867,3236,1693285,30788,1561875,28542,1502471,27787,59404,5389,131410,9077,47956,4335,83454,7340,10660582,30483,10044940,32181,9908179,32410,136761,7486,615642,15448,343766,9114,271876,12615,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,1010449,885,138907,8499,115559,8187,108591,7733,6968,1792,23348,3435,8562,1833,14786,2806,871542,8618,757794,9899,746599,9779,11195,2516,113748,6241,61384,4517,52364,5511,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
