GEO_ID,B19013E_001E,B19013E_001M,NAME,B19013E_001EA,B19013E_001MA,state
0400000US06,57184,4597,California,null,null,06
0400000US08,51915,3534,Colorado,null,null,08
0400000US09,51686,12754,Connecticut,null,null,09
0400000US10,2499,-333333333,Delaware,"2,500-",***,10
0400000US11,-666666666,-222222222,District of Columbia,-,**,11
0400000US12,45760,21610,Florida,null,null,12
0400000US13,null,null,Georgia,null,null,13
0400000US15,59935,5175,Hawaii,null,null,15
0400000US16,null,null,Idaho,null,null,16
0400000US17,63587,29667,Illinois,null,null,17
0400000US18,33535,17631,Indiana,null,null,18
0400000US19,39686,23874,Iowa,null,null,19
0400000US20,95013,59938,Kansas,null,null,20
0400000US21,48292,42549,Kentucky,null,null,21
0400000US22,60866,33776,Louisiana,null,null,22
0400000US23,-666666666,-222222222,Maine,-,**,23
0400000US24,null,null,Maryland,null,null,24
0400000US25,43642,9051,Massachusetts,null,null,25
0400000US26,45985,42801,Michigan,null,null,26
0400000US27,null,null,Minnesota,null,null,27
0400000US28,null,null,Mississippi,null,null,28
0400000US29,36875,17134,Missouri,null,null,29
0400000US30,77237,60758,Montana,null,null,30
0400000US31,68529,576,Nebraska,null,null,31
0400000US32,40009,7778,Nevada,null,null,32
0400000US33,-666666666,-222222222,New Hampshire,-,**,33
0400000US34,null,null,New Jersey,null,null,34
0400000US35,null,null,New Mexico,null,null,35
0400000US36,98659,45570,New York,null,null,36
0400000US37,33167,16995,North Carolina,null,null,37
0400000US38,81683,1549,North Dakota,null,null,38
0400000US39,65711,41768,Ohio,null,null,39
0400000US40,46240,8220,Oklahoma,null,null,40
0400000US41,34678,6437,Oregon,null,null,41
0400000US42,29639,12349,Pennsylvania,null,null,42
0400000US44,-666666666,-222222222,Rhode Island,-,**,44
0400000US45,31474,21011,South Carolina,null,null,45
0400000US46,38569,7937,South Dakota,null,null,46
0400000US47,null,null,Tennessee,null,null,47
0400000US48,55809,15576,Texas,null,null,48
0400000US49,55723,23555,Utah,null,null,49
0400000US50,-666666666,-222222222,Vermont,-,**,50
0400000US51,93036,53079,Virginia,null,null,51
0400000US53,45245,10217,Washington,null,null,53
0400000US54,22002,19525,West Virginia,null,null,54
0400000US55,22440,11740,Wisconsin,null,null,55
0400000US56,-666666666,-222222222,Wyoming,-,**,56
0400000US72,-666666666,-222222222,Puerto Rico,-,**,72
0400000US01,41500,39168,Alabama,null,null,01
0400000US02,51342,25364,Alaska,null,null,02
0400000US04,48304,6311,Arizona,null,null,04
0400000US05,28495,19391,Arkansas,null,null,05
