GEO_ID,B19056_001E,B19056_001M,B19056_002E,B19056_002M,B19056_003E,B19056_003M,NAME,B19056_001EA,B19056_001MA,B19056_002EA,B19056_002MA,B19056_003MA,B19056_003EA,state
0400000US06,12552658,18433,768533,9974,11784125,19112,California,null,null,null,null,null,null,06
0400000US08,1996088,8553,72338,3746,1923750,9461,Colorado,null,null,null,null,null,null,08
0400000US09,1357812,6453,58182,3338,1299630,6939,Connecticut,null,null,null,null,null,null,09
0400000US10,340308,3122,15375,1672,324933,3473,Delaware,null,null,null,null,null,null,10
0400000US11,266662,3138,16648,1672,250014,3521,District of Columbia,null,null,null,null,null,null,11
0400000US12,7197943,25102,352982,8586,6844961,25202,Florida,null,null,null,null,null,null,12
0400000US13,3532908,15691,188804,5704,3344104,16305,Georgia,null,null,null,null,null,null,13
0400000US15,447748,4282,17931,1780,429817,4698,Hawaii,null,null,null,null,null,null,15
0400000US16,583106,5317,29583,2547,553523,5581,Idaho,null,null,null,null,null,null,16
0400000US17,4770194,13140,216892,6722,4553302,15017,Illinois,null,null,null,null,null,null,17
0400000US18,2480077,10833,118686,4822,2361391,12038,Indiana,null,null,null,null,null,null,18
0400000US19,1227048,6132,51203,2980,1175845,6434,Iowa,null,null,null,null,null,null,19
0400000US20,1113911,5555,44426,2820,1069485,5894,Kansas,null,null,null,null,null,null,20
0400000US21,1707004,8109,142555,5660,1564449,8746,Kentucky,null,null,null,null,null,null,21
0400000US22,1719473,9205,118561,5179,1600912,8704,Louisiana,null,null,null,null,null,null,22
0400000US23,554543,4451,35315,2460,519228,4910,Maine,null,null,null,null,null,null,23
0400000US24,2157717,7667,92497,4110,2065220,7992,Maryland,null,null,null,null,null,null,24
0400000US25,2522394,9088,162771,5225,2359623,10222,Massachusetts,null,null,null,null,null,null,25
0400000US26,3819068,10789,234324,6717,3584744,11875,Michigan,null,null,null,null,null,null,26
0400000US27,2111943,6274,88757,3823,2023186,6456,Minnesota,null,null,null,null,null,null,27
0400000US28,1090521,7826,91024,4920,999497,9012,Mississippi,null,null,null,null,null,null,28
0400000US29,2359135,11280,129020,5068,2230115,11815,Missouri,null,null,null,null,null,null,29
0400000US30,408938,3977,19979,2064,388959,4080,Montana,null,null,null,null,null,null,30
0400000US31,733570,4667,26621,1952,706949,4882,Nebraska,null,null,null,null,null,null,31
0400000US32,1006605,7913,42185,3051,964420,7676,Nevada,null,null,null,null,null,null,32
0400000US33,519137,4650,24530,2390,494607,4727,New Hampshire,null,null,null,null,null,null,33
0400000US34,3198799,8893,142176,5694,3056623,11233,New Jersey,null,null,null,null,null,null,34
0400000US35,764996,5964,45193,3992,719803,6158,New Mexico,null,null,null,null,null,null,35
0400000US36,7238922,16375,460158,9768,6778764,18152,New York,null,null,null,null,null,null,36
0400000US37,3731325,14347,182005,7358,3549320,16218,North Carolina,null,null,null,null,null,null,37
0400000US38,290944,2708,7151,1072,283793,2978,North Dakota,null,null,null,null,null,null,38
0400000US39,4554672,11606,258008,6432,4296664,12964,Ohio,null,null,null,null,null,null,39
0400000US40,1446667,5298,81639,2901,1365028,5596,Oklahoma,null,null,null,null,null,null,40
0400000US41,1516957,7216,69653,4654,1447304,7682,Oregon,null,null,null,null,null,null,41
0400000US42,4958249,11531,295574,7025,4662675,14640,Pennsylvania,null,null,null,null,null,null,42
0400000US44,413083,3010,32734,2853,380349,4060,Rhode Island,null,null,null,null,null,null,44
0400000US45,1787340,9096,96653,3760,1690687,9691,South Carolina,null,null,null,null,null,null,45
0400000US46,323765,3111,11286,1214,312479,3248,South Dakota,null,null,null,null,null,null,46
0400000US47,2480090,11146,139632,5534,2340458,11577,Tennessee,null,null,null,null,null,null,47
0400000US48,8970959,21541,443225,8659,8527734,22731,Texas,null,null,null,null,null,null,48
0400000US49,895691,5044,34217,2689,861474,5475,Utah,null,null,null,null,null,null,49
0400000US50,258520,2853,16109,1675,242411,3170,Vermont,null,null,null,null,null,null,50
0400000US51,3038967,13344,122149,5639,2916818,13516,Virginia,null,null,null,null,null,null,51
0400000US53,2636817,10074,124787,5264,2512030,10494,Washington,null,null,null,null,null,null,53
0400000US54,741544,5473,54264,3216,687280,6029,West Virginia,null,null,null,null,null,null,54
0400000US55,2288362,8293,106614,4503,2181748,9206,Wisconsin,null,null,null,null,null,null,55
0400000US56,223513,2812,8953,1228,214560,2944,Wyoming,null,null,null,null,null,null,56
0400000US72,1263694,9111,6946,1124,1256748,9135,Puerto Rico,null,null,null,null,null,null,72
0400000US01,1845169,11483,128028,4932,1717141,11704,Alabama,null,null,null,null,null,null,01
0400000US02,251651,2883,11572,1652,240079,3003,Alaska,null,null,null,null,null,null,02
0400000US04,2392168,11611,101321,5032,2290847,11860,Arizona,null,null,null,null,null,null,04
0400000US05,1143859,7351,82927,4560,1060932,7871,Arkansas,null,null,null,null,null,null,05
