GEO_ID,B19113E_001E,B19113E_001M,NAME,B19113E_001MA,B19113E_001EA,state
0400000US06,61953,6997,California,null,null,06
0400000US08,52620,4952,Colorado,null,null,08
0400000US09,51056,14145,Connecticut,null,null,09
0400000US10,-666666666,-222222222,Delaware,**,-,10
0400000US11,-666666666,-222222222,District of Columbia,**,-,11
0400000US12,49130,28452,Florida,null,null,12
0400000US13,null,null,Georgia,null,null,13
0400000US15,61421,3490,Hawaii,null,null,15
0400000US16,46168,24089,Idaho,null,null,16
0400000US17,63151,31582,Illinois,null,null,17
0400000US18,null,null,Indiana,null,null,18
0400000US19,39013,1028,Iowa,null,null,19
0400000US20,79931,63284,Kansas,null,null,20
0400000US21,57833,34815,Kentucky,null,null,21
0400000US22,60766,38372,Louisiana,null,null,22
0400000US23,-666666666,-222222222,Maine,**,-,23
0400000US24,71549,58974,Maryland,null,null,24
0400000US25,36467,9015,Massachusetts,null,null,25
0400000US26,65385,37284,Michigan,null,null,26
0400000US27,70938,62928,Minnesota,null,null,27
0400000US28,-666666666,-222222222,Mississippi,**,-,28
0400000US29,50276,9848,Missouri,null,null,29
0400000US30,77237,60758,Montana,null,null,30
0400000US31,68042,19978,Nebraska,null,null,31
0400000US32,40781,7021,Nevada,null,null,32
0400000US33,-666666666,-222222222,New Hampshire,**,-,33
0400000US34,null,null,New Jersey,null,null,34
0400000US35,67770,61938,New Mexico,null,null,35
0400000US36,121343,71045,New York,null,null,36
0400000US37,36103,14518,North Carolina,null,null,37
0400000US38,81683,1549,North Dakota,null,null,38
0400000US39,null,null,Ohio,null,null,39
0400000US40,41701,3544,Oklahoma,null,null,40
0400000US41,38470,6892,Oregon,null,null,41
0400000US42,29929,16125,Pennsylvania,null,null,42
0400000US44,-666666666,-222222222,Rhode Island,**,-,44
0400000US45,null,null,South Carolina,null,null,45
0400000US46,38841,327,South Dakota,null,null,46
0400000US47,null,null,Tennessee,null,null,47
0400000US48,58718,16167,Texas,null,null,48
0400000US49,46755,24980,Utah,null,null,49
0400000US50,-666666666,-222222222,Vermont,**,-,50
0400000US51,111329,53032,Virginia,null,null,51
0400000US53,55000,15280,Washington,null,null,53
0400000US54,22002,19525,West Virginia,null,null,54
0400000US55,21406,819,Wisconsin,null,null,55
0400000US56,-666666666,-222222222,Wyoming,**,-,56
0400000US72,-666666666,-222222222,Puerto Rico,**,-,72
0400000US01,null,null,Alabama,null,null,01
0400000US02,52169,46705,Alaska,null,null,02
0400000US04,47439,5093,Arizona,null,null,04
0400000US05,27819,5173,Arkansas,null,null,05
