GEO_ID,B19126_001E,B19126_001M,B19126_002E,B19126_002M,B19126_003E,B19126_003M,B19126_004E,B19126_004M,B19126_005E,B19126_005M,B19126_006E,B19126_006M,B19126_007E,B19126_007M,B19126_008E,B19126_008M,B19126_009E,B19126_009M,B19126_010E,B19126_010M,B19126_011E,B19126_011M,NAME,B19126_001EA,B19126_001MA,B19126_002MA,B19126_002EA,B19126_003EA,B19126_003MA,B19126_004EA,B19126_004MA,B19126_005EA,B19126_005MA,B19126_006MA,B19126_006EA,B19126_007EA,B19126_007MA,B19126_008EA,B19126_008MA,B19126_009EA,B19126_009MA,B19126_010EA,B19126_010MA,B19126_011MA,B19126_011EA,state
0400000US06,66215,387,81470,344,80847,585,82061,550,37885,508,44965,951,36126,962,53618,1302,35021,457,25524,565,45934,710,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,71083,706,81750,858,84153,1787,80414,1194,37918,1227,46199,2956,40477,2479,55145,4432,34648,1304,27989,1380,46376,1817,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,85254,1455,102119,1119,111336,2101,95795,1744,44140,2276,59548,3487,51924,5999,64938,4641,38538,1898,30047,1647,52988,3005,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,70655,1638,83154,2030,92024,4635,78628,3023,41485,2245,50527,3593,41592,5475,61008,6001,37325,4139,29025,3883,47611,5041,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,82268,4104,136555,9206,151107,18501,130966,8497,38431,2677,49375,10572,32301,8949,61716,15501,37020,2403,28733,4977,51724,8796,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,54777,464,65932,494,70330,901,63607,832,32183,435,39432,1189,33288,1481,44323,1825,30332,501,23618,757,38999,943,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,56684,681,71314,730,75945,1128,68161,1035,28622,796,37398,1619,32714,2249,44211,4162,26159,616,21015,783,34761,1245,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,77447,1597,86457,1796,85660,2841,87088,2363,52090,1881,64005,5402,51276,7902,70858,8750,45609,3268,24327,2997,69683,5901,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,54483,1240,61890,1118,63601,3081,60859,1561,29955,1631,35366,2606,35097,2284,36988,12057,26750,1929,19597,1904,38555,3990,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,68705,605,82304,579,88053,1347,78853,805,35089,668,45823,1476,35975,1589,53187,3020,31738,597,23827,968,43316,1593,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,58596,664,69259,658,75899,921,64660,879,30763,671,40232,1620,33468,2980,47631,2918,27495,869,21425,723,39301,1383,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,64122,918,73685,826,79339,1514,69675,1189,32083,837,40483,1615,36200,3350,46942,2702,29460,1186,24102,1507,41609,1687,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,62955,904,73016,1024,77611,1910,70309,1034,32148,1194,39973,3752,33200,4427,50905,4335,29645,1641,24271,1611,40136,2478,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,53012,690,64828,857,73137,1351,60393,821,26769,773,33574,2427,30242,2548,38304,3973,23866,1025,18250,1130,32383,1493,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,54059,903,72313,1030,81792,1159,66297,1212,27657,946,41048,2101,35950,3282,44880,5131,24554,926,19153,1174,32776,1588,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,58689,1304,66945,1332,73283,3543,64357,1576,31563,1450,38177,4346,31382,4730,52034,6895,29277,2030,22546,2985,42946,3013,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,85985,953,105260,1130,111818,1662,100398,1454,48310,1176,56184,2191,46396,3023,66556,4069,45506,1494,35289,1707,57921,1843,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,82977,1106,100696,724,111787,1248,92370,1210,41332,1135,55359,2303,47899,3487,62778,3218,36767,1235,26654,1366,52879,1947,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,59295,467,71197,413,79245,936,66565,597,30356,542,40667,1159,35022,2919,46145,1773,26989,696,20036,726,37923,1151,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,73511,782,84461,766,92972,1491,78261,941,37607,1077,48814,2708,41221,2376,56850,3663,32967,1382,26751,991,47402,2152,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,45857,974,61085,1010,66545,2149,58229,1314,24199,1165,35648,2270,31810,3848,38806,3420,21872,687,18291,1247,27819,1393,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,57274,605,68532,797,74764,1486,64614,1028,30672,684,38811,2113,33130,2181,44887,3091,27448,1002,21460,822,38975,1805,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,59706,1619,67127,1035,71987,2585,64704,1751,31008,1547,39622,4543,32682,4941,55440,7762,26098,3482,20626,1368,37028,3314,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,63442,1034,73566,1006,77680,1981,71025,1062,32066,1326,41096,2216,36382,2324,48477,3911,28331,1913,23883,1384,40965,2618,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,56954,1055,68830,1447,67033,2379,70115,1699,36388,991,45098,2880,36341,1274,52441,3214,32223,1342,26547,1263,43760,1835,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,78524,1442,88343,1559,99818,2890,82256,1719,40229,2856,47338,4790,42215,7260,53298,7468,37921,3079,28643,3848,52251,7733,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,84442,947,101635,657,109952,1800,94801,1270,45015,1230,54576,2155,44924,4182,64239,3936,40320,1084,27589,1373,55821,1852,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,51449,1006,64703,1628,66892,2344,63282,1990,29225,1367,37042,3672,31293,3345,46287,4273,26460,997,20953,1876,33021,1573,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,68395,674,85871,524,90634,730,82373,660,38231,735,48500,1475,39233,1776,55091,2135,35109,630,25834,678,47947,1028,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,54995,624,68244,810,72764,1400,65326,865,28583,643,34895,1419,30189,1657,40832,1968,26608,654,21527,839,34031,922,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,70573,1722,80878,1559,88399,3863,73498,3024,38097,3478,51060,5551,45323,10906,54414,7934,30771,2639,24621,3993,46177,3362,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,60088,454,72268,534,80213,861,67737,715,30085,638,40374,1179,35920,1442,45690,1638,26352,643,20028,685,38732,1460,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,54988,615,66096,756,68708,1332,64449,1004,30405,748,39600,1618,35999,1893,43730,2195,26661,826,20740,812,37387,1507,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,59476,931,70499,952,74087,2454,68471,1544,31023,1287,38231,3321,33988,4160,43486,4649,27825,2035,21338,1402,38699,2242,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,65109,443,77129,482,86630,870,71970,636,34378,739,44040,1328,36099,1635,51040,1927,31444,634,23417,838,42987,1108,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,71293,1564,88057,2034,93473,3184,83053,3371,39949,2901,47571,4721,40653,9060,58149,14114,37062,2563,30102,3759,47506,4716,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,52763,734,66519,812,73377,1967,62963,949,27403,950,37078,2555,31477,1416,42091,2655,24918,986,19484,1147,32388,1424,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,61505,1424,71487,1407,77217,2035,68130,1699,32346,2626,42650,3881,40301,4592,45966,4608,27628,2756,22793,3726,37811,1996,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,53342,606,64569,741,70718,1149,61411,759,28171,819,35162,1726,31101,1963,41260,2347,25882,813,19379,920,34172,1195,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,59765,472,73703,587,74337,1005,73151,782,31865,404,42030,1149,36244,1027,48708,1694,28732,493,23083,589,38104,952,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
