GEO_ID,B19301_001E,B19301_001M,NAME,B19301_001MA,B19301_001EA,state
0400000US06,28341,111,California,null,null,06
0400000US08,30329,328,Colorado,null,null,08
0400000US09,36891,529,Connecticut,null,null,09
0400000US10,28705,595,Delaware,null,null,10
0400000US11,45307,1257,District of Columbia,null,null,11
0400000US12,25428,167,Florida,null,null,12
0400000US13,24321,204,Georgia,null,null,13
0400000US15,28099,490,Hawaii,null,null,15
0400000US16,22053,398,Idaho,null,null,16
0400000US17,28741,189,Illinois,null,null,17
0400000US18,23898,197,Indiana,null,null,18
0400000US19,26436,266,Iowa,null,null,19
0400000US20,26390,371,Kansas,null,null,20
0400000US21,22722,219,Kentucky,null,null,21
0400000US22,23800,263,Louisiana,null,null,22
0400000US23,26020,410,Maine,null,null,23
0400000US24,35144,272,Maryland,null,null,24
0400000US25,34907,338,Massachusetts,null,null,25
0400000US26,25074,161,Michigan,null,null,26
0400000US27,30529,259,Minnesota,null,null,27
0400000US28,20119,303,Mississippi,null,null,28
0400000US29,24697,223,Missouri,null,null,29
0400000US30,25148,610,Montana,null,null,30
0400000US31,26245,283,Nebraska,null,null,31
0400000US32,25331,397,Nevada,null,null,32
0400000US33,32201,593,New Hampshire,null,null,33
0400000US34,34885,275,New Jersey,null,null,34
0400000US35,22874,345,New Mexico,null,null,35
0400000US36,31290,170,New York,null,null,36
0400000US37,24435,219,North Carolina,null,null,37
0400000US38,30796,668,North Dakota,null,null,38
0400000US39,25445,178,Ohio,null,null,39
0400000US40,23740,308,Oklahoma,null,null,40
0400000US41,26011,298,Oregon,null,null,41
0400000US42,27774,160,Pennsylvania,null,null,42
0400000US44,29389,639,Rhode Island,null,null,44
0400000US45,23396,262,South Carolina,null,null,45
0400000US46,25275,480,South Dakota,null,null,46
0400000US47,23692,241,Tennessee,null,null,47
0400000US48,25359,134,Texas,null,null,48
0400000US49,23213,337,Utah,null,null,49
0400000US50,28818,521,Vermont,null,null,50
0400000US51,32517,200,Virginia,null,null,51
0400000US53,29861,228,Washington,null,null,53
0400000US54,22410,344,West Virginia,null,null,54
0400000US55,26994,218,Wisconsin,null,null,55
0400000US56,27813,827,Wyoming,null,null,56
0400000US72,10914,181,Puerto Rico,null,null,72
0400000US01,22815,212,Alabama,null,null,01
0400000US02,31890,675,Alaska,null,null,02
0400000US04,24600,222,Arizona,null,null,04
0400000US05,21643,267,Arkansas,null,null,05
