GEO_ID,B20005H_001E,B20005H_001M,B20005H_002E,B20005H_002M,B20005H_003E,B20005H_003M,B20005H_004E,B20005H_004M,B20005H_005E,B20005H_005M,B20005H_006E,B20005H_006M,B20005H_007E,B20005H_007M,B20005H_008E,B20005H_008M,B20005H_009E,B20005H_009M,B20005H_010E,B20005H_010M,B20005H_011E,B20005H_011M,B20005H_012E,B20005H_012M,B20005H_013E,B20005H_013M,B20005H_014E,B20005H_014M,B20005H_015E,B20005H_015M,B20005H_016E,B20005H_016M,B20005H_017E,B20005H_017M,B20005H_018E,B20005H_018M,B20005H_019E,B20005H_019M,B20005H_020E,B20005H_020M,B20005H_021E,B20005H_021M,B20005H_022E,B20005H_022M,B20005H_023E,B20005H_023M,B20005H_024E,B20005H_024M,B20005H_025E,B20005H_025M,B20005H_026E,B20005H_026M,B20005H_027E,B20005H_027M,B20005H_028E,B20005H_028M,B20005H_029E,B20005H_029M,B20005H_030E,B20005H_030M,B20005H_031E,B20005H_031M,B20005H_032E,B20005H_032M,B20005H_033E,B20005H_033M,B20005H_034E,B20005H_034M,B20005H_035E,B20005H_035M,B20005H_036E,B20005H_036M,B20005H_037E,B20005H_037M,B20005H_038E,B20005H_038M,B20005H_039E,B20005H_039M,B20005H_040E,B20005H_040M,B20005H_041E,B20005H_041M,B20005H_042E,B20005H_042M,B20005H_043E,B20005H_043M,B20005H_044E,B20005H_044M,B20005H_045E,B20005H_045M,B20005H_046E,B20005H_046M,B20005H_047E,B20005H_047M,B20005H_048E,B20005H_048M,B20005H_049E,B20005H_049M,B20005H_050E,B20005H_050M,B20005H_051E,B20005H_051M,B20005H_052E,B20005H_052M,B20005H_053E,B20005H_053M,B20005H_054E,B20005H_054M,B20005H_055E,B20005H_055M,B20005H_056E,B20005H_056M,B20005H_057E,B20005H_057M,B20005H_058E,B20005H_058M,B20005H_059E,B20005H_059M,B20005H_060E,B20005H_060M,B20005H_061E,B20005H_061M,B20005H_062E,B20005H_062M,B20005H_063E,B20005H_063M,B20005H_064E,B20005H_064M,B20005H_065E,B20005H_065M,B20005H_066E,B20005H_066M,B20005H_067E,B20005H_067M,B20005H_068E,B20005H_068M,B20005H_069E,B20005H_069M,B20005H_070E,B20005H_070M,B20005H_071E,B20005H_071M,B20005H_072E,B20005H_072M,B20005H_073E,B20005H_073M,B20005H_074E,B20005H_074M,B20005H_075E,B20005H_075M,B20005H_076E,B20005H_076M,B20005H_077E,B20005H_077M,B20005H_078E,B20005H_078M,B20005H_079E,B20005H_079M,B20005H_080E,B20005H_080M,B20005H_081E,B20005H_081M,B20005H_082E,B20005H_082M,B20005H_083E,B20005H_083M,B20005H_084E,B20005H_084M,B20005H_085E,B20005H_085M,B20005H_086E,B20005H_086M,B20005H_087E,B20005H_087M,B20005H_088E,B20005H_088M,B20005H_089E,B20005H_089M,B20005H_090E,B20005H_090M,B20005H_091E,B20005H_091M,B20005H_092E,B20005H_092M,B20005H_093E,B20005H_093M,B20005H_094E,B20005H_094M,B20005H_095E,B20005H_095M,NAME,B20005H_001MA,B20005H_001EA,B20005H_002EA,B20005H_002MA,B20005H_003EA,B20005H_003MA,B20005H_004MA,B20005H_004EA,B20005H_005MA,B20005H_005EA,B20005H_006MA,B20005H_006EA,B20005H_007MA,B20005H_007EA,B20005H_008EA,B20005H_008MA,B20005H_009EA,B20005H_009MA,B20005H_010EA,B20005H_010MA,B20005H_011MA,B20005H_011EA,B20005H_012MA,B20005H_012EA,B20005H_013EA,B20005H_013MA,B20005H_014MA,B20005H_014EA,B20005H_015MA,B20005H_015EA,B20005H_016MA,B20005H_016EA,B20005H_017MA,B20005H_017EA,B20005H_018MA,B20005H_018EA,B20005H_019EA,B20005H_019MA,B20005H_020EA,B20005H_020MA,B20005H_021MA,B20005H_021EA,B20005H_022MA,B20005H_022EA,B20005H_023MA,B20005H_023EA,B20005H_024EA,B20005H_024MA,B20005H_025MA,B20005H_025EA,B20005H_026MA,B20005H_026EA,B20005H_027MA,B20005H_027EA,B20005H_028MA,B20005H_028EA,B20005H_029EA,B20005H_029MA,B20005H_030EA,B20005H_030MA,B20005H_031MA,B20005H_031EA,B20005H_032MA,B20005H_032EA,B20005H_033MA,B20005H_033EA,B20005H_034MA,B20005H_034EA,B20005H_035EA,B20005H_035MA,B20005H_036MA,B20005H_036EA,B20005H_037MA,B20005H_037EA,B20005H_038MA,B20005H_038EA,B20005H_039EA,B20005H_039MA,B20005H_040EA,B20005H_040MA,B20005H_041MA,B20005H_041EA,B20005H_042MA,B20005H_042EA,B20005H_043MA,B20005H_043EA,B20005H_044MA,B20005H_044EA,B20005H_045MA,B20005H_045EA,B20005H_046EA,B20005H_046MA,B20005H_047EA,B20005H_047MA,B20005H_048EA,B20005H_048MA,B20005H_049MA,B20005H_049EA,B20005H_050MA,B20005H_050EA,B20005H_051MA,B20005H_051EA,B20005H_052EA,B20005H_052MA,B20005H_053EA,B20005H_053MA,B20005H_054EA,B20005H_054MA,B20005H_055EA,B20005H_055MA,B20005H_056MA,B20005H_056EA,B20005H_057EA,B20005H_057MA,B20005H_058EA,B20005H_058MA,B20005H_059MA,B20005H_059EA,B20005H_060MA,B20005H_060EA,B20005H_061MA,B20005H_061EA,B20005H_062MA,B20005H_062EA,B20005H_063EA,B20005H_063MA,B20005H_064EA,B20005H_064MA,B20005H_065EA,B20005H_065MA,B20005H_066MA,B20005H_066EA,B20005H_067MA,B20005H_067EA,B20005H_068EA,B20005H_068MA,B20005H_069MA,B20005H_069EA,B20005H_070MA,B20005H_070EA,B20005H_071MA,B20005H_071EA,B20005H_072MA,B20005H_072EA,B20005H_073MA,B20005H_073EA,B20005H_074EA,B20005H_074MA,B20005H_075EA,B20005H_075MA,B20005H_076MA,B20005H_076EA,B20005H_077MA,B20005H_077EA,B20005H_078MA,B20005H_078EA,B20005H_079EA,B20005H_079MA,B20005H_080MA,B20005H_080EA,B20005H_081MA,B20005H_081EA,B20005H_082MA,B20005H_082EA,B20005H_083MA,B20005H_083EA,B20005H_084EA,B20005H_084MA,B20005H_085EA,B20005H_085MA,B20005H_086MA,B20005H_086EA,B20005H_087MA,B20005H_087EA,B20005H_088MA,B20005H_088EA,B20005H_089MA,B20005H_089EA,B20005H_090EA,B20005H_090MA,B20005H_091MA,B20005H_091EA,B20005H_092MA,B20005H_092EA,B20005H_093MA,B20005H_093EA,B20005H_094MA,B20005H_094EA,B20005H_095MA,B20005H_095EA,state
0400000US06,12757534,8502,6329647,4428,2868844,20040,178,157,2868666,20045,8155,1152,4998,1132,13360,2130,11235,1831,36227,3090,21963,2265,38298,3513,36310,3117,75691,3872,48324,3784,112459,5399,142447,5745,123441,5409,153933,6108,124095,6021,173185,7321,249473,8810,216730,7262,417891,7975,860451,13475,3460803,20129,1987882,15648,1472921,17594,219396,6986,128208,5136,133098,6122,83586,4727,135075,5833,50125,3585,75358,4711,37941,3613,73417,4978,32852,2959,62852,3989,63404,3593,40452,3358,48693,3258,29659,2468,36877,2956,45731,3133,33400,2936,54416,3528,88381,4601,6427887,5492,1939257,15764,211,144,1939046,15735,4934,1248,3361,833,14105,1721,13405,2054,33152,3034,20664,2284,36510,2923,31957,3027,66626,4339,50115,3550,110197,4989,135120,5983,126498,6436,144577,6862,116694,5488,128660,5898,192015,6334,155685,4898,254880,7440,299891,8205,4488630,16278,2721637,17551,1766993,15889,262148,8326,173504,6300,166344,6247,117169,5287,163474,6538,77227,4448,95487,4372,50451,3395,93359,4742,41580,3249,80318,4534,81151,4784,52962,3519,49189,3539,29993,2626,39103,2945,47570,3042,40911,3668,59863,4447,45190,2835,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2974149,3135,1473478,2485,779701,8314,200,177,779501,8334,1919,590,1127,436,5262,1131,3784,1076,14932,2011,4997,1189,12749,1978,11896,1778,26190,2485,16063,1762,37504,2601,52147,3769,47338,3160,52969,3643,42495,3392,53122,3493,74461,3404,59940,4151,100562,4276,160044,5171,693777,9083,331390,6285,362387,8507,62591,3799,41112,2937,34051,2264,23487,2637,32887,2631,15538,2135,15646,2119,10689,1337,19920,2403,6916,1413,15120,1602,15922,2129,9944,1553,10763,1823,5161,1067,8657,1479,7331,1443,4539,1034,7666,1392,14447,1717,1500671,2020,550588,8663,81,135,550507,8653,1811,675,1288,491,3271,869,4438,1069,14097,1776,6994,1026,14904,2209,10812,1763,21760,2202,16854,1947,39695,3375,53354,3343,53250,3925,44692,3371,35717,2877,41183,2569,53651,3630,38185,2815,47864,3171,46687,3053,950083,8938,501787,7795,448296,7999,79828,3906,52273,3055,46891,3284,32583,2507,43480,3201,17823,2297,23515,2318,13500,1548,23803,2115,11421,1579,23100,2608,19459,2097,12346,1591,10013,1468,6622,1136,7706,1476,8503,1197,5086,907,5676,1217,4668,1083,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2102439,3195,1011535,2134,514029,7101,51,85,513978,7097,1168,455,961,420,1579,594,1537,559,4346,1078,1730,566,3396,921,4265,1012,10950,2174,7441,1359,18113,2423,24375,2658,23614,2516,31263,2806,23730,2432,38286,2833,51944,3234,39664,3190,81237,4488,144379,4960,497506,7415,266135,6218,231371,5941,39521,2626,22194,2042,20490,1983,15353,2172,18203,1831,10156,1614,9353,1382,6364,1338,11211,1621,4801,972,10766,1360,9859,1620,6682,1191,6638,1148,4129,952,6412,1132,5940,1086,4414,879,7495,1183,11390,1313,1090904,2064,376723,6187,155,197,376568,6195,858,423,1466,607,2295,630,1727,817,2748,689,2335,680,4891,1025,4668,1039,12320,1353,7691,1301,25110,2699,27938,2408,26643,2654,31743,2654,20248,1880,32448,3070,39222,2311,33339,2744,51724,3465,47154,3118,714181,6602,392710,6050,321471,5660,47790,2954,34256,2542,27756,2972,20121,2200,30518,2661,14165,1698,18752,1926,9547,1258,21125,2339,8309,1262,15645,1808,14311,1692,9244,1407,9355,1326,5813,995,7558,1355,7489,1076,6956,1223,8381,1261,4380,792,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,496402,1691,238024,1100,110621,3120,0,182,110621,3120,37,63,75,107,946,633,769,513,1406,555,877,519,1720,943,1325,579,4307,972,1974,632,5215,1181,5819,1156,5571,968,8603,1368,7100,1467,10659,1454,12643,1502,8635,1134,14911,1648,18029,1649,127403,3208,73956,2335,53447,3034,9108,1232,6597,1066,6212,1282,3422,850,4460,916,1456,425,2717,818,954,415,3032,1193,1382,529,2550,1006,2984,973,924,401,2084,764,482,229,653,365,1098,474,808,689,1073,601,1451,475,258378,943,90003,3010,0,182,90003,3010,274,255,0,182,589,367,325,234,1534,549,1335,650,1783,575,1323,488,4310,1164,2286,601,6748,1334,7794,1226,8710,1542,9328,1267,6012,1190,6219,1261,8267,1172,7842,1024,8904,1218,6420,946,168375,3072,99342,3185,69033,3317,12834,1712,7398,1318,8347,1236,4920,1024,6874,1351,3401,988,5204,1317,1654,609,2460,591,1656,567,2224,603,2231,752,1812,562,1390,438,1352,483,1579,478,1296,536,802,299,1047,469,552,293,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,202395,727,99963,584,64778,2443,0,197,64778,2443,44,71,50,84,284,290,52,145,88,103,105,123,319,276,157,149,956,490,566,535,1354,611,1602,652,1511,607,2651,1134,2702,895,4104,1040,4704,1063,3766,826,10501,1579,29262,1938,35185,2415,14594,1858,20591,1935,4102,894,1952,779,1263,646,386,266,1770,694,362,335,373,276,235,212,472,257,422,390,720,478,2006,792,948,491,433,303,1305,571,456,265,350,225,355,199,624,339,2057,669,102432,421,59601,2303,0,197,59601,2303,188,201,80,181,74,101,318,210,585,344,167,144,171,175,107,172,567,332,76,90,1726,883,1748,665,2655,774,3684,990,3024,834,4209,1194,8324,1521,4666,859,10469,1492,16763,1519,42831,2312,16617,1573,26214,2220,6220,1415,3086,1040,870,407,1304,496,1865,643,845,395,877,274,193,185,761,349,667,415,1005,439,1501,582,1094,583,915,402,365,242,654,307,1063,492,541,270,843,377,1545,709,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,9409962,6839,4580106,4376,1878380,15075,53,87,1878327,15083,5599,1143,3372,972,10006,1548,9528,1561,34101,3796,24260,3661,45313,3821,38687,3920,86050,4140,51595,4074,127042,5922,152728,6695,131756,5912,149575,6258,106322,6567,130264,6124,160384,6636,117726,5848,188300,7112,305719,8084,2701726,16065,1771973,15113,929753,11784,152082,6813,96746,5675,94097,5045,66692,4834,99112,5506,43758,3411,55145,4518,27012,3440,46827,3745,17348,2361,39928,3011,35536,2848,25186,2607,23136,2671,11007,1649,15372,2082,17341,2275,11113,1825,17783,2099,34532,2793,4829856,4651,1460463,16348,119,113,1460344,16367,4566,1012,2713,772,10917,1795,11630,2138,33015,3853,29145,3337,50803,3936,42112,3868,86638,4706,54585,3322,149240,5585,159207,6523,140268,5608,132499,6676,88091,4850,93024,4706,109271,5575,78362,5010,100584,4614,83674,4939,3369393,17774,2294996,16406,1074397,15199,168453,6845,118174,5120,121299,5849,91661,5555,116533,6029,57427,3863,70163,3626,36087,3360,55141,3728,22151,2432,43794,3574,39189,3482,29500,2562,25264,2804,15925,1644,15282,2075,18490,2203,9884,1516,11713,2260,8267,1394,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,4446110,4350,2169700,3508,1081947,10851,0,208,1081947,10851,3293,917,1760,769,5671,1180,4941,1319,15064,1752,11206,1805,27147,3357,20229,2716,41309,3450,22948,2743,74091,5245,79119,4708,75919,4515,79047,4581,56906,3823,74247,5152,91854,4502,72528,4016,114907,5499,209761,7432,1087753,11990,660387,9572,427366,9755,77709,5098,52040,3900,45921,3678,34288,3059,40401,3471,17006,2118,21512,2371,10617,1508,17941,2010,10889,2101,15570,1820,15331,1617,11473,1897,8334,1337,5309,1090,8808,1249,8394,1504,5201,1015,6855,1488,13767,1901,2276410,3233,769643,12463,111,135,769532,12457,1874,1014,1481,477,8216,1642,7998,1604,25500,2688,16180,1925,30671,3307,21171,2330,44883,3645,27987,2809,71526,5000,74260,4374,59225,4553,64619,4679,47296,3681,50132,3620,65049,3767,45334,3460,54706,3925,51424,3283,1506767,12715,982771,10993,523996,9283,101699,5132,61223,3535,60923,3934,38932,3394,60566,4228,27467,2668,27549,3088,13921,1425,18926,1938,10040,1375,21658,2407,15681,2467,11615,1777,12072,1971,7737,1358,8259,1424,11278,1620,6582,1394,4374,1049,3494,841,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,280626,647,154508,413,83670,3122,118,147,83552,3118,0,177,338,308,673,377,355,347,1008,457,794,413,2098,736,2010,765,4582,1054,3662,1022,4861,1172,4621,1032,4252,910,6077,1141,4972,1128,3876,909,8818,1804,6855,1454,10574,1444,13126,1589,70838,3136,38166,2121,32672,2621,4022,1036,2253,685,2120,640,1909,598,3103,814,1337,637,2036,805,1231,460,1783,636,689,340,1879,826,2154,649,1276,532,1553,493,591,313,808,592,1621,675,433,255,762,384,1112,462,126118,582,39429,2403,0,177,39429,2403,137,133,112,108,238,229,313,307,612,427,863,561,568,316,530,270,2544,1059,1845,695,2326,661,1631,532,3850,964,3023,789,3033,809,3659,878,3682,773,2125,663,4550,917,3788,887,86689,2410,49697,2447,36992,2550,4152,885,3700,902,3784,1059,2027,589,3295,995,1015,376,2513,892,1099,505,2606,781,1033,471,2212,757,1796,767,969,562,2269,885,1247,660,566,312,997,434,414,282,955,462,343,195,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1041834,1719,513708,1362,232235,5570,0,187,232235,5570,600,296,654,367,1788,599,1311,605,5490,1283,2147,689,7745,1527,3473,1034,11231,2098,8263,1513,16926,2269,21998,2307,16876,2013,17282,1805,13368,1919,18461,2245,23609,2432,15108,1770,20571,2220,25334,2243,281473,5394,145897,4254,135576,5355,23265,2909,17357,2400,14389,1687,12696,1790,11822,1452,4691,883,7865,1494,3536,988,8355,1598,2472,704,4844,1104,4781,1244,3782,865,3637,825,1780,779,1663,667,2385,612,1482,600,1651,579,3123,791,528126,1491,160764,5560,66,111,160698,5559,274,183,833,447,2279,772,2493,850,6417,1399,5293,1151,5970,1365,6898,1495,12914,1905,8953,1581,17831,1919,18482,2061,13272,2114,12905,1903,8070,1459,9738,1631,10957,1971,5511,1443,8071,1638,3537,954,367362,5515,203704,4906,163658,5951,34871,2628,19286,2150,19316,1944,14890,2034,17028,2238,9075,1727,11340,2168,5679,1037,6892,1319,2759,812,6268,1324,4818,1153,2842,802,1804,617,1578,796,1375,599,1770,646,284,232,1320,767,463,293,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,6684164,5143,3241628,3981,1650223,11227,76,87,1650147,11236,2594,720,3168,868,8309,1274,7989,1391,21020,2346,11446,1469,25532,2009,22701,2343,51041,3226,29980,2782,77633,4178,102252,5088,92576,4743,115017,5086,84189,4428,122545,4528,160350,5079,132056,5708,239820,6838,339929,5802,1591405,12027,871452,9878,719953,10806,121494,5225,82402,4381,74794,4039,45412,3167,71680,3479,28387,2389,37154,2498,17476,1875,34490,2658,13478,1823,29708,2782,26564,2164,17782,1931,22178,1939,12425,1524,15734,1678,17524,1588,12671,1735,17069,1720,21531,2383,3442536,3225,1230744,13948,205,205,1230539,13934,1186,471,2175,526,8406,1214,6929,907,23307,1941,19235,2052,39645,2964,31374,2635,66451,3700,41268,2690,99045,4599,121775,5624,97185,4584,100474,4281,76112,4167,86271,4107,111338,4585,82862,4399,109063,4801,106438,4722,2211792,14058,1266008,12046,945784,12390,163362,6328,109499,4600,109719,4797,72377,3872,95643,4775,46894,3230,59287,3533,32491,2693,46799,2928,17044,1977,39382,2880,30759,2751,21346,2182,21519,2329,13021,1615,15967,1598,17122,2186,9447,1303,14060,1614,10046,1365,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
