GEO_ID,B27001G_001E,B27001G_001M,B27001G_002E,B27001G_002M,B27001G_003E,B27001G_003M,B27001G_004E,B27001G_004M,B27001G_005E,B27001G_005M,B27001G_006E,B27001G_006M,B27001G_007E,B27001G_007M,B27001G_008E,B27001G_008M,B27001G_009E,B27001G_009M,B27001G_010E,B27001G_010M,B27001G_011E,B27001G_011M,B27001G_012E,B27001G_012M,B27001G_013E,B27001G_013M,B27001G_014E,B27001G_014M,B27001G_015E,B27001G_015M,B27001G_016E,B27001G_016M,B27001G_017E,B27001G_017M,B27001G_018E,B27001G_018M,B27001G_019E,B27001G_019M,B27001G_020E,B27001G_020M,B27001G_021E,B27001G_021M,B27001G_022E,B27001G_022M,B27001G_023E,B27001G_023M,B27001G_024E,B27001G_024M,B27001G_025E,B27001G_025M,B27001G_026E,B27001G_026M,B27001G_027E,B27001G_027M,B27001G_028E,B27001G_028M,NAME,B27001G_001EA,B27001G_001MA,B27001G_002MA,B27001G_002EA,B27001G_003MA,B27001G_003EA,B27001G_004EA,B27001G_004MA,B27001G_005EA,B27001G_005MA,B27001G_006EA,B27001G_006MA,B27001G_007MA,B27001G_007EA,B27001G_008MA,B27001G_008EA,B27001G_009EA,B27001G_009MA,B27001G_010EA,B27001G_010MA,B27001G_011EA,B27001G_011MA,B27001G_012EA,B27001G_012MA,B27001G_013MA,B27001G_013EA,B27001G_014MA,B27001G_014EA,B27001G_015EA,B27001G_015MA,B27001G_016EA,B27001G_016MA,B27001G_017EA,B27001G_017MA,B27001G_018MA,B27001G_018EA,B27001G_019MA,B27001G_019EA,B27001G_020EA,B27001G_020MA,B27001G_021EA,B27001G_021MA,B27001G_022EA,B27001G_022MA,B27001G_023EA,B27001G_023MA,B27001G_024MA,B27001G_024EA,B27001G_025MA,B27001G_025EA,B27001G_026EA,B27001G_026MA,B27001G_027EA,B27001G_027MA,B27001G_028EA,B27001G_028MA,state
0400000US06,1658338,31817,275679,10111,262260,10110,13419,2351,441567,13466,414881,12655,26686,3809,220257,6891,172079,6022,48178,4457,221980,8140,161711,6578,60269,4802,164293,6478,132476,6129,31817,2682,149553,6057,116111,5378,33442,2917,101302,4376,80854,4200,20448,2296,50192,3128,48751,2955,1441,692,33515,2726,33211,2701,304,232,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,168166,8610,28359,3102,26763,2996,1596,625,47653,4314,41826,3939,5827,1684,25162,2936,19539,2422,5623,1264,20239,2424,14736,1910,5503,1208,17798,2385,14260,2160,3538,989,13890,1742,10989,1544,2901,755,9161,1336,7444,1167,1717,556,3483,851,3483,851,0,189,2421,631,2402,630,19,31,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,91722,6039,16692,2367,16460,2362,232,221,28727,3586,27644,3366,1083,603,11937,2174,10145,1523,1792,1184,10457,1598,9015,1515,1442,663,8071,1731,7606,1696,465,238,8348,1275,7581,1280,767,390,4632,1080,4026,986,606,378,2064,659,1939,647,125,202,794,356,794,356,0,193,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,23689,3650,5812,1529,5812,1529,0,182,7460,1941,7348,1924,112,111,3238,1307,2847,1278,391,350,1819,739,1485,709,334,217,2202,706,1727,620,475,419,1083,624,842,500,241,393,1243,433,1120,408,123,165,595,316,595,316,0,182,237,190,237,190,0,182,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,451997,15393,83334,5404,78608,5367,4726,1172,117183,7618,106213,7590,10970,2403,56335,4830,39143,4251,17192,2920,51294,3912,32484,3516,18810,2835,39839,3774,25877,2937,13962,2621,40046,3035,29094,2673,10952,1806,32587,3645,24652,3042,7935,1804,18853,2168,18295,2129,558,400,12526,1941,12438,1935,88,111,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,198280,12244,39417,3383,35963,3152,3454,1555,62548,6348,56085,5543,6463,2511,23134,4003,17912,3784,5222,1308,21086,2555,11255,2062,9831,1760,19388,3192,13228,2197,6160,2179,14680,2002,10607,1716,4073,1138,9621,1337,7860,1227,1761,665,5276,1427,4789,1167,487,603,3130,986,2828,941,302,334,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,317883,12323,45252,2795,44246,2810,1006,541,77674,4393,76265,4437,1409,558,39166,2670,35451,2383,3715,1137,46277,2669,42013,2577,4264,1112,34032,2919,31307,2792,2725,1118,34240,2530,31942,2399,2298,862,22526,2065,20141,1952,2385,790,12549,1461,12422,1424,127,150,6167,982,6043,987,124,158,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,38780,3809,5643,1341,5174,1331,469,339,12607,2093,11021,2111,1586,885,5009,1119,3828,1050,1181,565,4419,994,3140,974,1279,685,3762,1370,3023,1315,739,495,2978,882,2147,688,831,474,2427,603,1725,530,702,397,1678,711,1678,711,0,187,257,221,257,221,0,187,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,279751,11476,59849,4204,58728,4161,1121,488,87626,6273,85417,6072,2209,1383,34311,3052,28376,2766,5935,1282,29526,2954,22650,2277,6876,1490,24586,2932,18714,2596,5872,1117,21299,2170,16993,1933,4306,1126,11638,1564,9278,1358,2360,582,7271,1196,7173,1218,98,107,3645,722,3610,724,35,58,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
