GEO_ID,C06007_001E,C06007_001M,C06007_002E,C06007_002M,C06007_003E,C06007_003M,C06007_004E,C06007_004M,C06007_005E,C06007_005M,C06007_006E,C06007_006M,C06007_007E,C06007_007M,C06007_008E,C06007_008M,C06007_009E,C06007_009M,C06007_010E,C06007_010M,C06007_011E,C06007_011M,C06007_012E,C06007_012M,C06007_013E,C06007_013M,C06007_014E,C06007_014M,C06007_015E,C06007_015M,C06007_016E,C06007_016M,C06007_017E,C06007_017M,C06007_018E,C06007_018M,C06007_019E,C06007_019M,C06007_020E,C06007_020M,C06007_021E,C06007_021M,C06007_022E,C06007_022M,C06007_023E,C06007_023M,C06007_024E,C06007_024M,C06007_025E,C06007_025M,NAME,C06007_001MA,C06007_001EA,C06007_002EA,C06007_002MA,C06007_003MA,C06007_003EA,C06007_004MA,C06007_004EA,C06007_005EA,C06007_005MA,C06007_006MA,C06007_006EA,C06007_007EA,C06007_007MA,C06007_008EA,C06007_008MA,C06007_009MA,C06007_009EA,C06007_010EA,C06007_010MA,C06007_011MA,C06007_011EA,C06007_012EA,C06007_012MA,C06007_013EA,C06007_013MA,C06007_014MA,C06007_014EA,C06007_015MA,C06007_015EA,C06007_016EA,C06007_016MA,C06007_017EA,C06007_017MA,C06007_018MA,C06007_018EA,C06007_019MA,C06007_019EA,C06007_020EA,C06007_020MA,C06007_021MA,C06007_021EA,C06007_022EA,C06007_022MA,C06007_023EA,C06007_023MA,C06007_024MA,C06007_024EA,C06007_025EA,C06007_025MA,state
0400000US06,35504620,2553,19781507,58336,15723113,58151,8975296,46744,6747817,42405,18310839,54908,12731245,58277,5579594,39350,4815673,36165,763921,15826,6495591,39875,5843726,34368,651865,16641,546226,14518,105639,5652,434264,13335,223456,8404,210808,8905,154355,7056,56453,3758,10263926,50745,983080,17538,9280846,51119,3459042,36411,5821804,37199,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4850587,1857,4025066,17674,825521,17383,524114,15497,301407,9049,1892585,20681,1666544,20530,226041,8374,190956,8178,35085,3299,2379062,20118,2216533,20091,162529,7258,139957,7204,22572,2571,77417,5649,59208,3986,18209,3027,13462,2319,4747,1227,501523,13031,82781,5387,418742,12306,179739,8412,239003,8687,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3397277,984,2641980,13777,755297,13744,467155,10308,288142,9973,1813741,17613,1638609,16821,175132,6683,152117,6467,23015,3229,963614,14456,870727,14422,92887,5566,81116,5176,11771,1603,127409,5949,23542,2440,103867,5350,53309,4208,50558,3559,492513,13280,109102,6228,383411,11684,180613,6775,202798,8611,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,860907,333,749512,5604,111395,5604,70405,5732,40990,3788,364998,8497,344118,8394,20880,2717,15516,2224,5364,1611,404897,8834,382657,8391,22240,3165,18278,2972,3962,1145,14604,2087,6373,1380,8231,1884,5046,1302,3185,1120,76408,4780,16364,2850,60044,4607,31565,3534,28479,3042,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,593321,267,494887,5162,98434,5201,64604,3786,33830,4081,203980,6214,190982,6011,12998,1756,10857,1604,2141,624,290528,7567,271989,6847,18539,2491,16447,2367,2092,728,10084,1752,5343,909,4741,1387,3966,1287,775,455,88729,4720,26573,2948,62156,5271,33334,3428,28822,3833,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18247223,3003,13156749,31693,5090474,30930,2984962,30583,2105512,20367,5933754,37943,4994958,35990,938796,20136,821038,19216,117758,6739,7966235,40068,7267400,39007,698835,17382,614384,17390,84451,5343,617198,19997,184647,9088,432551,16906,278192,13728,154359,8232,3730036,31973,709744,15878,3020292,28726,1271348,20415,1748944,20822,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9248840,3638,8011696,21145,1237144,21151,723501,19185,513643,14334,4898052,31783,4667878,32517,230174,11737,187316,11609,42858,3996,3289586,33106,3095631,34495,193955,9354,164012,8883,29943,3428,128240,7549,80350,6249,47890,6366,37127,5065,10763,2373,932962,16725,167837,10533,765125,16206,335046,11466,430079,12283,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1303300,333,976716,11275,326584,11261,160452,7532,166132,8230,682389,9561,612534,10950,69855,5628,49492,4340,20363,2592,330372,6446,303954,6591,26418,2915,20842,2565,5576,1160,40555,3765,21331,2394,19224,2504,11490,2157,7734,1726,249984,9645,38897,3362,211087,9527,78628,5267,132459,7300,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1481992,1847,1327339,8052,154653,7657,96573,5631,58080,4541,657551,12578,616546,11959,41005,3844,34924,3730,6081,1266,715059,12427,680472,12205,34587,3404,30642,3216,3945,1070,13419,2529,11340,2327,2079,762,1260,523,819,536,95963,6184,18981,2530,76982,5856,29747,3349,47235,3825,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,12061228,2147,9332459,22140,2728769,22561,1615370,22939,1113399,18967,7877379,26348,6982119,26575,895260,16018,767140,16270,128120,6937,2270113,22031,2115907,20897,154206,6667,128308,6551,25898,2422,133946,6368,52349,3607,81597,5443,50182,4628,31415,2588,1779790,21064,182084,8255,1597706,20941,669740,14842,927966,17330,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
