GEO_ID,C08505F_001E,C08505F_001M,C08505F_002E,C08505F_002M,C08505F_003E,C08505F_003M,C08505F_004E,C08505F_004M,C08505F_005E,C08505F_005M,C08505F_006E,C08505F_006M,NAME,C08505F_001MA,C08505F_001EA,C08505F_002EA,C08505F_002MA,C08505F_003MA,C08505F_003EA,C08505F_004MA,C08505F_004EA,C08505F_005EA,C08505F_005MA,C08505F_006MA,C08505F_006EA,state
0400000US06,2049740,28493,1420177,24214,300697,11181,165651,7327,111095,6547,52120,4058,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,97128,6557,68567,4968,14420,2190,4481,1672,6798,1471,2862,1054,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,73676,5526,46485,4200,13694,2435,5971,1511,6656,1607,870,573,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,10251,2529,8260,2426,727,400,423,446,677,523,164,197,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,37696,4344,14145,2382,5280,1488,16008,2639,2104,867,159,216,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,211112,11900,137675,9287,40337,4417,9709,2597,15512,3987,7879,1838,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,118673,6818,74784,5364,30732,4238,3508,1350,5288,1620,4361,1267,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,8708,1539,5899,1418,884,445,442,379,975,523,508,344,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,23321,3605,15934,2910,5227,1719,298,273,1727,764,135,152,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,321537,13194,213571,9929,53544,5052,33174,2873,16719,2711,4529,1237,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,63457,5212,46600,4823,11258,2543,889,721,4046,1178,664,414,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,19766,2640,13603,2101,3669,1156,618,416,1237,470,639,289,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,26085,3519,18205,2781,6191,1532,146,148,1233,572,310,188,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,17523,2985,12267,2546,4771,2168,69,111,324,249,92,131,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,23894,3874,17408,3240,4303,1276,197,217,1796,779,190,181,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,91649,6326,47000,4862,23355,3079,13820,2823,5333,1857,2141,848,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,114462,5874,68686,5151,18954,3013,11892,2339,12445,1786,2485,991,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,36083,3828,25501,3306,6955,1608,774,439,2135,727,718,366,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,34109,3015,21324,2528,6358,1356,3123,1076,2031,717,1273,737,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,9501,2376,6624,1856,2647,1484,109,108,121,159,0,184,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,30326,3120,21004,2781,6171,1357,587,368,1818,919,746,589,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,18574,2441,12953,1914,4861,1598,181,208,423,294,156,117,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,105283,6777,80151,5770,13297,2151,5336,1381,5409,1507,1090,524,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,242275,12710,121440,7293,41452,5104,35174,5180,39713,4902,4496,1325,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,101347,6227,80240,5618,14682,2288,709,467,3498,1198,2218,884,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,35
