GEO_ID,C17001_001E,C17001_001M,C17001_002E,C17001_002M,C17001_003E,C17001_003M,C17001_004E,C17001_004M,C17001_005E,C17001_005M,C17001_006E,C17001_006M,C17001_007E,C17001_007M,C17001_008E,C17001_008M,C17001_009E,C17001_009M,C17001_010E,C17001_010M,C17001_011E,C17001_011M,C17001_012E,C17001_012M,C17001_013E,C17001_013M,C17001_014E,C17001_014M,C17001_015E,C17001_015M,C17001_016E,C17001_016M,C17001_017E,C17001_017M,C17001_018E,C17001_018M,C17001_019E,C17001_019M,NAME,C17001_001EA,C17001_001MA,C17001_002EA,C17001_002MA,C17001_003MA,C17001_003EA,C17001_004EA,C17001_004MA,C17001_005MA,C17001_005EA,C17001_006EA,C17001_006MA,C17001_007EA,C17001_007MA,C17001_008MA,C17001_008EA,C17001_009MA,C17001_009EA,C17001_010EA,C17001_010MA,C17001_011EA,C17001_011MA,C17001_012EA,C17001_012MA,C17001_013EA,C17001_013MA,C17001_014MA,C17001_014EA,C17001_015EA,C17001_015MA,C17001_016EA,C17001_016MA,C17001_017EA,C17001_017MA,C17001_018EA,C17001_018MA,C17001_019MA,C17001_019EA,state
0400000US06,37303266,7131,6325319,64334,2934874,36553,1112315,20185,1657813,22939,164746,5927,3390445,35895,1055057,19699,2032239,22536,303149,7052,30977947,64509,15505780,36376,3539898,20069,10148644,22620,1817238,7273,15472167,36298,3396920,20013,9858027,23600,2217220,7221,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5069071,2557,694842,20406,324979,10880,114766,7198,193965,6438,16248,1772,369863,12491,109204,6901,230309,8032,30350,2282,4374229,20336,2200808,11672,503810,7595,1444595,7319,252403,2287,2173421,12556,485054,7119,1391773,7858,296594,2564,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3484178,1411,372390,14270,162589,6632,55865,4081,94471,5210,12253,1517,209801,9954,60671,4824,126397,6414,22733,2060,3111788,14576,1531184,7086,345375,4502,979048,5356,206761,1973,1580604,10155,322869,4802,989847,6746,267888,2719,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,890738,1221,107307,7877,44879,3961,17202,2364,24873,2634,2804,723,62428,4877,17673,2486,37470,3417,7285,1072,783431,7770,385580,3941,85754,2280,241428,2751,58398,795,397851,5008,80215,2669,248919,3437,68717,1302,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,598151,630,108732,7746,48601,4240,14727,2177,31383,3218,2491,611,60131,4661,13896,2058,40425,3165,5810,1114,489419,7620,233409,4221,39363,2174,168327,3129,25719,689,256010,4762,39891,2045,180331,3580,35788,1043,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18912479,5600,3238581,49032,1464996,23937,506901,13150,830645,14482,127450,5591,1773585,32497,493835,16025,1055165,19798,224585,8014,15673898,48471,7710992,24414,1499608,13455,4795936,15200,1415448,6389,7962906,32176,1441296,15802,4847779,20207,1673831,8271,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9652596,3256,1848533,37552,821051,19104,339080,12704,444659,11431,37312,2790,1027482,22003,332960,12439,607714,12955,86808,4437,7804063,37411,3854056,21676,923190,13409,2489190,13302,441676,3542,3950007,21470,872232,12695,2533598,12338,544177,4967,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1356822,1094,157243,9661,70000,4958,27138,2925,38221,3127,4641,1067,87243,5898,24095,3116,53670,3632,9478,1342,1199579,9654,606599,5354,126056,2986,393849,3333,86694,1338,592980,5766,122077,3020,366183,3523,104720,1376,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1565511,1631,248494,13813,114312,7123,43324,4722,62947,4088,8041,1591,134182,8294,43208,4595,78961,4662,12013,1650,1317017,13659,667577,7743,172245,4618,406504,4444,88828,1780,649440,8540,160140,5190,391385,4683,97915,1909,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,12573676,4182,1850562,32138,827950,19236,315579,10009,466971,13113,45400,2672,1022612,17936,308693,10528,615248,10719,98671,3533,10723114,32834,5317976,19291,1226118,10444,3433550,12912,658308,3140,5405138,18710,1169543,11402,3405163,10474,830432,4413,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,6342423,3178,990325,21187,445526,11581,177895,7492,248652,7327,18979,1667,544799,13497,171629,7236,330964,8624,42206,2970,5352098,21176,2662526,11204,622678,7735,1685934,7895,353914,2184,2689572,14272,590294,7453,1660928,9049,438350,3449,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2974225,2122,377484,13405,169258,7797,60001,5012,97996,4934,11261,1155,208226,7382,52572,3840,132008,4572,23646,1724,2596741,13372,1305006,7844,304712,5203,815397,5279,184897,1669,1291735,7839,292886,4130,772974,5215,225875,2299,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2802207,2002,391734,12565,179979,7273,68290,4377,104651,5463,7038,939,211755,8200,66716,4699,126965,4730,18074,1791,2410473,12906,1205703,7519,292056,4736,753919,5846,159728,1587,1204770,8440,282305,4942,731642,4753,190823,2238,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,4247103,3119,823197,22937,369143,13402,134292,7300,211124,7818,23727,1691,454054,12749,129527,5772,275812,8481,48715,2481,3423906,23170,1706211,13960,376670,6752,1094681,9028,234860,2248,1717695,12641,354805,6627,1079235,8607,283655,2697,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,4471142,2830,891981,23215,379852,11557,156037,7230,201351,7903,22464,2121,512129,15186,154016,7635,307697,9209,50416,2965,3579161,23441,1781846,12495,405263,7987,1149290,7936,227293,2507,1797315,14565,386546,8079,1134316,9061,276453,3005,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1293457,1275,189786,9666,82935,5123,25488,2814,51415,3600,6032,791,106851,6377,28577,3161,66214,3670,12060,1392,1103671,9544,550132,5596,108541,2983,348395,3718,93196,1118,553539,6304,96494,3247,348892,3953,108153,1527,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,5744445,2780,590803,19639,252726,9864,92198,5270,144093,6870,16435,1821,338077,12703,90846,5590,207618,8762,39613,2294,5153642,20190,2514876,10043,583435,5570,1629147,6864,302294,2208,2638766,14071,558260,6292,1700016,9488,380490,2728,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,6414762,2601,762645,18273,332084,10348,110462,5432,193244,7493,28378,2145,430561,12198,102744,5523,270063,9215,57754,3065,5652117,18568,2774446,10400,594734,5507,1813146,7672,366566,2596,2877671,12230,575517,5673,1832908,9470,469246,3469,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,9663760,3870,1685178,30444,769480,16570,282714,8967,447957,11471,38809,2236,915698,17778,271439,8646,566392,10876,77867,3488,7978582,30906,3953402,17358,857666,9053,2515620,11552,580116,2704,4025180,17817,816252,8955,2501590,11230,707338,4297,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,5257443,1790,598371,17622,273966,10889,94233,5700,162818,6919,16915,1349,324405,9946,89530,4974,196412,6992,38463,2045,4659072,17904,2333825,11550,549622,6018,1489291,7014,294912,2081,2325247,10275,527620,4761,1447727,7205,349900,2704,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,2890890,1973,698252,22688,294362,10997,125645,6739,150970,6275,17747,1680,403890,13874,130194,7280,232633,8091,41063,2607,2192638,22488,1086547,11017,248151,7144,691084,6373,147312,1868,1106091,14151,233408,6857,689847,8632,182836,2766,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,5838008,3872,947792,20935,426959,10852,163812,6992,238202,7856,24945,1995,520833,13661,146417,6566,322772,9221,51644,2826,4890216,22145,2419135,12443,541800,7429,1528717,8124,348618,2884,2471081,14373,520047,6407,1528603,9564,422431,3508,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,980594,1227,152199,8004,68017,4377,21487,2450,41386,2916,5144,844,84182,5017,22246,2381,53869,3374,8067,927,828395,7854,421589,4620,88271,2424,265045,3203,68273,1139,406806,4961,83467,2486,250994,3522,72345,1227,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1800904,1635,233973,10768,103424,5572,41599,3207,57062,3842,4763,752,130549,6898,39240,3653,77958,3745,13351,1460,1566931,10809,791917,6577,191461,3538,496609,4460,103847,1018,775014,6567,180429,3540,472029,4039,122556,1566,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,2718565,3392,446840,19216,209424,9961,79882,5723,117949,6143,11593,1482,237416,11218,76641,5543,143624,6503,17151,2240,2271725,19890,1155351,10016,257204,6024,741963,6161,156184,1649,1116374,12126,239693,6336,706854,6854,169827,2508,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,1280027,1345,128466,10865,58561,5839,21810,3370,32181,3442,4570,930,69905,6088,20259,2872,41927,3715,7719,1195,1151561,10760,571168,6208,115218,3952,375687,3695,80263,1324,580393,6328,112929,2815,373130,4118,94334,1586,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,8691673,2911,934943,22315,404190,10711,154935,7154,219349,6508,29906,2332,530753,14674,155291,7349,309317,9477,66145,3779,7756730,22453,3815072,11301,868008,7199,2461735,6419,485329,2876,3941658,15089,830124,7635,2481151,9402,630383,4068,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,2044778,1740,426245,13843,195794,6966,74562,4054,108326,4786,12906,1379,230451,8868,74842,5054,134000,5346,21609,2060,1618533,13880,811750,7577,186325,5181,506279,4898,119146,1692,806783,8691,173710,5131,497154,5071,135919,1961,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,19064064,4156,3025016,36603,1334251,20764,483105,10942,752586,15216,98560,4628,1690765,23225,475505,11583,1009469,14175,205791,6261,16039048,36344,7879432,21552,1663198,11184,5190371,15948,1025863,5445,8159616,24428,1577261,12283,5251239,14227,1331116,6465,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,9498993,3156,1713132,31019,760775,16691,301005,9295,418998,12742,40772,2570,952357,18241,285099,8093,577166,13044,90092,3973,7785861,31167,3841867,16346,850337,8911,2464900,12394,526630,3356,3943994,19578,817799,9192,2479114,13483,647081,4354,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,674852,714,75703,4270,33449,2748,10461,1173,20259,2234,2729,531,42254,2580,9380,1097,25557,1949,7317,986,599149,4409,311175,3154,67319,1395,203869,2520,39987,758,287974,2956,63695,1291,179282,2285,44997,1099,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,11227482,4488,1824628,28992,803306,14455,313585,8790,448567,9970,41154,2380,1021322,19241,307336,10365,623262,11017,90724,3754,9402854,28545,4663481,14992,1022234,9741,2971108,11533,670139,3354,4739373,18739,969355,10354,2933531,11194,836487,4689,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,3699653,1970,637429,14041,286201,8592,111787,4907,156557,5556,17857,1637,351228,8083,109836,4224,208136,5101,33256,2161,3062224,14348,1531505,9729,358151,5288,962304,6380,211050,2035,1530719,9298,339221,5280,936464,5309,255034,2684,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,3826398,2672,658359,22218,314746,12459,103633,6541,196259,8297,14854,1850,343613,12083,91460,5405,224320,8225,27833,2154,3168039,22792,1574120,13679,334094,6916,997653,9071,242373,2082,1593919,12181,317835,6033,988700,8556,287384,2574,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,12353867,3236,1693285,30788,749388,14860,270097,9103,428762,9058,50529,3234,943897,19897,262069,8611,568922,13597,112906,4434,10660582,30483,5255389,14711,1107014,9419,3355577,9506,792798,3898,5405193,19889,1056657,8992,3344355,13741,1004181,4589,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,1010449,885,138907,8499,61944,4707,21932,2653,35904,3561,4108,881,76963,5127,19703,2335,46658,3540,10602,1245,871542,8618,426716,4989,87175,2809,279229,3567,60312,1012,444826,5261,85210,2553,283118,3578,76498,1416,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,4585454,2040,837770,22603,365434,11576,145934,7569,198077,7133,21423,2155,472336,14947,141730,7415,283648,9650,46958,2758,3747684,22644,1840535,12246,399809,7941,1166051,7118,274675,2706,1907149,14791,381150,7036,1192439,10253,333560,2805,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,804310,815,107846,5355,49542,2722,17082,1776,28686,2135,3774,699,58304,3794,17819,1872,32815,2679,7670,1106,696464,5436,352468,3337,84773,1781,219513,2567,48182,804,343996,3794,79829,1893,209465,2630,54702,1237,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,6295994,3016,1129330,27122,499205,15397,194373,7877,275502,10810,29330,2441,630125,16387,184946,8941,384867,9345,60312,2713,5166664,27433,2550236,16393,554293,8892,1633656,11515,362287,3124,2616428,16795,534943,8778,1640043,10090,441442,3165,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
