GEO_ID,C17010G_001E,C17010G_001M,C17010G_002E,C17010G_002M,C17010G_003E,C17010G_003M,C17010G_004E,C17010G_004M,C17010G_005E,C17010G_005M,C17010G_006E,C17010G_006M,C17010G_007E,C17010G_007M,C17010G_008E,C17010G_008M,C17010G_009E,C17010G_009M,C17010G_010E,C17010G_010M,C17010G_011E,C17010G_011M,C17010G_012E,C17010G_012M,C17010G_013E,C17010G_013M,C17010G_014E,C17010G_014M,C17010G_015E,C17010G_015M,C17010G_016E,C17010G_016M,C17010G_017E,C17010G_017M,NAME,C17010G_001MA,C17010G_001EA,C17010G_002MA,C17010G_002EA,C17010G_003EA,C17010G_003MA,C17010G_004EA,C17010G_004MA,C17010G_005EA,C17010G_005MA,C17010G_006MA,C17010G_006EA,C17010G_007MA,C17010G_007EA,C17010G_008EA,C17010G_008MA,C17010G_009EA,C17010G_009MA,C17010G_010EA,C17010G_010MA,C17010G_011EA,C17010G_011MA,C17010G_012MA,C17010G_012EA,C17010G_013MA,C17010G_013EA,C17010G_014EA,C17010G_014MA,C17010G_015EA,C17010G_015MA,C17010G_016EA,C17010G_016MA,C17010G_017MA,C17010G_017EA,state
0400000US06,247291,6603,38598,2980,12847,1734,9052,1511,25751,2463,5327,1116,4035,1017,20424,2332,17146,2020,208693,6216,142614,5092,78266,3600,66079,3834,22357,2910,12411,2009,43722,2952,26098,2230,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,27644,2457,2944,737,956,411,782,358,1988,625,344,278,235,183,1644,609,1446,575,24700,2262,18726,2164,9090,1503,5974,1117,2205,748,1583,650,3769,823,2692,722,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,13691,1992,2309,740,421,288,267,209,1888,739,253,276,198,262,1635,681,1191,496,11382,1688,7051,1411,4427,1108,4331,876,1063,472,450,312,3268,823,1924,635,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,3087,883,646,525,180,236,153,238,466,451,0,182,0,182,466,451,348,405,2441,770,1838,710,1211,580,603,326,220,195,156,210,383,269,234,163,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,71557,4098,12450,1945,4396,1117,2953,914,8054,1600,1011,500,787,445,7043,1528,6498,1565,59107,3612,40555,3057,18699,2195,18552,2151,4920,1036,2030,679,13632,1710,7836,1197,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,29745,2940,6508,1517,2109,712,1673,655,4399,1387,124,120,115,123,4275,1371,4033,1333,23237,2422,16597,2181,10334,1943,6640,1214,2376,784,1094,629,4264,852,1978,695,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,50360,3041,5148,835,1235,514,844,465,3913,766,698,419,610,408,3215,769,2715,691,45212,2952,31137,2392,16811,1877,14075,1886,4830,1142,2710,883,9245,1431,6030,1294,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,6641,1184,1309,535,499,317,288,219,810,465,305,287,305,287,505,363,498,363,5332,1113,4272,1107,2687,856,1060,501,649,387,357,250,411,286,201,203,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,37917,2918,6570,1122,1533,611,1342,589,5037,965,787,434,609,393,4250,855,3990,824,31347,2694,21755,2059,11063,1635,9592,1618,1922,635,902,494,7670,1433,4078,1110,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
