GEO_ID,C17020B_001E,C17020B_001M,C17020B_002E,C17020B_002M,C17020B_003E,C17020B_003M,C17020B_004E,C17020B_004M,C17020B_005E,C17020B_005M,C17020B_006E,C17020B_006M,C17020B_007E,C17020B_007M,C17020B_008E,C17020B_008M,C17020B_009E,C17020B_009M,NAME,C17020B_001MA,C17020B_001EA,C17020B_002EA,C17020B_002MA,C17020B_003EA,C17020B_003MA,C17020B_004EA,C17020B_004MA,C17020B_005EA,C17020B_005MA,C17020B_006MA,C17020B_006EA,C17020B_007MA,C17020B_007EA,C17020B_008EA,C17020B_008MA,C17020B_009EA,C17020B_009MA,state
0400000US06,2163855,17765,565285,19474,190384,11400,338441,11859,36460,2715,1598570,21492,334293,10447,1071855,13883,192422,3379,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,205899,5539,61082,7676,25123,4131,33967,4330,1992,508,144817,7388,36003,4260,95662,3884,13152,1023,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,350428,6363,84162,8671,32406,5031,46630,4550,5126,980,266266,8479,62312,4427,177587,5413,26367,1238,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,188885,2827,34614,4799,14342,2774,17988,2628,2284,739,154271,4903,37403,3022,101094,2817,15774,778,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,298073,2737,76526,6455,23495,3554,46177,3811,6854,1140,221547,6504,42829,3299,143179,4129,35539,1147,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2989571,17985,867073,25914,335424,14526,473728,14669,57921,3537,2122498,28462,494204,15768,1414822,15963,213472,4288,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2944374,12467,821968,25075,331415,14464,444599,14025,45954,2708,2122406,26397,508057,14851,1429113,15237,185236,3275,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,23138,1797,2763,1349,1055,847,1571,703,137,196,20375,2144,4857,1061,14495,1411,1023,394,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,7957,1537,1486,739,432,389,1012,480,42,84,6471,1413,1923,917,4411,768,137,171,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1776039,9473,567928,16889,213235,8895,319850,9532,34843,2689,1208111,17821,264850,9575,793499,10012,149762,3162,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,568143,7206,187175,7839,77859,4934,101233,4524,8083,970,380968,9190,93160,5853,246824,5060,40984,1502,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,85679,4010,30429,4745,12562,2559,17186,2698,681,265,55250,4189,15557,2329,36465,2767,3228,684,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,156434,3871,38786,4316,14633,2516,21818,2674,2335,694,117648,4884,30899,2934,75201,3228,11548,1186,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,321329,6798,116680,7239,46820,4133,63617,4609,6243,1025,204649,8009,43294,4189,139664,5359,21691,1685,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1422700,6304,476013,15661,192417,9001,252228,9328,31368,2275,946687,15668,222492,8859,623670,9809,100525,2907,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,12429,1604,4857,1326,1655,740,3142,877,60,78,7572,1690,2372,872,4653,1053,547,309,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,1665203,7688,270705,14086,96061,7754,152413,8023,22231,2082,1394498,15979,325007,8888,930286,9061,139205,2324,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,452259,7909,105691,8845,40375,4176,58006,5564,7310,1376,346568,10722,88323,4576,229265,7005,28980,1657,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,1334830,7519,485408,15504,183937,8367,277497,9415,23974,1738,849422,15411,176838,7367,560321,10051,112263,2438,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,276434,5674,104591,8190,43417,4617,57713,4649,3461,768,171843,7684,50681,3934,113405,4734,7757,804,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,1081561,5422,407307,14645,167297,7604,213398,8764,26612,2149,674254,15437,156846,7439,450089,9457,67319,2543,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,653606,6524,206479,9519,82494,5972,114650,5976,9335,1186,447127,9441,99973,5132,293907,6151,53247,2008,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,3376,1075,721,456,207,259,454,412,60,91,2655,945,648,480,1824,704,183,198,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,80328,3334,27475,3946,12714,2518,13744,1981,1017,386,52853,3945,14295,2247,34001,2188,4557,585,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,219193,4490,60283,6103,20768,3471,37082,3608,2433,757,158910,7333,37495,4032,103457,4523,17958,990,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,15180,2436,3492,2292,1225,1025,2183,1364,84,86,11688,1795,2953,904,8400,1385,335,269,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,1155907,11186,238829,11361,90494,6533,133621,6369,14714,1590,917078,15264,205662,7187,607179,9936,104237,1992,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,39559,2672,12196,3234,4589,1834,7469,1830,138,165,27363,2853,7797,1534,16894,2016,2672,548,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,2939467,15643,684639,20819,239376,11435,386805,11961,58458,3662,2254828,22535,490133,10839,1501122,13925,263573,4420,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,2029126,11108,576256,18094,217736,10075,315499,10611,43021,2660,1452870,18497,314716,9386,977331,11714,160823,3337,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,9358,1637,4212,1338,1486,794,2691,783,35,68,5146,1547,1055,802,4091,968,0,141,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,1350299,9120,481252,13737,189153,7835,266143,8183,25956,2494,869047,13932,188589,8021,569050,8008,111408,3173,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
