GEO_ID,C19101_001E,C19101_001M,C19101_002E,C19101_002M,C19101_003E,C19101_003M,C19101_004E,C19101_004M,C19101_005E,C19101_005M,C19101_006E,C19101_006M,C19101_007E,C19101_007M,C19101_008E,C19101_008M,C19101_009E,C19101_009M,C19101_010E,C19101_010M,C19101_011E,C19101_011M,NAME,C19101_001MA,C19101_001EA,C19101_002MA,C19101_002EA,C19101_003EA,C19101_003MA,C19101_004EA,C19101_004MA,C19101_005EA,C19101_005MA,C19101_006MA,C19101_006EA,C19101_007MA,C19101_007EA,C19101_008EA,C19101_008MA,C19101_009EA,C19101_009MA,C19101_010EA,C19101_010MA,C19101_011EA,C19101_011MA,state
0400000US06,8585787,27380,426722,8793,300103,9776,763550,13245,737858,12287,1056600,16476,1469756,19318,1091132,15143,1395822,16018,640441,9126,703803,9297,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1278264,10500,49631,3922,30276,2300,92359,4719,102604,4771,156803,5493,247464,7060,196557,5911,225076,5795,92749,4687,84745,3682,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,902369,9154,32288,2919,21704,2556,50700,4035,58005,3393,84175,4126,149544,6492,128773,4781,188695,6324,84579,4476,103906,4970,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,225593,4537,8435,1412,5433,1107,15108,1638,18349,1998,27595,2434,45338,2945,36472,2763,42133,3072,13812,1475,12918,1307,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,112493,3951,8354,1140,3890,854,8553,1475,7180,1192,11925,1611,12627,1833,10976,1539,17233,1735,10565,1500,21190,1819,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4598222,24279,249342,9888,172441,8367,457763,10979,510176,12591,702289,13097,903057,14425,589620,12481,589969,11564,202438,7857,221127,6259,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2406226,16700,159980,7093,95545,6094,240270,8190,240748,8523,326123,9925,458052,11581,312123,8584,328191,8047,121731,5175,123463,5545,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,309165,5759,11676,1777,7757,1425,18596,1922,18109,1878,34456,2559,57742,3468,51768,3467,63494,3004,25269,1721,20298,2108,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,405908,6386,19586,2570,12122,1778,40847,3041,46772,3430,65496,3954,91252,4314,55221,3390,48466,3241,14832,1994,11314,1797,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3121020,16046,142007,5289,92524,4838,233572,6672,262531,6481,385153,9130,581313,10891,468361,10371,534785,11551,209699,5230,211075,5834,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1648172,14329,83803,4523,50333,3230,139527,4827,164678,5693,256520,6008,354434,7386,249061,6640,231749,6816,65107,3698,52960,3253,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,796744,7245,29752,2528,21545,2231,56352,3520,72180,3388,110677,4490,182525,4849,133385,3802,125056,4385,35066,2422,30206,2082,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,727171,6574,24887,2234,20017,1785,60934,2993,67762,3420,102712,4042,157636,5415,110570,3979,116321,3623,33582,2268,32750,2252,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1140771,10522,75421,4252,52062,3319,120666,4634,121522,4870,167426,5131,231276,6726,154161,5554,145584,5175,39494,2648,33159,2233,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1125659,9109,73860,4583,56755,4378,120349,4749,117497,4935,153889,5152,202490,5893,149525,5694,153103,5692,51668,2931,46523,2732,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,346950,5393,14421,1753,10575,1368,30702,2594,35235,2703,50676,3089,78723,3891,52537,2537,48870,2539,12549,1437,12662,1427,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
