GEO_ID,C19131_001E,C19131_001M,C19131_002E,C19131_002M,C19131_003E,C19131_003M,C19131_004E,C19131_004M,C19131_005E,C19131_005M,C19131_006E,C19131_006M,C19131_007E,C19131_007M,C19131_008E,C19131_008M,C19131_009E,C19131_009M,C19131_010E,C19131_010M,C19131_011E,C19131_011M,C19131_012E,C19131_012M,C19131_013E,C19131_013M,C19131_014E,C19131_014M,C19131_015E,C19131_015M,C19131_016E,C19131_016M,C19131_017E,C19131_017M,C19131_018E,C19131_018M,C19131_019E,C19131_019M,C19131_020E,C19131_020M,C19131_021E,C19131_021M,C19131_022E,C19131_022M,C19131_023E,C19131_023M,C19131_024E,C19131_024M,C19131_025E,C19131_025M,C19131_026E,C19131_026M,C19131_027E,C19131_027M,C19131_028E,C19131_028M,C19131_029E,C19131_029M,C19131_030E,C19131_030M,C19131_031E,C19131_031M,C19131_032E,C19131_032M,C19131_033E,C19131_033M,C19131_034E,C19131_034M,C19131_035E,C19131_035M,C19131_036E,C19131_036M,C19131_037E,C19131_037M,C19131_038E,C19131_038M,C19131_039E,C19131_039M,C19131_040E,C19131_040M,C19131_041E,C19131_041M,C19131_042E,C19131_042M,C19131_043E,C19131_043M,C19131_044E,C19131_044M,C19131_045E,C19131_045M,C19131_046E,C19131_046M,C19131_047E,C19131_047M,C19131_048E,C19131_048M,C19131_049E,C19131_049M,C19131_050E,C19131_050M,C19131_051E,C19131_051M,C19131_052E,C19131_052M,C19131_053E,C19131_053M,C19131_054E,C19131_054M,C19131_055E,C19131_055M,C19131_056E,C19131_056M,C19131_057E,C19131_057M,C19131_058E,C19131_058M,C19131_059E,C19131_059M,C19131_060E,C19131_060M,C19131_061E,C19131_061M,C19131_062E,C19131_062M,C19131_063E,C19131_063M,C19131_064E,C19131_064M,C19131_065E,C19131_065M,C19131_066E,C19131_066M,C19131_067E,C19131_067M,C19131_068E,C19131_068M,C19131_069E,C19131_069M,C19131_070E,C19131_070M,C19131_071E,C19131_071M,NAME,C19131_001MA,C19131_001EA,C19131_002MA,C19131_002EA,C19131_003EA,C19131_003MA,C19131_004EA,C19131_004MA,C19131_005EA,C19131_005MA,C19131_006MA,C19131_006EA,C19131_007MA,C19131_007EA,C19131_008EA,C19131_008MA,C19131_009EA,C19131_009MA,C19131_010EA,C19131_010MA,C19131_011EA,C19131_011MA,C19131_012MA,C19131_012EA,C19131_013MA,C19131_013EA,C19131_014EA,C19131_014MA,C19131_015EA,C19131_015MA,C19131_016EA,C19131_016MA,C19131_017MA,C19131_017EA,C19131_018MA,C19131_018EA,C19131_019EA,C19131_019MA,C19131_020EA,C19131_020MA,C19131_021EA,C19131_021MA,C19131_022MA,C19131_022EA,C19131_023MA,C19131_023EA,C19131_024MA,C19131_024EA,C19131_025EA,C19131_025MA,C19131_026EA,C19131_026MA,C19131_027MA,C19131_027EA,C19131_028MA,C19131_028EA,C19131_029MA,C19131_029EA,C19131_030EA,C19131_030MA,C19131_031EA,C19131_031MA,C19131_032MA,C19131_032EA,C19131_033MA,C19131_033EA,C19131_034MA,C19131_034EA,C19131_035MA,C19131_035EA,C19131_036EA,C19131_036MA,C19131_037EA,C19131_037MA,C19131_038EA,C19131_038MA,C19131_039MA,C19131_039EA,C19131_040MA,C19131_040EA,C19131_041EA,C19131_041MA,C19131_042EA,C19131_042MA,C19131_043EA,C19131_043MA,C19131_044EA,C19131_044MA,C19131_045MA,C19131_045EA,C19131_046MA,C19131_046EA,C19131_047EA,C19131_047MA,C19131_048EA,C19131_048MA,C19131_049EA,C19131_049MA,C19131_050MA,C19131_050EA,C19131_051MA,C19131_051EA,C19131_052EA,C19131_052MA,C19131_053EA,C19131_053MA,C19131_054EA,C19131_054MA,C19131_055EA,C19131_055MA,C19131_056MA,C19131_056EA,C19131_057MA,C19131_057EA,C19131_058EA,C19131_058MA,C19131_059EA,C19131_059MA,C19131_060EA,C19131_060MA,C19131_061MA,C19131_061EA,C19131_062MA,C19131_062EA,C19131_063EA,C19131_063MA,C19131_064EA,C19131_064MA,C19131_065EA,C19131_065MA,C19131_066EA,C19131_066MA,C19131_067MA,C19131_067EA,C19131_068MA,C19131_068EA,C19131_069EA,C19131_069MA,C19131_070EA,C19131_070MA,C19131_071EA,C19131_071MA,state
0400000US06,8585787,27380,6104099,26020,2787943,19133,57217,3575,60430,3355,189804,5441,207580,7550,310124,9021,465947,10751,382150,11025,542438,11408,260354,6561,311899,7152,3316156,21226,69321,4271,59116,3599,203273,7092,226519,6808,366404,9522,582020,10839,478484,6609,658122,11553,319745,6896,353152,7331,2481688,23700,759288,12924,349757,8576,33647,2673,27712,2554,62403,4216,45625,3523,55425,3702,59868,4039,26822,2530,23864,2680,7517,1701,6874,1468,409531,8722,20496,2372,17125,1906,42807,3049,44387,2721,64264,4165,85244,4822,54157,3528,50298,3465,18363,2231,12390,1766,1722400,19206,909065,16278,195897,7886,90521,5179,161283,6320,111679,5507,123123,4842,115662,5932,56169,3702,37473,3203,9984,2113,7274,1453,813335,11587,50144,3225,45199,3789,103980,4354,102068,4202,137260,5564,161015,6086,93350,4734,83627,4113,24478,2359,12214,1663,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1278264,10500,975070,11575,411938,7721,6489,1350,5332,1176,20060,2436,25874,2608,42734,3127,76865,4639,69255,3392,89664,3687,37627,2705,38038,2919,563132,9170,7424,1350,6255,1191,26545,2334,36217,2692,64144,2998,117154,4961,98423,5066,114522,4110,49408,3154,43040,2438,303194,7982,92296,4513,48798,3940,4170,1205,2431,880,7905,1713,6469,1417,8601,1631,9468,1841,4786,997,3157,997,996,440,815,505,43498,3636,1911,881,1309,572,5527,1381,4593,961,6461,1263,10088,1522,5881,1194,4998,1147,1590,757,1140,513,210898,6909,128285,5787,23793,2778,11357,1633,22024,2183,19865,2323,19680,2356,17670,2335,6998,1271,4902,973,1223,419,773,385,82613,4678,5844,1028,3592,931,10298,1420,9586,1566,15183,1822,16219,1482,11214,1490,7833,1139,1905,575,939,362,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,902369,9154,660876,8668,272625,5634,3181,960,1911,730,8776,1591,7686,1286,16695,2188,37351,3001,39293,2941,71591,3869,35990,2887,50151,3121,388251,6843,4372,1075,3368,797,12381,1609,21478,1935,34859,2649,65695,3426,61125,3328,92156,4083,42956,3111,49861,3372,241493,7347,63217,4050,28196,2841,2493,809,1110,569,3532,936,1965,774,4139,1136,6374,1474,4142,1022,2919,1094,667,314,855,348,35021,3054,984,669,529,347,2763,835,2720,1007,5898,1222,7615,1375,5927,1266,6241,1113,1365,598,979,454,178276,5958,100495,4570,16529,2063,10667,1746,14913,2019,14714,1564,12539,1804,15240,2116,7347,1426,6273,1161,1235,566,1038,553,77781,3746,4729,1032,4119,1004,8335,1612,9442,1506,10045,1460,17269,2042,10939,1539,9515,1158,2366,624,1022,390,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,225593,4537,163460,4706,59809,2692,862,430,273,349,2603,898,2812,798,4491,1051,11257,1572,10687,1552,15810,1586,5906,1091,5108,1033,103651,4011,1192,465,1064,479,4434,849,7135,1184,13591,1727,21576,1669,18643,1931,21973,2294,6817,952,7226,951,62133,3826,16261,2125,8565,1466,716,432,590,377,1112,512,1230,687,1389,560,1850,664,1004,540,478,319,182,189,14,24,7696,1204,60,71,229,154,482,258,551,331,1633,678,1963,681,1433,502,821,379,257,234,267,197,45872,3046,24486,2494,3912,1033,2099,815,3968,1007,4027,1019,2913,783,4100,1105,2014,886,1096,511,222,229,135,122,21386,2171,1693,568,1178,458,2509,770,2594,724,3578,916,4592,1010,2691,888,1955,664,428,237,168,155,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,112493,3951,62149,3246,23187,1997,118,123,461,287,1159,692,579,349,1815,660,1824,583,2225,848,3254,839,2894,685,8858,1443,38962,2484,524,310,174,122,1175,526,1423,584,2211,605,4120,1035,4702,1042,7997,1126,6124,1213,10512,1345,50344,2538,9378,1356,3330,885,434,296,59,72,677,363,602,349,269,228,517,395,133,136,181,247,155,173,303,254,6048,978,204,188,338,273,514,359,494,325,1118,460,840,409,450,289,1523,659,162,204,405,321,40966,2235,20051,1807,4792,952,1537,520,3013,767,2078,706,3811,1057,1246,446,1338,520,1424,633,249,196,563,285,20915,1729,2282,606,1321,510,2015,678,2004,675,2701,594,4080,1025,2128,592,2854,680,981,441,549,310,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4598222,24279,3319620,23272,1121347,17724,23950,3190,22937,2948,71409,4454,99153,5711,148536,7389,232913,8844,178288,6338,196034,7554,71367,4216,76760,3810,2198273,17218,51841,3552,49006,3705,167732,5414,217256,7259,332205,9398,471118,10461,324374,8300,333740,9363,117761,5692,133240,5170,1278602,17645,323901,11076,149747,6761,19521,2119,12741,1928,23100,2656,22456,2672,25720,3035,21817,2417,10949,1997,8379,1741,2399,824,2665,790,174154,7087,11129,1445,6537,1237,24452,2571,23586,2901,31686,2666,38459,3091,16904,2182,13677,2219,3631,735,4093,1314,954701,12466,510675,11759,109366,6366,53799,4105,103789,6622,78864,5049,81361,5388,51903,3582,17527,2370,10195,1782,2389,1004,1482,523,444026,8070,33535,2746,27421,2900,67281,4105,68861,3929,82781,5027,86847,4478,41578,3336,27944,2872,4891,1080,2887,651,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2406226,16700,1693386,18424,715266,12456,15063,2709,13346,2236,43638,3815,55396,4538,82264,5208,142310,7769,118949,5893,138127,5594,51222,3379,54951,3816,978120,12628,22660,2936,18783,2195,68248,4475,83595,4556,134521,5688,213047,6244,147101,5486,164321,5907,63212,3991,62632,4251,712840,13451,166418,6414,77253,4725,9442,1941,5902,1539,12696,1907,12778,2036,13111,2502,12741,2181,5060,1227,3441,1325,450,338,1632,658,89165,4110,5605,1234,5320,1234,13375,1975,11950,1862,14635,2132,16328,1963,10352,1851,6538,1335,2978,966,2084,734,546422,12664,310759,9125,81833,5736,34657,3890,61802,4654,41934,4030,38622,3244,32254,3370,11955,1997,5401,1538,1601,637,700,426,235663,7300,25377,2918,17537,2112,40511,3013,35095,3337,42970,3359,41372,3652,18706,2206,10363,1556,2268,663,1464,463,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,309165,5759,229027,6135,89864,3939,881,496,1611,757,4143,919,4300,942,8871,1281,16063,1850,18256,2010,20880,1955,8640,1277,6219,1127,139163,4085,2532,777,1777,610,6658,1092,6465,889,15385,1711,25433,2310,23330,1826,32057,1883,13602,1217,11924,1404,80138,3973,23569,1902,7711,1242,1223,638,222,192,507,285,596,288,1083,521,2336,715,1116,455,556,328,23,37,49,62,15858,1675,462,240,493,375,640,239,869,363,1752,641,4094,1002,2461,657,3412,749,1013,459,662,265,56569,3471,24396,2532,5777,1213,2783,889,3888,980,3449,948,3548,884,2865,869,1152,517,735,427,116,127,83,109,32173,2497,801,455,871,341,2760,731,2430,603,3817,869,6951,1171,5453,1116,5854,1193,1875,485,1361,499,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,405908,6386,322225,6301,133177,4680,2474,595,2205,712,10480,1690,11888,2038,20969,2110,32012,2574,23357,2576,19684,2228,5852,1683,4256,1245,189048,4425,4185,1314,3256,811,14772,1503,20781,2102,29915,2394,46863,3553,28087,2157,26425,2263,8080,1113,6684,1218,83683,4788,24334,2867,14874,2509,1340,671,692,411,2814,915,2552,1244,3242,1105,2669,872,694,402,380,296,386,347,105,128,9460,1733,572,286,445,363,1547,733,2034,1079,1648,779,2193,722,452,255,497,440,72,108,0,187,59349,3918,36097,3202,9837,1944,4454,1320,7634,1389,5453,1108,4592,1423,2572,728,540,377,792,590,148,179,75,89,23252,2332,1178,438,1070,448,3600,901,4064,1101,5130,1273,4943,1051,2091,757,688,357,294,268,194,147,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3121020,16046,2289429,18317,958861,12327,12861,1592,10583,1801,40046,3017,57640,4040,95847,5499,169963,6916,165997,6194,216705,6799,89378,3886,99841,3873,1330568,11966,19029,1920,18312,1956,63085,2675,94234,3796,164756,4937,265397,7301,227389,7221,267867,7472,107333,4339,103166,4249,831591,12655,220129,7498,101111,5178,10909,1586,6772,1067,16067,1948,15345,1795,14056,1956,19986,2510,9686,1371,5024,1141,1377,509,1889,764,119018,4962,6163,1225,4553,978,11471,1922,14235,1844,18682,1898,26670,2778,17649,2024,13193,2027,4293,998,2109,594,611462,11412,338400,8358,71484,3888,36105,3240,67166,4027,46323,3471,44522,3442,44625,2970,15949,1757,9159,1541,1510,550,1557,445,273062,6971,21561,2124,16199,1606,35737,2267,34754,2675,47290,3109,54672,3199,31691,2293,22837,2150,5808,1160,2513,696,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
