GEO_ID,C21001B_001E,C21001B_001M,C21001B_002E,C21001B_002M,C21001B_003E,C21001B_003M,C21001B_004E,C21001B_004M,C21001B_005E,C21001B_005M,C21001B_006E,C21001B_006M,C21001B_007E,C21001B_007M,C21001B_008E,C21001B_008M,C21001B_009E,C21001B_009M,C21001B_010E,C21001B_010M,C21001B_011E,C21001B_011M,C21001B_012E,C21001B_012M,C21001B_013E,C21001B_013M,C21001B_014E,C21001B_014M,C21001B_015E,C21001B_015M,NAME,C21001B_001EA,C21001B_001MA,C21001B_002EA,C21001B_002MA,C21001B_003MA,C21001B_003EA,C21001B_004MA,C21001B_004EA,C21001B_005EA,C21001B_005MA,C21001B_006EA,C21001B_006MA,C21001B_007EA,C21001B_007MA,C21001B_008EA,C21001B_008MA,C21001B_009MA,C21001B_009EA,C21001B_010MA,C21001B_010EA,C21001B_011EA,C21001B_011MA,C21001B_012EA,C21001B_012MA,C21001B_013EA,C21001B_013MA,C21001B_014MA,C21001B_014EA,C21001B_015MA,C21001B_015EA,state
0400000US06,1712267,10780,831043,6296,730817,6351,96974,5603,633843,8317,100226,1634,51437,2382,48789,2280,881224,6548,742297,6552,13199,2066,729098,6678,138927,1553,1836,528,137091,1619,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,153141,3376,81211,2630,74306,2625,12817,1609,61489,2979,6905,498,4512,638,2393,528,71930,2160,63281,2115,3055,811,60226,2132,8649,550,122,120,8527,565,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,269618,4378,125556,2628,112797,2602,9986,1725,102811,2577,12759,648,4710,880,8049,1028,144062,2732,123620,2527,1281,565,122339,2687,20442,734,0,193,20442,734,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,144043,1724,65805,996,58111,956,9011,1412,49100,1800,7694,132,3177,666,4517,666,78238,1257,67356,1254,2430,945,64926,1508,10882,97,45,74,10837,122,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,245455,1738,107459,1112,91013,1066,9732,1526,81281,1836,16446,173,7468,895,8978,906,137996,1034,110413,1006,1880,654,108533,1202,27583,242,82,96,27501,256,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2255638,10575,1055382,7843,940006,7332,98137,5147,841869,8797,115376,2126,28617,2149,86759,2828,1200256,6460,1034502,5998,26091,3104,1008411,6447,165754,2112,1037,372,164717,2161,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2203209,7638,1001426,5106,907528,4929,135726,6884,771802,8084,93898,1633,36679,2260,57219,2351,1201783,4705,1055080,4539,38640,3612,1016440,5351,146703,1674,1500,638,145203,1844,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,14558,1574,9489,1296,8601,1269,4955,1086,3646,1152,888,368,486,207,402,319,5069,910,4797,885,1244,660,3553,699,272,226,0,177,272,226,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,6245,867,4571,789,4480,797,1805,867,2675,947,91,100,0,187,91,100,1674,745,1564,660,161,117,1403,628,110,160,0,187,110,160,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1364127,6005,622347,4115,547981,4019,56762,4299,491219,6131,74366,840,29103,1954,45263,1951,741780,3870,624095,3703,7944,1530,616151,4215,117685,1113,769,390,116916,1197,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
