GEO_ID,C25055_001E,C25055_001M,C25055_002E,C25055_002M,C25055_003E,C25055_003M,C25055_004E,C25055_004M,C25055_005E,C25055_005M,NAME,C25055_001MA,C25055_001EA,C25055_002EA,C25055_002MA,C25055_003MA,C25055_003EA,C25055_004EA,C25055_004MA,C25055_005EA,C25055_005MA,state
0400000US06,5593677,26085,4239753,20119,704314,11239,346764,7216,302846,7372,California,null,null,null,null,null,null,null,null,null,null,06
0400000US08,693762,9655,552063,9170,73479,3592,34143,2448,34077,2220,Colorado,null,null,null,null,null,null,null,null,null,null,08
0400000US09,430621,8583,305497,7673,54353,3402,32798,2466,37973,2203,Connecticut,null,null,null,null,null,null,null,null,null,null,09
0400000US10,95026,4125,70370,4080,12493,1427,6122,1100,6041,1038,Delaware,null,null,null,null,null,null,null,null,null,null,10
0400000US11,152845,4814,114592,4412,20055,1793,10883,1089,7315,1160,District of Columbia,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2353001,22182,1740206,20989,290597,8351,165079,6678,157119,6256,Florida,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1199599,16251,953494,14830,135338,5399,61497,3574,49270,3098,Georgia,null,null,null,null,null,null,null,null,null,null,13
0400000US15,179409,3944,132386,3462,25001,2270,13085,1383,8937,1274,Hawaii,null,null,null,null,null,null,null,null,null,null,15
0400000US16,172082,6051,136650,6131,14169,1529,10923,1522,10340,1510,Idaho,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1519883,15942,1135157,14492,184852,5519,96908,4510,102966,3884,Illinois,null,null,null,null,null,null,null,null,null,null,17
0400000US18,719233,12078,548066,10252,85420,4642,41027,2778,44720,2768,Indiana,null,null,null,null,null,null,null,null,null,null,18
0400000US19,323489,7763,241191,6506,35147,2560,16854,1607,30297,2004,Iowa,null,null,null,null,null,null,null,null,null,null,19
0400000US20,350761,6548,267003,6011,38067,2469,19169,1844,26522,1859,Kansas,null,null,null,null,null,null,null,null,null,null,20
0400000US21,509045,7776,382723,7565,65034,3419,35762,2304,25526,1831,Kentucky,null,null,null,null,null,null,null,null,null,null,21
0400000US22,527568,11369,410274,9666,66196,3938,31189,2264,19909,1908,Louisiana,null,null,null,null,null,null,null,null,null,null,22
0400000US23,146751,4251,102783,3759,19161,1733,10528,1399,14279,1331,Maine,null,null,null,null,null,null,null,null,null,null,23
0400000US24,699266,9573,519423,8920,86371,4177,44715,2404,48757,2572,Maryland,null,null,null,null,null,null,null,null,null,null,24
0400000US25,919291,10799,637799,10727,123195,5394,76129,3682,82168,3623,Massachusetts,null,null,null,null,null,null,null,null,null,null,25
0400000US26,1044542,13840,763581,12055,133665,4452,70014,3387,77282,3366,Michigan,null,null,null,null,null,null,null,null,null,null,26
0400000US27,574365,9048,425428,8124,59736,3237,30035,2308,59166,2886,Minnesota,null,null,null,null,null,null,null,null,null,null,27
0400000US28,298549,8571,230736,7632,37517,2563,17361,1935,12935,1537,Mississippi,null,null,null,null,null,null,null,null,null,null,28
0400000US29,715241,11681,530051,10135,87883,3879,46752,2960,50555,3228,Missouri,null,null,null,null,null,null,null,null,null,null,29
0400000US30,122509,4097,89939,3896,15763,1652,7798,1029,9009,1220,Montana,null,null,null,null,null,null,null,null,null,null,30
0400000US31,231912,5262,176194,4630,24400,2094,10942,1146,20376,1451,Nebraska,null,null,null,null,null,null,null,null,null,null,31
0400000US32,438537,7814,331841,7025,57204,3108,29783,2063,19709,1856,Nevada,null,null,null,null,null,null,null,null,null,null,32
0400000US33,144882,5536,104216,5030,16576,2119,11499,1494,12591,1475,New Hampshire,null,null,null,null,null,null,null,null,null,null,33
0400000US34,1080817,12619,769727,11535,147723,5224,82089,3466,81278,3595,New Jersey,null,null,null,null,null,null,null,null,null,null,34
0400000US35,228984,6805,175502,5780,28244,2116,13607,1691,11631,1793,New Mexico,null,null,null,null,null,null,null,null,null,null,35
0400000US36,3238859,20537,2220981,17826,466306,8845,283488,6497,268084,6353,New York,null,null,null,null,null,null,null,null,null,null,36
0400000US37,1194189,14186,930915,13864,132912,5528,72707,3953,57655,3551,North Carolina,null,null,null,null,null,null,null,null,null,null,37
0400000US38,93671,3991,68974,3288,9677,1384,5200,974,9820,1031,North Dakota,null,null,null,null,null,null,null,null,null,null,38
0400000US39,1454504,11496,1065328,11364,190118,6026,98280,5188,100778,3747,Ohio,null,null,null,null,null,null,null,null,null,null,39
0400000US40,442579,5894,342570,5096,49503,2190,26167,1997,24339,1572,Oklahoma,null,null,null,null,null,null,null,null,null,null,40
0400000US41,555909,9237,410497,7958,67635,4421,34906,2745,42871,2558,Oregon,null,null,null,null,null,null,null,null,null,null,41
0400000US42,1452194,11717,1003964,10570,186603,4924,111665,4038,149962,4137,Pennsylvania,null,null,null,null,null,null,null,null,null,null,42
0400000US44,160588,4481,108498,3870,24064,2178,12993,1542,15033,1484,Rhode Island,null,null,null,null,null,null,null,null,null,null,44
0400000US45,516387,8921,399146,8131,68559,4039,28231,2533,20451,2058,South Carolina,null,null,null,null,null,null,null,null,null,null,45
0400000US46,96921,4136,70161,3780,10295,1333,5586,1091,10879,1119,South Dakota,null,null,null,null,null,null,null,null,null,null,46
0400000US47,754900,11651,579823,9834,95584,4758,45894,2841,33599,2637,Tennessee,null,null,null,null,null,null,null,null,null,null,47
0400000US48,3193169,21151,2585596,17271,320417,7899,161416,6536,125740,4772,Texas,null,null,null,null,null,null,null,null,null,null,48
0400000US49,259174,6097,213908,5861,22669,2409,12026,1670,10571,1279,Utah,null,null,null,null,null,null,null,null,null,null,49
0400000US50,69963,2944,50806,2679,7809,1150,5022,710,6326,1102,Vermont,null,null,null,null,null,null,null,null,null,null,50
0400000US51,969687,12047,757326,10132,107056,4658,53108,3542,52197,2938,Virginia,null,null,null,null,null,null,null,null,null,null,51
0400000US53,954331,12872,724533,10801,109713,5268,58449,3157,61636,2870,Washington,null,null,null,null,null,null,null,null,null,null,53
0400000US54,174700,4675,126678,4550,24034,2004,13816,1483,10172,1221,West Virginia,null,null,null,null,null,null,null,null,null,null,54
0400000US55,718608,9622,520727,8902,88155,3482,45122,2332,64604,2841,Wisconsin,null,null,null,null,null,null,null,null,null,null,55
0400000US56,62166,3284,48741,2686,7333,1262,2978,722,3114,732,Wyoming,null,null,null,null,null,null,null,null,null,null,56
0400000US72,238971,6872,175060,6112,32005,2471,20222,2039,11684,1662,Puerto Rico,null,null,null,null,null,null,null,null,null,null,72
0400000US01,510756,9708,388887,9187,62686,3766,33195,2376,25988,2145,Alabama,null,null,null,null,null,null,null,null,null,null,01
0400000US02,86687,3379,70746,3242,9786,1533,3778,671,2377,686,Alaska,null,null,null,null,null,null,null,null,null,null,02
0400000US04,856506,12717,661384,12042,99091,4854,51953,3140,44078,2790,Arizona,null,null,null,null,null,null,null,null,null,null,04
0400000US05,347234,6882,265406,6492,40479,2640,20780,2271,20569,1878,Arkansas,null,null,null,null,null,null,null,null,null,null,05
