GEO_ID,B05003_001E,B05003_001M,B05003_002E,B05003_002M,B05003_003E,B05003_003M,B05003_004E,B05003_004M,B05003_005E,B05003_005M,B05003_006E,B05003_006M,B05003_007E,B05003_007M,B05003_008E,B05003_008M,B05003_009E,B05003_009M,B05003_010E,B05003_010M,B05003_011E,B05003_011M,B05003_012E,B05003_012M,B05003_013E,B05003_013M,B05003_014E,B05003_014M,B05003_015E,B05003_015M,B05003_016E,B05003_016M,B05003_017E,B05003_017M,B05003_018E,B05003_018M,B05003_019E,B05003_019M,B05003_020E,B05003_020M,B05003_021E,B05003_021M,B05003_022E,B05003_022M,B05003_023E,B05003_023M,NAME,B05003_001EA,B05003_001MA,B05003_002MA,B05003_002EA,B05003_003MA,B05003_003EA,B05003_004EA,B05003_004MA,B05003_005EA,B05003_005MA,B05003_006EA,B05003_006MA,B05003_007EA,B05003_007MA,B05003_008EA,B05003_008MA,B05003_009MA,B05003_009EA,B05003_010EA,B05003_010MA,B05003_011EA,B05003_011MA,B05003_012MA,B05003_012EA,B05003_013EA,B05003_013MA,B05003_014MA,B05003_014EA,B05003_015MA,B05003_015EA,B05003_016EA,B05003_016MA,B05003_017MA,B05003_017EA,B05003_018MA,B05003_018EA,B05003_019EA,B05003_019MA,B05003_020MA,B05003_020EA,B05003_021EA,B05003_021MA,B05003_022EA,B05003_022MA,B05003_023MA,B05003_023EA,state
0400000US01,4833722,-555555555,2341869,4937,564772,4246,559600,4536,5172,1566,1085,586,4087,1371,1777097,3850,1698267,4500,78830,4711,28155,3221,50675,3830,2491853,4937,545119,4402,538239,4461,6880,1339,2121,818,4759,1256,1946734,2639,1875390,5065,71344,4073,28421,2384,42923,3368,Alabama,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,735132,-555555555,386404,1948,97445,1736,95981,1750,1464,658,543,423,921,509,288959,1213,266470,2033,22489,1754,12827,1502,9662,1725,348728,1948,90921,1717,89149,1701,1772,747,439,279,1333,694,257807,888,232772,2292,25035,2238,14700,1811,10335,1883,Alaska,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6626624,-555555555,3298086,2142,825932,1924,797381,3230,28551,2975,5277,1191,23274,2812,2472154,1414,2066085,9598,406069,9474,150485,7150,255584,8999,3328538,2142,790030,1891,762904,4350,27126,3745,4965,1338,22161,3525,2538508,1181,2103944,10279,434564,10397,181538,6612,253026,9209,Arizona,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2959373,-555555555,1461544,4406,371009,4016,365851,4135,5158,1447,697,428,4461,1366,1090535,3050,1028231,4149,62304,2999,19568,2398,42736,3159,1497829,4406,340613,3563,335243,3946,5370,1396,1588,736,3782,1082,1157216,2432,1096160,3401,61056,3029,21824,2492,39232,2976,Arkansas,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,38332521,-555555555,19072246,4878,4697737,4429,4460851,9135,236886,8648,50330,4066,186556,7538,14374509,3451,9614009,28872,4760500,29099,2256171,18573,2504329,26476,19260275,4878,4476447,4226,4240300,9285,236147,8464,49148,3550,186999,7768,14783828,2822,9706161,27850,5077667,27966,2651330,18672,2426337,22997,California,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5268367,-555555555,2645976,3935,634794,3625,615706,4094,19088,2353,3550,1115,15538,2088,2011182,2486,1786582,6965,224600,6951,86672,5177,137928,6039,2622391,3935,606531,3293,584070,4060,22461,2333,5975,1226,16486,2368,2015860,2436,1781375,7016,234485,6170,101403,4526,133082,5410,Colorado,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3596080,-555555555,1751883,2326,399488,1827,384955,2834,14533,2252,3986,989,10547,2020,1352395,1552,1125834,7656,226561,7343,104454,4608,122107,6326,1844197,2326,385854,1777,370788,2791,15066,1908,5045,1154,10021,1692,1458343,1248,1214860,6829,243483,6829,131245,5185,112238,6680,Connecticut,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,925749,-555555555,447789,1076,103371,842,101854,951,1517,537,293,212,1224,536,344418,892,307035,2303,37383,2423,16028,1781,21355,2167,477960,1076,100317,865,98737,951,1580,591,860,379,720,490,377643,781,341355,3000,36288,2845,17444,1919,18844,2351,Delaware,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,646449,-555555555,306147,576,56029,408,53918,748,2111,707,732,377,1379,582,250118,410,206852,2761,43266,2713,17520,2063,25746,2504,340302,576,55503,461,52044,1182,3459,1174,1083,531,2376,948,284799,308,240816,3221,43983,3251,18703,2346,25280,2691,District of Columbia,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19552860,-555555555,9565609,6671,2066258,6164,1966881,8249,99377,6382,24779,3188,74598,5385,7499351,3344,5809849,18000,1689502,17867,877990,16258,811512,15838,9987251,6671,1962472,6191,1863510,8394,98962,5962,24439,3043,74523,4633,8024779,2991,6114558,22318,1910221,22567,1101530,17076,808691,15073,Florida,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
