GEO_ID,B06011_001E,B06011_001M,B06011_002E,B06011_002M,B06011_003E,B06011_003M,B06011_004E,B06011_004M,B06011_005E,B06011_005M,NAME,B06011_001EA,B06011_001MA,B06011_002EA,B06011_002MA,B06011_003EA,B06011_003MA,B06011_004EA,B06011_004MA,B06011_005EA,B06011_005MA,state
0400000US01,22436,260,21317,269,26328,542,26116,3393,21165,935,Alabama,null,null,null,null,null,null,null,null,null,null,01
0400000US02,31103,688,19259,1219,40258,1007,28658,6903,25977,1622,Alaska,null,null,null,null,null,null,null,null,null,null,02
0400000US04,25434,212,21309,344,28989,425,27402,2321,21243,382,Arizona,null,null,null,null,null,null,null,null,null,null,04
0400000US05,21489,263,20650,325,23026,632,29577,7096,20901,855,Arkansas,null,null,null,null,null,null,null,null,null,null,05
0400000US06,26353,104,25821,186,36209,339,31378,775,22285,134,California,null,null,null,null,null,null,null,null,null,null,06
0400000US08,30070,195,25050,496,33928,571,32066,2075,23184,1112,Colorado,null,null,null,null,null,null,null,null,null,null,08
0400000US09,31744,280,31425,416,38768,1125,19013,1700,27259,827,Connecticut,null,null,null,null,null,null,null,null,null,null,09
0400000US10,28900,957,26695,1037,31453,817,26493,4362,25981,2067,Delaware,null,null,null,null,null,null,null,null,null,null,10
0400000US11,40397,711,20469,2077,52199,1276,51809,10808,31349,1982,District of Columbia,null,null,null,null,null,null,null,null,null,null,11
0400000US12,23749,168,21186,184,27092,206,21310,589,21025,210,Florida,null,null,null,null,null,null,null,null,null,null,12
0400000US13,24979,266,21330,272,30969,306,28952,3213,22310,360,Georgia,null,null,null,null,null,null,null,null,null,null,13
0400000US15,30304,437,29844,1065,34749,1911,30601,3263,25538,1053,Hawaii,null,null,null,null,null,null,null,null,null,null,15
0400000US16,23201,510,22239,608,24364,801,26148,2746,21505,975,Idaho,null,null,null,null,null,null,null,null,null,null,16
0400000US17,27805,273,27455,267,32212,371,22375,1521,25234,377,Illinois,null,null,null,null,null,null,null,null,null,null,17
0400000US18,24954,264,25065,264,25376,425,25534,3151,21897,475,Indiana,null,null,null,null,null,null,null,null,null,null,18
0400000US19,27308,265,28157,427,26335,571,27023,5320,25105,1446,Iowa,null,null,null,null,null,null,null,null,null,null,19
0400000US20,26540,264,26174,323,28690,789,27872,3752,22169,669,Kansas,null,null,null,null,null,null,null,null,null,null,20
0400000US21,22472,245,21815,258,24698,587,25600,3415,22166,1157,Kentucky,null,null,null,null,null,null,null,null,null,null,21
0400000US22,23601,387,22415,326,27246,561,25108,4986,23785,1585,Louisiana,null,null,null,null,null,null,null,null,null,null,22
0400000US23,24049,483,22289,352,26870,670,28692,5128,21778,1935,Maine,null,null,null,null,null,null,null,null,null,null,23
0400000US24,35315,271,29020,601,44993,832,40539,3260,31651,518,Maryland,null,null,null,null,null,null,null,null,null,null,24
0400000US25,31349,245,30925,291,39867,1115,17292,1558,28285,1198,Massachusetts,null,null,null,null,null,null,null,null,null,null,25
0400000US26,24696,205,24414,254,25703,412,22782,2410,24647,814,Michigan,null,null,null,null,null,null,null,null,null,null,26
0400000US27,30478,204,30487,217,32261,446,25602,2956,24569,1088,Minnesota,null,null,null,null,null,null,null,null,null,null,27
0400000US28,20727,304,19345,534,24316,784,26409,6740,20819,2336,Mississippi,null,null,null,null,null,null,null,null,null,null,28
0400000US29,24840,266,24275,316,25952,427,25321,2507,23366,1278,Missouri,null,null,null,null,null,null,null,null,null,null,29
0400000US30,23787,591,23459,854,24227,889,22643,7497,21971,2746,Montana,null,null,null,null,null,null,null,null,null,null,30
0400000US31,26633,304,26564,397,28619,827,30516,6674,22876,868,Nebraska,null,null,null,null,null,null,null,null,null,null,31
0400000US32,26429,279,21522,862,28412,594,28167,4278,24985,642,Nevada,null,null,null,null,null,null,null,null,null,null,32
0400000US33,30781,400,25678,830,34873,1033,31791,7629,27328,3845,New Hampshire,null,null,null,null,null,null,null,null,null,null,33
0400000US34,31947,208,31245,286,40170,479,21363,1182,29154,757,New Jersey,null,null,null,null,null,null,null,null,null,null,34
0400000US35,22820,449,20426,561,27651,1038,30500,6967,17711,1106,New Mexico,null,null,null,null,null,null,null,null,null,null,35
0400000US36,28681,224,30075,169,34944,681,17683,1016,25024,298,New York,null,null,null,null,null,null,null,null,null,null,36
0400000US37,24240,203,21486,181,29627,497,27138,2297,21355,420,North Carolina,null,null,null,null,null,null,null,null,null,null,37
0400000US38,29921,626,30566,504,29606,1530,27488,6975,18550,4339,North Dakota,null,null,null,null,null,null,null,null,null,null,38
0400000US39,25209,149,25089,182,25886,370,23936,2621,24168,1129,Ohio,null,null,null,null,null,null,null,null,null,null,39
0400000US40,24227,280,23815,383,25467,372,27290,3378,21560,496,Oklahoma,null,null,null,null,null,null,null,null,null,null,40
0400000US41,24794,317,23631,590,26506,408,23250,3734,21612,628,Oregon,null,null,null,null,null,null,null,null,null,null,41
0400000US42,26410,139,26230,154,29479,562,17999,1506,23701,957,Pennsylvania,null,null,null,null,null,null,null,null,null,null,42
0400000US44,27358,608,27813,1183,31706,927,14977,4937,21219,1237,Rhode Island,null,null,null,null,null,null,null,null,null,null,44
0400000US45,23034,328,20868,248,27364,542,29240,3076,21962,549,South Carolina,null,null,null,null,null,null,null,null,null,null,45
0400000US46,25803,403,26001,613,25895,675,24766,5347,20516,3412,South Dakota,null,null,null,null,null,null,null,null,null,null,46
0400000US47,22761,305,21315,258,26413,413,26887,2668,20704,402,Tennessee,null,null,null,null,null,null,null,null,null,null,47
0400000US48,25765,115,24573,231,32805,592,30671,1142,21564,187,Texas,null,null,null,null,null,null,null,null,null,null,48
0400000US49,25454,297,24857,483,27508,876,23779,3735,22182,887,Utah,null,null,null,null,null,null,null,null,null,null,49
0400000US50,26334,554,24919,907,28932,1250,25549,7561,23661,2073,Vermont,null,null,null,null,null,null,null,null,null,null,50
0400000US51,30554,218,23794,446,40149,383,37391,2192,30276,519,Virginia,null,null,null,null,null,null,null,null,null,null,51
0400000US53,29770,344,27554,511,32409,346,32317,2069,24864,707,Washington,null,null,null,null,null,null,null,null,null,null,53
0400000US54,21648,323,21610,365,21814,657,25064,8219,20177,2143,West Virginia,null,null,null,null,null,null,null,null,null,null,54
0400000US55,26857,177,27183,214,27113,397,21816,1611,22441,685,Wisconsin,null,null,null,null,null,null,null,null,null,null,55
