GEO_ID,B12001_001E,B12001_001M,B12001_002E,B12001_002M,B12001_003E,B12001_003M,B12001_004E,B12001_004M,B12001_005E,B12001_005M,B12001_006E,B12001_006M,B12001_007E,B12001_007M,B12001_008E,B12001_008M,B12001_009E,B12001_009M,B12001_010E,B12001_010M,B12001_011E,B12001_011M,B12001_012E,B12001_012M,B12001_013E,B12001_013M,B12001_014E,B12001_014M,B12001_015E,B12001_015M,B12001_016E,B12001_016M,B12001_017E,B12001_017M,B12001_018E,B12001_018M,B12001_019E,B12001_019M,NAME,B12001_001EA,B12001_001MA,B12001_002MA,B12001_002EA,B12001_003EA,B12001_003MA,B12001_004MA,B12001_004EA,B12001_005MA,B12001_005EA,B12001_006EA,B12001_006MA,B12001_007EA,B12001_007MA,B12001_008MA,B12001_008EA,B12001_009MA,B12001_009EA,B12001_010EA,B12001_010MA,B12001_011MA,B12001_011EA,B12001_012EA,B12001_012MA,B12001_013EA,B12001_013MA,B12001_014EA,B12001_014MA,B12001_015MA,B12001_015EA,B12001_016MA,B12001_016EA,B12001_017EA,B12001_017MA,B12001_018EA,B12001_018MA,B12001_019EA,B12001_019MA,state
0400000US01,3910998,3826,1870698,4613,624137,9820,970969,13187,880974,13616,89995,5352,40693,3972,49302,4047,59574,4187,216018,7499,2040300,3552,560067,8673,977056,13902,874288,14888,102768,5340,59499,3737,43269,3781,229650,6054,273527,10123,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,576379,1408,304721,1723,119349,4154,149385,4930,130250,4812,19135,2294,4570,1072,14565,2138,5724,1198,30263,2364,271658,1627,82025,3144,140886,3457,127943,3797,12943,1692,5195,1314,7748,1171,16755,1756,31992,2585,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5281089,1395,2609804,1840,952891,10839,1303662,13477,1183474,13869,120188,6798,44250,4132,75938,4782,66083,4025,287168,9340,2671285,1773,788288,9927,1287080,13916,1156881,13201,130199,6829,58480,3993,71719,5438,223101,6491,372816,8237,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2363879,3205,1151058,3436,357959,7844,618830,10484,569650,11205,49180,4603,22940,2996,26240,2794,31257,2594,143012,5979,1212821,3585,298052,7092,614029,9114,551497,9952,62532,4700,31494,3496,31038,3462,128200,4886,172540,6552,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,30732852,3548,15182718,4293,6144649,26080,7477379,31202,6590832,29382,886547,17691,287804,9001,598743,14692,328753,9186,1231937,19822,15550134,4157,5158797,23383,7422381,33579,6438496,35566,983885,16753,430709,11043,553176,13005,1219745,15990,1749211,18405,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4224677,3383,2110584,2715,744052,10278,1097674,13244,1013159,14015,84515,5669,28260,3046,56255,4998,46989,2731,221869,7888,2114093,3401,582322,8282,1094373,12226,994761,12692,99612,6403,38092,3225,61520,5408,143605,4939,293793,9196,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2955331,1273,1426766,2000,533616,7587,725576,9431,678732,9702,46844,3484,13770,1945,33074,3189,38066,2513,129508,5629,1528565,1350,472375,7475,728171,10781,668507,11375,59664,4288,25897,2884,33767,3508,139629,4040,188390,6750,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,754812,623,361111,1047,130211,3699,186056,4208,169092,4598,16964,2153,5628,1173,11336,1874,9028,1148,35816,2835,393701,1004,122516,3652,183871,4983,167038,5286,16833,2468,8067,1648,8766,1495,35079,2005,52235,3353,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,550110,307,257524,580,145319,3821,84203,3947,68613,3387,15590,2067,6422,1462,9168,1589,5358,1031,22644,2627,292586,512,162736,3530,79359,4170,63945,3621,15414,1899,7131,1555,8283,1405,18289,1985,32202,2542,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,16226496,3939,7863088,4676,2762490,19078,3945660,26235,3490659,27780,455001,13896,160948,8477,294053,10832,252598,9226,902340,18586,8363408,4668,2335383,21626,3909142,29138,3408945,28322,500197,14237,240662,8818,259535,11012,896486,13171,1222397,21118,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,7916383,5465,3819234,6029,1410404,14484,1937295,18622,1734393,17355,202902,9362,82138,5874,120764,7414,86283,4250,385252,10784,4097149,5196,1273085,13197,1931688,18418,1698342,18512,233346,8904,110659,5480,122687,7417,350453,8348,541923,12898,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1145298,580,576976,1172,216508,5677,298511,5877,264246,5478,34265,3188,7400,1465,26865,2784,14574,1712,47383,3269,568322,1329,164423,5309,291226,5676,254112,5524,37114,3324,8991,1474,28123,2854,52753,2472,59920,3228,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1255359,1802,626569,2254,186505,5265,354027,6573,332552,7249,21475,2858,5242,996,16233,2818,16645,2165,69392,4644,628790,2074,140221,4368,352610,6283,331058,6632,21552,2987,9324,2273,12228,1903,51530,3254,84429,4885,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,10384284,2817,5049119,4117,1923606,17663,2578588,18049,2375247,18895,203341,8501,71367,4437,131974,6597,122045,5078,424880,9679,5335165,3542,1698611,15076,2568631,18968,2341928,21046,226703,7977,106985,5285,119718,5760,487343,8634,580580,10224,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,5251594,2933,2552856,4027,842743,10353,1341061,12634,1251271,13837,89790,5233,33349,2961,56441,4305,73405,3914,295647,6876,2698738,3803,743422,10102,1334754,13322,1237986,13146,96768,5477,44798,3465,51970,3786,248668,5238,371894,9158,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2491492,2866,1221528,2870,398062,5415,667652,7089,631337,7387,36315,2917,14107,1927,22208,2191,31686,2170,124128,4231,1269964,3150,328721,6607,674738,8999,631742,9388,42996,3251,20235,2086,22761,2237,125022,3834,141483,5041,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2290928,2574,1130809,2750,359820,6554,622485,7564,579727,8045,42758,3215,14499,1923,28259,2674,33269,2683,115235,4459,1160119,2665,296352,5813,611388,7736,569693,8165,41695,3162,17402,2004,24293,2564,106435,3568,145944,5413,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
