GEO_ID,B12002G_001E,B12002G_001M,B12002G_002E,B12002G_002M,B12002G_003E,B12002G_003M,B12002G_004E,B12002G_004M,B12002G_005E,B12002G_005M,B12002G_006E,B12002G_006M,B12002G_007E,B12002G_007M,B12002G_008E,B12002G_008M,B12002G_009E,B12002G_009M,B12002G_010E,B12002G_010M,B12002G_011E,B12002G_011M,B12002G_012E,B12002G_012M,B12002G_013E,B12002G_013M,NAME,B12002G_001MA,B12002G_001EA,B12002G_002MA,B12002G_002EA,B12002G_003EA,B12002G_003MA,B12002G_004EA,B12002G_004MA,B12002G_005EA,B12002G_005MA,B12002G_006MA,B12002G_006EA,B12002G_007EA,B12002G_007MA,B12002G_008EA,B12002G_008MA,B12002G_009MA,B12002G_009EA,B12002G_010EA,B12002G_010MA,B12002G_011MA,B12002G_011EA,B12002G_012MA,B12002G_012EA,B12002G_013MA,B12002G_013EA,state
0400000US01,45955,3731,21441,1996,8943,1324,9036,1390,242,203,576,337,2644,791,24514,2745,8435,1407,9532,1473,1093,500,2421,647,3033,924,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,34210,3108,17068,2413,10339,1784,4972,1191,427,326,57,51,1273,464,17142,1769,8352,1452,6328,1066,333,296,502,440,1627,639,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,124290,7698,60729,4705,33138,3528,19476,2614,1398,712,877,497,5840,1196,63561,4505,28388,3042,22473,2260,1362,620,3515,977,7823,1488,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,37457,2908,18955,2039,8513,1706,6595,1250,982,512,598,516,2267,687,18502,2087,6446,1301,7112,1269,437,325,1342,532,3165,821,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1074242,21384,535870,12526,295344,9780,182128,6312,10339,1796,6042,872,42017,3038,538372,13105,258109,8495,179072,6629,14576,1834,25753,2988,60862,3688,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,115243,6965,58359,4337,32010,3467,20036,2493,701,469,460,246,5152,1015,56884,4038,23139,2690,21314,2226,1566,714,2491,821,8374,1337,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,60498,5411,30049,3625,17753,2391,9772,1947,89,101,341,284,2094,723,30449,3185,16929,2527,8181,1376,845,445,1507,665,2987,758,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,12331,2779,5922,1811,3162,1160,1962,793,27,53,122,133,649,495,6409,1376,3037,923,2051,711,131,147,178,128,1012,476,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,15276,2530,7150,1590,4723,1134,1891,757,108,187,190,266,238,250,8126,1471,5240,1153,2132,770,24,40,287,204,443,225,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,286385,12728,140405,8060,71655,5588,48721,2936,4025,1075,2376,850,13628,2400,145980,7846,61978,4746,49284,4422,4624,1100,7977,1263,22117,3044,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,116872,7533,54957,4054,28758,3343,20066,2594,693,454,673,542,4767,1361,61915,5088,29784,3676,20690,2582,1486,556,2079,649,7876,1792,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,221926,8759,108011,5474,55088,4061,42371,3143,1103,476,1526,436,7923,1476,113915,4782,51230,3344,42477,2819,2479,978,6500,1286,11229,1637,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,23295,3174,11874,2003,5866,1461,4488,1052,84,78,360,242,1076,558,11421,1979,4033,999,4240,1195,314,375,823,428,2011,617,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,167976,6575,80337,4512,46634,3596,24964,1953,1091,531,1060,406,6588,1380,87639,4835,48291,3703,23698,2214,1967,790,3998,1096,9685,1279,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,74712,4940,36058,3473,20260,2749,10177,1655,752,411,522,406,4347,987,38654,2807,17745,2232,12605,1778,560,358,2419,793,5325,1223,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,26496,2371,13563,1738,8212,1375,3710,929,90,145,55,60,1496,629,12933,2116,6975,1435,3536,943,235,215,559,333,1628,645,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
