GEO_ID,B13010_001E,B13010_001M,B13010_002E,B13010_002M,B13010_003E,B13010_003M,B13010_004E,B13010_004M,B13010_005E,B13010_005M,B13010_006E,B13010_006M,B13010_007E,B13010_007M,B13010_008E,B13010_008M,B13010_009E,B13010_009M,B13010_010E,B13010_010M,B13010_011E,B13010_011M,B13010_012E,B13010_012M,B13010_013E,B13010_013M,B13010_014E,B13010_014M,B13010_015E,B13010_015M,B13010_016E,B13010_016M,B13010_017E,B13010_017M,B13010_018E,B13010_018M,B13010_019E,B13010_019M,NAME,B13010_001MA,B13010_001EA,B13010_002EA,B13010_002MA,B13010_003EA,B13010_003MA,B13010_004EA,B13010_004MA,B13010_005MA,B13010_005EA,B13010_006MA,B13010_006EA,B13010_007MA,B13010_007EA,B13010_008EA,B13010_008MA,B13010_009EA,B13010_009MA,B13010_010EA,B13010_010MA,B13010_011EA,B13010_011MA,B13010_012MA,B13010_012EA,B13010_013EA,B13010_013MA,B13010_014EA,B13010_014MA,B13010_015EA,B13010_015MA,B13010_016EA,B13010_016MA,B13010_017MA,B13010_017EA,B13010_018MA,B13010_018EA,B13010_019EA,B13010_019MA,state
0400000US01,1136552,5614,57991,4144,34565,3168,7329,1698,6479,1281,20757,2580,23426,2730,11851,2070,6820,1461,4755,1288,1078561,6874,477802,9387,53295,3306,85554,5641,338953,8004,600759,10182,187402,7637,144877,7604,268480,8237,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,173744,2029,10358,1561,6493,1403,287,159,1402,577,4804,1214,3865,773,1597,437,693,329,1575,597,163386,2622,77259,2830,3707,687,8529,1468,65023,2854,86127,2839,13039,1380,15905,2377,57183,2981,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1520383,4095,82950,4435,50203,3086,9616,1650,12156,1710,28431,2579,32747,3813,17032,2479,8212,1628,7503,1764,1437433,6145,606744,9454,80261,5238,114873,5565,411610,8016,830689,9272,230307,8555,188779,8347,411603,10262,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,668186,4540,38899,3317,23581,2388,5083,1232,5532,1267,12966,1992,15318,2155,8558,1604,3563,1014,3197,1174,629287,5891,302633,7860,40307,3282,62937,3788,199389,6480,326654,6641,102336,5820,83705,5431,140613,7141,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9426088,10781,476589,10177,312537,7645,48895,3978,63425,3865,200217,5657,164052,6692,76865,4693,40735,3724,46452,3957,8949499,15771,3853132,24473,468013,11758,701889,16200,2683230,21955,5096367,23425,1240435,19252,1069631,20339,2786301,23182,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1249687,4578,64961,3683,45776,2970,6421,1563,9044,1576,30311,2587,19185,2519,8275,1669,5041,1365,5869,1233,1184726,6102,567374,8946,48654,3912,82273,4727,436447,8617,617352,9519,139879,6637,122519,6968,354954,8586,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,822635,3307,35889,3444,24400,2547,2097,828,3566,988,18737,2135,11489,2133,5699,1539,2506,1054,3284,1008,786746,4653,340559,7431,17589,1991,34317,3482,288653,7609,446187,8706,81342,5239,71149,6073,293696,8457,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,212745,1872,12562,1817,7966,1406,650,447,1005,543,6311,1272,4596,960,2399,861,1023,563,1174,547,200183,2462,80414,3579,5489,1321,10720,1880,64205,3258,119769,3720,23055,2907,24635,2437,72079,3754,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,182755,1565,9698,1578,4990,1293,277,241,561,549,4152,1077,4708,1180,2144,803,1242,662,1322,541,173057,2341,41206,3077,4388,1284,5286,1278,31532,2337,131851,3440,30061,2652,16629,2331,85161,3950,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4396075,9201,212633,8782,124208,6931,22426,3408,28068,3544,73714,5112,88425,5397,40946,3683,22639,3147,24840,3615,4183442,13349,1731861,20267,209317,8867,309728,10468,1212816,18020,2451581,19702,608223,18764,581625,16053,1261733,21328,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
