GEO_ID,B15002_001E,B15002_001M,B15002_002E,B15002_002M,B15002_003E,B15002_003M,B15002_004E,B15002_004M,B15002_005E,B15002_005M,B15002_006E,B15002_006M,B15002_007E,B15002_007M,B15002_008E,B15002_008M,B15002_009E,B15002_009M,B15002_010E,B15002_010M,B15002_011E,B15002_011M,B15002_012E,B15002_012M,B15002_013E,B15002_013M,B15002_014E,B15002_014M,B15002_015E,B15002_015M,B15002_016E,B15002_016M,B15002_017E,B15002_017M,B15002_018E,B15002_018M,B15002_019E,B15002_019M,B15002_020E,B15002_020M,B15002_021E,B15002_021M,B15002_022E,B15002_022M,B15002_023E,B15002_023M,B15002_024E,B15002_024M,B15002_025E,B15002_025M,B15002_026E,B15002_026M,B15002_027E,B15002_027M,B15002_028E,B15002_028M,B15002_029E,B15002_029M,B15002_030E,B15002_030M,B15002_031E,B15002_031M,B15002_032E,B15002_032M,B15002_033E,B15002_033M,B15002_034E,B15002_034M,B15002_035E,B15002_035M,NAME,B15002_001MA,B15002_001EA,B15002_002MA,B15002_002EA,B15002_003EA,B15002_003MA,B15002_004EA,B15002_004MA,B15002_005MA,B15002_005EA,B15002_006MA,B15002_006EA,B15002_007MA,B15002_007EA,B15002_008MA,B15002_008EA,B15002_009MA,B15002_009EA,B15002_010EA,B15002_010MA,B15002_011EA,B15002_011MA,B15002_012MA,B15002_012EA,B15002_013EA,B15002_013MA,B15002_014MA,B15002_014EA,B15002_015MA,B15002_015EA,B15002_016EA,B15002_016MA,B15002_017MA,B15002_017EA,B15002_018MA,B15002_018EA,B15002_019MA,B15002_019EA,B15002_020MA,B15002_020EA,B15002_021MA,B15002_021EA,B15002_022MA,B15002_022EA,B15002_023EA,B15002_023MA,B15002_024EA,B15002_024MA,B15002_025MA,B15002_025EA,B15002_026EA,B15002_026MA,B15002_027EA,B15002_027MA,B15002_028EA,B15002_028MA,B15002_029EA,B15002_029MA,B15002_030EA,B15002_030MA,B15002_031EA,B15002_031MA,B15002_032EA,B15002_032MA,B15002_033EA,B15002_033MA,B15002_034EA,B15002_034MA,B15002_035EA,B15002_035MA,state
0400000US01,3225447,5448,1525111,4469,21154,2370,7346,1581,17029,2000,35958,3217,33491,3147,49430,3826,52020,3594,29179,2702,493067,8331,85785,3904,241558,6427,103274,5189,227472,6646,82325,4147,25864,2261,20159,1986,1700336,3470,19986,2092,5665,1485,14854,2263,36199,2879,38368,3013,54740,3500,52341,4211,30888,2816,508067,10743,107580,5429,275679,9021,154836,6165,248544,7343,120110,5999,19035,1894,13444,1705,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,462659,1764,241735,1624,1947,823,627,232,913,489,2760,654,1794,439,3888,1013,5782,1160,3161,730,75937,3039,16354,1779,50444,3035,17322,2066,38841,2983,15216,1793,3641,644,3108,958,220924,1388,1930,714,1166,340,1536,514,3413,864,1324,509,2509,730,3942,787,1985,620,53092,3613,16447,1766,43809,2576,21164,2057,45197,2607,17750,1871,3605,826,2055,644,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4344737,3583,2126975,2733,26472,2634,19554,2566,44239,3896,49145,3943,34364,2978,37341,3001,54920,4131,46034,3499,520767,10952,146894,6103,379677,8749,173589,6999,368789,8759,149179,6423,42976,3088,33035,2618,2217762,2079,28127,2682,18334,2174,42103,2668,48217,3967,34922,3541,39011,3371,46108,3041,43313,3442,558382,10479,173826,6277,389669,10116,201288,8321,373193,8691,170791,5677,29111,2764,21367,2241,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1960503,4652,943196,4214,12481,1768,7298,1566,11845,1941,23472,2629,21927,2412,26294,2509,31710,3267,16907,1927,352327,7543,55686,2984,144332,6456,46628,3569,124641,5561,42439,3098,14277,1938,10932,1636,1017307,3108,11853,1946,6097,1350,10695,1418,25165,2777,21820,2467,28738,3107,32151,2812,16985,1976,339487,7079,75206,4172,164278,5552,73184,3740,138114,5630,58852,3606,8840,1459,5842,1112,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,25147232,5443,12296984,4719,296820,8327,214497,7721,469722,10127,229427,8162,270674,10718,191514,7402,275135,8461,351415,9600,2602660,27342,686212,12131,1981873,19879,882030,14893,2365232,18542,921938,13101,321668,9829,236167,7283,12850248,3881,339734,9692,234528,7386,506215,10713,246468,9188,251543,9109,185473,6102,249880,8729,294962,7713,2626233,26280,771953,12719,2084159,26060,1098371,16372,2540236,22742,1013184,14753,262210,8004,145099,5973,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3514235,4596,1741300,3270,17467,2094,8433,1597,22006,2673,19609,2784,24524,3035,25334,2592,29726,3492,29491,3287,379653,9135,102394,4821,291560,8307,131265,4672,412136,8886,168107,6148,43899,2984,35696,2564,1772935,3246,15521,1998,8086,1266,18529,2387,20533,2186,20862,2543,23577,2908,24729,2840,23957,2213,381450,7609,117896,4541,289444,6212,159908,5518,425777,8076,187286,5023,30525,2551,24855,2007,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2465315,2243,1173750,1872,11304,2079,11161,1892,14939,2276,19055,2694,16378,2403,17899,2054,19107,2288,18573,1889,330905,7854,61507,3562,140160,6194,75884,4699,241481,6846,131462,5221,39137,2882,24798,2237,1291565,1425,12795,1690,9170,1618,12869,1648,19343,2491,15616,2319,19743,2515,19375,2163,17663,2023,342550,7095,72537,4023,161103,6771,108225,4821,267006,7965,169211,5966,29600,2355,14759,1860,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,629730,1121,298166,1051,3818,961,1724,861,2392,848,5295,1175,4328,1014,7784,1349,7561,1406,4146,915,94351,3680,18505,2160,39229,3197,19831,2288,51107,3384,25124,2083,6385,934,6586,972,331564,898,3802,902,1053,538,2514,990,4164,916,4373,1102,9285,1589,6439,1212,4869,971,102375,4129,20195,2038,45866,3168,28446,2455,56968,3468,32741,2360,4789,992,3685,791,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,453014,428,211862,501,1820,641,1366,715,1544,820,3543,1106,2298,771,3857,983,4454,1053,2641,705,39085,2640,6255,1136,19591,2184,5544,1064,50513,3364,38070,2809,21027,2238,10254,1536,241152,308,1831,615,1719,736,1741,705,3695,1402,2559,755,3211,1014,5337,1056,3230,764,45135,2630,9491,1358,25187,2119,8274,1475,52445,3698,50222,2697,19318,1886,7757,1261,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,13726996,7120,6577975,5005,95921,6293,56539,5149,101091,6000,108582,6111,110464,7138,141960,7586,149888,7644,152784,7162,1929867,22422,402993,11126,939475,17670,555871,14226,1155065,17666,417575,10635,172235,7350,87665,4323,7149021,5388,106262,6073,53993,4503,99561,7182,105364,5736,99841,6165,125805,6383,147494,6784,151620,6036,2112841,20988,474239,10906,1025621,15694,744745,14715,1254097,16550,484964,12521,101847,4616,60727,3547,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,6472172,9373,3081099,6941,44442,4451,24949,3518,46939,4336,69667,4784,69996,5888,81421,5421,88516,4923,56171,4716,915943,13641,166011,7272,453340,10778,199043,8039,548935,11280,205502,7029,65769,3857,44455,3551,3391073,6441,46048,3740,17119,2485,41638,4163,69242,3959,60584,3936,79507,4499,87717,5525,55863,3603,934120,14018,204219,7770,548469,12566,278089,8473,600912,11433,276321,7395,58689,3870,32536,2490,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,959903,1286,476429,1174,4332,879,2413,640,4031,993,4418,983,5100,1104,7118,1243,7484,1599,5676,987,133936,5115,29529,2536,78481,3926,49640,3924,97237,4315,27679,2263,10740,1175,8615,1314,483474,1098,5303,917,2715,758,8150,1374,6083,1129,4963,1176,7485,1543,4776,1148,6318,943,129375,4688,27506,2631,75404,4574,50416,3632,101992,4595,38368,2831,8586,1152,6034,1190,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1026889,2721,506423,2484,5939,1333,4234,1193,6283,1161,7389,1137,7206,1375,9592,1574,9834,1746,8686,1324,139679,5473,38974,3269,90947,5565,40161,2866,90239,4651,29686,2889,10863,1915,6711,1191,520466,2018,5013,1235,1895,640,5801,1269,7593,1618,6139,1328,6696,1418,10291,1763,6355,1269,142090,5985,47599,3722,96204,5060,52883,3587,94977,4883,29805,2536,3984,974,3141,830,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,8593665,4092,4134323,3578,51676,3511,27250,2859,76380,4120,75805,4982,62292,4572,69256,4125,80818,4297,86094,4905,1144486,15345,267512,7483,593750,10482,282417,8054,804352,11547,343232,8093,106742,4412,62261,3580,4459342,3513,54082,3402,30761,3270,74549,4755,83216,4289,54964,3865,68956,3833,76637,4467,72266,3785,1176787,14622,298424,7325,652659,11681,372526,7830,894253,11986,432947,10138,72354,3965,43961,3214,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,4312892,5742,2076177,3704,21197,2145,7480,1423,16338,2086,45731,2793,36509,3073,50806,3827,55932,3822,37560,3169,729169,9138,139558,5873,295826,6494,153944,6729,307888,7337,117653,4950,34102,2914,26484,2321,2236715,3871,17845,1758,9363,1826,15505,1950,43466,3142,31505,2675,55155,3728,58299,3531,33355,2622,748994,8873,155384,5992,327789,9167,198963,6243,347388,7913,156142,5442,21235,2211,16327,1953,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
