GEO_ID,B16005I_001E,B16005I_001M,B16005I_002E,B16005I_002M,B16005I_003E,B16005I_003M,B16005I_004E,B16005I_004M,B16005I_005E,B16005I_005M,B16005I_006E,B16005I_006M,B16005I_007E,B16005I_007M,B16005I_008E,B16005I_008M,B16005I_009E,B16005I_009M,B16005I_010E,B16005I_010M,B16005I_011E,B16005I_011M,NAME,B16005I_001MA,B16005I_001EA,B16005I_002MA,B16005I_002EA,B16005I_003MA,B16005I_003EA,B16005I_004EA,B16005I_004MA,B16005I_005EA,B16005I_005MA,B16005I_006EA,B16005I_006MA,B16005I_007MA,B16005I_007EA,B16005I_008MA,B16005I_008EA,B16005I_009EA,B16005I_009MA,B16005I_010EA,B16005I_010MA,B16005I_011MA,B16005I_011EA,state
0400000US01,167315,1946,91794,5626,44496,5722,47298,4077,35232,4442,12066,2345,75521,5680,4186,1090,71335,5612,20933,3212,50402,4594,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,43258,491,36058,1538,26213,2573,9845,2046,9440,2052,405,294,7200,1420,665,353,6535,1433,2887,772,3648,1106,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1817738,-555555555,1252023,13441,589508,15144,662515,12113,578652,11912,83863,5582,565715,13438,23518,3058,542197,13502,182171,9235,360026,11485,Arizona,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,179955,2183,96994,3951,44592,4907,52402,4056,42576,4013,9826,1839,82961,3872,11050,2533,71911,4342,19455,2909,52456,3989,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,13383875,1130,8074111,36039,3187092,38090,4887019,35548,4148265,36563,738754,14967,5309764,36021,200480,8037,5109284,36304,1437949,19396,3671335,34778,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1002807,2290,742536,9285,456086,13204,286450,10836,236047,9438,50403,3939,260271,9218,12481,1999,247790,8699,86144,5717,161646,7287,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,478620,440,333107,7356,108080,6874,225027,7708,167205,6891,57822,4024,145513,7333,5735,1323,139778,7310,41674,4104,98104,6886,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,72246,-555555555,49507,2954,22201,2888,27306,2573,20417,2262,6889,1479,22739,2954,2024,1182,20715,2620,5271,1352,15444,2577,Delaware,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,58779,-555555555,26653,2548,11188,2246,15465,2277,13389,2269,2076,836,32126,2546,3708,1188,28418,2740,13419,2013,14999,2287,District of Columbia,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4295818,1863,2137421,23453,639790,15829,1497631,24078,1197508,21575,300123,11706,2158397,23221,115349,8685,2043048,23743,730409,16121,1312639,21980,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
