GEO_ID,B17010_001E,B17010_001M,B17010_002E,B17010_002M,B17010_003E,B17010_003M,B17010_004E,B17010_004M,B17010_005E,B17010_005M,B17010_006E,B17010_006M,B17010_007E,B17010_007M,B17010_008E,B17010_008M,B17010_009E,B17010_009M,B17010_010E,B17010_010M,B17010_011E,B17010_011M,B17010_012E,B17010_012M,B17010_013E,B17010_013M,B17010_014E,B17010_014M,B17010_015E,B17010_015M,B17010_016E,B17010_016M,B17010_017E,B17010_017M,B17010_018E,B17010_018M,B17010_019E,B17010_019M,B17010_020E,B17010_020M,B17010_021E,B17010_021M,B17010_022E,B17010_022M,B17010_023E,B17010_023M,B17010_024E,B17010_024M,B17010_025E,B17010_025M,B17010_026E,B17010_026M,B17010_027E,B17010_027M,B17010_028E,B17010_028M,B17010_029E,B17010_029M,B17010_030E,B17010_030M,B17010_031E,B17010_031M,B17010_032E,B17010_032M,B17010_033E,B17010_033M,B17010_034E,B17010_034M,B17010_035E,B17010_035M,B17010_036E,B17010_036M,B17010_037E,B17010_037M,B17010_038E,B17010_038M,B17010_039E,B17010_039M,B17010_040E,B17010_040M,B17010_041E,B17010_041M,NAME,B17010_001EA,B17010_001MA,B17010_002EA,B17010_002MA,B17010_003EA,B17010_003MA,B17010_004EA,B17010_004MA,B17010_005EA,B17010_005MA,B17010_006MA,B17010_006EA,B17010_007EA,B17010_007MA,B17010_008EA,B17010_008MA,B17010_009EA,B17010_009MA,B17010_010EA,B17010_010MA,B17010_011MA,B17010_011EA,B17010_012EA,B17010_012MA,B17010_013EA,B17010_013MA,B17010_014EA,B17010_014MA,B17010_015EA,B17010_015MA,B17010_016EA,B17010_016MA,B17010_017MA,B17010_017EA,B17010_018EA,B17010_018MA,B17010_019EA,B17010_019MA,B17010_020EA,B17010_020MA,B17010_021EA,B17010_021MA,B17010_022EA,B17010_022MA,B17010_023MA,B17010_023EA,B17010_024EA,B17010_024MA,B17010_025EA,B17010_025MA,B17010_026MA,B17010_026EA,B17010_027EA,B17010_027MA,B17010_028EA,B17010_028MA,B17010_029MA,B17010_029EA,B17010_030EA,B17010_030MA,B17010_031EA,B17010_031MA,B17010_032MA,B17010_032EA,B17010_033EA,B17010_033MA,B17010_034EA,B17010_034MA,B17010_035EA,B17010_035MA,B17010_036MA,B17010_036EA,B17010_037MA,B17010_037EA,B17010_038MA,B17010_038EA,B17010_039EA,B17010_039MA,B17010_040EA,B17010_040MA,B17010_041MA,B17010_041EA,state
0400000US01,1222568,14007,174593,5454,50938,3329,29096,2749,5144,1266,7813,1418,16139,2259,21842,2372,123655,5176,16642,2341,10979,1839,2532,797,2508,903,5939,1374,5663,1219,107013,4850,91987,4558,19083,2184,22492,2626,50412,3838,15026,1987,1047975,12811,806927,13011,305607,8782,57062,4445,51774,3437,196771,6799,501320,8907,241048,8506,63840,4466,30401,3250,6066,1255,3042,800,21293,2942,33439,2976,177208,6823,95323,5507,14826,2169,12228,2121,68269,4725,81885,4391,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,165431,3617,9814,1095,3224,535,2263,481,344,186,930,259,989,386,961,371,6590,957,1602,421,1380,389,396,195,320,148,664,318,222,124,4988,887,4657,876,1191,304,1377,472,2089,672,331,142,155617,3391,123278,3925,56217,2934,11365,1546,12672,1555,32180,2280,67061,2785,32339,2400,12502,1764,7524,1276,2081,878,1756,589,3687,804,4978,1155,19837,1610,12069,1299,1632,684,1417,513,9020,1116,7768,1140,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1572310,12708,213512,6823,91562,4923,58306,4333,8483,1607,22522,3050,27301,2662,33256,2698,121950,5349,25835,2700,19107,2474,4691,1278,5717,1176,8699,1693,6728,1286,96115,4873,82272,4541,13084,1826,25756,3127,43432,3237,13843,1862,1358798,12983,1045031,11565,405362,7630,71879,3885,89550,4099,243933,6547,639669,9055,313767,10077,103626,6418,56269,4641,12177,2139,8277,1918,35815,3641,47357,4219,210141,7236,127213,5587,18011,1993,15415,1978,93787,4970,82928,4036,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,751124,10710,108793,4870,39058,3020,24769,2461,4378,1249,8920,1557,11471,1719,14289,2007,69735,4077,13064,2061,9679,1659,2103,887,2945,958,4631,1159,3385,1061,56671,3500,49165,3349,10172,1713,11918,1778,27075,2561,7506,1392,642331,9468,509479,8797,197559,5561,33891,3115,36399,2570,127269,4858,311920,7014,132852,5003,39438,3104,20880,2507,4376,967,2695,972,13809,1972,18558,1896,93414,4501,50235,4032,7478,1440,4527,1186,38230,3238,43179,2856,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8645970,31516,1092977,14174,462770,10647,326627,9258,40785,3519,112202,5154,173640,6883,136143,5548,630207,11812,136695,5738,105584,5379,21321,2614,29766,2960,54497,4160,31111,2694,493512,9785,414633,9208,64394,4190,123302,6287,226937,7411,78879,4073,7552993,30734,5697544,28260,2645513,21111,488598,9970,530371,11252,1626544,17226,3052031,20084,1855449,18633,621667,12504,302314,8488,60280,4225,50474,4097,191560,6962,319353,9549,1233782,13731,655245,11600,93256,4912,94119,5359,467870,10378,578537,10082,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1279941,10970,111594,5324,45912,3809,30677,2999,4611,1212,12544,1940,13522,1919,15235,1967,65682,3667,11582,1915,8326,1745,2520,914,2129,822,3677,961,3256,1089,54100,3537,48619,3531,10082,2028,11895,2005,26642,2611,5481,1024,1168347,10778,936290,11617,404522,8429,82424,4367,75016,3914,247082,6836,531768,9460,232057,7209,76804,5221,44443,3870,8073,1438,5078,1398,31292,3217,32361,2762,155253,5684,95952,5054,15518,2134,12021,2109,68413,4583,59301,3488,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,890293,9252,67625,4089,18952,2417,10111,1676,1546,799,2403,590,6162,1383,8841,1536,48673,3115,6060,1505,3911,1127,789,439,1529,903,1593,578,2149,943,42613,3022,36239,2775,5671,1593,11349,1794,19219,2300,6374,1247,822668,9009,638933,9589,265747,6686,50138,3657,43354,3547,172255,6008,373186,7651,183735,6411,51208,3549,24354,2666,4506,1197,2218,771,17630,2379,26854,2850,132527,5470,76426,5021,9840,1687,8486,1784,58100,4061,56101,3309,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,228364,4558,19335,2274,6207,1349,4035,1105,833,426,1420,674,1782,787,2172,641,13128,1840,1747,768,1298,717,228,200,715,578,355,275,449,300,11381,1673,9674,1548,1257,559,3501,973,4916,1258,1707,617,209029,4873,158526,4790,57687,3327,11159,1705,10172,1525,36356,2558,100839,3178,50503,3510,12901,1748,7429,1555,1669,751,1279,589,4481,1152,5472,927,37602,3276,21558,2405,3864,1066,2270,682,15424,2268,16044,2419,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,120467,4214,18901,2027,3481,929,1279,503,349,306,404,271,526,305,2202,846,15420,2011,2054,714,1749,736,290,260,341,392,1118,560,305,197,13366,1966,10786,1728,1830,644,2635,807,6321,1325,2580,885,101566,3750,62324,3075,25575,2238,9663,1529,3802,1091,12110,1341,36749,2413,39242,2530,9715,1504,4516,1017,1189,544,422,329,2905,900,5199,1300,29527,2270,15294,1897,2504,926,2399,778,10391,1476,14233,1571,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4626388,25285,573647,14621,233488,8547,124045,6419,15786,2164,37473,3570,70786,5017,109443,5487,340159,11393,62065,4527,44269,3852,9919,1961,10076,1781,24274,2891,17796,2504,278094,10488,229642,10031,38388,3466,60604,5063,130650,7601,48452,3180,4052741,29605,3100895,28510,1071873,17512,189494,7601,185681,7502,696698,15444,2029022,20879,951846,17055,273553,9186,129791,6197,31097,3515,14858,2277,83836,5076,143762,6820,678293,13031,363817,10098,55435,3882,48117,3991,260265,8130,314476,9939,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
