GEO_ID,B21007_001E,B21007_001M,B21007_002E,B21007_002M,B21007_003E,B21007_003M,B21007_004E,B21007_004M,B21007_005E,B21007_005M,B21007_006E,B21007_006M,B21007_007E,B21007_007M,B21007_008E,B21007_008M,B21007_009E,B21007_009M,B21007_010E,B21007_010M,B21007_011E,B21007_011M,B21007_012E,B21007_012M,B21007_013E,B21007_013M,B21007_014E,B21007_014M,B21007_015E,B21007_015M,B21007_016E,B21007_016M,B21007_017E,B21007_017M,B21007_018E,B21007_018M,B21007_019E,B21007_019M,B21007_020E,B21007_020M,B21007_021E,B21007_021M,B21007_022E,B21007_022M,B21007_023E,B21007_023M,B21007_024E,B21007_024M,B21007_025E,B21007_025M,B21007_026E,B21007_026M,B21007_027E,B21007_027M,B21007_028E,B21007_028M,B21007_029E,B21007_029M,B21007_030E,B21007_030M,B21007_031E,B21007_031M,B21007_032E,B21007_032M,B21007_033E,B21007_033M,B21007_034E,B21007_034M,B21007_035E,B21007_035M,B21007_036E,B21007_036M,B21007_037E,B21007_037M,B21007_038E,B21007_038M,B21007_039E,B21007_039M,B21007_040E,B21007_040M,B21007_041E,B21007_041M,B21007_042E,B21007_042M,B21007_043E,B21007_043M,B21007_044E,B21007_044M,B21007_045E,B21007_045M,B21007_046E,B21007_046M,B21007_047E,B21007_047M,B21007_048E,B21007_048M,B21007_049E,B21007_049M,B21007_050E,B21007_050M,B21007_051E,B21007_051M,B21007_052E,B21007_052M,B21007_053E,B21007_053M,B21007_054E,B21007_054M,B21007_055E,B21007_055M,B21007_056E,B21007_056M,B21007_057E,B21007_057M,B21007_058E,B21007_058M,B21007_059E,B21007_059M,B21007_060E,B21007_060M,B21007_061E,B21007_061M,NAME,B21007_001EA,B21007_001MA,B21007_002EA,B21007_002MA,B21007_003MA,B21007_003EA,B21007_004MA,B21007_004EA,B21007_005MA,B21007_005EA,B21007_006EA,B21007_006MA,B21007_007EA,B21007_007MA,B21007_008EA,B21007_008MA,B21007_009EA,B21007_009MA,B21007_010MA,B21007_010EA,B21007_011EA,B21007_011MA,B21007_012EA,B21007_012MA,B21007_013EA,B21007_013MA,B21007_014MA,B21007_014EA,B21007_015EA,B21007_015MA,B21007_016EA,B21007_016MA,B21007_017EA,B21007_017MA,B21007_018EA,B21007_018MA,B21007_019EA,B21007_019MA,B21007_020EA,B21007_020MA,B21007_021MA,B21007_021EA,B21007_022EA,B21007_022MA,B21007_023EA,B21007_023MA,B21007_024EA,B21007_024MA,B21007_025MA,B21007_025EA,B21007_026MA,B21007_026EA,B21007_027EA,B21007_027MA,B21007_028EA,B21007_028MA,B21007_029EA,B21007_029MA,B21007_030EA,B21007_030MA,B21007_031MA,B21007_031EA,B21007_032EA,B21007_032MA,B21007_033EA,B21007_033MA,B21007_034EA,B21007_034MA,B21007_035MA,B21007_035EA,B21007_036MA,B21007_036EA,B21007_037MA,B21007_037EA,B21007_038EA,B21007_038MA,B21007_039EA,B21007_039MA,B21007_040MA,B21007_040EA,B21007_041EA,B21007_041MA,B21007_042MA,B21007_042EA,B21007_043EA,B21007_043MA,B21007_044EA,B21007_044MA,B21007_045EA,B21007_045MA,B21007_046EA,B21007_046MA,B21007_047MA,B21007_047EA,B21007_048MA,B21007_048EA,B21007_049MA,B21007_049EA,B21007_050EA,B21007_050MA,B21007_051EA,B21007_051MA,B21007_052EA,B21007_052MA,B21007_053MA,B21007_053EA,B21007_054MA,B21007_054EA,B21007_055EA,B21007_055MA,B21007_056MA,B21007_056EA,B21007_057EA,B21007_057MA,B21007_058MA,B21007_058EA,B21007_059MA,B21007_059EA,B21007_060MA,B21007_060EA,B21007_061EA,B21007_061MA,state
0400000US01,3612362,3430,1048577,5738,26651,2730,2802,924,642,406,2160,828,23849,2628,2286,891,21563,2431,1021926,5683,242442,8054,25720,2753,216722,8601,779484,7963,46204,3858,733280,9129,1245279,5048,96542,5468,6786,1361,2039,810,4747,1016,89756,5327,13107,1616,76649,4693,1148737,7210,177257,7436,52628,3781,124629,6548,971480,8933,115317,4689,856163,9598,616435,2735,79807,4611,7175,1318,4241,1086,2934,792,72632,4233,21358,2118,51274,3665,536628,5488,74577,4177,35711,3024,38866,2384,462051,6427,97475,4393,364576,6187,702071,2771,147026,4229,6680,1177,3723,857,2957,730,140346,4120,59693,3461,80653,3590,555045,4988,67709,3597,35856,2821,31853,2932,487336,5595,191152,5238,296184,5552,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,522427,2064,179737,2823,10211,1617,526,330,0,147,526,330,9685,1534,440,321,9245,1533,169526,3219,19993,2158,1604,695,18389,2224,149533,3282,7553,1824,141980,3843,186996,1829,19846,1888,537,236,103,110,434,204,19309,1894,2950,892,16359,1723,167150,2621,13149,1415,3791,972,9358,1010,154001,2596,11845,1772,142156,2778,91107,1212,14290,1702,709,247,269,190,440,196,13581,1701,4024,1022,9557,1558,76817,2074,6267,956,2297,585,3970,754,70550,2198,11746,1494,58804,2219,64587,1146,17929,1659,769,362,301,176,468,288,17160,1674,7129,1145,10031,1185,46658,2044,2582,820,1236,476,1346,616,44076,2020,16970,1940,27106,1698,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4877924,1951,1466926,3877,40525,3718,5093,1393,1015,555,4078,1201,35432,3470,3364,979,32068,3558,1426401,5225,336420,12042,28689,2799,307731,11641,1089981,13439,53503,4812,1036478,13701,1632999,3229,112338,5132,9730,1756,3632,1267,6098,1285,102608,4777,12520,1802,90088,4356,1520661,5753,241719,9126,50573,4287,191146,8691,1278942,9990,99283,5803,1179659,10434,771178,2018,92645,4359,9007,1454,3278,754,5729,1212,83638,4106,20824,2428,62814,3690,678533,4736,93552,5121,31582,2618,61970,4405,584981,6412,90103,4804,494878,6452,1006821,1666,246294,5106,13023,1918,4713,928,8310,1619,233271,5014,88553,4388,144718,5235,760527,5392,76527,4723,34758,2859,41769,3668,684000,7095,219895,6666,464105,8210,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2171801,2520,628060,4679,16604,2305,3330,1184,451,303,2879,1110,13274,2005,1431,583,11843,1948,611456,4619,151753,7811,18227,2736,133526,7339,459703,7801,33117,3175,426586,8414,742371,4788,54681,4039,5690,1468,2193,881,3497,1161,48991,3872,8190,1566,40801,3425,687690,6178,108711,4881,33801,2528,74910,4500,578979,7802,69516,4029,509463,8223,363381,2311,47208,3216,5497,1051,2858,783,2639,744,41711,3054,12933,1771,28778,2468,316173,4202,41958,3219,19834,1951,22124,2664,274215,4789,65423,3848,208792,4979,437989,2282,96950,2601,5939,1111,3530,816,2409,653,91011,2636,39952,2232,51059,2729,341039,3116,40135,3146,22404,2165,17731,2061,300904,3774,119744,4071,181160,4520,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,28485247,5722,9186258,7152,161190,7681,19498,2928,3244,1039,16254,2688,141692,7116,11078,1966,130614,6811,9025068,10065,1780511,26862,123291,6940,1657220,25777,7244557,28638,290645,9928,6953912,33367,10228077,6773,367639,11018,36351,3852,11161,1934,25190,2768,331288,10537,33640,3284,297648,9553,9860438,12031,1372049,19729,229818,7225,1142231,18533,8488389,23685,543219,12732,7945170,27325,4373832,3861,330451,7704,36005,3114,15202,2183,20803,2467,294446,7417,63400,3519,231046,7444,4043381,8578,472461,12684,155425,5957,317036,10641,3570920,14058,500078,11643,3070842,17045,4697080,3683,859704,8968,47679,2961,22404,2119,25275,2217,812025,8941,322628,6928,489397,7794,3837376,9614,440514,10378,218615,7889,221899,7235,3396862,13818,1170459,16943,2226403,15961,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3901193,4229,1211504,4914,40236,3601,3014,1078,755,596,2259,835,37222,3545,4448,1215,32774,3176,1171268,5401,224613,8350,17944,2244,206669,7738,946655,9569,45969,3720,900686,10047,1406963,3704,101214,5091,5634,1291,1465,562,4169,1145,95580,4982,12084,1951,83496,4517,1305749,6184,121299,6212,29309,3283,91990,5844,1184450,8056,78763,4896,1105687,8970,653585,2675,78121,3632,5986,1159,1984,630,4002,928,72135,3618,16738,1570,55397,3421,575464,4250,53589,3469,19261,2428,34328,2763,521875,5477,73250,4104,448625,6038,629141,2142,155489,3191,6591,958,2513,553,4078,835,148898,3254,57223,2561,91675,3177,473652,3360,39753,2857,19154,2142,20599,2312,433899,4021,137045,4907,296854,5632,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2706130,1498,716681,2418,8733,1419,1024,523,0,201,1024,523,7709,1359,610,300,7099,1368,707948,2750,103156,6536,9637,1605,93519,6286,604792,6572,25880,2506,578912,6828,993420,2209,39328,2960,3121,897,975,589,2146,749,36207,2719,4457,1380,31750,2581,954092,3562,78200,4442,17796,2270,60404,3814,875892,5706,53092,4339,822800,6635,474493,1373,33127,2265,2562,977,633,359,1929,918,30565,2190,5896,1326,24669,1824,441366,2483,34461,3451,12078,2036,22383,2800,406905,4101,47828,3759,359077,4778,521536,1355,105588,3213,4120,856,1891,553,2229,668,101468,2985,36371,2702,65097,2660,415948,3547,34484,2548,14889,2079,19595,1861,381464,4147,114299,3854,267165,4572,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,697367,1182,194730,1532,4907,1550,410,396,0,189,410,396,4497,1501,364,328,4133,1428,189823,2257,29871,3496,2877,977,26994,3350,159952,3972,10466,1764,149486,4185,239438,1631,15125,1824,785,390,440,319,345,215,14340,1757,781,315,13559,1744,224313,2335,23626,2988,5621,1311,18005,2735,200687,3841,17880,2225,182807,4160,120174,1044,15057,1762,951,418,256,164,695,400,14106,1719,2871,683,11235,1675,105117,2080,9250,1575,3293,975,5957,1235,95867,2649,14332,1730,81535,2741,143025,657,32445,1944,1416,511,488,302,928,412,31029,1918,10620,1370,20409,1625,110580,2088,8917,1573,4079,1067,4838,1034,101663,2380,30677,2294,70986,2456,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,500915,715,199005,693,2774,1004,259,260,0,203,259,260,2515,953,41,51,2474,953,196231,1116,38679,3177,2487,842,36192,2990,157552,3124,5638,1256,151914,3181,163073,712,7709,1492,670,398,207,157,463,372,7039,1492,518,356,6521,1443,155364,1580,23067,2633,6493,1355,16574,2192,132297,2778,9769,1749,122528,2787,67444,445,4845,1007,720,422,397,312,323,246,4125,914,694,348,3431,838,62599,1036,9972,1269,4764,797,5208,1196,52627,1428,7893,1316,44734,1790,71393,513,11152,1192,998,402,473,281,525,277,10154,1087,3218,698,6936,900,60241,1245,11481,1578,5861,1013,5620,1259,48760,1659,14321,1300,34439,1888,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15138440,4811,4025704,6841,92858,5542,13002,2290,1810,976,11192,2017,79856,5121,7488,1241,72368,5032,3932846,9446,815763,20396,63442,4969,752321,19213,3117083,22588,152160,8909,2964923,22918,5046101,6450,314626,9519,29292,3183,9067,1578,20225,2665,285334,9348,37791,3213,247543,8575,4731475,10613,709092,18614,151808,7051,557284,15761,4022383,18423,299262,10505,3723121,18878,2488238,4568,266815,8331,28158,2662,11521,1729,16637,2090,238657,7741,57812,3457,180845,7110,2221423,9813,306257,9929,101579,4828,204678,7900,1915166,13262,299846,9939,1615320,13615,3578397,4016,761840,8962,43700,3626,18065,2030,25635,3012,718140,9385,278638,6709,439502,9337,2816557,9622,338192,9868,134676,6006,203516,7566,2478365,13189,788546,12433,1689819,15719,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
