GEO_ID,B24081_001E,B24081_001M,B24081_002E,B24081_002M,B24081_003E,B24081_003M,B24081_004E,B24081_004M,B24081_005E,B24081_005M,B24081_006E,B24081_006M,B24081_007E,B24081_007M,B24081_008E,B24081_008M,B24081_009E,B24081_009M,NAME,B24081_001MA,B24081_001EA,B24081_002EA,B24081_002MA,B24081_003EA,B24081_003MA,B24081_004MA,B24081_004EA,B24081_005MA,B24081_005EA,B24081_006EA,B24081_006MA,B24081_007MA,B24081_007EA,B24081_008MA,B24081_008EA,B24081_009EA,B24081_009MA,state
0400000US01,30384,285,28215,787,27409,417,48710,5916,30717,943,34962,2015,40168,1277,61263,2004,20328,1259,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,40635,535,37399,1746,36774,1104,58132,9825,39999,2686,45969,2915,49064,2771,52845,4656,30223,6430,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,31386,205,30575,243,30156,274,46656,1965,34754,2136,36805,717,36972,672,51530,904,21428,724,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,28457,691,27102,377,26787,390,46411,8371,31150,882,31326,984,35405,1538,52770,3328,18568,2370,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,33410,334,31616,106,31151,108,56029,2254,40507,429,48554,997,47017,841,57045,717,23842,592,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,35405,268,34184,665,32810,668,49222,2650,36607,984,40522,765,42032,981,56065,2848,22258,697,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,40940,323,39652,1030,38359,1165,59067,5045,41447,1085,51145,961,56524,2229,60591,2858,29895,3676,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,35594,798,34492,2225,32690,1985,52148,7286,36673,1948,42213,5652,40615,2837,54350,3228,21367,1289,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,52175,853,43655,2915,42276,1505,91644,26081,51941,1410,54604,4922,50022,7540,83012,5437,26717,6657,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,29806,324,27718,372,27054,176,41441,669,32251,454,39190,634,36762,656,53593,1625,18358,895,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,31239,198,30561,221,30194,230,43163,4603,33426,1854,35880,733,36093,940,53083,2334,21100,627,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,34932,1065,31410,536,31180,521,41556,4630,37641,3293,43547,3840,41235,1208,60095,4285,23587,3181,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,27932,1063,26495,623,25953,628,40389,3813,29859,1646,31376,1073,35882,1654,47868,5140,22781,2369,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,35388,208,33813,539,32752,553,50739,830,35878,562,45217,955,42807,1934,55109,1122,24789,1403,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,31223,191,30969,230,30723,232,42001,2015,31019,703,35443,792,35438,1250,51377,1686,21322,661,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,31936,200,31376,249,31130,254,42365,2978,30595,671,38773,1687,43381,2837,51852,1257,26139,1290,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,31780,231,31419,270,31043,291,49552,3174,31067,907,33872,1488,34286,1652,50554,1697,24697,1836,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,30424,196,29792,530,29262,610,40676,3442,31529,1058,32995,2107,35171,1207,49444,3081,20593,860,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,31625,278,31131,344,30818,336,47067,6461,31870,1028,36044,1099,38922,2633,51305,1341,22262,1730,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,30577,353,29641,1054,28772,1133,41443,4116,31901,1050,36185,1959,35758,2139,55575,3899,20855,895,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,42276,236,37193,301,36758,307,51697,1034,46395,1120,50500,896,44775,1818,83635,2215,26697,1308,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,41113,254,40194,336,39291,827,61434,1233,41702,653,50039,1683,51899,772,59071,2621,30948,751,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,31149,153,30524,174,30179,186,42264,1465,32281,498,40671,548,45012,1951,55657,1737,18674,1220,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,36181,238,35527,290,35162,314,48092,3460,36573,678,41985,831,44528,1667,52827,1852,26081,820,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,27956,704,27006,432,26695,423,39953,8655,31340,1429,31078,929,31279,913,45109,4095,21581,864,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,30888,157,30535,191,30297,200,42028,3565,31379,559,36113,770,31766,616,51412,1279,21083,796,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,28034,986,26569,629,25953,655,38234,4923,28263,3388,31772,978,38265,3560,44205,7060,21503,826,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,30996,258,30192,301,29666,621,41944,2555,32556,1929,36782,1075,36964,1436,52948,2937,22440,1316,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,31372,235,30513,265,30251,267,49410,3258,32210,2300,49042,3037,46267,1449,47130,3534,20278,1439,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,37150,526,37364,790,36784,633,53214,8834,35738,1752,41361,1685,40927,2189,59102,3692,26351,1332,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,41591,267,40008,573,38428,802,60089,5598,43279,2789,51882,691,57284,1240,61443,1316,28542,2254,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,29636,980,25958,618,25460,634,42367,10056,30303,2470,34171,3621,37494,3044,57345,4600,17185,1555,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,36935,168,35090,249,33642,522,51693,695,38139,1054,50798,357,54005,1567,57140,1125,22028,433,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,30593,153,29057,450,28295,437,42052,1946,35630,783,33549,1137,36546,595,52010,1188,21347,624,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,33619,1629,32426,1251,32001,651,60602,6316,30150,2283,32194,3075,36743,2204,50490,3526,37341,4033,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,31791,142,30881,151,30639,156,45635,3550,33749,1007,40325,658,42157,767,57627,1758,21760,682,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,30521,185,30007,404,29169,526,50226,3393,28738,1297,31872,592,33513,1547,50359,876,22312,716,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,30856,308,30016,595,29300,823,40637,3353,33118,2509,42492,1967,37203,3465,53294,3129,21503,643,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,34575,324,32394,135,32075,139,51193,792,35514,551,43574,1731,45702,1181,55346,1092,25630,619,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,35879,632,32205,839,31802,602,52322,8767,40387,1632,57588,5751,49472,5036,66258,11921,23587,3571,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,29914,430,27807,526,27351,397,40308,3102,31351,1009,34423,1633,35402,1141,51860,2066,20129,1659,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,30027,471,28138,899,27313,519,46326,5428,28224,2831,31621,1128,35385,2208,45459,2015,30211,2957,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,30462,194,28764,566,28216,581,48105,5646,34382,1657,35891,652,36783,1018,51904,1525,21741,621,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,31665,113,31024,128,30725,131,50915,836,32950,1409,39150,1143,39808,761,53404,1484,21692,356,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,30802,294,30024,654,28774,973,50660,3644,30346,1470,32502,2462,39914,2064,55111,3185,19486,2086,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,32027,493,31223,645,30781,666,45068,6447,35962,1755,40032,3527,41621,2249,55174,5234,21396,1267,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,37040,275,33573,937,32467,584,51224,1054,40168,1095,40405,404,40639,749,79978,2052,22001,806,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,36861,265,35564,337,35196,372,43618,3747,38767,1484,50485,726,42683,1406,54259,2300,23822,1390,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,30371,465,28427,1266,27718,1117,48919,12187,27736,2142,32228,1831,35620,1350,56953,3594,18591,2186,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,31919,146,31410,198,31210,208,41500,1007,31915,578,41937,597,40297,851,50459,1602,21819,567,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,34789,1776,32240,898,31873,628,52063,10497,31776,4835,40669,1792,42132,3054,48288,4660,20413,1822,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,17420,191,16182,198,16065,200,26458,6118,18590,773,17414,710,26619,712,34406,6538,11260,850,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
