GEO_ID,B25027_001E,B25027_001M,B25027_002E,B25027_002M,B25027_003E,B25027_003M,B25027_004E,B25027_004M,B25027_005E,B25027_005M,B25027_006E,B25027_006M,B25027_007E,B25027_007M,B25027_008E,B25027_008M,B25027_009E,B25027_009M,B25027_010E,B25027_010M,B25027_011E,B25027_011M,B25027_012E,B25027_012M,B25027_013E,B25027_013M,B25027_014E,B25027_014M,B25027_015E,B25027_015M,B25027_016E,B25027_016M,B25027_017E,B25027_017M,NAME,B25027_001EA,B25027_001MA,B25027_002EA,B25027_002MA,B25027_003EA,B25027_003MA,B25027_004EA,B25027_004MA,B25027_005EA,B25027_005MA,B25027_006EA,B25027_006MA,B25027_007EA,B25027_007MA,B25027_008EA,B25027_008MA,B25027_009EA,B25027_009MA,B25027_010EA,B25027_010MA,B25027_011MA,B25027_011EA,B25027_012EA,B25027_012MA,B25027_013MA,B25027_013EA,B25027_014MA,B25027_014EA,B25027_015EA,B25027_015MA,B25027_016MA,B25027_016EA,B25027_017EA,B25027_017MA,state
0400000US01,1240017,12974,719189,11998,100751,4114,144076,6060,188512,6254,86672,3782,76901,3589,87884,3863,34393,2739,520828,7917,25847,2525,40276,2852,76427,4015,54744,3539,60639,3222,131900,3993,130995,3655,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,156107,3268,99127,3509,16261,1756,19975,1870,28809,1794,12631,1658,9245,1183,9621,1033,2585,624,56980,2687,3011,678,4417,1252,9959,1138,9787,1293,9298,1341,11643,1007,8865,964,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1490031,12319,962561,11844,126361,4696,184396,5305,230841,6484,109887,4483,105527,4641,142674,4395,62875,3623,527470,8593,24417,2426,33352,2664,64506,3630,47213,2921,60944,3210,146537,4567,150501,3732,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,739987,8706,412235,8171,66366,3412,89052,3940,103253,3958,47494,2950,40353,2672,48033,2848,17684,1628,327752,6053,15090,1839,23074,2271,47379,2680,34191,2417,42104,2964,84708,3190,81206,2956,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,6804639,28833,4941183,28332,478523,9998,962772,13432,1363829,13886,657277,10830,551340,8756,649089,10064,278353,6790,1863456,15586,73451,3941,113952,4942,227119,5694,178954,4868,207325,6175,464552,8278,598103,8194,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1291945,10661,934605,10783,131633,5357,212025,4967,244764,5174,115870,4682,93917,3573,102284,3718,34112,2227,357340,6897,16151,2285,24944,2529,42457,2607,40226,3055,50187,2815,90474,3181,92901,3329,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,888478,8542,614989,8583,60818,3424,129158,4630,183509,4139,87981,3713,60410,3542,69715,3120,23398,2114,273489,6462,7608,1239,12402,1706,34344,2496,30251,2189,32915,2304,68715,3212,87254,3411,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,243047,3975,165067,4059,19646,2230,33434,2298,42143,2268,21086,2026,18452,1804,22354,1401,7952,1078,77980,3302,4106,1155,3539,804,10167,1308,6429,1072,8797,1184,22284,1574,22658,1614,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,110513,3814,84271,3620,12404,1627,20512,2196,19161,1635,9008,1161,8205,1224,9784,1142,5197,914,26242,2017,1373,436,1305,465,2889,827,1886,710,3359,783,7103,998,8327,1100,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4672482,24352,2766041,21294,250258,8476,515263,10153,715652,10305,346913,8123,298438,7616,436098,8429,203419,7133,1906441,20472,61222,3860,105964,5376,219848,8036,166549,7100,213810,5492,529389,9298,609659,9828,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
