GEO_ID,C02003_001E,C02003_001M,C02003_002E,C02003_002M,C02003_003E,C02003_003M,C02003_004E,C02003_004M,C02003_005E,C02003_005M,C02003_006E,C02003_006M,C02003_007E,C02003_007M,C02003_008E,C02003_008M,C02003_009E,C02003_009M,C02003_010E,C02003_010M,C02003_011E,C02003_011M,C02003_012E,C02003_012M,C02003_013E,C02003_013M,C02003_014E,C02003_014M,C02003_015E,C02003_015M,C02003_016E,C02003_016M,C02003_017E,C02003_017M,C02003_018E,C02003_018M,C02003_019E,C02003_019M,NAME,C02003_001EA,C02003_001MA,C02003_002EA,C02003_002MA,C02003_003EA,C02003_003MA,C02003_004MA,C02003_004EA,C02003_005MA,C02003_005EA,C02003_006MA,C02003_006EA,C02003_007MA,C02003_007EA,C02003_008MA,C02003_008EA,C02003_009MA,C02003_009EA,C02003_010MA,C02003_010EA,C02003_011MA,C02003_011EA,C02003_012MA,C02003_012EA,C02003_013MA,C02003_013EA,C02003_014EA,C02003_014MA,C02003_015EA,C02003_015MA,C02003_016MA,C02003_016EA,C02003_017MA,C02003_017EA,C02003_018MA,C02003_018EA,C02003_019MA,C02003_019EA,state
0400000US01,4833722,-555555555,4751968,6685,3330478,7452,1284102,5822,22459,2783,58624,3007,1521,852,54784,6398,81754,6685,8730,2903,73024,6537,78118,6582,28260,4729,24087,2626,9960,2316,4375,1740,11436,3187,3376,1169,260,250,Alabama,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,735132,-555555555,678226,5042,487762,2607,25077,1949,105310,3347,41775,2518,8794,1026,9508,2162,56906,5042,2077,1149,54829,4959,53376,4720,7330,2545,29920,2946,7467,1925,2626,914,6033,1865,3367,1118,163,273,Alaska,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6626624,-555555555,6414816,11630,5233466,20452,277973,5853,288294,6139,191718,5359,12609,1319,410756,18564,211808,11630,42617,5460,169191,10258,197637,11103,39760,4100,47110,4487,47798,5981,6538,2057,56431,6290,13588,2322,583,406,Arizona,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2959373,-555555555,2894149,4906,2305726,6481,463928,4170,17704,2195,39210,2372,628,537,66953,6137,65224,4906,5289,1388,59935,4958,62433,4729,21305,3791,23443,1931,6699,1835,3125,1146,7861,1631,2759,1001,32,62,Arkansas,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,38332521,-555555555,36602811,28372,23741019,60867,2269021,12513,278377,12277,5210236,17797,142782,5004,4961376,59949,1729710,28372,403831,17049,1325879,25267,1571659,28284,220348,10919,277694,11860,484916,14129,38126,5084,550575,19193,144342,8674,13709,2571,California,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5268367,-555555555,5079335,9967,4415852,16310,209555,5662,43613,4460,150852,3675,8315,1623,251148,13750,189032,9967,35393,3729,153639,8717,169812,9131,37839,4415,43305,4168,39615,3616,5039,1603,44014,4027,18187,3717,1033,583,Colorado,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3596080,-555555555,3491153,7874,2778681,12024,370998,6001,8018,2149,147570,3638,545,469,185341,11698,104927,7874,27247,4765,77680,5559,97031,7743,32698,4514,12395,1615,17334,3041,3824,1473,30780,5000,6819,1789,1077,921,Connecticut,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,925749,-555555555,899319,4367,637606,5016,200249,4547,3955,989,33639,1165,841,508,23029,4146,26430,4367,2898,1619,23532,3917,23101,3897,11673,2906,2559,806,3583,1092,1480,730,3806,1723,3299,1700,30,46,Delaware,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,646449,-555555555,625604,3333,264080,4748,315504,3335,1272,709,22963,1409,104,120,21681,4483,20845,3333,3447,1466,17398,3185,18139,2699,3923,1142,2015,630,5896,1256,1507,979,4798,1448,2312,1269,394,367,District of Columbia,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19552860,-555555555,19093547,17451,14897782,23979,3141552,17438,50379,4604,509588,6878,8241,2264,486005,23054,459313,17451,83946,8113,375367,15506,425758,16624,153134,11130,61779,4393,79719,6802,12657,3865,118469,9632,31598,4586,1957,1029,Florida,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
