GEO_ID,C06001_001E,C06001_001M,C06001_002E,C06001_002M,C06001_003E,C06001_003M,C06001_004E,C06001_004M,C06001_005E,C06001_005M,C06001_006E,C06001_006M,C06001_007E,C06001_007M,C06001_008E,C06001_008M,C06001_009E,C06001_009M,C06001_010E,C06001_010M,C06001_011E,C06001_011M,C06001_012E,C06001_012M,C06001_013E,C06001_013M,C06001_014E,C06001_014M,C06001_015E,C06001_015M,C06001_016E,C06001_016M,C06001_017E,C06001_017M,C06001_018E,C06001_018M,C06001_019E,C06001_019M,C06001_020E,C06001_020M,C06001_021E,C06001_021M,C06001_022E,C06001_022M,C06001_023E,C06001_023M,C06001_024E,C06001_024M,C06001_025E,C06001_025M,C06001_026E,C06001_026M,C06001_027E,C06001_027M,C06001_028E,C06001_028M,C06001_029E,C06001_029M,C06001_030E,C06001_030M,C06001_031E,C06001_031M,C06001_032E,C06001_032M,C06001_033E,C06001_033M,C06001_034E,C06001_034M,C06001_035E,C06001_035M,C06001_036E,C06001_036M,C06001_037E,C06001_037M,C06001_038E,C06001_038M,C06001_039E,C06001_039M,C06001_040E,C06001_040M,C06001_041E,C06001_041M,C06001_042E,C06001_042M,C06001_043E,C06001_043M,C06001_044E,C06001_044M,C06001_045E,C06001_045M,NAME,C06001_001MA,C06001_001EA,C06001_002EA,C06001_002MA,C06001_003EA,C06001_003MA,C06001_004EA,C06001_004MA,C06001_005EA,C06001_005MA,C06001_006EA,C06001_006MA,C06001_007EA,C06001_007MA,C06001_008MA,C06001_008EA,C06001_009EA,C06001_009MA,C06001_010EA,C06001_010MA,C06001_011MA,C06001_011EA,C06001_012EA,C06001_012MA,C06001_013EA,C06001_013MA,C06001_014MA,C06001_014EA,C06001_015MA,C06001_015EA,C06001_016MA,C06001_016EA,C06001_017EA,C06001_017MA,C06001_018MA,C06001_018EA,C06001_019MA,C06001_019EA,C06001_020MA,C06001_020EA,C06001_021MA,C06001_021EA,C06001_022MA,C06001_022EA,C06001_023EA,C06001_023MA,C06001_024EA,C06001_024MA,C06001_025MA,C06001_025EA,C06001_026MA,C06001_026EA,C06001_027MA,C06001_027EA,C06001_028EA,C06001_028MA,C06001_029MA,C06001_029EA,C06001_030EA,C06001_030MA,C06001_031EA,C06001_031MA,C06001_032MA,C06001_032EA,C06001_033MA,C06001_033EA,C06001_034EA,C06001_034MA,C06001_035EA,C06001_035MA,C06001_036EA,C06001_036MA,C06001_037EA,C06001_037MA,C06001_038MA,C06001_038EA,C06001_039EA,C06001_039MA,C06001_040EA,C06001_040MA,C06001_041MA,C06001_041EA,C06001_042EA,C06001_042MA,C06001_043EA,C06001_043MA,C06001_044MA,C06001_044EA,C06001_045MA,C06001_045EA,state
0400000US01,4833722,-555555555,292354,2912,817537,3418,498384,5351,1221106,6686,660842,3879,621961,2563,419711,2735,301827,2270,3382119,22469,259801,3809,657949,8499,348154,7393,778349,10062,416899,6849,418571,5254,289456,5085,212940,4233,1248992,22575,31242,3240,143820,8000,124892,6577,352772,9909,210220,6863,185458,5050,118729,4653,81859,3455,40385,4123,522,328,4505,1387,5404,1322,14399,2420,7530,1526,5584,1303,1653,726,788,537,162226,7768,789,402,11263,2311,19934,3153,75586,5364,26193,3021,12348,1653,9873,1611,6240,1220,Alabama,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,735132,-555555555,54705,1049,133661,1231,84107,1878,203954,2421,101153,1775,91968,1089,43156,1199,22428,951,315466,7034,45831,1633,93847,3445,47122,2665,74465,3429,23796,1752,18531,1538,7461,1086,4413,539,353162,6258,7587,1245,33416,3096,30389,2215,106162,3685,64583,2205,64045,1845,31217,1131,15763,1017,15744,2517,1198,610,3251,1232,2189,890,5110,1353,2286,664,1544,688,147,126,19,32,50760,3428,89,96,3147,867,4407,1127,18217,1969,10488,1419,7848,889,4331,900,2233,728,Alaska,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6626624,-555555555,430081,887,1185881,1273,665925,3360,1713826,3917,834747,2341,777440,1787,589406,1913,429318,1565,2562680,27302,377951,3719,865370,10635,351167,9977,545259,12349,185526,7241,133679,5893,64249,3324,39479,2860,3086904,24972,44753,3454,257445,9469,238211,8556,766313,11545,470950,7465,520980,5992,450065,4367,338187,3001,80730,5450,2978,748,11788,1872,8502,1684,26061,3128,13796,2056,10059,1528,5084,1038,2462,758,896310,18572,4399,1114,51278,4428,68045,5406,376193,9794,164475,5689,112722,4786,70008,3485,49190,3298,Arizona,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2959373,-555555555,190202,2391,521420,2750,287248,3943,751442,6095,388763,3602,366756,2321,260847,1930,192695,1494,1839799,14211,161963,3561,397947,6406,180073,4726,424339,6943,206495,4917,204737,5278,147647,3755,116598,3343,964923,13321,25163,2751,112050,6154,90772,4107,249791,7071,160247,4790,147319,4981,106892,3378,72689,3196,20763,3239,1646,1035,2325,1208,3121,1258,7463,1363,2747,806,2499,818,926,464,36,60,133888,5487,1430,987,9098,1742,13282,2162,69849,4191,19274,2568,12201,1621,5382,1043,3372,844,Arkansas,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,38332521,-555555555,2500565,3033,6673619,3473,4011105,5521,10742484,6638,5207404,4036,4403236,3336,2692906,3512,2101202,2901,20985224,61107,2340282,7311,5784680,16736,2983307,17037,5037309,32415,1995874,20200,1574207,16007,782852,11006,486713,10132,6557783,41643,93328,5336,384070,12468,352600,11460,1535285,18550,1038363,17332,1233238,12986,983600,10019,937299,11573,478314,9841,23150,2449,75641,5295,51689,3696,146700,6290,75457,4239,63968,4043,24479,2587,17230,1742,10311200,53780,43805,3717,429228,12586,623509,15007,4023190,27889,2097710,16019,1531823,11582,901975,9312,659960,8948,California,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5268367,-555555555,333573,2520,907752,3528,512807,3487,1497007,4471,715100,3153,657185,2688,382712,2200,262231,2091,2283893,17929,290384,4369,666747,8762,261458,5517,514576,10449,206624,6752,176053,5970,96651,4109,71400,2583,2409961,17299,37747,2966,191563,8269,201592,4940,734645,9433,406278,6953,416395,6051,253765,4132,167976,2655,73879,4545,2716,963,10619,1856,6794,1391,25798,2776,14847,2027,9716,1609,2209,668,1180,526,500634,11600,2726,741,38823,3458,42963,2767,221988,7355,87351,4728,55021,3520,30087,2608,21675,1931,Colorado,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3596080,-555555555,190746,868,594596,1199,345423,2265,887306,2671,556065,1874,477438,1076,293384,1058,251122,1236,1980201,16964,163857,3067,446297,7054,211008,5147,424886,7248,260127,5164,227190,4899,131551,4013,115285,3940,991229,16558,22195,2591,106046,6150,87041,4653,228474,7518,180093,5220,164101,4821,109347,3725,93932,3933,125007,5846,1656,686,15692,2677,11966,2257,37339,3028,22571,2485,17911,1929,9967,1394,7905,1273,499643,13006,3038,1024,26561,2954,35408,3622,196607,6025,93274,4385,68236,4172,42519,3683,34000,2457,Connecticut,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,925749,-555555555,56235,423,147453,360,92331,947,230824,1347,130801,1193,121160,962,86005,736,60940,594,432951,9249,47354,1589,106992,3602,49091,2428,94951,4070,52110,2754,41860,2425,22998,1799,17595,1715,400552,8403,8255,1535,36155,3417,34303,2465,93515,3929,64570,2895,68681,2578,55533,1986,39540,1769,15478,2529,259,261,1576,603,1671,806,5681,1602,2696,854,2443,732,897,394,255,188,76768,4344,367,319,2730,791,7266,1427,36677,2789,11425,1419,8176,1473,6577,1381,3550,825,Delaware,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,646449,-555555555,41061,270,70471,143,81903,458,234601,558,76302,311,68150,254,41083,617,32878,598,237019,6367,32732,1580,51207,2124,26990,1846,55057,3113,27992,1978,26106,1806,11315,1060,5620,970,304647,6713,7019,1539,12714,1893,44127,2311,130346,3834,32042,2253,31797,1963,24120,1365,22482,1049,11964,2129,306,286,1984,968,1163,686,5061,1152,2826,897,300,252,275,172,49,81,92819,5381,1004,484,4566,1380,9623,1587,44137,3227,13442,1430,9947,1157,5373,943,4727,892,District of Columbia,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19552860,-555555555,1074049,3217,2954681,3358,1797134,6806,4844891,8290,2726761,6411,2511061,4047,1984921,4095,1659362,4454,7075887,37531,952516,7576,2130319,17652,1002629,15386,1592569,18314,585537,11973,438331,8116,222869,8563,151117,5823,8009485,41165,90616,5359,559422,16243,490731,14383,1750424,18089,1292850,12107,1420055,9510,1286894,11107,1118493,8921,669426,19937,14916,2413,82602,6353,62129,5828,214034,9855,108684,6244,84431,4814,60365,3814,42265,3394,3798062,37577,16001,2541,182338,8807,241645,8331,1287864,20362,739690,11635,568244,10221,414793,8573,347487,8046,Florida,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
