GEO_ID,C07008_001E,C07008_001M,C07008_002E,C07008_002M,C07008_003E,C07008_003M,C07008_004E,C07008_004M,C07008_005E,C07008_005M,C07008_006E,C07008_006M,C07008_007E,C07008_007M,C07008_008E,C07008_008M,C07008_009E,C07008_009M,C07008_010E,C07008_010M,C07008_011E,C07008_011M,C07008_012E,C07008_012M,C07008_013E,C07008_013M,C07008_014E,C07008_014M,C07008_015E,C07008_015M,C07008_016E,C07008_016M,C07008_017E,C07008_017M,C07008_018E,C07008_018M,C07008_019E,C07008_019M,C07008_020E,C07008_020M,C07008_021E,C07008_021M,C07008_022E,C07008_022M,C07008_023E,C07008_023M,C07008_024E,C07008_024M,C07008_025E,C07008_025M,C07008_026E,C07008_026M,C07008_027E,C07008_027M,C07008_028E,C07008_028M,C07008_029E,C07008_029M,C07008_030E,C07008_030M,NAME,C07008_001MA,C07008_001EA,C07008_002EA,C07008_002MA,C07008_003MA,C07008_003EA,C07008_004MA,C07008_004EA,C07008_005MA,C07008_005EA,C07008_006EA,C07008_006MA,C07008_007MA,C07008_007EA,C07008_008EA,C07008_008MA,C07008_009EA,C07008_009MA,C07008_010EA,C07008_010MA,C07008_011EA,C07008_011MA,C07008_012EA,C07008_012MA,C07008_013EA,C07008_013MA,C07008_014MA,C07008_014EA,C07008_015MA,C07008_015EA,C07008_016EA,C07008_016MA,C07008_017EA,C07008_017MA,C07008_018EA,C07008_018MA,C07008_019EA,C07008_019MA,C07008_020MA,C07008_020EA,C07008_021MA,C07008_021EA,C07008_022EA,C07008_022MA,C07008_023MA,C07008_023EA,C07008_024EA,C07008_024MA,C07008_025EA,C07008_025MA,C07008_026MA,C07008_026EA,C07008_027MA,C07008_027EA,C07008_028MA,C07008_028EA,C07008_029MA,C07008_029EA,C07008_030MA,C07008_030EA,state
0400000US01,3910998,3826,1184204,13042,1847833,25344,589737,14955,289224,8046,3344543,15226,935348,15241,1662362,23589,482263,13838,264570,7390,336568,12022,145470,7781,109938,7050,67038,4220,14122,2090,129285,6340,59964,3735,37397,4157,26900,2543,5024,1102,88236,5932,39625,3637,31522,4393,12190,1869,4899,1489,12366,2907,3797,1265,6614,2074,1346,592,609,361,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,576379,1408,201374,5998,280506,7736,72020,4366,22479,2174,467606,6890,150176,6544,239743,7911,57839,3626,19848,1971,60275,5420,28732,3593,21996,2897,8440,1402,1107,507,14876,2375,8676,1708,3734,938,2139,624,327,193,27184,3225,10910,1784,12303,2303,3239,863,732,511,6438,1522,2880,1111,2730,858,363,339,465,512,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5281089,1395,1741179,16350,2488012,24486,762714,13040,289184,6951,4307033,21408,1301060,17864,2148986,21500,599839,12518,257148,6884,629402,17308,293103,9409,201850,12067,114871,5979,19578,2654,103995,6847,52289,4105,30791,3705,17878,2931,3037,809,202219,9037,79528,4933,86865,7223,27227,2717,8599,1460,38440,3511,15199,2098,19520,2321,2899,740,822,422,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2363879,3205,656011,11532,1178425,16770,369986,10527,159457,6041,2022203,11951,518819,11625,1059838,15573,300192,9590,143354,5415,198125,9876,80426,5889,66684,5872,41899,3607,9116,1677,82184,5861,33620,3171,27104,3218,17572,2290,3888,989,53892,5480,20541,2987,21185,2937,9493,1861,2673,841,7475,1687,2605,810,3614,1169,830,569,426,284,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,30732852,3548,11303446,41679,14181247,60615,3699661,31962,1548498,18687,26145245,44628,9082476,39038,12598510,56072,3064229,29821,1400030,17688,2999460,40959,1422573,24137,1038815,26182,439065,12732,99007,5537,921694,19303,488167,13043,280566,10151,126487,5390,26474,3017,414186,14135,198477,8455,149802,8629,53713,4480,12194,1882,252267,11658,111753,7300,113554,7360,16167,2358,10793,1736,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4224677,3383,1326374,15491,2125695,22861,582014,15652,190594,5441,3393562,18519,926540,16830,1845083,20881,455554,12098,166385,4884,412540,16862,194166,9501,140451,9475,65844,5759,12079,2016,217346,9218,112742,5897,62640,6190,35094,3258,6870,1525,173064,9352,81530,5653,65007,5797,21630,2895,4897,920,28165,3275,11396,2070,12514,2363,3892,1244,363,295,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2955331,1273,1005991,12762,1414080,18842,357565,11158,177695,5095,2597251,11128,826402,13824,1296918,16907,309784,10349,164147,5224,203771,8626,96152,6036,67058,6120,31939,3090,8622,1259,62729,4120,38960,3390,13653,2168,7923,1607,2193,1104,73643,5553,35046,3252,30039,4324,6551,1420,2007,614,17937,2444,9431,2131,6412,1459,1368,568,726,467,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,754812,623,252727,5968,356232,8527,101746,5481,44107,2351,653582,6264,200286,6448,325511,8429,86871,5089,40914,2293,57232,4458,30340,3185,16389,2804,8414,1530,2089,643,8110,1711,4133,1163,1909,730,1687,654,381,214,31682,3198,16986,2253,9607,1858,4501,934,588,259,4206,1089,982,452,2816,941,273,277,135,179,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,550110,307,308055,6071,150009,7041,68399,4248,23647,2362,435178,5081,225582,7020,129692,6146,58076,3927,21828,2247,60788,4582,42403,3907,10941,2065,6008,1255,1436,536,0,203,0,203,0,203,0,203,0,203,44369,3347,33330,2910,7102,1746,3616,966,321,209,9775,1874,6740,1533,2274,838,699,411,62,102,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,16226496,3939,5097873,32840,7453192,49943,2526347,35009,1149084,16997,13657036,41511,4000680,33075,6561638,50775,2066812,31542,1027906,15896,1466173,27902,643804,17243,469387,18061,284222,11655,68760,5369,505900,17517,252604,12123,145957,9793,86450,6436,20889,3020,450020,15742,150035,8299,201715,10577,73384,5181,24886,2919,147367,8905,50750,4608,74495,6705,15479,2860,6643,1367,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
