GEO_ID,C17004_001E,C17004_001M,C17004_002E,C17004_002M,C17004_003E,C17004_003M,C17004_004E,C17004_004M,C17004_005E,C17004_005M,C17004_006E,C17004_006M,C17004_007E,C17004_007M,C17004_008E,C17004_008M,C17004_009E,C17004_009M,NAME,C17004_001MA,C17004_001EA,C17004_002MA,C17004_002EA,C17004_003EA,C17004_003MA,C17004_004MA,C17004_004EA,C17004_005EA,C17004_005MA,C17004_006EA,C17004_006MA,C17004_007MA,C17004_007EA,C17004_008EA,C17004_008MA,C17004_009EA,C17004_009MA,state
0400000US01,3741396,4915,614482,15056,55698,4824,171545,7431,387239,11492,3126914,15498,1396278,16771,618573,12724,1112063,12463,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,552524,1635,46446,3351,3042,721,20109,2008,23295,2456,506078,3498,239431,5797,155019,4554,111628,4614,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5067295,4159,829550,21558,80794,5412,242461,9497,506295,14635,4237745,21557,1853602,18246,925566,16596,1458577,15548,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2252688,3544,381894,11550,38196,3434,113674,5409,230024,10472,1870794,11987,861447,10860,359957,10014,649390,10585,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,29600864,9981,4434523,44019,398560,11106,1370206,22739,2665757,31261,25166341,44527,11053292,47507,6104799,41519,8008250,31871,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4051137,4769,477160,14067,47274,3804,210468,8419,219418,9369,3573977,14585,1729671,15084,914488,15229,929818,11825,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2807147,2520,272699,10531,15409,1852,89742,5750,167548,7967,2534448,11251,1172045,12159,650410,13581,711993,10373,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,719222,1357,78671,6461,5868,1217,28444,3741,44359,3696,640551,6640,297345,6948,147397,5419,195809,5262,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,512341,893,88773,5802,4720,1318,26703,3121,57350,4481,423568,5883,246175,5765,84417,4323,92976,4045,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15640093,8111,2386210,38842,214479,9428,678414,17827,1493317,25422,13253883,40249,5710154,34721,2735782,32239,4807947,31571,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,7540079,6638,1252676,23254,128742,7636,375000,13349,748934,17955,6287403,24049,3022926,25486,1294464,23769,1970013,21910,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1096917,1838,112254,6979,8091,1817,34507,3925,69656,5494,984663,7278,469548,7092,219095,6603,296020,6789,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1204414,2590,173558,9542,17270,2473,70308,4473,85980,6575,1030856,9678,455465,8042,260143,8645,315248,8103,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,9944334,5593,1292630,21276,110416,5737,421552,12208,760662,14122,8651704,22694,4080676,20655,2060010,18544,2511018,19419,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,4986808,4001,699467,15138,62302,4338,251587,9192,385578,11364,4287341,16202,2013886,16192,1000991,16160,1272464,12618,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2360373,3148,276293,9016,27056,2872,116446,5477,132791,6236,2084080,9747,1076318,9416,485137,9652,522625,7316,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2178799,3011,271507,10491,28472,3049,106133,5548,136902,7378,1907292,10555,968983,10420,442409,9418,495900,7530,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3380338,4274,570980,12548,47682,3484,167049,7850,356249,11134,2809358,12788,1278147,13898,603328,11386,927883,10525,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,3519127,3813,612919,15693,62698,4625,173992,8361,376229,11996,2906208,15716,1401356,15841,587517,12364,917335,12325,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1070518,2384,140080,6459,7777,1419,48131,3647,84172,5028,930438,6297,413042,6376,240191,6364,277205,5316,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,4615088,3534,421889,12696,31269,2957,139537,7454,251083,8665,4193199,12777,2164486,13267,929509,15232,1099204,14075,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,5255647,3568,573205,16175,30947,4064,187690,7882,354568,11775,4682442,16907,2225404,19872,1221124,17032,1235914,13911,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,7739230,4557,1178303,17524,91223,4427,414585,10112,672495,14157,6560927,17495,2766844,18171,1597184,16509,2196899,13671,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,4173617,3684,430702,10532,36549,3163,194848,8426,199305,6751,3742915,11149,1862315,13732,987529,12566,893071,9716,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,2246508,3764,470753,15078,48168,4051,127190,6736,295395,11294,1775755,15177,815240,11797,344467,8861,616048,12351,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,4644749,4476,653784,15955,62311,4284,227027,8284,364446,10185,3990965,16891,1896473,16219,907631,12839,1186861,13976,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,795900,2190,121524,6196,10664,1536,54431,4108,56429,3849,674376,6358,306149,6552,177035,6400,191192,4972,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1409250,2470,166170,6522,19178,2540,70700,4171,76292,4017,1243080,7140,664354,7237,293451,7341,285275,5680,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,2175658,2472,301324,12307,28594,2818,97240,5310,175490,9526,1874334,11809,848174,11449,441633,10598,584527,10828,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,1050634,1890,87890,6562,6044,1500,34638,3644,47208,4595,962744,6921,460286,7687,251926,5891,250532,5521,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,6957189,4754,695996,17833,64290,4689,194005,7177,437701,13702,6261193,18252,2935637,18800,1458976,18344,1866580,15146,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,1597183,3351,305245,10221,34443,3596,93312,5667,177490,7934,1291938,11456,569074,8970,278420,7438,444444,10609,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,15455411,6615,2202872,33244,193122,8313,614180,14901,1395570,23951,13252539,34365,6267661,29471,2976566,27768,4008312,24343,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,7585812,7089,1204749,21417,107718,6933,395224,10830,701807,15190,6381063,21980,2990698,22017,1388012,21219,2002353,15809,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,554704,1847,64703,3659,7835,1739,28133,2691,28735,2548,490001,4278,269178,5056,117761,4742,103062,3369,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,8948801,5469,1259487,23248,95619,5174,443130,12575,720738,17720,7689314,24385,3581033,22603,1782244,19698,2326037,17268,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,2901786,2802,424321,9255,46940,3406,134745,5877,242636,6580,2477465,9652,1224310,11099,488345,9751,764810,10266,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,3108133,3702,477359,13898,33611,3405,194968,8284,248780,9798,2630774,14740,1092655,14104,701622,14389,836497,9141,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,10001943,5674,1226906,25586,86040,4881,380314,12302,760552,18548,8775037,26921,4053165,23161,2034718,19989,2687154,20416,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,829875,1645,104549,6380,7864,1550,33022,3069,63663,5002,725326,6569,327487,7719,185753,6311,212086,6049,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,3684407,4278,594848,14378,60108,4839,186764,8329,347976,10628,3089559,14265,1406106,13950,642484,13014,1040969,12725,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,632200,1848,81201,4564,8592,1602,32313,3037,40296,3484,550999,5054,295635,5392,135775,4527,119589,3640,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,5030113,4306,771774,18395,69443,5437,250107,10884,452224,12817,4258339,19083,1982889,18133,900606,14052,1374844,17034,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,19635472,9812,2952522,40498,388294,11156,953059,20452,1611169,27806,16682950,40865,8422147,38768,3503643,34634,4757160,27770,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,2058630,2878,244776,10769,29646,2936,104717,6073,110413,6905,1813854,11065,839314,11539,493424,10422,481116,9077,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,496568,1222,57388,3854,4175,1068,21050,1892,32163,2846,439180,3938,207060,4145,118909,4541,113211,3699,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,6377424,5108,676729,17909,59737,4615,224638,9092,392354,14307,5700695,18843,2848789,19684,1265080,17117,1586826,15991,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,5443765,5155,704509,18957,46749,3781,264484,10065,393276,14771,4739256,19721,2162811,18093,1166983,16546,1409462,15252,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,1467587,2378,241138,8469,15630,1818,67195,4206,158313,6801,1226449,9157,519788,9008,234700,7057,471961,9025,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,4457074,3968,541489,11089,46518,3390,224037,7404,270934,7516,3915585,11675,1878980,13014,995782,11209,1040823,10541,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,446898,1874,45379,4088,4342,1090,20767,2647,20270,2581,401519,4396,204331,5064,103570,4432,93618,3700,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,2877802,2909,1219141,18644,78789,4927,197846,8256,942506,15797,1658661,18855,647787,11494,245800,9600,765074,11524,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
