GEO_ID,C17010B_001E,C17010B_001M,C17010B_002E,C17010B_002M,C17010B_003E,C17010B_003M,C17010B_004E,C17010B_004M,C17010B_005E,C17010B_005M,C17010B_006E,C17010B_006M,C17010B_007E,C17010B_007M,C17010B_008E,C17010B_008M,C17010B_009E,C17010B_009M,C17010B_010E,C17010B_010M,C17010B_011E,C17010B_011M,C17010B_012E,C17010B_012M,C17010B_013E,C17010B_013M,C17010B_014E,C17010B_014M,C17010B_015E,C17010B_015M,C17010B_016E,C17010B_016M,C17010B_017E,C17010B_017M,NAME,C17010B_001MA,C17010B_001EA,C17010B_002MA,C17010B_002EA,C17010B_003EA,C17010B_003MA,C17010B_004MA,C17010B_004EA,C17010B_005EA,C17010B_005MA,C17010B_006EA,C17010B_006MA,C17010B_007EA,C17010B_007MA,C17010B_008MA,C17010B_008EA,C17010B_009MA,C17010B_009EA,C17010B_010EA,C17010B_010MA,C17010B_011EA,C17010B_011MA,C17010B_012EA,C17010B_012MA,C17010B_013EA,C17010B_013MA,C17010B_014EA,C17010B_014MA,C17010B_015EA,C17010B_015MA,C17010B_016EA,C17010B_016MA,C17010B_017MA,C17010B_017EA,state
0400000US01,296687,6968,82031,3901,12814,2005,6250,1400,69217,4075,5691,1274,3215,1009,63526,4045,54924,3809,214656,6168,116165,5541,48943,3495,98491,5016,17672,2251,7760,1607,80819,4509,46937,3411,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,57273,2837,11303,1841,2463,765,2111,717,8840,1698,1416,692,1044,577,7424,1646,6396,1436,45970,2936,25869,2350,12861,1770,20101,2457,4866,1252,1959,678,15235,1954,10016,1736,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,100945,3682,30647,2750,6474,1435,3694,948,24173,2491,4334,1531,3550,1500,19839,2026,18058,2004,70298,3412,38602,2694,16363,2046,31696,2627,5822,1148,3301,874,25874,2485,15748,2301,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,486043,8102,104886,4288,17213,2066,11696,1789,87673,4294,12541,1786,9392,1510,75132,4036,63386,3776,381157,8580,198430,6761,88204,4774,182727,5966,42645,3577,20109,2571,140082,5130,80291,4258,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,41775,2463,8414,1382,2328,804,1780,704,6086,1346,964,529,851,548,5122,1303,4352,1155,33361,2237,21733,1884,9718,1442,11628,1637,3344,941,1886,771,8284,1410,5333,1160,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,80394,2792,14073,1973,1303,769,883,612,12770,1791,1213,626,788,536,11557,1733,10133,1790,66321,2894,31278,2436,16994,1885,35043,2425,4474,1106,2072,747,30569,2161,17736,1871,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,44758,2615,5901,1337,756,335,548,319,5145,1256,260,272,260,272,4885,1217,4599,1227,38857,2373,22063,2206,9704,1812,16794,2100,3583,1240,2362,1030,13211,1792,8418,1488,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,65950,2959,16555,1908,2044,633,620,307,14511,1892,2036,708,1749,736,12475,1837,9895,1565,49395,2836,18972,1998,7011,1359,30423,2137,5771,1157,2906,878,24652,1996,12153,1625,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,646957,9033,154955,5652,30783,3286,19157,2777,124172,4890,18391,2321,12469,1913,105781,4567,90532,4007,492002,9260,268356,8571,126035,6919,223646,7237,45956,3042,21425,2648,177690,6755,108894,5202,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
