GEO_ID,C17024_001E,C17024_001M,C17024_002E,C17024_002M,C17024_003E,C17024_003M,C17024_004E,C17024_004M,C17024_005E,C17024_005M,C17024_006E,C17024_006M,C17024_007E,C17024_007M,C17024_008E,C17024_008M,C17024_009E,C17024_009M,C17024_010E,C17024_010M,C17024_011E,C17024_011M,C17024_012E,C17024_012M,C17024_013E,C17024_013M,C17024_014E,C17024_014M,C17024_015E,C17024_015M,C17024_016E,C17024_016M,C17024_017E,C17024_017M,C17024_018E,C17024_018M,C17024_019E,C17024_019M,C17024_020E,C17024_020M,C17024_021E,C17024_021M,C17024_022E,C17024_022M,C17024_023E,C17024_023M,C17024_024E,C17024_024M,C17024_025E,C17024_025M,C17024_026E,C17024_026M,C17024_027E,C17024_027M,C17024_028E,C17024_028M,NAME,C17024_001EA,C17024_001MA,C17024_002EA,C17024_002MA,C17024_003MA,C17024_003EA,C17024_004EA,C17024_004MA,C17024_005EA,C17024_005MA,C17024_006MA,C17024_006EA,C17024_007MA,C17024_007EA,C17024_008EA,C17024_008MA,C17024_009MA,C17024_009EA,C17024_010MA,C17024_010EA,C17024_011EA,C17024_011MA,C17024_012EA,C17024_012MA,C17024_013EA,C17024_013MA,C17024_014EA,C17024_014MA,C17024_015MA,C17024_015EA,C17024_016EA,C17024_016MA,C17024_017EA,C17024_017MA,C17024_018MA,C17024_018EA,C17024_019EA,C17024_019MA,C17024_020EA,C17024_020MA,C17024_021MA,C17024_021EA,C17024_022MA,C17024_022EA,C17024_023EA,C17024_023MA,C17024_024MA,C17024_024EA,C17024_025MA,C17024_025EA,C17024_026EA,C17024_026MA,C17024_027MA,C17024_027EA,C17024_028MA,C17024_028EA,state
0400000US01,4716105,2548,1094482,3811,144219,9807,153372,9604,77495,7156,185074,9948,182475,9582,132881,7372,86924,5738,132042,6882,2919552,3949,236180,8717,275211,11457,155556,9228,422160,15259,499907,17826,402728,12842,292552,11878,635258,17732,702071,2771,17467,2325,56922,3378,38117,3355,135158,6152,141528,6124,98302,5391,72468,5258,142109,6174,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,718359,1166,184661,1396,10488,1864,11889,1708,8650,2153,30024,4554,30610,3716,29759,3402,23405,3250,39836,4065,469111,1525,18986,2320,22302,2085,16290,2438,50341,4640,62493,4910,62021,4986,57990,5268,178688,7580,64587,1146,1137,673,2214,632,1927,606,8287,1303,9396,1432,8363,1529,7024,1269,26239,2064,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6477191,3417,1589602,3544,202485,12630,218615,12322,105614,8564,292785,13298,266156,12420,185472,8691,121284,8423,197191,8788,3880768,1889,341990,12191,353820,13719,189131,9864,561915,18356,654211,19634,508928,16380,372891,16325,897882,18064,1006821,1666,30430,2736,59120,4825,46604,3727,165033,6750,199890,7355,149238,6798,110906,6263,245600,7018,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2873340,3117,697422,3137,88630,7519,113826,7728,53247,5971,130054,8989,119223,7647,77987,5172,45502,4275,68953,4920,1737929,2916,140021,7711,176918,7911,99534,7009,280744,11578,322308,11755,233109,9667,159383,8917,325912,11578,437989,2282,9544,1678,36530,2999,27789,2484,89991,4840,90006,5524,62568,4323,39202,2775,82359,4677,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,37593091,8648,9029269,9420,886219,26769,1235132,28935,621780,22461,1529050,31533,1387220,29730,921757,25553,667893,19769,1780218,25451,23866742,4366,1735814,34427,1983466,29952,1133267,27085,3282005,42725,3729901,60701,2824676,41425,2213522,33381,6964091,45753,4697080,3683,139045,6226,349148,9311,237474,8994,718119,15676,770427,15889,601657,13806,438924,11594,1442286,17125,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5151461,2077,1226054,3825,80130,6791,126512,10290,71463,7154,188045,11295,216112,10659,161175,9410,121121,7510,261496,8668,3296266,3538,191690,7796,222770,10348,127974,8353,387981,13588,522834,15179,458244,13462,367254,14154,1017519,16640,629141,2142,14122,1854,32222,2499,26659,2597,88757,4337,107650,5290,89349,5265,73359,4243,197023,5920,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3485353,2242,775131,2346,50538,6046,62185,6531,30333,4484,93404,7094,106682,7184,100432,6426,80000,6188,251557,9012,2188686,1365,105394,6579,117179,8027,64603,5230,187990,12070,283072,11795,279076,11580,250406,11784,900966,16124,521536,1355,12646,1663,25958,2241,15749,1973,71502,4349,83698,4136,71969,4345,57993,3994,182021,6216,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,900322,1123,200654,1074,18394,3923,17666,3791,12142,2704,31371,4169,30264,3967,26987,3174,18466,3143,45364,4174,556643,796,34397,3961,30537,3895,24524,3727,59350,5077,78605,5767,88699,6502,64328,5644,176203,8186,143025,657,4049,1248,6284,1208,5579,1114,19870,2068,24866,2038,23699,2368,18205,2130,40473,2743,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,611788,780,109340,878,17758,3418,11947,2955,5676,2058,16609,3104,12298,2130,7718,1758,4967,1655,32367,2321,431055,643,42134,3427,31233,3541,16667,3042,39473,4917,43070,3702,47350,5098,40014,3926,171114,6010,71393,513,3244,811,9235,1433,2640,572,8728,1338,7833,1207,7306,1175,5442,1093,26965,1923,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19129950,7199,3954275,7498,435683,19567,533082,22068,259773,16257,738674,22931,683165,21497,464378,16173,298517,12955,541003,12744,11597278,4800,902458,20858,1000218,25852,557733,19974,1733985,36640,2125638,39734,1597693,34956,1125257,31320,2554296,35777,3578397,4016,120612,7251,261280,9415,185077,6833,604704,12178,698606,12586,515441,13197,352950,12665,839727,15376,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
