GEO_ID,B10001_001E,B10001_001M,B10001_002E,B10001_002M,B10001_003E,B10001_003M,B10001_004E,B10001_004M,NAME,B10001_001EA,B10001_001MA,B10001_002MA,B10001_002EA,B10001_003MA,B10001_003EA,B10001_004MA,B10001_004EA,state
0400000US01,109708,6831,44659,3519,35748,3589,29301,3033,Alabama,null,null,null,null,null,null,null,null,01
0400000US02,10738,1634,4556,834,3633,741,2549,722,Alaska,null,null,null,null,null,null,null,null,02
0400000US04,144928,8268,65082,4985,47478,4501,32368,2967,Arizona,null,null,null,null,null,null,null,null,04
0400000US05,64552,5613,27122,2899,21502,3011,15928,2436,Arkansas,null,null,null,null,null,null,null,null,05
0400000US06,807325,17576,388731,10631,240490,8935,178104,7676,California,null,null,null,null,null,null,null,null,06
0400000US08,68047,5750,31622,3522,23282,2903,13143,1750,Colorado,null,null,null,null,null,null,null,null,08
0400000US09,45298,4135,19270,2342,15468,2242,10560,1790,Connecticut,null,null,null,null,null,null,null,null,09
0400000US10,21048,2784,10422,1631,6875,1761,3751,867,Delaware,null,null,null,null,null,null,null,null,10
0400000US11,12598,2623,5374,1473,4266,1439,2958,895,District of Columbia,null,null,null,null,null,null,null,null,11
0400000US12,352311,14649,159120,8811,114861,7441,78330,5212,Florida,null,null,null,null,null,null,null,null,12
0400000US13,220570,11108,98755,6210,65963,5375,55852,4068,Georgia,null,null,null,null,null,null,null,null,13
0400000US15,47467,3827,20784,2436,14729,1701,11954,1931,Hawaii,null,null,null,null,null,null,null,null,15
0400000US16,20594,2796,9492,2167,5582,1062,5520,1201,Idaho,null,null,null,null,null,null,null,null,16
0400000US17,210959,8762,100022,5695,63919,4769,47018,3905,Illinois,null,null,null,null,null,null,null,null,17
0400000US18,114510,7407,52717,4124,37527,3865,24266,2582,Indiana,null,null,null,null,null,null,null,null,18
0400000US19,30365,2666,13316,1497,10145,1760,6904,997,Iowa,null,null,null,null,null,null,null,null,19
0400000US20,43930,4438,19658,2500,13499,2120,10773,1683,Kansas,null,null,null,null,null,null,null,null,20
0400000US21,88701,5244,35944,2853,29693,2820,23064,2322,Kentucky,null,null,null,null,null,null,null,null,21
0400000US22,120799,7588,53914,4201,35267,3702,31618,3420,Louisiana,null,null,null,null,null,null,null,null,22
0400000US23,17558,2433,7508,1424,5853,1218,4197,791,Maine,null,null,null,null,null,null,null,null,23
0400000US24,111143,6210,53272,3480,31625,3014,26246,2942,Maryland,null,null,null,null,null,null,null,null,24
0400000US25,79036,5103,36044,3779,25120,2742,17872,1922,Massachusetts,null,null,null,null,null,null,null,null,25
0400000US26,150209,7495,68593,4601,45527,3730,36089,2726,Michigan,null,null,null,null,null,null,null,null,26
0400000US27,50142,4483,24811,2673,16379,1990,8952,1522,Minnesota,null,null,null,null,null,null,null,null,27
0400000US28,97730,7552,40875,3933,32246,3558,24609,2973,Mississippi,null,null,null,null,null,null,null,null,28
0400000US29,102351,6147,45203,3785,34455,3042,22693,2481,Missouri,null,null,null,null,null,null,null,null,29
0400000US30,15002,2635,6792,1341,4623,1324,3587,860,Montana,null,null,null,null,null,null,null,null,30
0400000US31,21219,3028,10236,1597,6078,1256,4905,1058,Nebraska,null,null,null,null,null,null,null,null,31
0400000US32,46305,5103,21628,2847,13832,2223,10845,2080,Nevada,null,null,null,null,null,null,null,null,32
0400000US33,16903,2952,6668,1518,5826,1333,4409,1641,New Hampshire,null,null,null,null,null,null,null,null,33
0400000US34,127307,9054,61323,5542,38803,4641,27181,2212,New Jersey,null,null,null,null,null,null,null,null,34
0400000US35,53217,4763,22745,2833,17078,2385,13394,2108,New Mexico,null,null,null,null,null,null,null,null,35
0400000US36,321714,10276,157865,7021,94631,5111,69218,4147,New York,null,null,null,null,null,null,null,null,36
0400000US37,192730,9722,84269,5631,61828,4270,46633,4284,North Carolina,null,null,null,null,null,null,null,null,37
0400000US38,7303,1662,3703,955,2072,670,1528,697,North Dakota,null,null,null,null,null,null,null,null,38
0400000US39,197041,8243,83022,4391,61791,3988,52228,3612,Ohio,null,null,null,null,null,null,null,null,39
0400000US40,82451,5252,35707,3205,25505,2369,21239,1815,Oklahoma,null,null,null,null,null,null,null,null,40
0400000US41,54037,4723,24310,2986,17993,2342,11734,1951,Oregon,null,null,null,null,null,null,null,null,41
0400000US42,205902,10067,100901,5751,61955,4782,43046,3728,Pennsylvania,null,null,null,null,null,null,null,null,42
0400000US44,13166,2261,5923,1318,4085,1170,3158,872,Rhode Island,null,null,null,null,null,null,null,null,44
0400000US45,112823,8371,44571,4124,38260,4091,29992,3721,South Carolina,null,null,null,null,null,null,null,null,45
0400000US46,14355,2326,5951,1385,5052,1079,3352,871,South Dakota,null,null,null,null,null,null,null,null,46
0400000US47,141905,6944,61671,4404,47281,3349,32953,3203,Tennessee,null,null,null,null,null,null,null,null,47
0400000US48,665756,18789,311895,10452,209960,9001,143901,7487,Texas,null,null,null,null,null,null,null,null,48
0400000US49,49275,5010,23044,2874,15816,2514,10415,2035,Utah,null,null,null,null,null,null,null,null,49
