GEO_ID,B11001F_001E,B11001F_001M,B11001F_002E,B11001F_002M,B11001F_003E,B11001F_003M,B11001F_004E,B11001F_004M,B11001F_005E,B11001F_005M,B11001F_006E,B11001F_006M,B11001F_007E,B11001F_007M,B11001F_008E,B11001F_008M,B11001F_009E,B11001F_009M,NAME,B11001F_001EA,B11001F_001MA,B11001F_002EA,B11001F_002MA,B11001F_003MA,B11001F_003EA,B11001F_004MA,B11001F_004EA,B11001F_005MA,B11001F_005EA,B11001F_006EA,B11001F_006MA,B11001F_007EA,B11001F_007MA,B11001F_008MA,B11001F_008EA,B11001F_009MA,B11001F_009EA,state
0400000US01,15625,1780,12654,1660,8225,1558,4429,1071,2096,768,2333,871,2971,1099,2204,1123,767,348,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,2602,727,1724,543,1314,604,410,316,0,145,410,316,878,484,660,493,218,167,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,116911,5669,90737,5073,51301,3666,39436,3349,12482,1785,26954,2807,26174,2993,17919,2347,8255,1801,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,13311,1798,10499,1625,6062,1281,4437,972,1608,714,2829,866,2812,947,1830,753,982,642,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1230432,15796,1012995,12591,614160,11649,398835,7815,140725,5106,258110,6739,217437,8757,149888,6371,67549,4696,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,63373,4211,47881,3832,30652,3141,17229,2236,5981,1512,11248,1710,15492,1797,11453,1662,4039,933,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,56494,3721,40800,3022,19013,2015,21787,2395,6132,1404,15655,1950,15694,2082,13167,1996,2527,909,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,5811,1105,4257,978,2229,731,2028,753,944,537,1084,636,1554,544,1239,504,315,254,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,8015,1323,5227,1087,2412,937,2815,981,1984,839,831,418,2788,1041,2328,904,460,370,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,134409,6730,99329,6346,62245,4581,37084,3886,12131,2246,24953,3017,35080,3393,24340,2613,10740,1986,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,69944,3896,57143,3889,38816,3434,18327,2341,7419,1408,10908,2008,12801,2014,7856,1791,4945,1192,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,3932,955,2827,825,2102,671,725,451,297,262,428,322,1105,467,942,429,163,147,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,8388,1346,7180,1160,5211,1103,1969,784,619,409,1350,647,1208,643,1058,647,150,157,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,189010,5716,156306,5193,100967,4486,55339,3028,21304,2290,34035,2680,32704,3194,22960,2703,9744,1542,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,40076,2918,30893,2720,19417,2652,11476,1635,3773,1066,7703,1355,9183,1555,6743,1319,2440,790,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,8767,1423,5582,951,4558,825,1024,436,356,188,668,399,3185,1047,2840,1004,345,226,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,17702,1555,13585,1453,9509,1163,4076,915,1522,599,2554,774,4117,1029,3435,961,682,361,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,8689,1412,6323,1263,3368,917,2955,896,1276,609,1679,684,2366,794,1576,687,790,378,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,13133,1738,7499,1356,5226,1025,2273,850,1236,585,1037,549,5634,1105,4388,1085,1246,539,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,45731,2896,37950,2832,22225,2491,15725,2084,7587,1422,8138,1627,7781,1466,4951,1054,2830,902,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,86390,4605,61284,3883,24601,2253,36683,2890,7641,1651,29042,2313,25106,2849,19726,2646,5380,1359,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,33523,2618,26241,2292,15254,1698,10987,1852,3966,1156,7021,1268,7282,1391,5640,1233,1642,650,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,21163,2199,16402,1796,8254,1298,8148,1405,2599,905,5549,1260,4761,1354,2726,981,2035,784,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,6179,1403,4279,1028,2558,701,1721,726,955,670,766,382,1900,962,1787,953,113,153,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,19325,1923,12216,1411,6310,1122,5906,1199,2403,911,3503,998,7109,1382,6371,1294,738,469,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,761,331,620,327,382,277,238,200,126,117,112,146,141,130,141,130,0,161,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,7765,1101,6460,938,4483,765,1977,551,248,185,1729,556,1305,582,860,492,445,279,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,71450,3885,56038,3257,31868,2717,24170,2550,9329,1544,14841,2255,15412,2172,11472,2051,3940,827,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,2142,747,1501,585,582,358,919,438,418,316,501,364,641,412,389,343,252,281,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,178051,6755,134402,5500,71870,4330,62532,3697,18481,1844,44051,3328,43649,3339,31819,3062,11830,1845,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,70130,4072,49270,3704,28928,3137,20342,2411,6396,1415,13946,2308,20860,2260,17695,1959,3165,1088,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,515934,9513,383651,9307,178769,6453,204882,6560,50444,3774,154438,6544,132283,6390,105927,6044,26356,2548,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,82878,4537,65643,4023,38529,3164,27114,3324,10522,2200,16592,2558,17235,2599,11211,2232,6024,1260,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,1675,696,1071,572,470,271,601,444,399,351,202,260,604,363,469,360,135,151,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,28044,2699,19675,2063,11812,1745,7863,1339,2572,831,5291,1085,8369,1612,6282,1289,2087,770,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,26561,1691,19811,1632,13362,1399,6449,998,2917,677,3532,722,6750,1140,5222,931,1528,503,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,35586,3255,28003,2888,17245,2195,10758,2032,5272,1348,5486,1374,7583,1358,5376,1285,2207,668,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,65000,4702,47725,4247,20348,2596,27377,2976,6725,1604,20652,2380,17275,2404,11874,1972,5401,1447,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,18871,1618,14065,1455,7107,1139,6958,1278,1222,591,5736,1204,4806,1030,3701,902,1105,591,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,18466,2600,14223,2521,7510,1644,6713,1964,1914,1070,4799,1455,4243,1144,1952,696,2291,867,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,25142,2447,18922,2181,11596,1783,7326,1607,2289,847,5037,1267,6220,1403,3629,998,2591,908,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,421018,10917,322012,8783,209349,7630,112663,6186,37311,4094,75352,4424,99006,6092,72565,5437,26441,2775,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,32497,2258,28724,2197,19045,2116,9679,1902,3322,949,6357,1653,3773,1007,2403,819,1370,640,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
