GEO_ID,B14005_001E,B14005_001M,B14005_002E,B14005_002M,B14005_003E,B14005_003M,B14005_004E,B14005_004M,B14005_005E,B14005_005M,B14005_006E,B14005_006M,B14005_007E,B14005_007M,B14005_008E,B14005_008M,B14005_009E,B14005_009M,B14005_010E,B14005_010M,B14005_011E,B14005_011M,B14005_012E,B14005_012M,B14005_013E,B14005_013M,B14005_014E,B14005_014M,B14005_015E,B14005_015M,B14005_016E,B14005_016M,B14005_017E,B14005_017M,B14005_018E,B14005_018M,B14005_019E,B14005_019M,B14005_020E,B14005_020M,B14005_021E,B14005_021M,B14005_022E,B14005_022M,B14005_023E,B14005_023M,B14005_024E,B14005_024M,B14005_025E,B14005_025M,B14005_026E,B14005_026M,B14005_027E,B14005_027M,B14005_028E,B14005_028M,B14005_029E,B14005_029M,NAME,B14005_001EA,B14005_001MA,B14005_002EA,B14005_002MA,B14005_003EA,B14005_003MA,B14005_004EA,B14005_004MA,B14005_005MA,B14005_005EA,B14005_006EA,B14005_006MA,B14005_007EA,B14005_007MA,B14005_008EA,B14005_008MA,B14005_009EA,B14005_009MA,B14005_010EA,B14005_010MA,B14005_011MA,B14005_011EA,B14005_012MA,B14005_012EA,B14005_013MA,B14005_013EA,B14005_014EA,B14005_014MA,B14005_015EA,B14005_015MA,B14005_016EA,B14005_016MA,B14005_017MA,B14005_017EA,B14005_018MA,B14005_018EA,B14005_019MA,B14005_019EA,B14005_020MA,B14005_020EA,B14005_021EA,B14005_021MA,B14005_022MA,B14005_022EA,B14005_023MA,B14005_023EA,B14005_024MA,B14005_024EA,B14005_025MA,B14005_025EA,B14005_026EA,B14005_026MA,B14005_027EA,B14005_027MA,B14005_028MA,B14005_028EA,B14005_029MA,B14005_029EA,state
0400000US01,266406,5349,135400,4654,110934,4554,22263,2541,6672,1332,81999,4420,24466,2638,15707,1942,8772,1590,2823,826,4112,1079,8759,1697,2437,1216,1826,827,4496,1216,131006,4053,113404,3823,25161,2213,7737,1397,80506,3956,17602,2481,12748,1897,4690,1097,2140,692,5918,1568,4854,1631,722,418,1528,790,2604,1270,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,41183,2338,21637,1858,15663,1427,3317,708,993,529,11353,1328,5974,1384,5138,1347,2984,1055,957,633,1197,594,836,366,270,243,15,19,551,273,19546,1596,15391,1707,4728,994,622,361,10041,1524,4155,901,3488,839,2041,666,433,338,1014,401,667,323,151,139,194,200,322,155,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,366121,4870,189951,3630,156407,4790,33308,3161,11712,1857,111387,4444,33544,2788,22036,2311,13879,2059,2814,767,5343,1042,11508,1592,3538,1118,1949,1066,6021,1182,176170,3744,150467,4439,41982,3155,11320,2026,97165,3950,25703,2334,18499,2048,9289,1543,2841,778,6369,1568,7204,1578,1859,833,1391,533,3954,1029,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,166422,3740,84240,3176,70047,2913,13851,2155,3716,919,52480,2911,14193,1967,10111,1479,5403,1071,2507,659,2201,815,4082,1253,1714,793,1206,841,1162,616,82182,3549,70323,3197,18433,1918,4003,972,47887,3055,11859,1989,8171,1463,4615,1343,597,295,2959,924,3688,1416,547,325,298,278,2843,1218,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2134326,10534,1090445,6930,928650,9283,142897,4790,67146,3508,718607,8711,161795,5569,121067,5056,61057,4172,22671,1936,37339,3304,40728,3095,12080,1848,6301,1433,22347,2114,1043881,7950,929246,9722,174911,6249,61389,3713,692946,10495,114635,4986,93081,4678,43272,3358,17626,2650,32183,2923,21554,2191,5102,976,2847,709,13605,1774,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,269002,4393,139578,3579,114589,3395,32963,2407,9520,1546,72106,3499,24989,2202,17442,1719,12369,1581,2179,645,2894,813,7547,1573,2808,788,1120,616,3619,1076,129424,3243,111439,3437,38679,2573,5975,1096,66785,3721,17985,2141,12599,1849,8397,1462,1731,623,2471,653,5386,1334,2268,853,743,452,2375,819,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,203228,3124,102781,1990,90683,2750,22360,2091,7679,1532,60644,2741,12098,1933,8978,1690,5427,1233,1689,631,1862,816,3120,1004,1648,713,571,454,901,608,100447,2632,90376,2873,30885,2557,8364,1441,51127,3139,10071,1430,7384,1282,4399,973,717,393,2268,881,2687,1010,1085,645,287,258,1315,599,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,49978,2009,25342,1261,21983,1557,5140,991,1612,641,15231,1649,3359,958,2562,898,1569,738,187,142,806,569,797,408,253,261,282,270,262,193,24636,1375,21752,1626,6009,1213,1809,578,13934,1399,2884,930,2222,744,1482,572,366,405,374,268,662,480,396,400,0,185,266,245,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,33106,1892,15434,1356,13668,1400,1812,639,795,469,11061,1238,1766,722,1494,742,265,241,390,345,839,642,272,221,49,83,90,144,133,149,17672,1265,15434,1557,2641,815,304,228,12489,1520,2238,925,1677,933,430,419,316,391,931,557,561,354,72,115,206,226,283,291,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,959995,9588,490908,8097,412420,8834,72547,4743,29687,2783,310186,7123,78488,4965,48943,3844,26626,3168,7701,1828,14616,2018,29545,3087,8194,1906,4677,1245,16674,2419,469087,6422,407148,6559,88288,4744,25522,2699,293338,7204,61939,4065,44420,3834,21379,2704,7120,1869,15921,2671,17519,2323,5986,1499,3070,1064,8463,1565,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
