GEO_ID,B16005F_001E,B16005F_001M,B16005F_002E,B16005F_002M,B16005F_003E,B16005F_003M,B16005F_004E,B16005F_004M,B16005F_005E,B16005F_005M,B16005F_006E,B16005F_006M,B16005F_007E,B16005F_007M,B16005F_008E,B16005F_008M,B16005F_009E,B16005F_009M,B16005F_010E,B16005F_010M,B16005F_011E,B16005F_011M,NAME,B16005F_001EA,B16005F_001MA,B16005F_002EA,B16005F_002MA,B16005F_003EA,B16005F_003MA,B16005F_004MA,B16005F_004EA,B16005F_005MA,B16005F_005EA,B16005F_006EA,B16005F_006MA,B16005F_007EA,B16005F_007MA,B16005F_008MA,B16005F_008EA,B16005F_009MA,B16005F_009EA,B16005F_010MA,B16005F_010EA,B16005F_011MA,B16005F_011EA,state
0400000US01,62136,5835,30258,4216,10035,2525,20223,3490,14276,2950,5947,1961,31878,3569,2530,1030,29348,3614,10876,1989,18472,2926,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,8886,1830,5359,1471,2108,758,3251,1246,2344,1073,907,770,3527,1160,145,126,3382,1160,1291,841,2091,919,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,397798,19083,257053,14351,102259,8170,154794,10325,134799,9470,19995,3011,140745,9340,5615,1083,135130,9236,50098,5031,85032,6800,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,45047,5091,21600,3056,4876,1357,16724,2823,13231,2078,3493,1604,23447,3445,3450,1665,19997,3020,3812,940,16185,2852,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4703370,49134,2591011,34667,771024,18256,1819987,30280,1611107,29739,208880,9745,2112359,29222,75239,4883,2037120,28735,583116,14582,1454004,22870,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,199508,13408,129143,9412,66742,6239,62401,6261,52510,5662,9891,2041,70365,7089,3372,1228,66993,6946,23183,3777,43810,4877,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,183224,10970,120805,9245,26577,3698,94228,8023,68562,6499,25666,3631,62419,6155,3822,1733,58597,5908,15734,2876,42863,4452,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,18869,3074,12521,2404,2756,963,9765,2157,8030,1928,1735,723,6348,2158,807,544,5541,2116,1504,642,4037,1689,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,25729,4012,9425,2107,1271,473,8154,2048,6791,1779,1363,1102,16304,3202,497,341,15807,3162,3436,1301,12371,2954,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,453641,23004,245871,14074,79798,7407,166073,11800,131888,9656,34185,4598,207770,15196,20812,4200,186958,14315,68877,6906,118081,9951,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
