GEO_ID,B17025_001E,B17025_001M,B17025_002E,B17025_002M,B17025_003E,B17025_003M,B17025_004E,B17025_004M,B17025_005E,B17025_005M,B17025_006E,B17025_006M,B17025_007E,B17025_007M,B17025_008E,B17025_008M,B17025_009E,B17025_009M,B17025_010E,B17025_010M,B17025_011E,B17025_011M,B17025_012E,B17025_012M,B17025_013E,B17025_013M,B17025_014E,B17025_014M,B17025_015E,B17025_015M,NAME,B17025_001MA,B17025_001EA,B17025_002EA,B17025_002MA,B17025_003MA,B17025_003EA,B17025_004EA,B17025_004MA,B17025_005EA,B17025_005MA,B17025_006MA,B17025_006EA,B17025_007MA,B17025_007EA,B17025_008EA,B17025_008MA,B17025_009MA,B17025_009EA,B17025_010EA,B17025_010MA,B17025_011EA,B17025_011MA,B17025_012MA,B17025_012EA,B17025_013EA,B17025_013MA,B17025_014MA,B17025_014EA,B17025_015EA,B17025_015MA,state
0400000US01,4727549,2783,910175,25515,870995,24335,864519,24540,6476,2188,39180,4839,7357,1706,31823,4569,3817374,25803,3701951,24855,3665536,24970,36415,3923,115423,7061,47156,3841,68267,5987,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,717723,893,80627,6821,72460,6002,70731,5894,1729,821,8167,2916,2340,1086,5827,2744,637096,6751,591140,6799,575463,7144,15677,2165,45956,2827,27823,2221,18133,2320,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6573369,3679,1199061,26607,966747,23896,950462,23360,16285,4037,232314,13629,55272,5025,177042,11778,5374308,26069,4705182,23122,4625221,22225,79961,5314,669126,14806,301502,9474,367624,12023,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2882856,1835,543882,15436,510525,14735,506383,14637,4142,1052,33357,4062,5833,1588,27524,3708,2338974,15627,2234041,15624,2219051,15658,14990,2055,104933,6109,35903,3245,69030,6023,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,38060228,7073,6259098,64461,4375437,49907,4311743,48738,63694,5254,1883661,28937,565097,13015,1318564,28363,31801130,63863,23271264,67021,22848194,67007,423070,12337,8529866,42860,4551716,34988,3978150,40195,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5237149,2559,630786,21138,542586,18380,533056,18587,9530,2390,88200,7080,20691,2720,67509,6012,4606363,20810,4162684,22367,4093045,22466,69639,4859,443679,11825,191245,7775,252434,11248,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3485629,1870,374772,16369,321129,14886,280950,13395,40179,4518,53643,5027,17852,2738,35791,4294,3110857,16327,2681995,18026,2590584,17278,91411,7014,428862,12289,214683,9410,214179,9612,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,909611,1367,113508,7940,103101,7460,101114,7311,1987,1335,10407,1844,3712,1174,6695,1677,796103,7616,726948,8361,713693,8652,13255,1926,69155,4845,35273,3700,33882,4000,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,624327,573,110666,7793,96358,6745,94869,6613,1489,748,14308,2466,3988,1290,10320,2240,513661,7611,441018,8786,430936,8948,10082,1514,72643,5165,29331,3387,43312,3868,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19470210,6164,3211615,59681,2457502,51124,2327540,48992,129962,11212,754113,22987,290623,12181,463490,19077,16258595,61305,13077199,58114,12540212,56148,536987,15550,3181396,37542,1829956,25800,1351440,31677,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
