GEO_ID,B18101D_001E,B18101D_001M,B18101D_002E,B18101D_002M,B18101D_003E,B18101D_003M,B18101D_004E,B18101D_004M,B18101D_005E,B18101D_005M,B18101D_006E,B18101D_006M,B18101D_007E,B18101D_007M,B18101D_008E,B18101D_008M,B18101D_009E,B18101D_009M,B18101D_010E,B18101D_010M,NAME,B18101D_001EA,B18101D_001MA,B18101D_002EA,B18101D_002MA,B18101D_003MA,B18101D_003EA,B18101D_004MA,B18101D_004EA,B18101D_005EA,B18101D_005MA,B18101D_006MA,B18101D_006EA,B18101D_007EA,B18101D_007MA,B18101D_008EA,B18101D_008MA,B18101D_009MA,B18101D_009EA,B18101D_010EA,B18101D_010MA,state
0400000US01,57722,2995,12656,1404,387,297,12269,1425,39938,2322,2058,916,37880,2200,5128,1103,1339,501,3789,1105,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,43199,2231,10377,1464,267,215,10110,1447,29314,1530,1887,744,27427,1735,3508,607,1470,445,2038,681,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,210063,4806,47322,2840,1537,797,45785,2746,140920,3790,7479,1359,133441,3855,21821,1136,5671,1185,16150,1494,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,36286,2267,8429,1131,179,222,8250,1103,25754,1711,1083,531,24671,1658,2103,663,703,408,1400,541,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5370916,18288,1016641,10976,18644,1984,997997,10892,3628577,9942,165512,6209,3463065,10890,725698,3227,234008,6845,491690,6791,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,156451,4077,35393,2240,794,496,34599,2182,106455,2924,5785,1130,100670,3057,14603,733,4642,984,9961,1062,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,150850,3770,32661,2089,787,406,31874,2016,107308,2391,3967,1189,103341,2685,10881,750,3262,881,7619,699,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,36092,874,8126,689,0,185,8126,689,24574,941,1169,480,23405,1014,3392,409,841,633,2551,822,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,24840,1156,2317,767,0,198,2317,767,20936,795,1446,837,19490,975,1587,216,444,283,1143,336,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,522706,7748,100370,4575,1867,846,98503,4427,358183,4868,16482,2540,341701,5704,64153,1776,18045,2405,46108,2647,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,369960,5538,86102,3074,1468,727,84634,2945,254715,3624,7262,1436,247453,4143,29143,1432,8118,1509,21025,1795,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,528220,9837,81915,4715,2144,817,79771,4525,323338,6345,21045,2463,302293,6121,122967,2361,43770,2364,79197,2822,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
