GEO_ID,B19131_001E,B19131_001M,B19131_002E,B19131_002M,B19131_003E,B19131_003M,B19131_004E,B19131_004M,B19131_005E,B19131_005M,B19131_006E,B19131_006M,B19131_007E,B19131_007M,B19131_008E,B19131_008M,B19131_009E,B19131_009M,B19131_010E,B19131_010M,B19131_011E,B19131_011M,B19131_012E,B19131_012M,B19131_013E,B19131_013M,B19131_014E,B19131_014M,B19131_015E,B19131_015M,B19131_016E,B19131_016M,B19131_017E,B19131_017M,B19131_018E,B19131_018M,B19131_019E,B19131_019M,B19131_020E,B19131_020M,B19131_021E,B19131_021M,B19131_022E,B19131_022M,B19131_023E,B19131_023M,B19131_024E,B19131_024M,B19131_025E,B19131_025M,B19131_026E,B19131_026M,B19131_027E,B19131_027M,B19131_028E,B19131_028M,B19131_029E,B19131_029M,B19131_030E,B19131_030M,B19131_031E,B19131_031M,B19131_032E,B19131_032M,B19131_033E,B19131_033M,B19131_034E,B19131_034M,B19131_035E,B19131_035M,B19131_036E,B19131_036M,B19131_037E,B19131_037M,B19131_038E,B19131_038M,B19131_039E,B19131_039M,B19131_040E,B19131_040M,B19131_041E,B19131_041M,B19131_042E,B19131_042M,B19131_043E,B19131_043M,B19131_044E,B19131_044M,B19131_045E,B19131_045M,B19131_046E,B19131_046M,B19131_047E,B19131_047M,B19131_048E,B19131_048M,B19131_049E,B19131_049M,B19131_050E,B19131_050M,B19131_051E,B19131_051M,B19131_052E,B19131_052M,B19131_053E,B19131_053M,B19131_054E,B19131_054M,B19131_055E,B19131_055M,B19131_056E,B19131_056M,B19131_057E,B19131_057M,B19131_058E,B19131_058M,B19131_059E,B19131_059M,B19131_060E,B19131_060M,B19131_061E,B19131_061M,B19131_062E,B19131_062M,B19131_063E,B19131_063M,B19131_064E,B19131_064M,B19131_065E,B19131_065M,B19131_066E,B19131_066M,B19131_067E,B19131_067M,B19131_068E,B19131_068M,B19131_069E,B19131_069M,B19131_070E,B19131_070M,B19131_071E,B19131_071M,B19131_072E,B19131_072M,B19131_073E,B19131_073M,B19131_074E,B19131_074M,B19131_075E,B19131_075M,B19131_076E,B19131_076M,B19131_077E,B19131_077M,B19131_078E,B19131_078M,B19131_079E,B19131_079M,B19131_080E,B19131_080M,B19131_081E,B19131_081M,B19131_082E,B19131_082M,B19131_083E,B19131_083M,B19131_084E,B19131_084M,B19131_085E,B19131_085M,B19131_086E,B19131_086M,B19131_087E,B19131_087M,B19131_088E,B19131_088M,B19131_089E,B19131_089M,B19131_090E,B19131_090M,B19131_091E,B19131_091M,B19131_092E,B19131_092M,B19131_093E,B19131_093M,B19131_094E,B19131_094M,B19131_095E,B19131_095M,B19131_096E,B19131_096M,B19131_097E,B19131_097M,B19131_098E,B19131_098M,B19131_099E,B19131_099M,B19131_100E,B19131_100M,B19131_101E,B19131_101M,B19131_102E,B19131_102M,B19131_103E,B19131_103M,B19131_104E,B19131_104M,B19131_105E,B19131_105M,B19131_106E,B19131_106M,B19131_107E,B19131_107M,NAME,B19131_001MA,B19131_001EA,B19131_002MA,B19131_002EA,B19131_003EA,B19131_003MA,B19131_004MA,B19131_004EA,B19131_005EA,B19131_005MA,B19131_006EA,B19131_006MA,B19131_007MA,B19131_007EA,B19131_008EA,B19131_008MA,B19131_009EA,B19131_009MA,B19131_010EA,B19131_010MA,B19131_011EA,B19131_011MA,B19131_012MA,B19131_012EA,B19131_013EA,B19131_013MA,B19131_014EA,B19131_014MA,B19131_015MA,B19131_015EA,B19131_016EA,B19131_016MA,B19131_017EA,B19131_017MA,B19131_018EA,B19131_018MA,B19131_019EA,B19131_019MA,B19131_020EA,B19131_020MA,B19131_021EA,B19131_021MA,B19131_022EA,B19131_022MA,B19131_023MA,B19131_023EA,B19131_024MA,B19131_024EA,B19131_025EA,B19131_025MA,B19131_026MA,B19131_026EA,B19131_027EA,B19131_027MA,B19131_028EA,B19131_028MA,B19131_029MA,B19131_029EA,B19131_030MA,B19131_030EA,B19131_031EA,B19131_031MA,B19131_032MA,B19131_032EA,B19131_033EA,B19131_033MA,B19131_034MA,B19131_034EA,B19131_035MA,B19131_035EA,B19131_036EA,B19131_036MA,B19131_037MA,B19131_037EA,B19131_038EA,B19131_038MA,B19131_039EA,B19131_039MA,B19131_040MA,B19131_040EA,B19131_041MA,B19131_041EA,B19131_042MA,B19131_042EA,B19131_043EA,B19131_043MA,B19131_044EA,B19131_044MA,B19131_045MA,B19131_045EA,B19131_046MA,B19131_046EA,B19131_047MA,B19131_047EA,B19131_048MA,B19131_048EA,B19131_049EA,B19131_049MA,B19131_050EA,B19131_050MA,B19131_051MA,B19131_051EA,B19131_052MA,B19131_052EA,B19131_053MA,B19131_053EA,B19131_054EA,B19131_054MA,B19131_055EA,B19131_055MA,B19131_056MA,B19131_056EA,B19131_057MA,B19131_057EA,B19131_058MA,B19131_058EA,B19131_059MA,B19131_059EA,B19131_060EA,B19131_060MA,B19131_061EA,B19131_061MA,B19131_062MA,B19131_062EA,B19131_063MA,B19131_063EA,B19131_064MA,B19131_064EA,B19131_065EA,B19131_065MA,B19131_066EA,B19131_066MA,B19131_067EA,B19131_067MA,B19131_068MA,B19131_068EA,B19131_069MA,B19131_069EA,B19131_070MA,B19131_070EA,B19131_071EA,B19131_071MA,B19131_072EA,B19131_072MA,B19131_073MA,B19131_073EA,B19131_074MA,B19131_074EA,B19131_075EA,B19131_075MA,B19131_076MA,B19131_076EA,B19131_077EA,B19131_077MA,B19131_078MA,B19131_078EA,B19131_079MA,B19131_079EA,B19131_080EA,B19131_080MA,B19131_081MA,B19131_081EA,B19131_082EA,B19131_082MA,B19131_083EA,B19131_083MA,B19131_084MA,B19131_084EA,B19131_085MA,B19131_085EA,B19131_086EA,B19131_086MA,B19131_087MA,B19131_087EA,B19131_088EA,B19131_088MA,B19131_089MA,B19131_089EA,B19131_090MA,B19131_090EA,B19131_091EA,B19131_091MA,B19131_092MA,B19131_092EA,B19131_093EA,B19131_093MA,B19131_094EA,B19131_094MA,B19131_095MA,B19131_095EA,B19131_096MA,B19131_096EA,B19131_097MA,B19131_097EA,B19131_098EA,B19131_098MA,B19131_099EA,B19131_099MA,B19131_100MA,B19131_100EA,B19131_101MA,B19131_101EA,B19131_102MA,B19131_102EA,B19131_103MA,B19131_103EA,B19131_104EA,B19131_104MA,B19131_105EA,B19131_105MA,B19131_106MA,B19131_106EA,B19131_107MA,B19131_107EA,state
0400000US01,1232515,11755,870026,12061,306139,6930,5730,1252,5124,1103,7082,1666,9246,1471,11721,1912,11689,1897,13133,2149,12633,2099,14198,1911,23518,2499,38430,3373,55206,2959,39398,2819,22711,2585,20635,2181,15685,1704,563887,9567,11854,1599,12270,1606,16952,1835,22663,2291,25620,2155,26287,2359,27879,2399,29699,2546,28272,2466,55528,3349,68719,4087,85726,4488,58655,4072,33953,3116,34073,2756,25737,1842,362489,7696,77605,4478,31141,3065,4024,1189,1805,712,2005,756,3322,1317,1510,638,2812,940,2065,812,2120,757,1538,698,2610,945,3003,1071,1958,785,1524,746,290,303,182,274,373,275,46464,3159,4486,1228,1735,695,2736,784,3535,992,3727,1078,4442,869,2551,902,2844,816,2539,665,4459,1143,3916,946,5014,1047,2174,687,968,481,776,474,562,454,284884,6553,148968,5330,40780,3578,20844,2358,16561,1925,17399,2370,10610,1409,8150,1666,6440,1294,6928,1784,4565,1128,5994,1168,3278,737,4921,1269,1344,908,620,323,391,302,143,153,135916,4954,15273,2229,11512,1512,10689,1433,11504,1661,13373,1695,8897,1398,8671,1197,9384,1699,7681,1259,10318,1394,12276,1530,8933,1729,3347,768,2808,827,664,311,586,320,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,165015,3765,124028,3565,56370,3033,601,418,550,334,771,512,800,369,1495,729,856,490,1696,509,1157,407,1957,669,2855,659,6333,1182,8518,1183,9453,1300,6280,1019,8238,1086,4810,968,67658,2626,811,324,589,398,693,273,1194,439,1197,394,2250,716,1573,498,2033,579,1917,646,4314,887,7224,1099,12153,1564,9807,1300,7302,1270,7545,1095,7056,1333,40987,3201,14666,1760,8619,1296,424,148,385,194,815,472,812,565,296,127,305,158,175,111,789,524,878,549,804,410,1228,679,601,296,856,403,90,104,147,128,14,27,6047,1002,555,421,163,132,155,138,161,90,307,245,107,66,275,127,448,436,315,283,464,274,824,462,615,372,555,375,359,277,310,195,434,264,26321,2332,16473,1830,2407,830,1144,429,1333,584,1512,576,1384,620,1207,449,1011,561,1058,572,403,224,1928,669,1486,558,656,298,683,323,119,110,123,117,19,32,9848,1279,180,97,208,167,575,250,427,253,539,431,525,349,331,145,346,190,412,180,807,405,942,401,2016,859,882,434,621,267,680,385,357,266,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1579481,13962,1141295,13485,429582,10389,11160,1649,8074,1450,11681,1885,15892,2129,15686,2154,17106,2121,16764,2156,16422,2115,14991,2083,35926,2929,49288,3875,66982,4191,54323,3855,30772,3006,32239,2484,32276,2158,711713,10105,16441,1657,15344,1729,16472,1710,21852,1926,30847,2589,32006,2680,33857,2826,34486,2689,33720,2306,66374,3575,87329,4748,110971,4761,76752,4144,44411,2438,45373,3066,45478,3356,438186,9863,134120,5652,64558,4339,6978,1565,3313,1008,4807,1286,5145,1177,4882,1149,5412,1328,3821,1107,3670,1140,3729,979,5464,1388,5928,1374,4695,1092,3567,985,892,451,962,436,1293,693,69562,3938,5214,1107,2634,769,3730,998,4118,1065,4892,1263,3487,961,3982,889,5444,1025,3688,981,8047,1793,7812,1512,7704,1508,3949,1048,2402,590,1017,455,1442,499,304066,7963,164373,6653,37941,3114,15510,2035,15575,1925,13355,1785,10411,1839,13876,1784,8305,1523,7942,1524,6325,1341,11972,2129,9379,1654,7702,1284,3244,1081,1123,547,823,535,890,577,139693,5600,10796,1536,8323,1465,8161,1570,8364,1046,9159,1481,10768,1825,8414,1209,8163,1284,7322,1255,14865,2044,15452,2197,15449,1735,6713,1282,4536,991,2297,842,911,511,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,752212,9854,546528,9376,197891,6124,3374,969,3858,996,4857,1125,8387,1558,8460,1465,8762,1294,11095,1678,9205,1630,8797,1449,18671,2156,24197,2124,34458,3285,23305,2367,10712,1594,10375,1760,9378,1400,348637,8733,7817,1126,8230,1510,12575,1427,17064,1996,18145,1970,19419,1847,19358,2111,19717,1969,18066,2057,36638,2528,44291,2908,50145,3877,31657,2365,17287,2044,14448,1393,13780,1593,205684,7012,53552,4358,27574,2899,2929,898,2164,815,1953,809,1675,682,2769,982,2313,719,2932,935,1042,480,1672,868,2415,828,1347,622,1656,895,1336,738,797,545,255,265,319,427,25978,2719,1457,508,1232,533,1888,650,1201,492,1965,646,1605,478,1701,563,1985,810,2352,995,2415,611,3294,1040,3063,941,1089,694,267,208,324,246,140,119,152132,5472,85354,4595,19904,2367,10794,1567,10951,1758,10279,1888,6284,1559,4361,1263,5222,1220,3146,851,2510,795,3408,852,4599,1162,2299,847,668,460,719,616,156,199,54,69,66778,3396,5974,1254,4264,916,5290,961,6231,1307,5397,1023,5646,1152,5826,1204,4793,897,4366,1096,6175,1147,5155,1083,4014,940,1604,581,701,398,401,293,941,550,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8762059,27318,6239143,26454,2764763,19546,47776,3427,49621,3834,70153,3897,92678,4683,98715,5806,105472,5314,103536,5198,99053,4302,91216,4599,174595,6420,258554,8400,367597,9045,318071,8775,223478,7570,294872,8052,369376,8314,3474380,19879,64179,3686,59650,3578,93037,3857,95677,4745,106312,4762,115450,4649,117686,5561,123804,4910,114100,5198,237393,7143,345139,8413,493941,9777,413135,10326,296069,7472,364237,8775,434571,8600,2522916,23148,772276,14460,342929,10262,27061,2821,22617,2529,25436,2634,30237,3351,22137,2847,24056,2882,18318,2404,18463,2315,16994,2226,26700,2869,33759,3048,30613,2835,17672,2507,9774,1729,9401,1767,9691,1472,429347,10112,20123,2422,15048,1806,18658,1989,18982,1903,21463,2334,25227,2572,24832,2977,20609,2355,24198,2438,40937,3420,49647,3746,58710,4335,35260,3033,22157,2378,19952,2110,13544,2201,1750640,18960,878527,16532,179140,7865,89266,5651,76504,4354,73734,4255,58102,4536,51344,3591,45519,3976,43254,4077,31540,2814,56218,3973,61929,3924,51976,4576,28302,2592,10593,1855,12000,1553,9106,1525,872113,12703,45116,3476,45851,2713,49527,3513,58119,3989,55725,3629,52303,3516,51541,3444,44663,3484,41652,3051,74784,3573,96827,4913,107457,5352,61552,3485,34583,2928,29959,2693,22454,2284,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1315283,8405,1005726,10270,422618,7404,5371,1223,3320,897,6783,1456,11238,1843,11839,1733,13573,1934,13257,1886,14293,2082,13128,1671,27350,3201,43425,3239,70207,3475,57586,3122,38387,3225,45347,3051,47514,2888,583108,8328,7125,1343,7258,1103,9513,1154,14609,1566,17978,1975,20237,2146,19860,2072,20797,2322,21437,1741,46310,3042,65665,3579,98950,4516,75766,3654,50004,3833,54658,2916,52941,3397,309557,7641,99135,5173,54983,3602,3236,996,1639,706,2357,934,3853,1033,2955,892,3597,1164,3540,1069,4134,1325,3826,1090,4182,1076,6274,1370,5754,1364,4092,1158,1201,480,2443,756,1900,836,44152,3386,1265,491,1471,758,1688,608,2507,801,2247,829,2693,840,2047,612,2234,630,2569,745,3685,796,6035,1251,7335,1290,2980,779,1852,614,2247,724,1297,471,210422,6507,123004,5623,23272,2679,9309,1769,9890,1827,9316,1621,8625,1506,9270,1536,7332,1493,7119,1512,6298,1427,8560,1611,8602,1258,8108,1618,2997,795,1056,594,1921,752,1329,729,87418,4739,4431,928,3796,1076,5487,1243,4720,836,4489,794,5170,1021,4678,972,5386,1044,5812,1135,9372,1431,10288,1610,11966,1884,6361,1113,2754,805,1580,499,1128,484,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,887263,10002,650673,9276,257352,6736,2486,730,1881,709,2777,843,2466,822,4376,1182,2483,661,5643,1283,5625,1403,5113,1111,10497,1823,20100,2253,39040,3612,34249,3129,29037,2937,38258,2756,53321,3299,393321,6865,4669,1080,3309,960,4085,872,6299,1121,9376,1526,11264,1432,11634,1479,10041,1477,11671,1462,24743,2412,36391,2795,61942,3243,50642,3124,40488,2654,47398,3068,59369,2970,236590,6825,64771,4207,28577,2840,2746,1184,1797,731,2068,763,1032,569,2628,1096,1176,598,1499,679,1369,586,1786,852,2448,902,2966,932,1896,712,2204,985,408,268,1310,656,1244,581,36194,3105,1095,592,362,398,579,228,1547,579,964,502,1472,701,2222,846,1692,624,1546,736,3779,1088,4948,1289,5979,1328,3354,874,2046,723,2539,772,2070,752,171819,6120,93092,4441,13790,2300,7533,1480,8991,1663,8743,1439,7577,1528,5152,1352,5697,1270,3897,1036,3906,1321,5357,1084,6609,1274,8379,1278,3536,994,1415,514,1080,480,1430,578,78727,4031,4270,1067,2472,912,3937,929,2715,673,4996,1334,4886,1037,3323,732,3970,1002,3409,968,7849,1276,10206,1608,12080,1595,6328,1384,2710,815,3139,792,2437,741,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,233000,4645,165362,4195,56405,3103,545,478,649,501,1159,603,1256,511,1211,662,432,201,564,309,1417,639,1936,789,2668,644,6567,1142,9552,1589,8326,1076,7040,1382,7374,1163,5709,1286,108957,3381,1292,532,937,399,1799,735,2717,661,3064,721,4890,952,3728,1047,4539,849,4716,1035,8796,1166,13196,1662,18670,1693,13733,1531,8817,1335,9064,1264,8999,1239,67638,3162,18157,2184,7487,1284,761,415,213,234,52,94,477,315,501,334,1034,687,472,272,262,236,263,188,484,372,864,524,1008,579,401,345,56,49,282,337,357,369,10670,1747,470,376,418,471,210,142,687,426,181,164,765,452,486,389,519,280,723,495,1002,457,1762,667,1461,598,572,377,879,642,347,266,188,199,49481,2861,25846,2580,4953,1187,1176,647,1856,786,1807,738,2532,982,2619,947,2642,911,624,423,1253,533,2107,681,1614,515,1645,828,343,220,623,428,0,185,52,75,23635,1736,1125,526,1278,539,1182,468,1028,418,861,410,1258,537,1708,643,1554,613,1745,717,2770,743,2217,722,3193,909,2157,758,491,266,663,272,405,338,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,117864,3359,66244,3097,24546,1745,127,126,164,235,504,379,585,534,226,190,504,418,0,198,741,431,318,272,1287,583,1832,667,1937,662,1763,533,1754,509,3480,691,9324,1265,41698,2744,596,324,320,207,437,302,1092,525,454,276,667,397,370,192,730,267,1059,509,1269,540,3582,970,4486,832,4698,880,3281,756,6159,1032,12498,1672,51620,3103,9496,1621,3608,960,312,262,107,175,507,428,216,289,160,212,202,301,256,282,224,231,0,198,101,163,592,357,247,139,440,612,0,198,146,159,98,163,5888,1127,754,587,185,246,85,142,272,216,42,71,425,389,198,151,556,358,187,190,855,455,838,417,506,335,287,205,185,208,339,245,174,148,42124,2614,20932,2409,5448,1241,962,479,1470,684,2473,954,2271,972,960,587,632,392,326,240,569,400,1002,481,1216,586,1601,809,795,436,720,456,142,157,345,256,21192,1932,1989,688,1151,457,915,392,1440,577,1002,419,759,419,725,330,1007,516,1001,413,1723,643,1904,643,2805,775,1863,658,1001,420,1145,439,762,358,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4693411,24879,3380103,24537,1097577,14815,22169,2829,18516,2144,27724,2975,37860,3652,41571,3517,45145,3869,48340,4025,48985,4085,44768,3740,94354,5834,131243,5431,167596,7620,132593,6142,77722,5086,75306,4136,83685,4355,2282526,19170,55175,4383,45882,3256,62939,4151,91998,5723,101981,5213,106549,5273,111678,5823,111120,5715,106333,5268,215975,7363,277109,8608,335513,8817,231071,7638,136776,5228,138603,5297,153824,6644,1313308,18799,353537,9783,155425,7677,15408,1983,8669,1499,12150,1929,13662,2139,13911,2138,13996,2465,11402,2191,8462,1793,7405,1709,12864,2273,11160,1653,10815,1814,7081,1600,2474,714,2307,863,3659,1305,198112,6585,9100,1507,9916,1709,11313,1958,12012,1898,12327,1928,13064,1928,14389,2001,13164,2121,12025,2148,20038,2456,22497,2323,18477,2454,13469,2013,5794,1265,5978,1530,4549,1120,959771,14173,494344,11156,101762,5338,52026,4046,51551,4353,45652,3930,41217,3869,34081,3542,26755,2781,27435,3036,18407,2332,30331,3312,26055,3075,20835,2789,9680,1970,3478,1008,2906,956,2173,763,465427,8979,28726,2083,28315,2459,32999,2902,34348,2597,33881,3121,36321,3148,30721,2532,32132,3273,29187,2956,48373,3494,50569,3133,42355,3397,19537,1900,8015,1431,5815,929,4133,1327,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
