GEO_ID,B20017B_001E,B20017B_001M,B20017B_002E,B20017B_002M,B20017B_003E,B20017B_003M,B20017B_004E,B20017B_004M,B20017B_005E,B20017B_005M,B20017B_006E,B20017B_006M,B20017B_007E,B20017B_007M,NAME,B20017B_001MA,B20017B_001EA,B20017B_002MA,B20017B_002EA,B20017B_003EA,B20017B_003MA,B20017B_004EA,B20017B_004MA,B20017B_005EA,B20017B_005MA,B20017B_006MA,B20017B_006EA,B20017B_007MA,B20017B_007EA,state
0400000US01,21422,383,24620,1082,32424,1325,7077,633,20150,572,27068,617,8870,749,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,24556,6599,29091,7657,31826,6111,10783,1765,18122,7713,38107,15057,11069,4809,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,25500,1719,27401,3817,38396,2716,8888,1447,21985,2184,32225,2150,10922,921,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,21171,672,24328,2373,31010,708,9113,1606,19403,1309,26548,1214,8285,836,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,30298,442,31462,683,47274,1413,10559,570,28363,1177,42629,1320,10172,493,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,25885,922,27118,1605,39905,2459,10441,1081,23631,2103,36513,1370,8326,1222,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,27034,835,26949,1587,40660,1739,10877,900,27097,1298,41050,1182,11989,874,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,27890,1780,28921,2350,40509,3307,9403,1558,27213,1763,37391,1587,7547,1254,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,31202,1038,31289,1821,45235,4086,10042,1633,31128,1322,49619,3352,10081,1777,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,22463,312,23959,552,31870,506,10125,443,21649,344,29996,565,10391,311,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,25086,395,26853,456,36616,505,9175,636,23027,668,32288,455,8867,487,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,35787,3703,37865,5418,44414,7883,18842,17392,29290,10843,45318,12714,6972,4941,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,16180,1758,17128,6107,21711,7534,8737,6792,6889,8748,33750,11086,4554,1548,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,26030,407,27914,1243,42270,1366,9257,869,24720,841,36889,636,10402,416,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,21871,667,22426,1834,36433,2404,8540,1562,21496,778,31564,640,8274,839,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,20990,3408,22172,5695,31608,3502,8278,1264,18703,5023,30785,5293,9126,2399,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,22911,1680,24005,2479,34405,5762,8016,1696,21516,2394,30902,1432,9039,2075,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,20696,861,20850,1184,31118,1376,9133,966,20511,1258,30455,1190,7467,1149,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,21436,443,26439,789,35567,969,7985,1140,18928,573,25465,643,8981,538,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,16708,4926,21380,2823,40341,16507,7097,2735,12483,6273,52533,29269,6111,5845,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
