GEO_ID,B25003G_001E,B25003G_001M,B25003G_002E,B25003G_002M,B25003G_003E,B25003G_003M,NAME,B25003G_001EA,B25003G_001MA,B25003G_002MA,B25003G_002EA,B25003G_003MA,B25003G_003EA,state
0400000US01,19730,2114,12162,1586,7568,1447,Alabama,null,null,null,null,null,null,01
0400000US02,11527,1271,5197,926,6330,1125,Alaska,null,null,null,null,null,null,02
0400000US04,46633,3886,23327,2318,23306,2686,Arizona,null,null,null,null,null,null,04
0400000US05,16768,1945,9718,1394,7050,1539,Arkansas,null,null,null,null,null,null,05
0400000US06,392951,7397,171418,5485,221533,6584,California,null,null,null,null,null,null,06
0400000US08,47041,3487,21940,2148,25101,2614,Colorado,null,null,null,null,null,null,08
0400000US09,22639,2169,9788,1325,12851,1751,Connecticut,null,null,null,null,null,null,09
0400000US10,3713,925,2025,676,1688,604,Delaware,null,null,null,null,null,null,10
0400000US11,5635,1077,1229,457,4406,933,District of Columbia,null,null,null,null,null,null,11
0400000US12,105762,6589,53139,3953,52623,4692,Florida,null,null,null,null,null,null,12
0400000US13,44389,3407,22705,2218,21684,2367,Georgia,null,null,null,null,null,null,13
0400000US15,70700,3663,36415,2892,34285,2870,Hawaii,null,null,null,null,null,null,15
0400000US16,8891,1233,5318,1144,3573,859,Idaho,null,null,null,null,null,null,16
0400000US17,61086,3672,29291,2257,31795,2694,Illinois,null,null,null,null,null,null,17
0400000US18,30811,2805,15365,1983,15446,2100,Indiana,null,null,null,null,null,null,18
0400000US19,12141,1606,5083,1070,7058,1281,Iowa,null,null,null,null,null,null,19
0400000US20,21404,2058,10534,1396,10870,1542,Kansas,null,null,null,null,null,null,20
0400000US21,19860,2186,9354,1388,10506,1369,Kentucky,null,null,null,null,null,null,21
0400000US22,17192,2100,9100,1275,8092,1698,Louisiana,null,null,null,null,null,null,22
0400000US23,8077,1084,3777,797,4300,959,Maine,null,null,null,null,null,null,23
0400000US24,40681,2976,24223,2409,16458,1968,Maryland,null,null,null,null,null,null,24
0400000US25,46639,3268,14499,1808,32140,3170,Massachusetts,null,null,null,null,null,null,25
0400000US26,57210,3591,31338,2387,25872,2484,Michigan,null,null,null,null,null,null,26
0400000US27,28339,2342,13714,1552,14625,1578,Minnesota,null,null,null,null,null,null,27
0400000US28,8008,1684,4434,1124,3574,1089,Mississippi,null,null,null,null,null,null,28
0400000US29,37687,3200,20798,2013,16889,2340,Missouri,null,null,null,null,null,null,29
0400000US30,5695,1203,3273,797,2422,887,Montana,null,null,null,null,null,null,30
0400000US31,8866,1337,3583,767,5283,988,Nebraska,null,null,null,null,null,null,31
0400000US32,28796,2546,11926,1448,16870,2268,Nevada,null,null,null,null,null,null,32
0400000US33,6651,1269,3075,792,3576,1052,New Hampshire,null,null,null,null,null,null,33
0400000US34,46523,3017,23794,2201,22729,2432,New Jersey,null,null,null,null,null,null,34
0400000US35,17556,1681,9454,1351,8102,1565,New Mexico,null,null,null,null,null,null,35
0400000US36,139961,6125,49915,3324,90046,5873,New York,null,null,null,null,null,null,36
0400000US37,49507,3163,23566,2677,25941,2106,North Carolina,null,null,null,null,null,null,37
0400000US38,5265,1376,1994,803,3271,1189,North Dakota,null,null,null,null,null,null,38
0400000US39,66296,3941,27430,2285,38866,3153,Ohio,null,null,null,null,null,null,39
0400000US40,78873,3304,44070,2036,34803,2203,Oklahoma,null,null,null,null,null,null,40
0400000US41,45118,3054,18707,1868,26411,2636,Oregon,null,null,null,null,null,null,41
0400000US42,62328,4064,28935,2372,33393,3146,Pennsylvania,null,null,null,null,null,null,42
0400000US44,7285,1393,2154,634,5131,1244,Rhode Island,null,null,null,null,null,null,44
0400000US45,18987,2260,10991,1559,7996,1502,South Carolina,null,null,null,null,null,null,45
0400000US46,5204,999,2836,724,2368,770,South Dakota,null,null,null,null,null,null,46
0400000US47,34366,2894,17462,2002,16904,2169,Tennessee,null,null,null,null,null,null,47
0400000US48,163402,6065,81036,4123,82366,4868,Texas,null,null,null,null,null,null,48
0400000US49,11800,1653,6043,1105,5757,1276,Utah,null,null,null,null,null,null,49
0400000US50,4269,893,2247,671,2022,635,Vermont,null,null,null,null,null,null,50
0400000US51,57688,3938,30697,2797,26991,2827,Virginia,null,null,null,null,null,null,51
0400000US53,86702,4134,38820,2664,47882,3588,Washington,null,null,null,null,null,null,53
0400000US54,5930,1223,3717,938,2213,629,West Virginia,null,null,null,null,null,null,54
0400000US55,24120,2406,10796,1513,13324,2156,Wisconsin,null,null,null,null,null,null,55
0400000US56,4067,1132,1719,606,2348,978,Wyoming,null,null,null,null,null,null,56
0400000US72,76583,3907,48044,3114,28539,2318,Puerto Rico,null,null,null,null,null,null,72
