GEO_ID,B25081_001E,B25081_001M,B25081_002E,B25081_002M,B25081_003E,B25081_003M,B25081_004E,B25081_004M,B25081_005E,B25081_005M,B25081_006E,B25081_006M,B25081_007E,B25081_007M,B25081_008E,B25081_008M,NAME,B25081_001EA,B25081_001MA,B25081_002MA,B25081_002EA,B25081_003MA,B25081_003EA,B25081_004MA,B25081_004EA,B25081_005MA,B25081_005EA,B25081_006MA,B25081_006EA,B25081_007EA,B25081_007MA,B25081_008EA,B25081_008MA,state
0400000US01,1246080,12085,714687,9945,90019,4188,23268,2489,66751,3680,4469,1117,620199,9360,531393,8917,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,156006,4250,103179,3869,9064,1313,2358,593,6706,1113,488,393,93627,4070,52827,2371,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1484857,11801,956507,11704,119791,4225,28920,2239,90871,3697,4922,1084,831794,11344,528350,8875,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,744318,10448,413767,9667,30299,2616,10479,1595,19820,2200,645,311,382823,9763,330551,7086,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,6855688,27608,4929106,26058,840234,12375,201962,6581,638272,10329,41678,3778,4047194,23900,1926582,16196,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1302533,10820,948014,10751,154979,5407,56685,3016,98294,4066,6979,1327,786056,10197,354519,6438,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,900039,8072,628902,8526,129674,3851,25158,2189,104516,3164,3251,727,495977,8548,271137,5712,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,245808,4425,170546,3729,27944,2440,7018,1434,20926,1909,1923,943,140679,4128,75262,3429,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,112492,3641,85550,3521,16862,1960,4805,1118,12057,1439,905,553,67783,2915,26942,2120,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4693821,26616,2728967,21466,407705,9083,90313,4270,317392,8328,17439,2045,2303823,19676,1964854,18332,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2232553,17839,1492541,15212,206439,6827,64396,3857,142043,5449,8060,1593,1278042,14441,740012,10866,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,255375,5028,169261,4586,33880,2242,6112,1145,27768,2189,890,417,134491,4116,86114,3674,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,402394,6319,264640,7082,41648,4244,12071,1995,29577,3494,805,542,222187,7533,137754,4949,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3125655,15819,2031234,15321,332548,6767,64937,3769,267611,6489,9974,1409,1688712,15040,1094421,11787,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1716341,13216,1145374,12497,166483,6179,35769,2781,130714,4984,5293,1034,973598,11790,570967,8013,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,879878,7925,534125,7016,74717,3330,21408,1908,53309,2777,3513,801,455895,6827,345753,6200,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,739168,7329,445622,6648,47319,2731,12219,1567,35100,2301,2361,797,395942,6106,293546,5415,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1131197,10706,671840,9897,102423,4191,24322,2426,78101,3646,3286,774,566131,9596,459357,7423,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1106785,10765,589089,8924,53305,3486,15630,2065,37675,2849,3215,788,532569,8323,517696,8721,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,392139,5035,244300,5398,47658,3213,6150,1065,41508,2902,867,350,195775,5282,147839,4085,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,1426748,11362,1048905,11158,206051,5666,48947,3540,157104,4810,9606,1552,833248,10359,377843,7871,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,1570332,11411,1092156,10525,215603,6599,38672,2737,176931,6216,8041,1535,868512,10717,478176,6989,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,2693284,15012,1658889,13896,272338,6596,54211,2936,218127,6274,8390,1128,1378161,14029,1034395,10516,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,1526406,9904,1019821,9646,190511,5851,51276,2926,139235,4701,7590,1118,821720,9631,506585,7101,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,741504,10031,379452,9108,35042,2748,8449,1332,26593,2322,1291,508,343119,8568,362052,7581,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,1575626,12914,988438,11856,122407,5334,31803,2552,90604,4506,4643,987,861388,11095,587188,8557,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,272856,4625,150293,4362,17119,1706,4250,795,12869,1493,505,298,132669,4158,122563,3801,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
