GEO_ID,B27015_001E,B27015_001M,B27015_002E,B27015_002M,B27015_003E,B27015_003M,B27015_004E,B27015_004M,B27015_005E,B27015_005M,B27015_006E,B27015_006M,B27015_007E,B27015_007M,B27015_008E,B27015_008M,B27015_009E,B27015_009M,B27015_010E,B27015_010M,B27015_011E,B27015_011M,B27015_012E,B27015_012M,B27015_013E,B27015_013M,B27015_014E,B27015_014M,B27015_015E,B27015_015M,B27015_016E,B27015_016M,B27015_017E,B27015_017M,B27015_018E,B27015_018M,B27015_019E,B27015_019M,B27015_020E,B27015_020M,B27015_021E,B27015_021M,B27015_022E,B27015_022M,B27015_023E,B27015_023M,B27015_024E,B27015_024M,B27015_025E,B27015_025M,B27015_026E,B27015_026M,NAME,B27015_001MA,B27015_001EA,B27015_002MA,B27015_002EA,B27015_003EA,B27015_003MA,B27015_004MA,B27015_004EA,B27015_005EA,B27015_005MA,B27015_006EA,B27015_006MA,B27015_007MA,B27015_007EA,B27015_008MA,B27015_008EA,B27015_009EA,B27015_009MA,B27015_010EA,B27015_010MA,B27015_011MA,B27015_011EA,B27015_012MA,B27015_012EA,B27015_013MA,B27015_013EA,B27015_014EA,B27015_014MA,B27015_015EA,B27015_015MA,B27015_016EA,B27015_016MA,B27015_017MA,B27015_017EA,B27015_018MA,B27015_018EA,B27015_019MA,B27015_019EA,B27015_020EA,B27015_020MA,B27015_021EA,B27015_021MA,B27015_022MA,B27015_022EA,B27015_023MA,B27015_023EA,B27015_024MA,B27015_024EA,B27015_025EA,B27015_025MA,B27015_026EA,B27015_026MA,state
0400000US01,4719755,1932,1125137,24065,893206,17412,361640,11274,675201,15601,231931,12114,1190435,30270,1009838,27168,702368,19676,506401,17708,180597,10587,858028,24527,775810,22364,656354,19594,251095,11225,82218,7558,583728,19526,544810,17838,495974,16077,115240,7198,38918,5013,962427,23958,924176,23047,881763,21896,138899,6762,38251,5093,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,696753,1618,71812,5283,51784,4910,19282,2793,39753,4344,20028,2777,112950,7866,88690,7210,49789,5402,49821,5541,24260,2778,122764,8258,97173,6728,76052,6010,34897,3750,25591,3605,103507,8122,86882,7342,76304,6829,19913,2951,16625,2877,285720,9591,254157,8670,236515,8433,43741,3155,31563,3644,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6567654,1732,1262675,23615,1010492,20199,334557,12432,803948,20315,252183,11063,1578116,37004,1279956,30455,752107,19507,748259,25169,298160,13757,1284812,26148,1116282,24021,883605,20681,397508,15039,168530,12298,860304,28521,776339,26209,678093,25428,199449,9779,83965,6879,1581747,32371,1489503,31144,1370440,29006,258960,11082,92244,8458,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2881177,756,669283,19194,558695,16635,189475,8966,448145,14136,110588,8635,804538,20987,682232,17075,421181,11518,378662,13370,122306,7619,559048,18554,500229,16890,394297,15108,183065,8617,58819,6094,350430,17864,325417,17357,288502,16130,77057,5312,25013,3308,497878,21032,473947,20250,441237,19545,79245,5292,23931,3848,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,37909963,5321,5876757,66804,4835537,54964,1507622,26376,3812512,49262,1041220,26986,7698030,77413,6240896,68867,3277633,46413,3706215,49276,1457134,30078,6442732,83045,5514347,68171,4012927,48044,2107021,42839,928385,28285,4978699,68799,4442696,61105,3640037,50969,1242323,31581,536003,21534,12913745,82208,12149379,73513,11014985,69144,2097290,25918,764366,21384,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5218644,2396,699141,19076,595185,17454,243892,8448,438064,15135,103956,7866,1049818,24325,886097,21354,555773,16188,467568,14808,163721,10150,962407,22833,840961,21311,673397,18326,283416,10652,121446,9055,779548,25857,710899,21347,621469,17408,160642,10357,68649,7334,1727730,30252,1646295,28980,1543397,27726,231695,8941,81435,7033,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3473292,1220,429592,14731,391205,13846,125121,6246,325958,12520,38387,4475,573062,17436,504577,15236,265833,10650,334933,11375,68485,6700,529039,19476,479221,18006,372464,15504,184311,9540,49818,5293,480368,20287,454737,19102,393226,17344,115198,7498,25631,3810,1461231,22811,1400462,21981,1313711,20769,198289,10194,60769,6389,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,907678,554,125753,7869,110242,7005,45785,4072,85804,6466,15511,3511,183050,10590,160609,9245,102813,6320,92286,6645,22441,3381,162905,10495,148977,9704,116712,7459,59694,5209,13928,2697,131975,10082,124306,9467,106999,8878,35692,4487,7669,1958,303995,11993,292322,11658,271726,11349,51149,3942,11673,2258,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,616753,509,114442,7916,108894,8021,33391,3323,88974,7800,5548,1919,90180,7399,82868,6881,44165,4086,48811,5535,7312,2083,82273,6813,74343,6224,53451,4867,31085,4617,7930,2226,69546,7038,65919,6788,50944,5010,22446,3883,3627,1157,260312,7944,253057,7912,235447,7792,38020,3240,7255,2187,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19425660,3419,3770682,55131,2885290,43656,1074961,23717,2227354,37306,885392,26276,4923639,58634,3867593,47862,2378173,37948,2168948,36316,1056046,31790,3856243,57489,3208580,46740,2479124,35338,1214643,28606,647663,23645,2435536,52064,2147658,45806,1843242,40699,590259,17948,287878,14013,4439560,50529,4107890,52273,3696381,50369,869761,20886,331670,15000,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
