GEO_ID,B27017_001E,B27017_001M,B27017_002E,B27017_002M,B27017_003E,B27017_003M,B27017_004E,B27017_004M,B27017_005E,B27017_005M,B27017_006E,B27017_006M,B27017_007E,B27017_007M,B27017_008E,B27017_008M,B27017_009E,B27017_009M,B27017_010E,B27017_010M,B27017_011E,B27017_011M,B27017_012E,B27017_012M,B27017_013E,B27017_013M,B27017_014E,B27017_014M,B27017_015E,B27017_015M,B27017_016E,B27017_016M,B27017_017E,B27017_017M,B27017_018E,B27017_018M,B27017_019E,B27017_019M,B27017_020E,B27017_020M,B27017_021E,B27017_021M,B27017_022E,B27017_022M,B27017_023E,B27017_023M,B27017_024E,B27017_024M,B27017_025E,B27017_025M,B27017_026E,B27017_026M,B27017_027E,B27017_027M,B27017_028E,B27017_028M,B27017_029E,B27017_029M,B27017_030E,B27017_030M,B27017_031E,B27017_031M,B27017_032E,B27017_032M,B27017_033E,B27017_033M,B27017_034E,B27017_034M,B27017_035E,B27017_035M,B27017_036E,B27017_036M,B27017_037E,B27017_037M,B27017_038E,B27017_038M,B27017_039E,B27017_039M,B27017_040E,B27017_040M,B27017_041E,B27017_041M,B27017_042E,B27017_042M,B27017_043E,B27017_043M,B27017_044E,B27017_044M,B27017_045E,B27017_045M,B27017_046E,B27017_046M,B27017_047E,B27017_047M,B27017_048E,B27017_048M,B27017_049E,B27017_049M,B27017_050E,B27017_050M,B27017_051E,B27017_051M,B27017_052E,B27017_052M,B27017_053E,B27017_053M,B27017_054E,B27017_054M,B27017_055E,B27017_055M,B27017_056E,B27017_056M,B27017_057E,B27017_057M,B27017_058E,B27017_058M,B27017_059E,B27017_059M,B27017_060E,B27017_060M,B27017_061E,B27017_061M,B27017_062E,B27017_062M,B27017_063E,B27017_063M,B27017_064E,B27017_064M,B27017_065E,B27017_065M,B27017_066E,B27017_066M,B27017_067E,B27017_067M,B27017_068E,B27017_068M,B27017_069E,B27017_069M,B27017_070E,B27017_070M,B27017_071E,B27017_071M,B27017_072E,B27017_072M,B27017_073E,B27017_073M,B27017_074E,B27017_074M,B27017_075E,B27017_075M,B27017_076E,B27017_076M,B27017_077E,B27017_077M,B27017_078E,B27017_078M,B27017_079E,B27017_079M,B27017_080E,B27017_080M,B27017_081E,B27017_081M,B27017_082E,B27017_082M,B27017_083E,B27017_083M,B27017_084E,B27017_084M,B27017_085E,B27017_085M,B27017_086E,B27017_086M,B27017_087E,B27017_087M,B27017_088E,B27017_088M,B27017_089E,B27017_089M,B27017_090E,B27017_090M,B27017_091E,B27017_091M,NAME,B27017_001EA,B27017_001MA,B27017_002MA,B27017_002EA,B27017_003MA,B27017_003EA,B27017_004MA,B27017_004EA,B27017_005EA,B27017_005MA,B27017_006EA,B27017_006MA,B27017_007MA,B27017_007EA,B27017_008MA,B27017_008EA,B27017_009MA,B27017_009EA,B27017_010MA,B27017_010EA,B27017_011EA,B27017_011MA,B27017_012EA,B27017_012MA,B27017_013MA,B27017_013EA,B27017_014EA,B27017_014MA,B27017_015MA,B27017_015EA,B27017_016EA,B27017_016MA,B27017_017EA,B27017_017MA,B27017_018MA,B27017_018EA,B27017_019MA,B27017_019EA,B27017_020MA,B27017_020EA,B27017_021MA,B27017_021EA,B27017_022EA,B27017_022MA,B27017_023EA,B27017_023MA,B27017_024EA,B27017_024MA,B27017_025EA,B27017_025MA,B27017_026MA,B27017_026EA,B27017_027EA,B27017_027MA,B27017_028EA,B27017_028MA,B27017_029MA,B27017_029EA,B27017_030EA,B27017_030MA,B27017_031MA,B27017_031EA,B27017_032MA,B27017_032EA,B27017_033EA,B27017_033MA,B27017_034EA,B27017_034MA,B27017_035MA,B27017_035EA,B27017_036MA,B27017_036EA,B27017_037EA,B27017_037MA,B27017_038EA,B27017_038MA,B27017_039EA,B27017_039MA,B27017_040MA,B27017_040EA,B27017_041MA,B27017_041EA,B27017_042EA,B27017_042MA,B27017_043EA,B27017_043MA,B27017_044MA,B27017_044EA,B27017_045EA,B27017_045MA,B27017_046MA,B27017_046EA,B27017_047MA,B27017_047EA,B27017_048EA,B27017_048MA,B27017_049MA,B27017_049EA,B27017_050EA,B27017_050MA,B27017_051MA,B27017_051EA,B27017_052MA,B27017_052EA,B27017_053EA,B27017_053MA,B27017_054MA,B27017_054EA,B27017_055EA,B27017_055MA,B27017_056EA,B27017_056MA,B27017_057MA,B27017_057EA,B27017_058MA,B27017_058EA,B27017_059MA,B27017_059EA,B27017_060EA,B27017_060MA,B27017_061EA,B27017_061MA,B27017_062MA,B27017_062EA,B27017_063MA,B27017_063EA,B27017_064MA,B27017_064EA,B27017_065MA,B27017_065EA,B27017_066EA,B27017_066MA,B27017_067EA,B27017_067MA,B27017_068MA,B27017_068EA,B27017_069EA,B27017_069MA,B27017_070MA,B27017_070EA,B27017_071EA,B27017_071MA,B27017_072EA,B27017_072MA,B27017_073MA,B27017_073EA,B27017_074MA,B27017_074EA,B27017_075MA,B27017_075EA,B27017_076MA,B27017_076EA,B27017_077EA,B27017_077MA,B27017_078EA,B27017_078MA,B27017_079EA,B27017_079MA,B27017_080EA,B27017_080MA,B27017_081MA,B27017_081EA,B27017_082EA,B27017_082MA,B27017_083EA,B27017_083MA,B27017_084MA,B27017_084EA,B27017_085MA,B27017_085EA,B27017_086EA,B27017_086MA,B27017_087EA,B27017_087MA,B27017_088EA,B27017_088MA,B27017_089MA,B27017_089EA,B27017_090MA,B27017_090EA,B27017_091MA,B27017_091EA,state
0400000US01,4716397,3470,390019,18009,143017,10338,13293,2452,129724,10661,228011,9945,65850,4814,162161,9301,18991,2310,8493,1184,10498,1999,520149,18936,159719,9023,24993,3704,134726,8414,298228,11661,90489,5795,207739,9982,62202,3847,23269,2053,38933,3141,399141,21849,114495,10591,37031,5758,77464,8187,214979,11840,94104,7683,120875,8129,69667,3754,31698,2251,37969,2996,124542,8961,29463,4132,11994,3136,17469,3078,71624,5968,37779,4728,33845,3511,23455,2386,12197,1729,11258,1686,473463,20697,111128,8413,61239,6818,49889,4704,274715,12372,172565,8882,102150,6971,87620,5196,50079,3769,37541,3035,445250,18706,99873,7709,65917,6839,33956,4501,266574,12221,194991,9933,71583,6918,78803,4628,49876,3308,28927,3169,384247,16589,81749,6610,64386,6407,17363,2940,236586,10942,187465,9237,49121,4802,65912,4044,44003,3081,21909,2556,618291,21821,128275,8727,110380,8311,17895,3128,388078,15241,328960,14336,59118,5424,101938,4849,72630,3621,29308,2720,1361295,22171,224818,8323,211409,8301,13409,2266,919896,16693,858368,16676,61528,4424,216581,6513,174359,5882,42222,3413,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,706055,1836,34344,4016,10493,2040,2052,1077,8441,1832,22570,2699,5896,1560,16674,2143,1281,506,274,195,1007,479,46023,6185,18358,3438,1932,787,16426,3364,25963,3462,5380,1268,20583,3049,1702,520,442,208,1260,482,40721,5536,11750,2756,2937,1531,8813,2340,24091,3153,8142,1810,15949,2297,4880,1081,1029,379,3851,1016,13471,2558,4542,1482,1699,854,2843,1158,7058,1348,2885,963,4173,1091,1871,640,421,304,1450,532,50262,4596,16186,2331,7596,1664,8590,1871,28952,2702,14213,2055,14739,2354,5124,1007,1791,638,3333,856,54012,5992,17931,3739,9958,3004,7973,1771,31167,3024,15641,2154,15526,2121,4914,988,2150,703,2764,837,49532,5942,14498,2716,10227,2291,4271,1250,31043,3551,20297,2783,10746,1927,3991,995,1878,679,2113,669,94501,7765,27612,3831,20129,3008,7483,2194,58215,4595,42769,3892,15446,2281,8674,1207,5408,948,3266,841,323189,8283,61128,3956,53023,3681,8105,1613,225480,5821,198227,6077,27253,2622,36581,2015,27673,1879,8908,1616,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6560899,3999,560848,19298,192834,11437,25930,3803,166904,10486,335694,11143,83914,5713,251780,9903,32320,3039,14107,1872,18213,2269,637776,22743,214861,11388,34243,5144,180618,10327,355286,13835,85883,5680,269403,11367,67629,4400,21650,2111,45979,3695,533772,21683,170990,11307,45192,6618,125798,9631,282414,12978,88995,6543,193419,10357,80368,4200,29318,2285,51050,3901,144774,11539,39978,4780,16143,2798,23835,3932,81711,7325,33637,3946,48074,5696,23085,2844,11571,2275,11514,1900,668037,23153,185462,10848,97709,8866,87753,6669,371622,14280,193129,9292,178493,8891,110953,4377,51589,2848,59364,3846,604980,22267,149960,9539,105253,7774,44707,5483,345199,13720,225427,8909,119772,7761,109821,5046,57898,3958,51923,3759,546229,20078,126908,9237,100884,8201,26024,4199,326534,13547,236063,11150,90471,7391,92787,5330,51870,3805,40917,3742,860423,27401,178557,11273,153192,9893,25365,3717,517975,16079,413542,13861,104433,7150,163891,7078,99665,5372,64226,4505,2004060,26576,332228,9915,308682,10105,23546,3782,1294680,18043,1172516,16504,122164,7554,377152,8026,256753,7644,120399,5636,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2879848,1971,217844,11688,76905,6698,6355,1387,70550,6753,130186,6745,42183,3892,88003,5522,10753,1562,4925,887,5828,1123,325976,13405,106925,6745,8627,1928,98298,6416,182391,8209,44301,3916,138090,6962,36660,2932,12400,1609,24260,2436,266162,14730,72867,6633,16045,3493,56822,5413,145024,8650,58700,4845,86324,6879,48271,3299,20913,2035,27358,2512,87275,8169,25281,3935,6774,1859,18507,3432,47062,4616,22734,3163,24328,3086,14932,1744,6839,1141,8093,1347,333909,13853,88232,6228,36473,5667,51759,3641,187908,8968,104110,6698,83798,6640,57769,3842,29838,2656,27931,2349,294351,14401,67990,6120,34962,4436,33028,4217,177412,9297,118214,6602,59198,5347,48949,3149,28910,2414,20039,2143,237329,13771,54473,6461,38281,5510,16192,3183,144334,8398,109563,7171,34771,4307,38522,3159,25937,2473,12585,1681,386773,15588,80721,6069,67028,5579,13693,2553,239689,11316,199606,9892,40083,4094,66363,4299,48123,3376,18240,2558,730229,19772,122317,7460,112815,7164,9502,1769,481801,13307,439857,12841,41944,4100,126111,6092,93280,5094,32831,3245,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,37984821,9218,2676933,46304,836435,25712,119855,8261,716580,24523,1691527,28501,521254,14908,1170273,22985,148971,7282,51785,4072,97186,5594,3580276,52410,1210824,29415,174832,9820,1035992,28641,1999291,29360,456863,13255,1542428,26892,370161,11470,88163,4910,281998,10128,2976517,51326,904660,21734,230681,12641,673979,17543,1683006,32593,534385,15890,1148621,25135,388851,10534,108910,4593,279941,9350,906040,31402,254459,12315,82768,8276,171691,8952,536522,20442,199501,9753,337021,14474,115059,5514,38442,3103,76617,4537,3576055,54867,941678,22532,401405,15164,540273,15843,2175896,36128,1070914,22814,1104982,24266,458481,11350,172383,6874,286098,9566,3169303,53795,747794,20055,433968,14152,313826,12484,1998852,36398,1209447,25957,789405,21018,422657,11539,189269,7362,233388,7954,2719785,55702,645998,23059,447729,18123,198269,11898,1700044,33473,1163855,25692,536189,17211,373743,10943,185787,7232,187956,7755,4415973,62183,948684,23857,762681,21936,186003,8681,2859083,42181,2211823,37318,647260,17990,608206,12052,344516,10124,263690,7833,13963939,78086,2524017,26501,2353558,24543,170459,8346,9428236,53243,8553412,44957,874824,19537,2011686,19927,1353810,17872,657876,12505,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5217407,2951,287952,11728,82089,7020,14846,2905,67243,6198,191733,7185,76314,4695,115419,6236,14130,1938,6545,1529,7585,1399,342570,17491,107956,9291,17907,3429,90049,8710,201731,9385,62407,4646,139324,8614,32883,2659,12837,1688,20046,2143,335238,15444,109392,7602,28200,3794,81192,6507,181246,8663,71864,5156,109382,7241,44600,3356,20118,2149,24482,2458,99006,10230,30399,5177,10426,3272,19973,3659,54946,5414,27881,3571,27065,3619,13661,1846,6752,1352,6909,1231,448999,18383,124758,9316,57359,5786,67399,6159,265531,11103,143568,7888,121963,8241,58710,3895,30467,2630,28243,2633,448248,20167,112490,9555,65872,7037,46618,5336,273876,13391,172124,8884,101752,8305,61882,4170,35126,2939,26756,3076,402497,16038,101963,7390,73671,6164,28292,3414,245829,10171,177643,9369,68186,5693,54705,3760,32156,2826,22549,2418,715665,20587,161653,8043,134253,7109,27400,3609,457795,14575,375830,12960,81965,6622,96217,5439,60929,4326,35288,2846,2137232,28027,400039,11257,375596,10802,24443,2914,1449701,18653,1336789,18377,112912,6259,287492,5953,207349,6018,80143,3802,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3480470,2173,171654,10666,52464,5734,9208,2371,43256,5109,105620,6151,29952,3337,75668,5316,13570,1776,6502,1389,7068,1246,203092,12526,61248,6485,4308,1424,56940,6273,114040,7049,23795,2718,90245,6320,27804,2755,9088,1474,18716,2126,161552,10996,48951,5816,10336,2126,38615,5308,86924,6045,25536,3285,61388,5217,25677,2484,11251,1560,14426,1912,56428,6547,14284,3100,4479,2107,9805,2416,32554,4547,9734,2087,22820,4067,9590,1559,5109,1077,4481,1185,256037,14355,66086,6515,20188,3108,45898,5448,141625,9114,61430,5009,80195,7124,48326,3192,24434,1837,23892,2968,228309,12884,49563,4517,29831,4067,19732,2581,132800,8815,82980,6349,49820,5254,45946,3663,26526,2533,19420,2521,203048,12823,44932,4759,32503,3970,12429,2719,117777,8385,85208,6796,32569,4015,40339,3074,25097,1973,15242,2391,425114,18142,90306,6414,76817,5334,13489,2754,263614,12622,211481,11444,52133,4215,71194,4368,45595,3450,25599,2710,1775236,21238,336586,8752,314296,7937,22290,4065,1187571,15003,1097713,13940,89858,7548,251079,4805,186740,4882,64339,3504,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,907185,1427,54216,5471,15613,3112,1705,842,13908,3024,33865,3309,11376,2031,22489,2760,4738,1442,3012,1207,1726,730,59215,5628,19878,3082,3345,1209,16533,2949,32892,3394,11260,1858,21632,2765,6445,1206,2388,710,4057,1010,46639,6057,14340,3217,5124,2239,9216,2140,23764,3071,7910,1656,15854,2527,8535,1443,4682,1104,3853,994,17269,4171,5797,2154,1880,1168,3917,1609,9174,2170,4179,1323,4995,1385,2298,564,1462,438,836,351,72071,7514,20350,3385,9464,2284,10886,2582,38372,4552,19234,2818,19138,3138,13349,1742,8271,1453,5078,1060,75386,7220,16869,3173,11686,2684,5183,1673,44620,4809,29453,3540,15167,2483,13897,1816,9107,1396,4790,1078,68857,6986,16058,3267,11221,2555,4837,1725,39279,4067,28963,3354,10316,2257,13520,2009,10323,1698,3197,1018,134777,8505,27935,3132,24136,3198,3799,1067,82528,6077,68450,5807,14078,2091,24314,2446,17590,1961,6724,1414,378755,12440,63534,4383,58549,4351,4985,1359,252591,8901,229220,8608,23371,3445,62630,3471,49851,3177,12779,1951,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,622480,737,56790,6173,14004,3091,2179,1340,11825,2928,39551,3788,15765,2111,23786,3067,3235,942,1260,555,1975,664,53834,6207,15400,3359,1232,882,14168,3191,31199,3571,8156,1421,23043,3402,7235,1116,2690,739,4545,1022,35344,5088,9083,2443,2090,1163,6993,2138,21366,3090,6605,1241,14761,2812,4895,1133,2236,793,2659,769,12186,3403,4457,1852,1254,1073,3203,1517,6371,1672,2345,1095,4026,1264,1358,533,616,277,742,473,38310,4505,6937,1746,1930,1061,5007,1412,25734,3582,11710,1935,14024,3351,5639,1089,3522,954,2117,726,34254,4057,5601,1429,1665,653,3936,1332,24569,2960,14711,2421,9858,1648,4084,831,2878,714,1206,641,32147,4480,5768,1790,3158,1407,2610,996,22409,3147,14221,2040,8188,2007,3970,965,3234,925,736,438,64910,6770,10695,2327,6199,1467,4496,1664,47608,5135,34432,3698,13176,3245,6607,1208,4773,994,1834,569,294705,9023,41178,3366,38920,3099,2258,1126,218570,6685,201035,5893,17535,2730,34957,2124,28834,2099,6123,1175,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19434036,6973,1396446,36778,412497,19016,46678,5463,365819,18433,861751,21623,241005,9545,620746,20158,122198,5907,50169,3565,72029,4591,1814310,47116,535968,21590,66988,7101,468980,19911,1010734,27508,265606,11747,745128,22741,267608,8816,69288,4562,198320,7779,1605515,39632,441546,19153,108573,10287,332973,17294,860009,23630,319347,14836,540662,18978,303960,9668,102065,5824,201895,8427,532953,23279,139863,9575,41992,5918,97871,7758,295539,14448,126873,8254,168666,12261,97551,5848,36747,3054,60804,5278,2029685,36634,457163,16511,191951,11926,265212,14655,1168329,25629,592383,15792,575946,19836,404193,11242,168439,6919,235754,8842,1912243,40629,380256,17654,220112,12695,160144,10247,1140008,25497,700467,17481,439541,17152,391979,10578,191639,7810,200340,8095,1643651,35228,312904,13837,216549,12587,96355,6669,1004991,24503,691871,17771,313120,13616,325756,9985,172300,7013,153456,7820,2587307,53646,448931,16504,346363,12225,102568,8374,1611842,38018,1225349,31548,386493,16345,526534,13372,299804,9927,226730,8468,5911926,63826,857183,22381,769581,21031,87602,7615,3771023,41573,3353848,37085,417175,15831,1283720,15871,848306,15006,435414,12693,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
