GEO_ID,C03002_001E,C03002_001M,C03002_002E,C03002_002M,C03002_003E,C03002_003M,C03002_004E,C03002_004M,C03002_005E,C03002_005M,C03002_006E,C03002_006M,C03002_007E,C03002_007M,C03002_008E,C03002_008M,C03002_009E,C03002_009M,C03002_010E,C03002_010M,C03002_011E,C03002_011M,C03002_012E,C03002_012M,NAME,C03002_001EA,C03002_001MA,C03002_002EA,C03002_002MA,C03002_003EA,C03002_003MA,C03002_004MA,C03002_004EA,C03002_005EA,C03002_005MA,C03002_006MA,C03002_006EA,C03002_007EA,C03002_007MA,C03002_008EA,C03002_008MA,C03002_009MA,C03002_009EA,C03002_010EA,C03002_010MA,C03002_011MA,C03002_011EA,C03002_012EA,C03002_012MA,state
0400000US01,4849377,-555555555,4656964,2014,3205535,1421,1285731,7136,21424,1975,57764,2998,1316,675,6590,2344,78604,6353,3076,1453,75528,6181,192413,2014,Alabama,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,736732,-555555555,687456,200,455009,805,23608,2475,101285,3075,43532,2125,8331,1126,1735,1024,53956,3793,103,118,53853,3803,49276,200,Alaska,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6731484,-555555555,4675028,-555555555,3777085,1922,265671,5930,266580,4041,206338,4117,11496,1328,7948,2361,139910,8391,3843,1226,136067,8440,2056456,-555555555,Arizona,null,*****,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,04
0400000US05,2966369,-555555555,2760606,1452,2176186,956,465816,4813,15471,1815,36406,2274,7148,2176,3372,1954,56207,5362,543,320,55664,5356,205763,1452,Arkansas,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,38802500,-555555555,23813730,-555555555,14849129,7495,2155733,13276,135245,6218,5329431,16978,137838,4310,96073,8641,1110281,23359,49427,5899,1060854,22160,14988770,-555555555,California,null,*****,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,06
0400000US08,5355866,-555555555,4220759,-555555555,3686726,1784,205894,4247,30777,2729,155985,4128,6092,1510,7508,1808,127777,6578,4508,1151,123269,6454,1135107,-555555555,Colorado,null,*****,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,08
0400000US09,3596677,-555555555,3055524,-555555555,2465919,2504,349742,5447,4731,1053,149568,3490,630,487,12292,3155,72642,6836,4849,1606,67793,6312,541153,-555555555,Connecticut,null,*****,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,09
0400000US10,935614,-555555555,852288,-555555555,594488,607,197763,3013,2817,833,36038,834,216,252,1556,644,19410,3316,206,224,19204,3309,83326,-555555555,Delaware,null,*****,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,10
0400000US11,658893,-555555555,590537,-555555555,235433,447,314473,1647,1218,492,24540,1098,137,166,1348,635,13388,1845,356,303,13032,1823,68356,-555555555,District of Columbia,null,*****,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,11
0400000US12,19893297,-555555555,15104427,-555555555,11055931,7320,3083879,12180,38726,3193,517141,7333,13361,2897,59892,7604,335497,15233,18750,3151,316747,14851,4788870,-555555555,Florida,null,*****,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,12
0400000US13,10097343,-555555555,9175228,2212,5474262,3318,3116136,9577,16968,2661,370080,5461,6338,2439,22687,4632,168757,9226,6197,1679,162560,8909,922115,2212,Georgia,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1419561,-555555555,1276323,-555555555,325266,574,28383,2182,1533,653,518355,8496,132722,4140,1125,519,268939,9292,1591,745,267348,9178,143238,-555555555,Hawaii,null,*****,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,15
0400000US16,1634464,-555555555,1437552,692,1352954,769,10317,1612,17847,2008,22647,3092,1646,795,1086,609,31055,3905,543,344,30512,3854,196912,692,Idaho,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,12880580,-555555555,10729074,1358,8006397,2946,1812812,9352,14333,2197,659915,5633,4616,1476,20358,3289,210643,9895,8589,2519,202054,9648,2151506,1358,Illinois,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,6596855,-555555555,6171390,1512,5293743,2944,605194,6714,10818,1941,129562,3818,2164,730,10049,3497,119860,6224,3014,1229,116846,6148,425465,1512,Indiana,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,3107126,-555555555,2936059,1077,2707827,952,96102,3192,8337,1046,67946,3101,2524,1301,1039,451,52284,4260,464,303,51820,4190,171067,1077,Iowa,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2904021,-555555555,2575064,813,2227984,909,165265,4380,21502,1798,75742,2381,2383,1697,1845,854,80343,4490,1301,717,79042,4635,328957,813,Kansas,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,4413457,-555555555,4268287,2196,3769031,1775,345388,6538,8083,1601,54208,2811,2402,1335,4926,1435,84249,5490,1326,485,82923,5521,145170,2196,Kentucky,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,4649676,-555555555,4425787,1880,2753573,1470,1493046,6438,23474,2048,78138,2298,2661,1572,8007,2003,66888,5830,2326,1179,64562,5593,223889,1880,Louisiana,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1330089,-555555555,1310250,643,1245685,1001,16106,1177,7792,1183,14447,1256,36,39,1166,988,25018,1988,273,183,24745,1959,19839,643,Maine,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,5976407,-555555555,5420228,498,3133653,2911,1744971,6268,10663,1647,367948,4336,1636,459,15195,3210,146162,7123,5854,1319,140308,7083,556179,498,Maryland,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,6745408,-555555555,6015314,984,4977913,5629,439433,6253,8451,1565,411917,4862,414,233,42145,6102,135041,7397,12056,2164,122985,7413,730094,984,Massachusetts,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
