GEO_ID,C06001_001E,C06001_001M,C06001_002E,C06001_002M,C06001_003E,C06001_003M,C06001_004E,C06001_004M,C06001_005E,C06001_005M,C06001_006E,C06001_006M,C06001_007E,C06001_007M,C06001_008E,C06001_008M,C06001_009E,C06001_009M,C06001_010E,C06001_010M,C06001_011E,C06001_011M,C06001_012E,C06001_012M,C06001_013E,C06001_013M,C06001_014E,C06001_014M,C06001_015E,C06001_015M,C06001_016E,C06001_016M,C06001_017E,C06001_017M,C06001_018E,C06001_018M,C06001_019E,C06001_019M,C06001_020E,C06001_020M,C06001_021E,C06001_021M,C06001_022E,C06001_022M,C06001_023E,C06001_023M,C06001_024E,C06001_024M,C06001_025E,C06001_025M,C06001_026E,C06001_026M,C06001_027E,C06001_027M,C06001_028E,C06001_028M,C06001_029E,C06001_029M,C06001_030E,C06001_030M,C06001_031E,C06001_031M,C06001_032E,C06001_032M,C06001_033E,C06001_033M,C06001_034E,C06001_034M,C06001_035E,C06001_035M,C06001_036E,C06001_036M,C06001_037E,C06001_037M,C06001_038E,C06001_038M,C06001_039E,C06001_039M,C06001_040E,C06001_040M,C06001_041E,C06001_041M,C06001_042E,C06001_042M,C06001_043E,C06001_043M,C06001_044E,C06001_044M,C06001_045E,C06001_045M,NAME,C06001_001MA,C06001_001EA,C06001_002MA,C06001_002EA,C06001_003MA,C06001_003EA,C06001_004MA,C06001_004EA,C06001_005EA,C06001_005MA,C06001_006EA,C06001_006MA,C06001_007MA,C06001_007EA,C06001_008MA,C06001_008EA,C06001_009MA,C06001_009EA,C06001_010EA,C06001_010MA,C06001_011EA,C06001_011MA,C06001_012MA,C06001_012EA,C06001_013MA,C06001_013EA,C06001_014MA,C06001_014EA,C06001_015EA,C06001_015MA,C06001_016EA,C06001_016MA,C06001_017EA,C06001_017MA,C06001_018MA,C06001_018EA,C06001_019MA,C06001_019EA,C06001_020EA,C06001_020MA,C06001_021EA,C06001_021MA,C06001_022EA,C06001_022MA,C06001_023MA,C06001_023EA,C06001_024MA,C06001_024EA,C06001_025EA,C06001_025MA,C06001_026EA,C06001_026MA,C06001_027EA,C06001_027MA,C06001_028EA,C06001_028MA,C06001_029MA,C06001_029EA,C06001_030MA,C06001_030EA,C06001_031EA,C06001_031MA,C06001_032EA,C06001_032MA,C06001_033EA,C06001_033MA,C06001_034MA,C06001_034EA,C06001_035MA,C06001_035EA,C06001_036EA,C06001_036MA,C06001_037EA,C06001_037MA,C06001_038EA,C06001_038MA,C06001_039EA,C06001_039MA,C06001_040MA,C06001_040EA,C06001_041MA,C06001_041EA,C06001_042EA,C06001_042MA,C06001_043EA,C06001_043MA,C06001_044EA,C06001_044MA,C06001_045MA,C06001_045EA,state
0400000US01,4849377,-555555555,291160,2782,817440,3350,484011,4587,1229182,6203,651204,4714,629868,2616,434244,2252,312268,2589,3409230,22317,259966,4154,658983,8067,346476,6580,790563,9752,410955,6398,419303,6128,298500,4864,224484,3725,1238719,20177,29380,3220,140162,7238,116407,5518,352184,10220,208355,6116,188317,5539,124378,3907,79536,3391,44072,4960,1139,523,6008,1768,4641,1525,14374,2160,7757,1566,7016,1511,2201,975,936,367,157356,6968,675,453,12287,2154,16487,2394,72061,4612,24137,2725,15232,1922,9165,1556,7312,1420,Alabama,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,736732,-555555555,53408,986,133361,1184,84814,2111,206857,2112,96361,1550,92032,1084,46227,1124,23672,1155,304277,7422,44123,1599,92859,3517,44282,2811,73723,3172,22814,1832,16056,1132,6656,650,3764,504,359770,6431,8283,1332,33713,2881,32089,2635,108266,3525,60331,2034,64970,1595,35211,1193,16907,1025,18013,2410,505,465,3401,1124,2918,1031,6266,1344,2365,780,2116,722,163,167,279,279,54672,3978,497,447,3388,1537,5525,1573,18602,1670,10851,1415,8890,1209,4197,938,2722,722,Alaska,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6731484,-555555555,432663,1394,1189408,1571,673187,2578,1734958,3357,836539,2217,793972,1476,622516,1542,448241,1233,2622700,19254,380385,3581,872251,8675,358335,8460,580088,10897,177697,5743,140381,5094,70297,3614,43266,2864,3091404,18239,42614,3336,248416,8156,225990,7921,762722,9633,472701,6297,525203,5504,465182,4595,348576,3921,97821,6190,3395,1299,18177,3128,13186,2161,32318,3679,12500,1647,11436,1717,4221,975,2588,671,919559,15821,6269,1370,50564,4520,75676,4242,359830,9805,173641,5571,116952,5286,82816,4155,53811,3092,Arizona,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2966369,-555555555,190396,2624,515744,3120,291815,4071,752876,5484,380913,4053,369613,2190,268763,1856,196249,1537,1812501,17305,164267,3295,386177,7177,181382,5474,415454,8088,196084,5746,199514,4499,151702,3675,117921,3375,993733,16943,24641,2776,117260,7321,93464,5461,259196,7761,159817,5225,155916,4611,109422,3582,74017,3556,20138,2275,486,345,3113,1036,2884,821,8634,1692,2730,795,1255,381,659,329,377,266,139997,6123,1002,689,9194,2027,14085,2554,69592,4039,22282,2769,12928,2121,6980,1331,3934,969,Arkansas,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,38802500,-555555555,2511692,2542,6639887,2642,3996629,5195,10907342,6811,5235948,4891,4520910,3167,2836598,3103,2153494,2791,21322694,54263,2341168,7248,5751929,18216,2993682,16457,5225760,30944,1981558,19177,1663525,13999,859801,9970,505271,9775,6470238,40591,95423,6505,392833,13865,357353,11118,1511952,20132,990177,15978,1198428,13068,1002009,11565,922063,8831,497169,13249,25109,3026,75873,4977,47510,3817,157530,7771,77833,4082,64250,3180,29119,2970,19945,2175,10512399,46440,49992,3524,419252,11596,598084,13734,4012100,27765,2186380,16871,1594707,11476,945669,9684,706215,8326,California,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5355866,-555555555,332058,2144,915087,2257,524258,3278,1523471,4313,711280,3151,670140,2469,409895,2002,269677,1926,2296599,22798,289867,3857,676329,8669,256834,7079,511566,11098,203553,5817,186595,4962,99431,3690,72424,3380,2439470,22851,35665,3226,194700,8089,212621,7180,738371,12611,396571,6873,415324,5869,274008,4191,172210,3934,81553,5725,2078,695,11001,2396,10784,1834,29486,3190,14049,1586,10929,1641,1720,596,1506,677,538244,12742,4448,1061,33057,3422,44019,3476,244048,8171,97107,4436,57292,3316,34736,2743,23537,2080,Colorado,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3596677,-555555555,188862,964,586014,1141,349983,1993,879842,3200,549077,2421,487371,1400,304711,1300,250817,1315,1992919,16302,161776,2850,443376,6886,212034,5401,435457,6820,262945,5589,230164,5072,134740,3768,112427,3418,977382,16571,20576,2725,97800,6341,89597,5337,217004,7142,169659,5654,170144,5265,116855,3635,95747,4007,134457,7398,1941,729,15782,2301,11487,2156,42326,3657,22900,2203,19880,2456,11617,1467,8524,1211,491919,12684,4569,1030,29056,3085,36865,2682,185055,6562,93573,5448,67183,3945,41499,2481,34119,2686,Connecticut,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,935614,-555555555,56010,228,147832,596,91429,1001,233585,1157,128366,838,124633,690,91578,968,62181,661,426504,9723,46781,1601,104406,3281,43034,2740,96708,3781,48663,2922,44181,2824,24618,1724,18113,1779,413036,9428,8459,1547,37115,3232,39707,2693,95034,4094,64575,3057,69556,2741,58597,1799,39993,1765,15774,2331,280,261,1133,576,1802,712,6179,1788,2596,926,2501,640,843,337,440,321,80300,4876,490,307,5178,1065,6886,1348,35664,3055,12532,1778,8395,1234,7520,1262,3635,940,Delaware,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,658893,-555555555,42763,6,72267,4,80652,347,243088,468,76790,457,68868,228,41946,524,32519,497,238581,5759,32511,1969,49635,2822,27194,1837,59198,3322,26750,1813,25823,1492,11138,1054,6332,976,316189,6137,8329,1669,16054,2604,43159,1945,136883,3708,32989,2178,31742,1451,24522,1393,22511,1040,12174,1675,472,374,1036,500,1494,720,5094,1009,1485,596,1844,648,107,140,642,599,91949,5261,1451,886,5542,1299,8805,1397,41913,3212,15566,1866,9459,1146,6179,985,3034,942,District of Columbia,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19893297,-555555555,1077572,3345,2976451,3914,1798078,6225,4945238,8298,2730745,6443,2574259,4406,2083890,3796,1707064,3642,7176103,45601,949956,8098,2161353,17780,991192,14428,1651239,22314,586945,12667,451125,10026,231174,7051,153119,5851,8065349,39864,91631,6956,538193,16133,482952,12475,1743440,17289,1276741,12824,1434109,12300,1343671,9736,1154612,8928,678330,15934,14679,2428,85011,6658,62513,4420,222145,8024,96366,6151,88694,5411,62603,3797,46319,3425,3973515,35748,21306,3182,191894,8394,261421,10262,1328414,18452,770693,11215,600331,10306,446442,8973,353014,7085,Florida,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,10097343,-555555555,654439,3708,1836982,4152,1029514,7373,2760108,10130,1390329,7142,1177101,3410,768963,3936,479907,3192,5613438,36181,578697,7811,1384169,13404,602724,10550,1260708,18716,591281,10042,556646,10047,378867,6272,260346,5755,3350747,35471,65184,5235,375043,12009,322850,10536,985701,18152,588619,8634,500299,10211,327574,5745,185477,5601,138507,10968,4383,1552,20364,3132,16249,2710,53971,6803,22011,2646,13758,2135,5200,1430,2571,738,994651,19709,6175,1482,57406,5829,87691,5063,459728,11075,188418,6977,106398,5120,57322,2998,31513,2850,Georgia,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1419561,-555555555,91007,275,217347,544,136621,1260,387058,1879,178931,1276,180536,738,127000,918,101061,828,753553,12198,74600,1744,157486,4638,74699,3393,172189,5923,76236,3001,80476,2574,58841,2614,59026,2123,366795,7966,12808,1432,37280,3018,42173,2368,120163,3759,48923,1977,52464,2157,35921,1467,17063,1476,48941,4327,1976,673,7653,1779,6238,1258,15502,2014,6780,1111,7285,1539,1877,668,1630,580,250272,9722,1623,656,14928,2806,13511,1921,79204,4664,46992,2801,40311,2370,30361,2461,23342,2149,Hawaii,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1634464,-555555555,111707,1716,319558,1971,158006,2555,413807,3504,196806,2564,199601,1745,140968,1213,94011,1088,792239,14589,93809,3297,224428,5419,77790,4035,180331,6810,67152,3974,71243,4193,43927,2633,33559,2477,729904,14745,17580,2414,83461,4844,68211,4181,187940,7139,108804,4461,116655,4493,90522,3070,56731,2557,14968,2192,198,176,2644,1055,1987,968,5138,1434,3369,857,1176,466,341,303,115,132,97353,5953,120,175,9025,2445,10018,1791,40398,3897,17481,2127,10527,1643,6178,1142,3606,875,Idaho,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,12880580,-555555555,789126,2665,2195608,2428,1256770,4077,3459344,5665,1768994,4332,1622884,2767,1002919,2401,784935,1870,8673103,30300,719308,4946,1884281,9503,939455,8371,2046169,18588,1073266,10165,979743,8126,568498,6756,462383,4731,2280534,23171,56296,4425,218780,7947,186141,7134,628194,13584,342853,7769,366394,6586,271715,5921,210161,5030,142540,7303,4483,1144,19784,2535,14531,2049,43950,4408,19536,2122,17655,2121,13062,1611,9539,1490,1784403,19955,9039,1705,72763,4333,116643,5422,741031,12500,333339,6969,259092,5942,149644,4378,102852,3912,Illinois,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,6596855,-555555555,418024,2447,1165650,3083,670265,3786,1675149,4699,887498,3350,838775,2706,535455,2147,406039,1740,4508289,17195,374397,3928,946836,8256,452061,7302,1068119,10717,565677,7206,540756,6874,320818,4897,239625,4311,1728218,17909,40746,3294,186526,7925,177276,7496,448951,9739,264986,6662,263163,7157,195368,4775,151202,3981,40768,3717,589,370,4355,1073,3286,939,15693,2400,7622,1109,5465,1072,2393,713,1365,448,319580,11881,2292,707,27933,3683,37642,3464,142386,6843,49213,3303,29391,2754,16876,2039,13847,2267,Indiana,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,3107126,-555555555,193571,2012,532020,2556,318801,2982,755947,4441,409347,2748,406812,1682,259096,1190,231532,1113,2212549,13944,167074,2767,413350,6163,208118,5059,486855,5987,279149,3585,293711,3341,187924,3060,176368,2440,724199,13220,23829,2328,100261,5087,88714,5382,195359,6116,102986,4162,98290,3402,64670,2916,50090,2392,17057,2343,1031,467,3046,1028,1996,783,5335,1314,2659,783,1949,506,567,279,474,345,153321,5982,1637,690,15363,2639,19973,2468,68398,3853,24553,2448,12862,1435,5935,1098,4600,983,Iowa,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2904021,-555555555,199348,2557,523139,3094,300013,3814,737025,3731,364467,2475,362496,1787,226755,1975,190778,1398,1702619,15348,167909,3455,381510,6138,176693,4753,369863,6289,182243,4452,195835,4292,119248,2973,109318,2449,971325,14049,27728,2541,121008,5770,95265,4440,264614,6005,147757,4530,144720,4246,96077,2509,74156,2340,25657,2517,1641,847,3233,1025,2637,788,9705,1426,4136,987,3651,817,411,267,243,194,204420,7124,2070,800,17388,2477,25418,2708,92843,4217,30331,2081,18290,1644,11019,1398,7061,1063,Kansas,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,4413457,-555555555,274632,2463,740671,3237,430973,4051,1122361,4877,613459,3291,578339,2096,385378,1682,267644,1297,3073585,19095,235352,3490,589969,7248,284959,5185,712418,8682,392200,5412,386510,6487,270815,4248,201362,3458,1151386,18660,36454,2843,131291,6163,122548,5129,327913,8973,192692,5312,173833,6292,106325,4098,60330,3319,26446,2835,873,497,2468,813,4358,1113,9740,1566,4360,919,3412,903,728,274,507,270,162040,6644,1953,794,16943,2501,19108,2355,72290,4217,24207,2207,14584,1931,7510,1068,5445,1023,Kentucky,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,4649676,-555555555,305454,2904,809330,2875,474204,5006,1238786,5914,603300,4553,587432,2359,372329,2293,258841,1937,3614295,17062,281531,3737,697483,7022,371003,6338,909680,9224,451392,6770,435921,5785,273266,4117,194019,3619,810618,17720,21121,2684,94952,6956,81001,6007,231109,7548,117763,5190,124360,5556,84746,3500,55566,3114,30486,3172,906,486,4661,1307,3262,980,9534,1913,6361,1287,3705,901,956,355,1101,509,194277,6862,1896,1071,12234,2222,18938,2878,88463,4778,27784,2853,23446,1962,13361,1476,8155,995,Louisiana,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1330089,-555555555,62917,687,195055,1157,112710,1499,308463,1985,201870,1253,206510,1138,140191,704,102373,503,842300,8885,55369,1503,152848,3088,72997,2783,187910,4138,114665,3892,115703,3386,79965,2416,62843,2145,425012,8701,6057,1261,37450,3172,33698,2481,102425,3784,76703,3922,81243,3242,54272,2343,33164,1865,13091,1581,737,389,1113,489,1242,628,3300,953,2414,684,2422,722,917,340,946,399,49686,3546,754,543,3644,1217,4773,1132,14828,2089,8088,1256,7142,1149,5037,1029,5420,944,Maine,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,5976407,-555555555,367283,1397,983892,1546,562419,3135,1598601,4619,877068,2720,764973,1844,479017,1823,343154,1840,2839795,22450,301660,3403,691908,9221,318027,6798,617011,9315,331898,6664,280388,5089,168376,4444,130527,3289,2163289,22862,57506,3391,224217,8727,176015,7233,573832,9413,366940,7056,362082,5898,238702,4180,163995,4218,82884,5324,1808,598,14659,2404,8455,1566,28088,3224,14650,1619,9592,1169,3530,993,2102,597,890439,16540,6309,1648,53108,4410,59922,4766,379670,9001,163580,5583,112911,3735,68409,2821,46530,2584,Maryland,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,6745408,-555555555,365967,1190,1024718,1448,700372,2446,1768070,3325,985071,2306,885633,1524,563406,1846,452171,1571,4166418,20511,328821,3448,840458,7547,429577,6667,884474,10230,556400,7313,511888,6248,331202,5574,283598,4109,1329580,16214,25205,2710,104206,6337,163040,5985,399207,9162,206401,6204,205461,5660,133576,4330,92484,3582,189129,7614,4042,1033,21651,2943,19246,2164,64125,4254,32633,2406,26435,2114,13786,1499,7211,1271,1060281,16414,7899,1726,58403,4181,88509,5053,420264,9869,189637,5186,141849,4614,84842,4322,68878,3284,Massachusetts,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
