GEO_ID,C16006_001E,C16006_001M,C16006_002E,C16006_002M,C16006_003E,C16006_003M,C16006_004E,C16006_004M,C16006_005E,C16006_005M,C16006_006E,C16006_006M,NAME,C16006_001MA,C16006_001EA,C16006_002EA,C16006_002MA,C16006_003EA,C16006_003MA,C16006_004EA,C16006_004MA,C16006_005EA,C16006_005MA,C16006_006MA,C16006_006EA,state
0400000US01,169629,2653,51635,5401,115486,5237,58411,4907,57075,4662,2508,1045,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,43865,529,25373,2202,17719,1966,11571,1981,6148,1703,773,621,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1869623,744,636457,15073,1227551,14733,774974,14663,452577,12113,5615,1651,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,182512,2050,58560,5426,123583,5535,57211,4048,66372,4821,369,300,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,13662319,922,3538695,40287,10070749,39577,5760906,36422,4309843,34599,52875,5082,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1031513,1282,480389,11415,548261,11586,332328,9658,215933,10407,2863,912,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,493745,342,128733,6771,361916,6843,215087,7528,146829,6005,3096,1312,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,74660,-555555555,21042,2494,53178,2525,32535,2519,20643,2249,440,341,Delaware,*****,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,61056,-555555555,14692,2756,45446,2943,24718,2807,20728,2860,918,630,District of Columbia,*****,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4460893,1090,763104,21093,3677818,21046,2022097,24309,1655721,23546,19971,2898,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,821641,3244,164315,10076,654060,10572,348261,10317,305799,8953,3266,1340,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,123509,-555555555,94303,3483,19424,2944,14244,2503,5180,1639,9782,2635,Hawaii,*****,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,175607,1085,67987,6376,106865,6524,59124,5319,47741,4952,755,529,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1955171,2056,433848,14166,1514729,13938,875488,16607,639241,12865,6594,1803,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,380456,2409,141274,7934,237354,8158,132235,6782,105119,6443,1828,788,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,153498,1648,57859,4625,95171,4333,52281,3967,42890,3377,468,277,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,292140,1645,101781,6303,189333,6321,111485,4940,77848,4726,1026,497,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,127664,2283,46409,3921,78870,3872,34914,3078,43956,3666,2385,2026,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,199078,2760,68756,5871,128298,6003,60976,4767,67322,5498,2024,645,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,18937,790,11721,1463,6767,1287,4753,1072,2014,648,449,439,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,497277,748,145815,10058,347578,10523,186305,7909,161273,8714,3884,1316,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,659682,1154,145870,7273,507169,7803,287758,8932,219411,9021,6643,1638,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,426518,1448,209939,6572,213221,6603,131011,6148,82210,5376,3358,884,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,245132,1375,91392,6105,153234,6399,78234,4528,75000,4988,506,299,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,72125,2586,22751,2747,48995,2827,27369,2226,21626,2297,379,331,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,207925,2602,104748,6100,102693,5836,61198,5033,41495,4254,484,343,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,31735,884,24096,1395,7460,1291,5490,1062,1970,779,179,162,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,167645,993,51912,4146,115032,4149,56760,3267,58272,3149,701,489,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
