GEO_ID,C17001D_001E,C17001D_001M,C17001D_002E,C17001D_002M,C17001D_003E,C17001D_003M,C17001D_004E,C17001D_004M,C17001D_005E,C17001D_005M,C17001D_006E,C17001D_006M,C17001D_007E,C17001D_007M,C17001D_008E,C17001D_008M,C17001D_009E,C17001D_009M,C17001D_010E,C17001D_010M,C17001D_011E,C17001D_011M,C17001D_012E,C17001D_012M,C17001D_013E,C17001D_013M,C17001D_014E,C17001D_014M,C17001D_015E,C17001D_015M,C17001D_016E,C17001D_016M,C17001D_017E,C17001D_017M,C17001D_018E,C17001D_018M,C17001D_019E,C17001D_019M,NAME,C17001D_001MA,C17001D_001EA,C17001D_002MA,C17001D_002EA,C17001D_003EA,C17001D_003MA,C17001D_004EA,C17001D_004MA,C17001D_005EA,C17001D_005MA,C17001D_006MA,C17001D_006EA,C17001D_007MA,C17001D_007EA,C17001D_008EA,C17001D_008MA,C17001D_009EA,C17001D_009MA,C17001D_010EA,C17001D_010MA,C17001D_011MA,C17001D_011EA,C17001D_012MA,C17001D_012EA,C17001D_013MA,C17001D_013EA,C17001D_014EA,C17001D_014MA,C17001D_015EA,C17001D_015MA,C17001D_016EA,C17001D_016MA,C17001D_017MA,C17001D_017EA,C17001D_018MA,C17001D_018EA,C17001D_019EA,C17001D_019MA,state
0400000US01,56495,3072,6859,1769,2515,822,227,194,2222,747,66,80,4344,1297,449,367,3195,1013,700,525,49636,2946,23099,2013,6093,1168,15478,1306,1528,713,26537,1853,5812,1084,17891,1470,2834,748,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,43401,2166,7381,3092,3661,1578,2224,1248,1437,623,0,145,3720,1643,1590,1051,1798,702,332,267,36020,2945,17069,1610,3203,885,12588,1316,1278,557,18951,1741,3152,976,13901,1083,1898,368,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,206979,4852,31374,4103,13938,2213,2688,1066,9879,1595,1371,539,17436,2576,3072,855,12568,1974,1796,686,175605,6008,80976,3677,20240,1769,53413,2803,7323,766,94629,3403,20867,1855,62431,2464,11331,929,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,36131,2272,6120,2048,3424,1191,855,509,2569,1040,0,190,2696,1172,445,306,1889,946,362,351,30011,2321,14083,1472,4353,881,9228,1170,502,248,15928,1420,2776,722,11913,1066,1239,569,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5319197,18060,626798,19869,286370,11083,59031,4764,192298,7921,35041,2603,340428,11818,53942,4782,224530,8168,61956,3702,4692399,23367,2226278,13748,457399,7065,1489788,9411,279091,3081,2466121,13469,436561,7114,1679950,9340,349610,4352,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,154838,4122,15821,2770,7252,1447,1461,502,5087,1119,704,379,8569,1712,2015,680,5595,1238,959,361,139017,4598,62716,2882,15519,1727,42255,1840,4942,507,76301,2835,16281,1641,52022,2118,7998,579,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,146533,3808,9565,1961,4009,1026,654,369,3192,815,163,157,5556,1328,1053,462,4079,996,424,398,136968,4070,64572,2506,15223,1515,44882,1871,4467,437,72396,2316,15662,1363,50907,1761,5827,588,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,35597,927,2138,836,790,479,0,185,781,479,9,19,1348,708,77,146,914,527,357,441,33459,1097,15970,923,3643,557,11073,727,1254,173,17489,823,4333,467,11384,626,1772,330,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,22074,1295,4064,1565,1826,979,533,531,1253,595,40,68,2238,1025,140,212,1699,847,399,261,18010,1409,7233,689,595,321,6127,592,511,211,10777,1084,1049,460,9091,827,637,263,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,518362,7726,67917,6672,33106,3995,6595,1675,23532,3105,2979,716,34811,3796,5106,1725,25922,3097,3783,993,450445,9818,204315,5776,42257,3130,137686,4190,24372,1431,246130,6559,45191,3414,167920,4529,33019,1521,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
