GEO_ID,C17006_001E,C17006_001M,C17006_002E,C17006_002M,C17006_003E,C17006_003M,C17006_004E,C17006_004M,C17006_005E,C17006_005M,C17006_006E,C17006_006M,C17006_007E,C17006_007M,NAME,C17006_001EA,C17006_001MA,C17006_002EA,C17006_002MA,C17006_003MA,C17006_003EA,C17006_004MA,C17006_004EA,C17006_005MA,C17006_005EA,C17006_006MA,C17006_006EA,C17006_007EA,C17006_007MA,state
0400000US01,1089203,4318,299717,11981,74290,6849,225427,9996,789486,12446,594399,11647,195087,8791,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,181335,1301,27741,4026,9655,2614,18086,3662,153594,4103,117836,4643,35758,3427,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1582138,4979,398754,13572,153923,10429,244831,11785,1183384,12685,861631,16502,321753,13784,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,690979,3064,179355,7719,57576,6257,121779,6767,511624,8268,373051,9735,138573,7617,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8971545,8728,2007029,34959,838355,28614,1168674,32317,6964516,33927,5247720,37593,1716796,30571,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1225855,3566,185393,10854,71355,7185,114038,8989,1040462,10348,792653,11925,247809,10334,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,760234,2610,109751,8219,25549,3356,84202,7747,650483,8190,486194,9179,164289,8817,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,199693,1537,34966,4438,7595,1804,27371,4373,164727,4079,113136,4965,51591,4119,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,112798,663,29202,4168,3511,1773,25691,3802,83596,3989,49673,3627,33923,4196,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3969591,7560,933030,26891,289274,14135,643756,20663,3036561,28963,2151721,31246,884840,25558,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2448499,5789,638868,20557,192966,12661,445902,17410,1809631,20703,1324655,24108,484976,15212,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,299392,1781,43019,4555,18788,4061,24231,3407,256373,4901,191947,6272,64426,4999,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,423011,2333,78394,6663,37175,4603,41219,5207,344617,7174,279458,8550,65159,6198,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2922993,5705,582212,17414,180010,11048,402202,15095,2340781,17842,1787695,21814,553086,16487,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1539157,4400,326069,13161,91648,7714,234421,11808,1213088,13113,912875,15046,300213,13132,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,707078,3198,105497,7428,33717,3778,71780,6326,601581,7654,474197,8836,127384,6690,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,707722,3268,122934,6967,39423,5281,83511,6960,584788,6974,457448,8563,127340,7230,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
