GEO_ID,C18104_001E,C18104_001M,C18104_002E,C18104_002M,C18104_003E,C18104_003M,C18104_004E,C18104_004M,C18104_005E,C18104_005M,C18104_006E,C18104_006M,C18104_007E,C18104_007M,C18104_008E,C18104_008M,C18104_009E,C18104_009M,C18104_010E,C18104_010M,C18104_011E,C18104_011M,C18104_012E,C18104_012M,C18104_013E,C18104_013M,C18104_014E,C18104_014M,C18104_015E,C18104_015M,C18104_016E,C18104_016M,C18104_017E,C18104_017M,C18104_018E,C18104_018M,C18104_019E,C18104_019M,C18104_020E,C18104_020M,C18104_021E,C18104_021M,NAME,C18104_001MA,C18104_001EA,C18104_002EA,C18104_002MA,C18104_003EA,C18104_003MA,C18104_004EA,C18104_004MA,C18104_005MA,C18104_005EA,C18104_006MA,C18104_006EA,C18104_007EA,C18104_007MA,C18104_008EA,C18104_008MA,C18104_009EA,C18104_009MA,C18104_010MA,C18104_010EA,C18104_011MA,C18104_011EA,C18104_012MA,C18104_012EA,C18104_013EA,C18104_013MA,C18104_014EA,C18104_014MA,C18104_015EA,C18104_015MA,C18104_016MA,C18104_016EA,C18104_017MA,C18104_017EA,C18104_018EA,C18104_018MA,C18104_019EA,C18104_019MA,C18104_020EA,C18104_020MA,C18104_021EA,C18104_021MA,state
0400000US01,4476223,3498,2139309,5487,414448,4426,23865,2423,390583,4635,1407781,3396,89939,4334,1317842,5093,317080,1997,33956,2587,283124,3274,2336914,4419,401239,3680,13730,2025,387509,4113,1527586,3213,86402,4709,1441184,5329,408089,2062,48988,2887,359101,3288,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,658133,1917,336823,2347,67890,1694,3600,975,64290,1942,235033,2140,8295,1395,226738,2441,33900,1002,2559,496,31341,1077,321310,1662,64947,1159,1246,447,63701,1246,221245,1198,7692,1338,213553,1585,35118,972,4250,1212,30868,1106,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6190411,2225,3030095,2898,605156,1992,34715,3741,570441,3928,1937999,2770,84865,5214,1853134,5931,486940,1367,39640,3001,447300,3487,3160316,2795,582757,1936,12657,1816,570100,2532,2006493,2365,89855,5162,1916638,5369,571066,1364,52580,3759,518486,3989,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2723980,2678,1325395,4796,262374,3612,19412,2330,242962,4146,861325,3214,49783,4326,811542,5323,201696,1438,19520,2112,182176,2386,1398585,4111,251041,3092,7908,1235,243133,3046,900910,3016,54687,3424,846223,3912,246634,1843,27847,2280,218787,2809,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,35785882,5903,17584481,8096,3376978,3764,130286,6099,3246692,6536,12038061,7340,450793,12290,11587268,14190,2169442,2989,194046,5897,1975396,6373,18201401,5965,3246580,3595,67940,4155,3178640,5368,12226448,3884,413866,11644,11812582,11680,2728373,3145,304615,7500,2423758,8003,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4933964,3327,2449343,4716,467232,2681,18795,2216,448437,3280,1678778,3434,67023,4860,1611755,6151,303333,1624,21236,1805,282097,2326,2484621,3723,446142,2336,9307,1981,436835,3257,1677532,2424,55917,3693,1621615,4595,360947,1439,30528,2609,330419,2785,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3352420,1511,1623431,2392,299009,1487,13687,2116,285322,2703,1091478,1984,43623,3147,1047855,3470,232944,1423,16390,1798,216554,2265,1728989,2303,286150,1244,5301,1113,280849,1623,1142258,1885,43772,3094,1098486,3337,300581,1319,24087,2191,276494,2521,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,864920,583,414369,1083,74777,578,3645,1011,71132,1136,272159,1135,12573,2163,259586,2408,67433,733,4399,876,63034,1146,450551,968,72627,536,2328,841,70299,918,295631,700,13308,1700,282323,1790,82293,658,7010,1233,75283,1362,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,605203,509,281710,990,36059,173,2526,675,33533,711,216572,977,10074,1700,206498,1844,29079,646,2571,751,26508,982,323493,1011,36012,188,1770,933,34242,924,244580,597,9027,1343,235553,1524,42901,869,5520,1113,37381,1339,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18505785,5532,8944652,7099,1519797,4888,86938,6392,1432859,7385,5747594,5911,265497,9088,5482097,10633,1677261,3397,130043,6129,1547218,5926,9561133,6297,1448781,4389,41424,3771,1407357,6034,6066114,4654,239346,8599,5826768,10488,2046238,3447,198319,7938,1847919,8397,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
