GEO_ID,C18108_001E,C18108_001M,C18108_002E,C18108_002M,C18108_003E,C18108_003M,C18108_004E,C18108_004M,C18108_005E,C18108_005M,C18108_006E,C18108_006M,C18108_007E,C18108_007M,C18108_008E,C18108_008M,C18108_009E,C18108_009M,C18108_010E,C18108_010M,C18108_011E,C18108_011M,C18108_012E,C18108_012M,C18108_013E,C18108_013M,NAME,C18108_001EA,C18108_001MA,C18108_002EA,C18108_002MA,C18108_003MA,C18108_003EA,C18108_004MA,C18108_004EA,C18108_005MA,C18108_005EA,C18108_006EA,C18108_006MA,C18108_007EA,C18108_007MA,C18108_008MA,C18108_008EA,C18108_009MA,C18108_009EA,C18108_010MA,C18108_010EA,C18108_011MA,C18108_011EA,C18108_012EA,C18108_012MA,C18108_013MA,C18108_013EA,state
0400000US01,4767383,1932,1106847,2532,39724,3715,10729,1749,1056394,4965,2935367,3536,220281,7467,202268,6274,2512818,10014,725169,2625,129335,4385,174111,5101,421723,6127,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,711541,1618,186245,498,5022,986,1743,826,179480,1355,456278,2127,26179,2024,18495,2204,411604,3311,69018,1293,13428,1205,14933,1710,40657,1793,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6623074,1740,1620576,1495,45933,3972,19349,2468,1555294,5067,3944492,2893,225002,8169,186107,7550,3533383,10828,1058006,1776,173888,5935,196378,6762,687740,8271,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2914376,756,703811,2531,27276,2420,10496,1629,666039,3717,1762235,3085,135925,4673,128720,6529,1497590,7945,448330,2258,85058,4230,105925,3960,257347,4984,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,38297457,5321,9135133,2314,205691,8240,87435,4228,8842007,9039,24264509,7036,1080036,16909,930747,17184,22253726,22931,4897815,3448,725575,11253,1021147,13572,3151093,15212,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5266022,2396,1245432,1889,31471,3863,10230,1790,1203731,5017,3356310,3327,175667,6972,124519,6191,3056124,10570,664280,1966,109096,4206,111069,4165,444115,5004,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3541282,1220,774021,645,20849,2548,7205,1531,745967,3279,2233736,1925,107532,6111,83653,4387,2042551,7152,533525,1443,79462,3394,90551,3730,363512,4817,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,920930,554,203414,635,6098,1479,2455,805,194861,1632,567790,1165,29100,3280,26533,2508,512157,4513,149726,818,22488,1896,23089,1748,104149,2142,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,647966,509,114834,71,4360,1048,823,367,109651,1120,461152,856,26050,2821,18454,2167,416648,3547,71980,877,9485,1025,16835,1631,45660,1881,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19583357,3419,4046150,2400,128679,7562,41661,3522,3875810,9134,11813708,5696,624070,13742,568563,14353,10621075,21181,3723499,4737,582746,11338,673853,13980,2466900,15255,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9906878,3443,2488247,2804,66867,4013,22945,2737,2398435,5734,6200645,5390,355354,10910,322865,10612,5522426,15993,1217986,3415,207333,6797,253171,7956,757482,8256,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1367770,2267,308018,566,6778,1268,2331,795,298909,1673,836069,2388,39440,3486,30406,2894,766223,5299,223683,990,32720,2410,47800,3179,143163,3389,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1612889,1331,430662,1758,13264,2029,5908,1333,411490,3006,950894,2507,55680,3753,43943,3463,851271,4887,231333,1416,41619,3029,44366,3141,145348,3616,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,12702393,1320,2980902,2371,73910,3705,28240,2855,2878752,4909,7998369,3420,367077,7777,306990,9087,7324302,12007,1723122,3071,270535,6278,335035,6948,1117552,7681,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,6498029,543,1579992,2490,60983,3855,20080,2276,1498929,4665,4012497,3199,259436,7852,222792,8572,3530269,11752,905540,2550,159938,5596,179860,5217,565742,7077,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,3062900,1029,723351,2331,21516,2364,6888,1241,694947,3382,1872141,2686,104549,5663,72027,3763,1695565,7187,467408,1664,77073,2980,71377,3176,318958,4004,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2845414,1780,720908,2473,23307,2803,7853,1490,689748,4126,1725164,3419,103854,5133,88480,4536,1532830,6561,399342,2107,70001,2600,72898,3008,256443,3688,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,4328524,1238,1012771,3204,43764,3398,13565,1760,955442,4387,2684670,3873,215228,7987,216810,7328,2252632,11823,631083,2214,116022,3810,156016,4681,359045,6193,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
