VARIABLE,TYPE,LABEL,GROUP
B19037C_001E,int,Estimate!!Total,B19037C
B19037C_002E,int,Estimate!!Total!!Householder under 25 years,B19037C
B19037C_003E,int,"Estimate!!Total!!Householder under 25 years!!Less than $10,000",B19037C
B19037C_004E,int,"Estimate!!Total!!Householder under 25 years!!$10,000 to $14,999",B19037C
B19037C_005E,int,"Estimate!!Total!!Householder under 25 years!!$15,000 to $19,999",B19037C
B19037C_006E,int,"Estimate!!Total!!Householder under 25 years!!$20,000 to $24,999",B19037C
B19037C_007E,int,"Estimate!!Total!!Householder under 25 years!!$25,000 to $29,999",B19037C
B19037C_008E,int,"Estimate!!Total!!Householder under 25 years!!$30,000 to $34,999",B19037C
B19037C_009E,int,"Estimate!!Total!!Householder under 25 years!!$35,000 to $39,999",B19037C
B19037C_010E,int,"Estimate!!Total!!Householder under 25 years!!$40,000 to $44,999",B19037C
B19037C_011E,int,"Estimate!!Total!!Householder under 25 years!!$45,000 to $49,999",B19037C
B19037C_012E,int,"Estimate!!Total!!Householder under 25 years!!$50,000 to $59,999",B19037C
B19037C_013E,int,"Estimate!!Total!!Householder under 25 years!!$60,000 to $74,999",B19037C
B19037C_014E,int,"Estimate!!Total!!Householder under 25 years!!$75,000 to $99,999",B19037C
B19037C_015E,int,"Estimate!!Total!!Householder under 25 years!!$100,000 to $124,999",B19037C
B19037C_016E,int,"Estimate!!Total!!Householder under 25 years!!$125,000 to $149,999",B19037C
B19037C_017E,int,"Estimate!!Total!!Householder under 25 years!!$150,000 to $199,999",B19037C
B19037C_018E,int,"Estimate!!Total!!Householder under 25 years!!$200,000 or more",B19037C
B19037C_019E,int,Estimate!!Total!!Householder 25 to 44 years,B19037C
B19037C_020E,int,"Estimate!!Total!!Householder 25 to 44 years!!Less than $10,000",B19037C
B19037C_021E,int,"Estimate!!Total!!Householder 25 to 44 years!!$10,000 to $14,999",B19037C
B19037C_022E,int,"Estimate!!Total!!Householder 25 to 44 years!!$15,000 to $19,999",B19037C
B19037C_023E,int,"Estimate!!Total!!Householder 25 to 44 years!!$20,000 to $24,999",B19037C
B19037C_024E,int,"Estimate!!Total!!Householder 25 to 44 years!!$25,000 to $29,999",B19037C
