GEO_ID,B08007_001E,B08007_001M,B08007_002E,B08007_002M,B08007_003E,B08007_003M,B08007_004E,B08007_004M,B08007_005E,B08007_005M,B08007_006E,B08007_006M,B08007_007E,B08007_007M,B08007_008E,B08007_008M,B08007_009E,B08007_009M,B08007_010E,B08007_010M,B08007_011E,B08007_011M,B08007_012E,B08007_012M,B08007_013E,B08007_013M,B08007_014E,B08007_014M,B08007_015E,B08007_015M,NAME,B08007_001EA,B08007_001MA,B08007_002EA,B08007_002MA,B08007_003MA,B08007_003EA,B08007_004MA,B08007_004EA,B08007_005EA,B08007_005MA,B08007_006EA,B08007_006MA,B08007_007EA,B08007_007MA,B08007_008MA,B08007_008EA,B08007_009MA,B08007_009EA,B08007_010MA,B08007_010EA,B08007_011EA,B08007_011MA,B08007_012EA,B08007_012MA,B08007_013MA,B08007_013EA,B08007_014MA,B08007_014EA,B08007_015MA,B08007_015EA,state
0400000US01,2011723,14261,1919808,15668,1462894,17028,456914,11808,91915,5053,1059137,9654,1000645,10017,738149,11542,262496,8438,58492,3828,952586,11183,919163,11629,724745,11183,194418,7304,33423,3566,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,363075,5057,361725,4982,336984,4953,24741,2370,1350,606,204888,3792,204084,3775,183986,3688,20098,2165,804,338,158187,3178,157641,3185,152998,3170,4643,780,546,429,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2899727,18330,2852567,18520,2731336,19505,121231,5402,47160,3194,1554506,11351,1522761,11368,1452686,12163,70075,3826,31745,2848,1345221,13711,1329806,13298,1278650,13186,51156,3493,15415,1676,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1253288,11443,1203238,11970,934541,13529,268697,7315,50050,3156,664550,8018,632642,8214,478802,8932,153840,5301,31908,2948,588738,8723,570596,8638,455739,9736,114857,4649,18142,1815,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,17633846,45164,17548813,45752,14580763,44414,2968050,25984,85033,4711,9632021,29138,9571155,29891,7765077,30721,1806078,21775,60866,4041,8001825,32419,7977658,32770,6815686,32485,1161972,15700,24167,2123,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2740368,17973,2706743,17707,1799776,18744,906967,14240,33625,2694,1487005,10887,1463313,10666,942934,12462,520379,10010,23692,2171,1253363,12588,1243430,12581,856842,11283,386588,8503,9933,1312,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1773121,10609,1646947,11402,1298341,13517,348606,8693,126174,5697,915639,8463,837489,9582,640525,10500,196964,6298,78150,3917,857482,8520,809458,9031,657816,8827,151642,5831,48024,3804,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,441183,6008,378245,7037,346119,7247,32126,2776,62938,4640,224604,4082,187390,5077,169044,5401,18346,2096,37214,3583,216579,4560,190855,4576,177075,4803,13780,1662,25724,2579,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,358150,4914,264317,5413,264317,5413,0,200,93833,3789,176591,3350,125075,3901,125075,3901,0,200,51516,3569,181559,3787,139242,3908,139242,3908,0,200,42317,2928,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,8880102,34688,8769490,35365,7216453,39699,1553037,24957,110612,6540,4639812,22231,4562512,23188,3673604,23275,888908,16664,77300,5653,4240290,23073,4206978,23696,3542849,25265,664129,16162,33312,3140,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,4555243,21695,4430458,22081,2667695,23269,1762763,19097,124785,6242,2378018,14518,2296376,15801,1330365,18023,966011,15565,81642,4912,2177225,15928,2134082,15672,1337330,14770,796752,13056,43143,3410,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,704914,7321,701154,7212,698411,7373,2743,840,3760,1091,388614,4834,386128,4903,384283,4906,1845,622,2486,959,316300,5127,315026,5084,314128,5080,898,488,1274,466,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,734911,8152,695635,8856,581811,8779,113824,5014,39276,3861,395724,5362,368421,5705,302179,6392,66242,4005,27303,3114,339187,5857,327214,6074,279632,6248,47582,2647,11973,1677,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,6094828,22953,5889412,22555,4468264,23117,1421148,15927,205416,7280,3209988,13237,3086603,13466,2267158,13621,819445,11324,123385,5057,2884840,16294,2802809,16168,2201106,17014,601703,11910,82031,4298,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,3063590,16142,2897163,18121,2076542,16406,820621,13053,166427,5965,1619061,10323,1512305,11041,1045956,9396,466349,9755,106756,4555,1444529,12690,1384858,13390,1030586,12781,354272,8245,59671,3477,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1574828,10754,1502500,9743,1196699,10415,305801,7952,72328,3342,830182,7033,787423,7020,616332,6937,171091,5476,42759,2575,744646,8211,715077,7877,580367,7176,134710,4811,29569,1962,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1413917,10989,1310235,10646,1079776,10653,230459,6295,103682,4514,757430,8100,694373,7279,560105,7380,134268,5216,63057,3529,656487,7449,615862,7891,519671,7508,96191,3719,40625,2575,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1898550,13609,1776557,13384,1291415,13542,485142,8573,121993,4898,1000245,9962,927387,9922,645007,9688,282380,6773,72858,3408,898305,8641,849170,8913,646408,9376,202762,6233,49135,3237,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2014335,15678,1972642,15106,1404649,16013,567993,12212,41693,3698,1045970,10767,1013922,11058,691499,12519,322423,10171,32048,3176,968365,10955,958720,10740,713150,11054,245570,7192,9645,1858,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,636271,7794,609307,8096,489122,8831,120185,4270,26964,2692,322784,5214,306390,5352,241730,5513,64660,3032,16394,2084,313487,5725,302917,5807,247392,6283,55525,2640,10570,1496,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,3001281,15500,2500625,17739,1619286,17119,881339,13396,500656,9097,1539277,9820,1262760,10449,785924,11051,476836,10091,276517,6558,1462004,11884,1237865,12656,833362,11077,404503,8075,224139,5635,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,3450540,17241,3319132,16591,2248356,17629,1070776,15045,131408,5840,1754884,10740,1678710,10594,1096190,11786,582520,10340,76174,4666,1695656,12377,1640422,12359,1152166,13739,488256,10665,55234,3601,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,4420474,17121,4339068,16718,3067530,19804,1271538,13851,81406,3727,2314997,13386,2261561,13672,1549800,15098,711761,10811,53436,2815,2105477,13203,2077507,12927,1517730,13275,559777,9461,27970,2009,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
