GEO_ID,B14006_001E,B14006_001M,B14006_002E,B14006_002M,B14006_003E,B14006_003M,B14006_004E,B14006_004M,B14006_005E,B14006_005M,B14006_006E,B14006_006M,B14006_007E,B14006_007M,B14006_008E,B14006_008M,B14006_009E,B14006_009M,B14006_010E,B14006_010M,B14006_011E,B14006_011M,B14006_012E,B14006_012M,B14006_013E,B14006_013M,B14006_014E,B14006_014M,B14006_015E,B14006_015M,B14006_016E,B14006_016M,B14006_017E,B14006_017M,B14006_018E,B14006_018M,B14006_019E,B14006_019M,B14006_020E,B14006_020M,B14006_021E,B14006_021M,NAME,B14006_001MA,B14006_001EA,B14006_002EA,B14006_002MA,B14006_003EA,B14006_003MA,B14006_004EA,B14006_004MA,B14006_005EA,B14006_005MA,B14006_006MA,B14006_006EA,B14006_007EA,B14006_007MA,B14006_008EA,B14006_008MA,B14006_009EA,B14006_009MA,B14006_010EA,B14006_010MA,B14006_011MA,B14006_011EA,B14006_012EA,B14006_012MA,B14006_013EA,B14006_013MA,B14006_014EA,B14006_014MA,B14006_015EA,B14006_015MA,B14006_016EA,B14006_016MA,B14006_017MA,B14006_017EA,B14006_018EA,B14006_018MA,B14006_019EA,B14006_019MA,B14006_020EA,B14006_020MA,B14006_021EA,B14006_021MA,state
0400000US01,4569999,4900,824457,22674,293769,11632,15927,1986,19336,2060,70997,4884,57535,4511,57413,4319,62200,4907,10361,2344,530688,15011,3745542,22514,844833,14198,49108,3916,44794,3696,176582,6677,184046,5943,201271,4874,153583,7744,35449,2627,2900709,15805,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,688639,1694,69465,5401,24563,3231,1644,443,1287,469,5913,1163,5984,1244,5840,1346,3412,1021,483,326,44902,3086,619174,5542,159948,4843,8841,1320,9005,1401,30924,1976,31446,2343,35477,2218,34038,2909,10217,1383,459226,4973,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6422581,5791,1092389,28454,391464,16333,14396,1818,21683,2494,95201,6888,86563,5533,79267,5922,82034,6117,12320,1974,700925,17921,5330192,27614,1289353,19889,64680,4153,63379,3300,273838,6817,266211,7525,289472,7903,271094,9379,60679,3992,4040839,20471,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2777553,4605,511204,16446,179497,8982,12620,2045,12580,1736,41455,3658,38049,3556,33933,3063,36814,3449,4046,1157,331707,11588,2266349,15885,522788,10413,33803,3125,26811,2523,114592,5514,114001,4210,115863,4725,94201,5101,23517,2518,1743561,11962,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,36943845,14236,5571745,64237,2128124,33868,109056,5789,114340,4943,431582,13153,400545,11449,430750,11743,556347,17730,85504,5550,3443621,40574,31372100,66650,8027023,45798,480924,10726,402741,10873,1521479,17177,1587555,18868,1700180,15672,1913991,23592,420153,9353,23345077,44091,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5141761,5968,578769,18912,220297,10636,12692,2376,10006,1539,42349,3353,38152,3975,36117,3648,69619,5204,11362,1748,358472,11544,4562992,19500,1120338,14857,72897,4197,58270,3239,243679,6383,237567,6456,240976,5556,201516,7654,65433,3978,3442654,14413,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3373678,3982,348979,15278,119034,8403,8358,1717,6309,1430,26176,3344,23786,2913,24901,2555,21786,3307,7718,1404,229945,9937,3024699,15816,732460,10974,47776,3489,33676,2862,139059,5523,152313,5279,172902,5247,140351,5910,46383,3516,2292239,12280,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,888831,2263,107388,9059,41449,5402,1839,822,3623,1119,8622,2100,9616,2185,6565,1409,10068,1988,1116,825,65939,5227,781443,9427,178905,7089,11827,1873,7621,1301,33241,2791,37384,2942,40764,2674,34938,3727,13130,1949,602538,6393,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,611084,2131,105855,8390,43511,4766,3999,1246,2278,867,6811,1800,5410,1142,6502,1810,11689,2029,6822,1667,62344,5152,505229,8595,97898,5253,10176,1740,4472,848,17276,1925,14491,1712,17921,2171,15907,1896,17655,2040,407331,6240,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19214422,11190,2951556,45055,961576,24778,58171,4714,56789,4301,217838,9422,187646,8729,194801,10312,208225,9640,38106,3970,1989980,29095,16262866,45823,3588967,28814,225649,8449,162958,7019,692899,13971,704202,15305,774798,11908,829941,18084,198520,10056,12673899,35232,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9558090,8901,1591393,31015,613477,19880,39101,3333,39878,3829,139761,7455,136661,8380,115963,6548,123359,8039,18754,2420,977916,20487,7966697,31164,2032748,22913,131705,7092,103509,5664,423917,11050,418114,9470,463599,9609,384263,12616,107641,6711,5933949,24527,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1339843,2663,139652,8004,43552,4181,3312,1133,2618,999,9279,1730,7733,1784,7832,1218,10952,2037,1826,1121,96100,5621,1200191,8475,275342,6265,18671,2292,11832,1665,52891,3235,58465,3466,57048,2446,60818,3876,15617,1729,924849,7179,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1555960,3154,230407,12898,85563,5986,2811,746,4744,1375,18574,2641,14187,2104,14149,2455,28611,2929,2487,870,144844,9248,1325553,13518,338762,8735,16258,1825,18718,1926,78141,3522,80999,3786,79036,3495,54241,4411,11369,1671,986791,9173,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,12114296,8710,1606300,34072,606911,18566,37695,3270,29380,2888,128167,6160,120550,6527,117454,6031,140170,7674,33495,3621,999389,20148,10507996,32405,2585592,20798,190678,6085,127289,6281,515766,9620,544633,8847,570601,9178,495442,10461,141183,6153,7922404,20775,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,6172392,6330,874627,23396,333172,11786,15140,2256,17264,2422,77943,5480,68642,4760,59668,4460,81223,5717,13292,2501,541455,16448,5297765,24426,1253518,16560,76062,4179,59561,3779,267680,7628,282115,8402,298555,7413,217542,7379,52003,4119,4044247,17287,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2906031,3918,349083,12095,138643,7517,7879,1382,6514,994,25179,2901,20272,2357,20120,2106,52165,4453,6514,1668,210440,8518,2556948,13165,609588,10291,45051,3086,34550,2429,134290,4550,138381,5394,138037,3482,90395,4399,28884,2414,1947360,9954,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2715929,4204,346114,12747,138617,8070,8379,1396,8429,1361,26220,2815,25190,3364,23013,2536,41007,4253,6379,2003,207497,7334,2369815,12950,608274,9757,39696,2618,33621,2864,127433,4842,134145,5134,138483,3831,104137,5388,30759,2613,1761541,10189,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,4133119,4641,749235,20260,255644,11676,15874,2158,13638,1998,59788,4236,53666,4453,50202,3753,54981,4993,7495,1521,493591,13073,3383884,18685,748264,12144,42537,3523,37056,2909,155733,6282,171452,5956,176462,4780,128480,6014,36544,2657,2635620,14715,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,4365886,6059,835134,23052,304863,12999,23937,2735,18177,2377,76746,5371,67194,4882,49349,4169,61164,5653,8296,1631,530271,14629,3530752,23395,831382,15789,57371,3431,41759,3588,184110,7269,172610,6768,191890,5848,146369,6986,37273,3831,2699370,16547,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1257480,2415,165133,8534,46137,4568,1625,575,2925,991,11170,1710,8394,1441,8973,1580,11746,2590,1304,503,118996,5813,1092347,8743,221180,5500,11390,1752,10939,1552,43255,2929,47150,2688,55838,2354,40514,3297,12094,1559,871167,6646,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,5651883,5417,539781,19810,191100,10184,13425,1791,8870,1708,41245,3757,34271,3832,35592,3494,46735,4656,10962,1874,348681,12607,5112102,20392,1299049,14482,86374,4648,64180,4202,250131,6138,254171,6946,270325,5668,269818,6850,104050,4609,3813053,17771,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,6348594,6240,717385,20839,253372,11652,13803,1834,11506,1903,46021,3663,42676,4016,47183,4089,66545,5303,25638,3213,464013,14166,5631209,21939,1315351,14382,94783,4679,61332,4286,256795,7123,266946,6419,288705,6120,245377,8070,101413,5135,4315858,17598,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,9367007,5786,1446234,25802,535621,14138,27576,2749,27673,2338,114060,5669,106043,6063,103394,4203,134335,6538,22540,2268,910613,17877,7920773,27055,1847952,16642,107767,4678,84533,3878,358854,7623,391697,8174,427927,6992,381629,8969,95545,4595,6072821,20204,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,5161676,4495,515450,15246,195422,9945,9648,1703,10664,1747,36717,3394,37181,3518,34508,3217,58795,4074,7909,1340,320028,8743,4646226,15666,1120079,12239,79293,3637,56209,2770,238496,5826,247098,5661,257364,4047,184195,7277,57424,3310,3526147,11938,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,2787751,4029,598368,20721,221197,11008,15290,2005,17273,2763,54275,4194,46046,4544,40613,3578,41651,4104,6049,1393,377171,13535,2189383,20685,533411,12294,32584,3503,29127,3232,113467,6013,113148,5555,123748,6010,96449,5674,24888,3085,1655972,13870,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,5677131,5284,823770,19491,291873,11708,16527,2244,18661,2596,65628,4581,54238,4215,49167,4235,70201,5589,17451,2507,531897,14296,4853361,20959,1137154,13542,71108,3463,60361,3558,236624,6624,242502,6148,261676,5164,206909,7711,57974,3731,3716207,15768,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,970429,2000,136723,8108,46749,4975,2368,749,2421,817,9922,1761,7700,1985,7996,1351,15036,2208,1306,426,89974,5324,833706,8454,174927,4986,9848,1423,10359,1438,39391,2596,40935,2787,39995,1719,26164,2429,8235,1648,658779,7056,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1765233,2576,215445,9961,87764,5962,4819,950,4815,939,17979,2563,15036,1799,14044,2017,25140,3288,5931,1503,127681,6649,1549788,10337,388311,8139,28452,2291,21163,1775,81336,3197,88595,3486,87674,2724,59351,3471,21740,2317,1161477,6867,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,2747900,4289,394167,16817,130966,8739,5646,1282,9524,2009,32019,3790,27969,3332,28364,3258,24219,2509,3225,990,263201,11479,2353733,17427,556130,10818,24969,2679,30552,2949,116293,5443,116123,4786,126690,4212,116291,5846,25212,2190,1797603,12090,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,1251022,2434,101316,8168,34229,3836,1332,603,1511,625,5606,1297,6168,1378,7111,1783,9831,2147,2670,875,67087,5625,1149706,8499,252255,5816,16046,1766,12740,1927,46707,2968,57735,3031,60573,2381,43668,3133,14786,2099,897451,7991,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,8477055,5924,891641,25105,308883,14853,25914,2845,16378,2511,73007,4963,64689,5618,64920,4799,50104,4988,13871,2009,582758,14911,7585414,24378,1858267,17815,143430,5456,90060,4637,369454,7808,380348,8666,407381,7664,366984,8539,100610,5508,5727147,18049,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,1965600,3926,392190,15423,137659,8578,8799,1833,8403,1760,36221,3245,27793,3112,27643,2967,26089,2827,2711,758,254531,10324,1573410,15135,393200,10319,21673,2476,18041,2414,78901,4470,83550,5227,84343,3825,86244,5622,20448,2489,1180210,10639,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,18601856,8666,2812281,44888,980611,27885,58304,4623,57011,3741,210313,8389,196710,8173,196751,7955,203204,10054,58318,6171,1831670,25729,15789575,44869,3610547,28907,238569,7713,167509,6697,692527,10835,712444,11876,787633,10872,769840,12876,242025,8550,12179028,31802,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,9428969,6799,1511965,30002,546141,16283,26496,3114,35941,3394,119858,6704,111889,6816,103807,5966,130265,7716,17885,2652,965824,19197,7917004,29292,1838654,24000,101572,5207,91261,5549,380480,10340,398111,10943,424760,8153,354459,12465,88011,4822,6078350,22898,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,697690,1929,74706,4835,26143,3062,1071,500,1466,501,4351,954,2293,621,3647,1130,11616,2150,1699,652,48563,3544,622984,5245,141363,4010,8859,1226,7644,1040,32250,2192,29857,2159,30708,1661,26441,2605,5604,974,481621,5233,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,10896563,8103,1567616,32140,564036,18867,31710,3084,34301,3048,124827,6240,109130,6285,105609,6034,132786,6507,25673,3412,1003580,17460,9328947,33170,2159073,20757,137780,6481,102712,4493,439400,9072,480982,9177,508691,7357,374507,9943,115001,5549,7169874,26556,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,3646063,4204,573593,14067,213053,8113,16120,1930,14724,1564,49849,3523,43813,3063,35725,2706,45545,3813,7277,1227,360540,8615,3072470,14287,764563,11013,53568,3353,40508,2239,164935,5302,166184,5052,171288,4152,134561,5787,33519,2344,2307907,9620,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,3822903,5658,577382,21279,199738,12218,9864,2016,9073,1472,39291,4248,31970,3581,37301,3910,62543,5741,9696,1798,377644,13247,3245521,21619,711841,13267,46077,2878,35696,2867,151402,4994,146441,5829,164322,4954,129852,6239,38051,3461,2533680,13894,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,11970639,7267,1542037,30303,543690,15840,31542,3078,27618,3264,120233,6472,103800,5721,103074,4986,126108,6510,31315,3370,998347,19162,10428602,30400,2237929,18235,149867,5618,110159,5068,467732,8563,473714,8763,524095,8176,383433,9343,128929,5242,8190673,21767,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,983650,2144,134805,9144,45995,5088,1910,736,3083,1220,10005,1691,8648,2092,7000,1349,10522,2284,4827,1696,88810,6560,848845,9563,189151,5952,10677,1878,8957,1412,37399,2688,37359,2726,39012,2077,43572,3452,12175,2356,659694,8677,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,4585576,4770,750829,21954,266552,10741,13592,1964,19274,2286,63816,4283,54280,4413,51588,4512,55406,4956,8596,1566,484277,15394,3834747,21942,862833,13260,45013,3477,52298,3815,176688,6176,184775,6818,198573,6119,161520,7338,43966,4098,2971914,17482,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,797008,1789,106497,7046,37288,3809,2549,646,2104,803,8982,1442,6511,1167,6289,1217,9752,1526,1101,550,69209,4895,690511,7381,160664,4521,11253,1426,10115,1260,37690,2038,33854,2281,35759,2294,23938,1972,8055,1348,529847,5878,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,6206504,5605,1012361,28117,333363,12963,17712,2777,21814,2757,75927,5419,73655,4437,64258,4222,69113,5589,10884,2001,678998,19573,5194143,29076,1160869,17682,67767,4268,51464,4327,247008,7756,259523,8354,268010,5734,211997,8535,55100,4588,4033274,19680,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,25700887,13835,3971085,62288,1586052,32543,93329,6046,110142,6524,397918,11626,345493,11915,296707,11293,292562,11041,49901,4820,2385033,39673,21729802,63986,5735980,40441,354059,10530,303510,9917,1255582,19419,1232615,19389,1274284,17252,1074910,19521,241020,9959,15993822,44473,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,2799676,4019,308876,13998,140127,8039,8391,1493,7559,1870,24849,2789,22254,3042,23226,2364,50857,4370,2991,744,168749,8568,2490800,13672,785859,10750,50554,3046,40971,2738,181880,5619,176339,5217,173043,4174,136821,5725,26251,2623,1704941,11846,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
