GEO_ID,B18101A_001E,B18101A_001M,B18101A_002E,B18101A_002M,B18101A_003E,B18101A_003M,B18101A_004E,B18101A_004M,B18101A_005E,B18101A_005M,B18101A_006E,B18101A_006M,B18101A_007E,B18101A_007M,B18101A_008E,B18101A_008M,B18101A_009E,B18101A_009M,B18101A_010E,B18101A_010M,NAME,B18101A_001EA,B18101A_001MA,B18101A_002MA,B18101A_002EA,B18101A_003MA,B18101A_003EA,B18101A_004MA,B18101A_004EA,B18101A_005EA,B18101A_005MA,B18101A_006EA,B18101A_006MA,B18101A_007MA,B18101A_007EA,B18101A_008MA,B18101A_008EA,B18101A_009MA,B18101A_009EA,B18101A_010MA,B18101A_010EA,state
0400000US01,3285127,5938,691677,3372,32469,2924,659208,4578,2002582,4280,280848,7842,1721734,8674,590868,1695,239441,5606,351427,5502,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,464147,3635,100116,1425,4000,1075,96116,1505,309074,2887,28713,2700,280361,3581,54957,598,20605,1661,34352,1723,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5206903,23503,1142191,10567,38928,3656,1103263,10658,3067661,15520,322452,10585,2745209,17648,997051,3233,339980,7957,657071,8360,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2271224,6628,500030,3637,26581,2510,473449,4357,1367109,4402,196188,6580,1170921,8122,404085,1278,168618,4594,235467,4478,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,23535253,64115,5172965,28538,166473,7111,5006492,27932,14719921,40838,1283165,18771,13436756,38517,3642367,10500,1276363,13700,2366004,13661,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4537597,14076,999733,6529,29226,2881,970507,7381,2899630,8922,237559,7541,2662071,11771,638234,2431,207233,5099,431001,5320,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2713152,13199,524609,5610,17763,2114,506846,5838,1705532,9302,142077,6015,1563455,11083,483011,1628,146612,4447,336399,4524,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,645731,4780,124300,2388,4560,1131,119740,2379,392379,3128,36552,2663,355827,3956,129052,706,40391,2077,88661,2078,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,264710,3543,30855,1536,552,331,30303,1610,207152,2683,6544,1310,200608,2845,26703,615,6152,1096,20551,1113,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15161839,28519,2763879,12990,116587,6883,2647292,14200,8991523,18143,894047,17793,8097476,23260,3406437,6419,1127082,13162,2279355,15621,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5982700,15736,1334149,8572,55774,4970,1278375,10359,3706811,10208,388092,10978,3318719,14401,941740,2552,333824,7227,607916,7140,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,339667,4399,57158,2911,962,399,56196,2859,218279,2985,18341,2089,199938,3110,64230,636,19093,1527,45137,1645,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1494243,5763,383506,2754,16411,2446,367095,3497,881259,4208,108279,5555,772980,6808,229478,1177,83830,3858,145648,3922,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,9126301,23397,1956302,10909,62095,4358,1894207,10732,5731168,15562,465872,9634,5265296,17607,1438831,3577,476497,6831,962334,7162,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,5487510,9810,1238927,5584,54403,4171,1184524,6655,3394297,6233,401547,8455,2992750,9821,854286,2075,319389,6431,534897,6510,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2789633,5944,622722,3060,26786,2325,595936,3903,1701569,4029,165259,5960,1536310,7902,465342,1060,151629,3864,313713,3880,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2418071,7848,576236,4157,23218,2448,553018,4787,1464415,4838,156645,6125,1307770,7287,377420,1288,137335,4051,240085,4307,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3803786,5681,838173,3133,41642,3678,796531,4498,2359727,3737,374893,9025,1984834,9977,605886,1307,246652,5309,359234,5404,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2868776,7775,619185,4235,32898,3511,586287,5134,1783783,5144,218879,8642,1564904,9972,465808,1730,179615,4979,286193,4920,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1244499,1487,232263,1111,14610,2031,217653,2284,774086,1256,106901,5259,667185,5556,238150,678,80906,2770,157244,2676,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,3342741,10506,673340,4831,26423,3070,646917,5556,2098742,7453,189554,6320,1909188,9164,570659,1869,178123,4033,392536,4196,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,5314915,12498,1006369,6871,43823,3838,962546,7586,3408999,8752,304759,8922,3104240,11463,899547,2450,288210,5844,611337,6250,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,7735793,8640,1600879,4547,71971,3626,1528908,5907,4802855,5948,557450,10386,4245405,11894,1332059,2014,458609,6413,873450,6430,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,4570440,7075,974144,3332,33578,2556,940566,4197,2862294,4673,240956,6541,2621338,7164,734002,1320,230238,4464,503764,4639,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,1723845,4502,375421,2704,16989,2690,358432,3504,1037239,2825,150342,6958,886897,7009,311185,1457,130323,4687,180862,4539,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,4931654,7559,1072234,3808,48260,3292,1023974,4911,3034826,4739,380343,10697,2654483,11847,824594,1745,300172,6791,524422,7006,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,906416,2391,186025,1082,6723,1166,179302,1640,554606,1812,62883,4083,491723,4431,165785,907,56347,2531,109438,2455,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1648302,6579,390348,3185,14307,1697,376041,3576,1004024,3878,89172,3911,914852,6107,253930,1115,84241,2904,169689,3108,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,1931827,14867,409044,6781,20446,2630,388598,6654,1189358,9393,141189,6223,1048169,10282,333425,2242,116471,4057,216954,4464,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,1231043,2291,237726,1058,10397,1693,227329,2062,788171,1881,83682,5439,704489,5924,205146,708,67526,3334,137620,3399,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,5997750,21366,1247064,9086,41087,3534,1205977,9462,3711160,14478,290607,7881,3420553,15857,1039526,3737,338575,5547,700951,6063,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,1506779,13697,338705,5836,13151,1892,325554,5850,896006,8728,110891,5310,785115,8929,272068,2614,105563,3929,166505,4118,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,12483149,29597,2425803,12866,96334,5423,2329469,13364,7888656,18931,697030,14904,7191626,23237,2168690,6360,712097,12140,1456593,11218,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,6817890,14244,1421381,7833,61993,4304,1359388,8765,4210480,10046,484650,11687,3725830,14900,1186029,3002,418283,8158,767746,8105,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,654234,2498,142652,1206,3216,751,139436,1377,413788,2076,32268,2358,381520,2904,97794,479,34844,1883,62950,1993,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,9400896,9068,1997452,4577,92295,5303,1905157,7339,5821329,5823,678182,12271,5143147,12913,1582115,2689,540340,8017,1041775,7999,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,2789689,6924,609401,4171,27852,2239,581549,4766,1703951,4860,229577,6408,1474374,8435,476337,1611,192633,4252,283704,4140,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,3405420,9402,688318,4926,33411,3398,654907,5637,2108147,6393,275556,8335,1832591,9896,608955,1459,227496,5374,381459,5584,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,10254565,12870,1998154,6610,99324,5160,1898830,7622,6367189,8506,684349,11786,5682840,14058,1889222,3301,634667,8841,1254555,9024,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,836961,6284,148436,2916,6608,1184,141828,3170,539333,4089,61730,4655,477603,5535,149192,1031,50565,3124,98627,3197,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,3240661,8310,653538,3607,31107,2835,622431,4448,1981662,6172,237541,7202,1744121,8861,605461,1895,214940,5403,390521,5496,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,713276,2729,159045,1629,6226,1229,152819,1850,433035,2000,39765,3509,393270,3372,121196,594,39092,1984,82104,1986,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,5058324,9453,1071260,5125,45351,3983,1025909,6180,3123899,5831,436071,10232,2687828,10409,863165,1822,339676,8034,523489,8341,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,20271608,39369,5245490,19157,211037,9033,5034453,21951,12408329,25312,1199119,20864,11209210,32347,2617789,7012,991938,12538,1625851,13796,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,2590611,11286,770328,6064,25949,3003,744379,5966,1532912,6557,137021,5158,1395891,8380,287371,1472,101387,3653,185984,3642,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,587482,1388,109683,690,7210,1505,102473,1667,373578,1160,43844,2478,329734,2634,104221,406,34085,1822,70136,1821,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,5579033,14987,1160663,6389,45256,3732,1115407,6949,3501786,10979,319255,8896,3182531,13456,916584,2144,294422,7094,622162,7055,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,5437678,12544,1119332,6248,43672,3718,1075660,7452,3423091,8188,383267,10303,3039824,12441,895255,2284,318855,6612,576400,6700,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,1701847,2629,345216,1444,20268,2704,324948,2859,1040603,1993,177690,6376,862913,6657,316028,872,137234,3927,178794,4015,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
