GEO_ID,B19080_001E,B19080_001M,B19080_002E,B19080_002M,B19080_003E,B19080_003M,B19080_004E,B19080_004M,B19080_005E,B19080_005M,NAME,B19080_001EA,B19080_001MA,B19080_002MA,B19080_002EA,B19080_003MA,B19080_003EA,B19080_004MA,B19080_004EA,B19080_005MA,B19080_005EA,state
0400000US01,17574,411,34597,672,56589,706,92122,844,166488,2931,Alabama,null,null,null,null,null,null,null,null,null,null,01
0400000US02,32587,1752,59083,2558,89033,2066,132844,3316,222743,12871,Alaska,null,null,null,null,null,null,null,null,null,null,02
0400000US04,22070,321,40964,356,63750,851,101285,570,186319,2618,Arizona,null,null,null,null,null,null,null,null,null,null,04
0400000US05,17765,490,32916,605,52586,761,85123,1177,155151,4170,Arkansas,null,null,null,null,null,null,null,null,null,null,05
0400000US06,25614,159,50311,187,81614,270,133227,872,250001,-333333333,California,null,null,null,null,null,null,null,null,***,"250,000+",06
0400000US08,28200,582,50837,469,79183,931,122335,992,221903,3444,Colorado,null,null,null,null,null,null,null,null,null,null,08
0400000US09,28019,864,55463,941,90261,994,143225,1956,250001,-333333333,Connecticut,null,null,null,null,null,null,null,null,***,"250,000+",09
0400000US10,27146,1102,49286,1832,76041,1701,114774,3239,201450,4714,Delaware,null,null,null,null,null,null,null,null,null,null,10
0400000US11,24523,1715,55517,2408,97430,3755,164915,5791,250001,-333333333,District of Columbia,null,null,null,null,null,null,null,null,***,"250,000+",11
0400000US12,21293,149,38930,323,61250,255,98913,740,187746,2135,Florida,null,null,null,null,null,null,null,null,null,null,12
0400000US13,21141,265,40524,359,64059,684,103638,1149,191788,2189,Georgia,null,null,null,null,null,null,null,null,null,null,13
0400000US15,31844,943,60109,1505,89352,2486,133197,3076,229294,8120,Hawaii,null,null,null,null,null,null,null,null,null,null,15
0400000US16,21006,740,37960,1178,59944,1318,93109,2055,156738,4522,Idaho,null,null,null,null,null,null,null,null,null,null,16
0400000US17,24000,286,46395,351,74762,564,119095,1060,220890,1541,Illinois,null,null,null,null,null,null,null,null,null,null,17
0400000US18,22271,302,40340,337,61937,443,96606,734,170033,3052,Indiana,null,null,null,null,null,null,null,null,null,null,18
0400000US19,23801,511,43830,756,66688,673,100591,927,170444,3974,Iowa,null,null,null,null,null,null,null,null,null,null,19
0400000US20,23599,557,43384,834,66936,766,104259,1496,185684,3279,Kansas,null,null,null,null,null,null,null,null,null,null,20
0400000US21,18144,339,35400,378,56502,548,90989,723,161443,1572,Kentucky,null,null,null,null,null,null,null,null,null,null,21
0400000US22,17240,311,34618,771,59302,1129,98418,1868,176728,2830,Louisiana,null,null,null,null,null,null,null,null,null,null,22
0400000US23,20911,671,40188,850,63062,1399,97143,1652,171425,3741,Maine,null,null,null,null,null,null,null,null,null,null,23
0400000US24,32060,492,60531,504,93683,1076,146186,1336,250001,-333333333,Maryland,null,null,null,null,null,null,null,null,***,"250,000+",24
0400000US25,26338,481,54403,858,90247,711,142065,1056,250001,-333333333,Massachusetts,null,null,null,null,null,null,null,null,***,"250,000+",25
0400000US26,21446,203,40575,259,63191,500,100856,403,180801,1573,Michigan,null,null,null,null,null,null,null,null,null,null,26
0400000US27,27527,493,50830,341,77817,655,119079,1176,208462,3591,Minnesota,null,null,null,null,null,null,null,null,null,null,27
0400000US28,15972,344,30995,488,51350,574,83789,1643,144506,4356,Mississippi,null,null,null,null,null,null,null,null,null,null,28
0400000US29,21517,280,39897,435,62109,453,98699,1071,176059,2132,Missouri,null,null,null,null,null,null,null,null,null,null,29
0400000US30,21156,485,38158,1069,60875,1014,94309,2729,166995,6124,Montana,null,null,null,null,null,null,null,null,null,null,30
0400000US31,23891,583,43529,997,68288,965,104834,1435,182745,4745,Nebraska,null,null,null,null,null,null,null,null,null,null,31
0400000US32,23527,563,41961,545,65923,919,100779,923,179104,3654,Nevada,null,null,null,null,null,null,null,null,null,null,32
0400000US33,30872,806,56308,1156,85981,1250,129523,2771,230292,7779,New Hampshire,null,null,null,null,null,null,null,null,null,null,33
0400000US34,28203,480,56099,520,91673,631,147300,1408,250001,-333333333,New Jersey,null,null,null,null,null,null,null,null,***,"250,000+",34
0400000US35,17643,577,34657,875,57047,1065,94020,2269,166593,4164,New Mexico,null,null,null,null,null,null,null,null,null,null,35
0400000US36,22358,220,46585,352,77239,447,127059,589,247132,3139,New York,null,null,null,null,null,null,null,null,null,null,36
0400000US37,20399,250,37496,430,60250,434,97313,719,181181,1579,North Carolina,null,null,null,null,null,null,null,null,null,null,37
0400000US38,25702,1055,46853,1486,75412,1993,116620,2670,200461,7737,North Dakota,null,null,null,null,null,null,null,null,null,null,38
0400000US39,21343,227,40319,266,63648,433,100760,403,178325,2351,Ohio,null,null,null,null,null,null,null,null,null,null,39
0400000US40,20521,261,38299,512,60386,403,94833,1366,172633,3226,Oklahoma,null,null,null,null,null,null,null,null,null,null,40
0400000US41,23165,417,42338,473,67170,711,105773,1173,194302,4022,Oregon,null,null,null,null,null,null,null,null,null,null,41
0400000US42,23005,256,43776,392,69859,499,109054,881,200998,1068,Pennsylvania,null,null,null,null,null,null,null,null,null,null,42
0400000US44,21736,994,44676,1817,74370,1821,115841,2159,204306,7001,Rhode Island,null,null,null,null,null,null,null,null,null,null,44
0400000US45,19814,374,37012,415,59525,820,92500,1164,168276,3818,South Carolina,null,null,null,null,null,null,null,null,null,null,45
0400000US46,23336,842,42217,858,65179,1120,96886,1510,168250,8456,South Dakota,null,null,null,null,null,null,null,null,null,null,46
0400000US47,20086,297,37025,399,58902,736,94193,991,172883,3786,Tennessee,null,null,null,null,null,null,null,null,null,null,47
0400000US48,23378,225,43621,406,70065,358,112387,567,212337,2016,Texas,null,null,null,null,null,null,null,null,null,null,48
0400000US49,29911,694,51420,625,75986,912,112351,1725,194186,5011,Utah,null,null,null,null,null,null,null,null,null,null,49
0400000US50,23856,1009,46055,1105,70611,1341,106333,1782,187241,8714,Vermont,null,null,null,null,null,null,null,null,null,null,50
