GEO_ID,B19113H_001E,B19113H_001M,NAME,B19113H_001MA,B19113H_001EA,state
0400000US01,64878,1177,Alabama,null,null,01
0400000US02,98788,3290,Alaska,null,null,02
0400000US04,71175,806,Arizona,null,null,04
0400000US05,58513,1328,Arkansas,null,null,05
0400000US06,95751,804,California,null,null,06
0400000US08,87987,1173,Colorado,null,null,08
0400000US09,105538,1475,Connecticut,null,null,09
0400000US10,78909,2601,Delaware,null,null,10
0400000US11,198636,6574,District of Columbia,null,null,11
0400000US12,69177,588,Florida,null,null,12
0400000US13,72686,980,Georgia,null,null,13
0400000US15,86758,4993,Hawaii,null,null,15
0400000US16,61942,1266,Idaho,null,null,16
0400000US17,84879,779,Illinois,null,null,17
0400000US18,67017,744,Indiana,null,null,18
0400000US19,71989,688,Iowa,null,null,19
0400000US20,74059,1298,Kansas,null,null,20
0400000US21,58465,917,Kentucky,null,null,21
0400000US22,72571,1749,Louisiana,null,null,22
0400000US23,65220,1397,Maine,null,null,23
0400000US24,105115,1292,Maryland,null,null,24
0400000US25,100750,652,Massachusetts,null,null,25
0400000US26,68924,649,Michigan,null,null,26
0400000US27,84192,922,Minnesota,null,null,27
0400000US28,62630,1471,Mississippi,null,null,28
0400000US29,66635,645,Missouri,null,null,29
0400000US30,66193,1320,Montana,null,null,30
0400000US31,76224,892,Nebraska,null,null,31
0400000US32,73603,1896,Nevada,null,null,32
0400000US33,86596,1428,New Hampshire,null,null,33
0400000US34,105936,1081,New Jersey,null,null,34
0400000US35,73951,3118,New Mexico,null,null,35
0400000US36,88595,816,New York,null,null,36
0400000US37,69473,800,North Carolina,null,null,37
0400000US38,82115,1882,North Dakota,null,null,38
0400000US39,69777,577,Ohio,null,null,39
0400000US40,65677,795,Oklahoma,null,null,40
0400000US41,70149,862,Oregon,null,null,41
0400000US42,75422,453,Pennsylvania,null,null,42
0400000US44,86318,1755,Rhode Island,null,null,44
0400000US45,68915,1105,South Carolina,null,null,45
0400000US46,72497,1647,South Dakota,null,null,46
0400000US47,62079,681,Tennessee,null,null,47
0400000US48,85797,716,Texas,null,null,48
0400000US49,76317,1077,Utah,null,null,49
0400000US50,76353,1642,Vermont,null,null,50
0400000US51,87667,1174,Virginia,null,null,51
0400000US53,81649,876,Washington,null,null,53
0400000US54,53917,1420,West Virginia,null,null,54
0400000US55,75054,591,Wisconsin,null,null,55
0400000US56,78500,3077,Wyoming,null,null,56
0400000US72,26809,7158,Puerto Rico,null,null,72
