GEO_ID,B20005G_001E,B20005G_001M,B20005G_002E,B20005G_002M,B20005G_003E,B20005G_003M,B20005G_004E,B20005G_004M,B20005G_005E,B20005G_005M,B20005G_006E,B20005G_006M,B20005G_007E,B20005G_007M,B20005G_008E,B20005G_008M,B20005G_009E,B20005G_009M,B20005G_010E,B20005G_010M,B20005G_011E,B20005G_011M,B20005G_012E,B20005G_012M,B20005G_013E,B20005G_013M,B20005G_014E,B20005G_014M,B20005G_015E,B20005G_015M,B20005G_016E,B20005G_016M,B20005G_017E,B20005G_017M,B20005G_018E,B20005G_018M,B20005G_019E,B20005G_019M,B20005G_020E,B20005G_020M,B20005G_021E,B20005G_021M,B20005G_022E,B20005G_022M,B20005G_023E,B20005G_023M,B20005G_024E,B20005G_024M,B20005G_025E,B20005G_025M,B20005G_026E,B20005G_026M,B20005G_027E,B20005G_027M,B20005G_028E,B20005G_028M,B20005G_029E,B20005G_029M,B20005G_030E,B20005G_030M,B20005G_031E,B20005G_031M,B20005G_032E,B20005G_032M,B20005G_033E,B20005G_033M,B20005G_034E,B20005G_034M,B20005G_035E,B20005G_035M,B20005G_036E,B20005G_036M,B20005G_037E,B20005G_037M,B20005G_038E,B20005G_038M,B20005G_039E,B20005G_039M,B20005G_040E,B20005G_040M,B20005G_041E,B20005G_041M,B20005G_042E,B20005G_042M,B20005G_043E,B20005G_043M,B20005G_044E,B20005G_044M,B20005G_045E,B20005G_045M,B20005G_046E,B20005G_046M,B20005G_047E,B20005G_047M,B20005G_048E,B20005G_048M,B20005G_049E,B20005G_049M,B20005G_050E,B20005G_050M,B20005G_051E,B20005G_051M,B20005G_052E,B20005G_052M,B20005G_053E,B20005G_053M,B20005G_054E,B20005G_054M,B20005G_055E,B20005G_055M,B20005G_056E,B20005G_056M,B20005G_057E,B20005G_057M,B20005G_058E,B20005G_058M,B20005G_059E,B20005G_059M,B20005G_060E,B20005G_060M,B20005G_061E,B20005G_061M,B20005G_062E,B20005G_062M,B20005G_063E,B20005G_063M,B20005G_064E,B20005G_064M,B20005G_065E,B20005G_065M,B20005G_066E,B20005G_066M,B20005G_067E,B20005G_067M,B20005G_068E,B20005G_068M,B20005G_069E,B20005G_069M,B20005G_070E,B20005G_070M,B20005G_071E,B20005G_071M,B20005G_072E,B20005G_072M,B20005G_073E,B20005G_073M,B20005G_074E,B20005G_074M,B20005G_075E,B20005G_075M,B20005G_076E,B20005G_076M,B20005G_077E,B20005G_077M,B20005G_078E,B20005G_078M,B20005G_079E,B20005G_079M,B20005G_080E,B20005G_080M,B20005G_081E,B20005G_081M,B20005G_082E,B20005G_082M,B20005G_083E,B20005G_083M,B20005G_084E,B20005G_084M,B20005G_085E,B20005G_085M,B20005G_086E,B20005G_086M,B20005G_087E,B20005G_087M,B20005G_088E,B20005G_088M,B20005G_089E,B20005G_089M,B20005G_090E,B20005G_090M,B20005G_091E,B20005G_091M,B20005G_092E,B20005G_092M,B20005G_093E,B20005G_093M,B20005G_094E,B20005G_094M,B20005G_095E,B20005G_095M,NAME,B20005G_001MA,B20005G_001EA,B20005G_002MA,B20005G_002EA,B20005G_003MA,B20005G_003EA,B20005G_004EA,B20005G_004MA,B20005G_005EA,B20005G_005MA,B20005G_006EA,B20005G_006MA,B20005G_007EA,B20005G_007MA,B20005G_008EA,B20005G_008MA,B20005G_009MA,B20005G_009EA,B20005G_010EA,B20005G_010MA,B20005G_011EA,B20005G_011MA,B20005G_012EA,B20005G_012MA,B20005G_013EA,B20005G_013MA,B20005G_014EA,B20005G_014MA,B20005G_015EA,B20005G_015MA,B20005G_016EA,B20005G_016MA,B20005G_017EA,B20005G_017MA,B20005G_018EA,B20005G_018MA,B20005G_019EA,B20005G_019MA,B20005G_020MA,B20005G_020EA,B20005G_021EA,B20005G_021MA,B20005G_022EA,B20005G_022MA,B20005G_023EA,B20005G_023MA,B20005G_024EA,B20005G_024MA,B20005G_025MA,B20005G_025EA,B20005G_026EA,B20005G_026MA,B20005G_027EA,B20005G_027MA,B20005G_028EA,B20005G_028MA,B20005G_029EA,B20005G_029MA,B20005G_030MA,B20005G_030EA,B20005G_031MA,B20005G_031EA,B20005G_032EA,B20005G_032MA,B20005G_033EA,B20005G_033MA,B20005G_034EA,B20005G_034MA,B20005G_035MA,B20005G_035EA,B20005G_036MA,B20005G_036EA,B20005G_037EA,B20005G_037MA,B20005G_038EA,B20005G_038MA,B20005G_039EA,B20005G_039MA,B20005G_040MA,B20005G_040EA,B20005G_041MA,B20005G_041EA,B20005G_042MA,B20005G_042EA,B20005G_043EA,B20005G_043MA,B20005G_044EA,B20005G_044MA,B20005G_045MA,B20005G_045EA,B20005G_046MA,B20005G_046EA,B20005G_047MA,B20005G_047EA,B20005G_048EA,B20005G_048MA,B20005G_049EA,B20005G_049MA,B20005G_050EA,B20005G_050MA,B20005G_051MA,B20005G_051EA,B20005G_052MA,B20005G_052EA,B20005G_053MA,B20005G_053EA,B20005G_054EA,B20005G_054MA,B20005G_055EA,B20005G_055MA,B20005G_056MA,B20005G_056EA,B20005G_057EA,B20005G_057MA,B20005G_058MA,B20005G_058EA,B20005G_059EA,B20005G_059MA,B20005G_060EA,B20005G_060MA,B20005G_061EA,B20005G_061MA,B20005G_062EA,B20005G_062MA,B20005G_063EA,B20005G_063MA,B20005G_064MA,B20005G_064EA,B20005G_065MA,B20005G_065EA,B20005G_066EA,B20005G_066MA,B20005G_067MA,B20005G_067EA,B20005G_068EA,B20005G_068MA,B20005G_069MA,B20005G_069EA,B20005G_070EA,B20005G_070MA,B20005G_071EA,B20005G_071MA,B20005G_072EA,B20005G_072MA,B20005G_073EA,B20005G_073MA,B20005G_074EA,B20005G_074MA,B20005G_075EA,B20005G_075MA,B20005G_076MA,B20005G_076EA,B20005G_077EA,B20005G_077MA,B20005G_078MA,B20005G_078EA,B20005G_079EA,B20005G_079MA,B20005G_080EA,B20005G_080MA,B20005G_081EA,B20005G_081MA,B20005G_082EA,B20005G_082MA,B20005G_083EA,B20005G_083MA,B20005G_084EA,B20005G_084MA,B20005G_085MA,B20005G_085EA,B20005G_086EA,B20005G_086MA,B20005G_087MA,B20005G_087EA,B20005G_088EA,B20005G_088MA,B20005G_089MA,B20005G_089EA,B20005G_090EA,B20005G_090MA,B20005G_091EA,B20005G_091MA,B20005G_092EA,B20005G_092MA,B20005G_093EA,B20005G_093MA,B20005G_094EA,B20005G_094MA,B20005G_095EA,B20005G_095MA,state
0400000US01,53619,4394,26758,2989,10553,1570,0,192,10553,1570,78,110,36,66,0,192,0,192,230,208,101,126,446,337,584,359,609,367,365,511,761,427,1116,776,1231,733,340,227,511,318,757,433,749,369,627,398,1127,558,885,462,16205,2630,9771,2094,6434,1392,1158,661,505,368,718,485,430,413,914,458,27,58,829,595,405,246,141,149,0,192,499,388,0,192,369,477,247,220,37,62,55,91,19,42,0,192,0,192,81,139,26861,2484,6571,1200,0,192,6571,1200,24,47,0,192,40,78,62,79,235,220,37,39,414,308,165,149,686,624,199,178,741,417,472,326,291,218,678,428,773,494,470,355,348,297,165,132,505,347,266,245,20290,2357,12171,1814,8119,1676,1416,528,832,555,1061,514,1122,615,1106,579,583,470,260,218,321,302,272,249,75,95,434,281,375,473,39,78,0,192,0,192,90,90,133,211,0,192,0,192,0,192,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,36913,2726,18906,1900,6742,1162,15,30,6727,1169,68,91,0,149,53,90,23,50,15,30,33,32,289,240,183,210,828,515,388,280,572,379,660,468,96,85,421,294,148,119,366,212,426,246,421,281,711,314,1026,525,12164,1531,3868,728,8296,1261,1219,563,597,297,842,458,576,378,825,492,242,235,182,169,616,357,178,161,189,193,354,207,277,327,140,157,121,163,115,123,147,181,125,140,313,310,652,449,586,372,18007,1708,6085,1156,0,149,6085,1156,0,149,0,149,99,127,113,186,377,400,0,149,91,111,86,120,183,137,16,29,557,338,667,386,1038,608,337,360,424,318,431,245,751,485,243,211,475,293,197,185,11922,1618,5397,1257,6525,1150,1030,406,1023,466,1225,692,321,233,179,118,69,92,317,212,218,218,51,55,279,302,427,284,368,360,164,177,415,406,47,53,22,30,33,55,182,201,69,90,86,93,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,125261,7303,61381,4473,25658,2697,0,201,25658,2697,56,95,0,201,125,154,59,96,486,384,431,420,242,226,1644,768,1715,723,825,423,2029,627,2470,796,1608,709,1927,645,1332,663,1733,730,1956,858,2009,879,2641,664,2370,781,35723,3055,20395,2425,15328,2288,3058,961,2077,670,1177,638,1362,614,1734,789,377,263,361,265,908,568,1445,629,182,225,456,401,1280,614,125,114,148,204,97,120,94,108,170,153,132,144,0,201,145,143,63880,4246,21987,2748,0,201,21987,2748,0,201,156,192,26,46,139,185,604,374,258,217,1088,662,1110,643,1090,567,1574,727,2098,921,2639,979,2094,766,1603,682,1479,544,1174,577,1429,606,830,445,1409,580,1187,536,41893,3516,22921,2657,18972,2430,3815,1094,2617,714,2176,676,2547,845,1688,739,1279,554,1357,751,55,92,479,353,194,246,684,241,705,360,286,224,80,94,417,316,232,219,34,57,120,145,131,179,76,126,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1071664,21355,524974,13815,211265,7867,0,201,211265,7867,304,223,664,401,1849,623,1019,589,3496,808,2328,838,4797,1081,5737,1379,8912,1472,4808,1192,14486,1934,14964,2166,12181,1792,16379,2276,8459,1589,14312,2351,18494,1985,14732,2037,23481,2062,39863,3026,313709,10071,168112,6580,145597,6260,26967,2360,16406,2123,14477,1812,10428,1775,13357,1676,6901,1267,9458,1781,5648,1233,7475,1501,3584,1113,4101,812,4174,771,3487,970,2466,703,2787,1049,2287,854,2827,815,1696,576,3497,1072,3574,959,546690,11946,178619,6438,26,42,178593,6439,430,363,454,285,1393,574,2925,1256,3498,950,3833,1427,6161,1197,4572,1366,8169,1474,5234,1050,13479,2074,15631,1932,12714,1961,13907,2331,9091,1535,10786,1642,13631,2002,12652,1899,21313,2205,18720,2017,368071,9547,194725,6928,173346,6014,35113,2894,18915,2280,19447,2088,12535,2087,17418,2096,7261,1588,9115,1462,5448,1264,8098,1490,4014,1219,6523,1230,6353,1357,4495,1202,3244,800,2058,618,1786,633,3672,970,1667,684,3021,961,3163,901,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,113303,6257,58670,4607,25536,2529,0,193,25536,2529,23,39,33,56,120,148,207,236,517,363,75,98,993,582,533,406,1426,609,860,453,1898,678,2426,828,2157,742,1847,903,803,408,1848,675,2638,894,1031,448,3342,913,2759,742,33134,3884,13363,2366,19771,2792,3673,1011,2492,841,2868,948,1445,558,2576,931,1032,518,1762,734,374,306,950,501,162,145,314,214,159,133,276,257,476,464,0,193,133,164,103,143,0,193,739,597,237,200,54633,3615,20144,2548,0,193,20144,2548,0,193,65,109,169,154,104,121,378,335,50,93,1346,750,663,418,900,599,47,75,2139,854,2671,1054,1599,599,1650,696,661,315,978,507,1437,574,1876,781,1963,780,1448,560,34489,2912,16356,1963,18133,2329,4275,1015,1515,499,2166,671,847,415,1778,729,776,425,1515,897,715,411,964,534,336,232,825,458,663,391,194,172,488,371,195,130,43,72,269,282,235,221,104,138,230,261,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,65552,5442,32039,3451,12498,2228,0,198,12498,2228,0,198,140,233,0,198,113,169,0,198,449,490,62,106,289,343,381,361,450,479,736,488,700,465,1154,818,1450,689,853,743,974,488,1576,807,813,481,1170,583,1188,486,19541,2296,9711,1840,9830,1837,2486,876,1107,452,1041,575,970,701,690,412,436,345,339,344,414,351,316,256,0,198,422,356,341,313,283,261,78,132,513,587,126,146,83,137,51,79,110,187,24,54,33513,3544,9315,1734,0,198,9315,1734,12,23,0,198,94,157,0,198,124,168,187,276,0,198,733,591,945,632,438,358,833,558,972,504,707,392,1019,547,441,442,541,399,599,317,547,309,604,321,519,363,24198,2765,11263,1716,12935,2042,2426,948,3152,1105,1441,545,566,347,1411,626,169,144,1084,490,354,384,636,399,321,369,282,279,257,240,261,193,0,198,38,68,93,111,35,59,200,157,97,160,112,137,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,307338,12803,153238,8322,66578,4664,0,217,66578,4664,96,100,0,217,289,281,244,239,2159,1107,1012,457,1902,852,2422,970,4960,1604,3829,1393,6454,2023,5996,1488,4969,1394,4709,1263,3729,1202,3902,1186,3663,1218,3127,1030,6253,1419,6863,1681,86660,5867,45487,4373,41173,3658,6754,1398,3888,1278,5229,1345,3609,1246,5735,1207,1417,692,3009,953,1376,664,2711,1110,488,313,2266,964,1109,652,983,1013,575,391,219,196,156,156,417,245,525,372,393,364,314,239,154100,7675,49987,4302,0,217,49987,4302,57,79,386,467,730,441,614,517,1282,623,1448,643,2774,871,1861,993,3627,1203,2120,764,5703,1548,3843,1029,5772,1500,3538,1019,3382,1033,2169,673,3746,1179,2167,691,2316,663,2452,818,104113,6016,56471,4171,47642,4220,8833,1630,7183,1811,6159,1750,4823,1199,5050,1299,3121,1084,1922,664,1651,743,2112,894,927,444,1426,596,1353,666,1206,674,438,303,469,393,335,366,375,282,78,79,115,125,66,138,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
