GEO_ID,B20005H_001E,B20005H_001M,B20005H_002E,B20005H_002M,B20005H_003E,B20005H_003M,B20005H_004E,B20005H_004M,B20005H_005E,B20005H_005M,B20005H_006E,B20005H_006M,B20005H_007E,B20005H_007M,B20005H_008E,B20005H_008M,B20005H_009E,B20005H_009M,B20005H_010E,B20005H_010M,B20005H_011E,B20005H_011M,B20005H_012E,B20005H_012M,B20005H_013E,B20005H_013M,B20005H_014E,B20005H_014M,B20005H_015E,B20005H_015M,B20005H_016E,B20005H_016M,B20005H_017E,B20005H_017M,B20005H_018E,B20005H_018M,B20005H_019E,B20005H_019M,B20005H_020E,B20005H_020M,B20005H_021E,B20005H_021M,B20005H_022E,B20005H_022M,B20005H_023E,B20005H_023M,B20005H_024E,B20005H_024M,B20005H_025E,B20005H_025M,B20005H_026E,B20005H_026M,B20005H_027E,B20005H_027M,B20005H_028E,B20005H_028M,B20005H_029E,B20005H_029M,B20005H_030E,B20005H_030M,B20005H_031E,B20005H_031M,B20005H_032E,B20005H_032M,B20005H_033E,B20005H_033M,B20005H_034E,B20005H_034M,B20005H_035E,B20005H_035M,B20005H_036E,B20005H_036M,B20005H_037E,B20005H_037M,B20005H_038E,B20005H_038M,B20005H_039E,B20005H_039M,B20005H_040E,B20005H_040M,B20005H_041E,B20005H_041M,B20005H_042E,B20005H_042M,B20005H_043E,B20005H_043M,B20005H_044E,B20005H_044M,B20005H_045E,B20005H_045M,B20005H_046E,B20005H_046M,B20005H_047E,B20005H_047M,B20005H_048E,B20005H_048M,B20005H_049E,B20005H_049M,B20005H_050E,B20005H_050M,B20005H_051E,B20005H_051M,B20005H_052E,B20005H_052M,B20005H_053E,B20005H_053M,B20005H_054E,B20005H_054M,B20005H_055E,B20005H_055M,B20005H_056E,B20005H_056M,B20005H_057E,B20005H_057M,B20005H_058E,B20005H_058M,B20005H_059E,B20005H_059M,B20005H_060E,B20005H_060M,B20005H_061E,B20005H_061M,B20005H_062E,B20005H_062M,B20005H_063E,B20005H_063M,B20005H_064E,B20005H_064M,B20005H_065E,B20005H_065M,B20005H_066E,B20005H_066M,B20005H_067E,B20005H_067M,B20005H_068E,B20005H_068M,B20005H_069E,B20005H_069M,B20005H_070E,B20005H_070M,B20005H_071E,B20005H_071M,B20005H_072E,B20005H_072M,B20005H_073E,B20005H_073M,B20005H_074E,B20005H_074M,B20005H_075E,B20005H_075M,B20005H_076E,B20005H_076M,B20005H_077E,B20005H_077M,B20005H_078E,B20005H_078M,B20005H_079E,B20005H_079M,B20005H_080E,B20005H_080M,B20005H_081E,B20005H_081M,B20005H_082E,B20005H_082M,B20005H_083E,B20005H_083M,B20005H_084E,B20005H_084M,B20005H_085E,B20005H_085M,B20005H_086E,B20005H_086M,B20005H_087E,B20005H_087M,B20005H_088E,B20005H_088M,B20005H_089E,B20005H_089M,B20005H_090E,B20005H_090M,B20005H_091E,B20005H_091M,B20005H_092E,B20005H_092M,B20005H_093E,B20005H_093M,B20005H_094E,B20005H_094M,B20005H_095E,B20005H_095M,NAME,B20005H_001MA,B20005H_001EA,B20005H_002EA,B20005H_002MA,B20005H_003MA,B20005H_003EA,B20005H_004EA,B20005H_004MA,B20005H_005MA,B20005H_005EA,B20005H_006EA,B20005H_006MA,B20005H_007EA,B20005H_007MA,B20005H_008EA,B20005H_008MA,B20005H_009EA,B20005H_009MA,B20005H_010MA,B20005H_010EA,B20005H_011EA,B20005H_011MA,B20005H_012EA,B20005H_012MA,B20005H_013MA,B20005H_013EA,B20005H_014MA,B20005H_014EA,B20005H_015EA,B20005H_015MA,B20005H_016MA,B20005H_016EA,B20005H_017EA,B20005H_017MA,B20005H_018MA,B20005H_018EA,B20005H_019EA,B20005H_019MA,B20005H_020EA,B20005H_020MA,B20005H_021EA,B20005H_021MA,B20005H_022EA,B20005H_022MA,B20005H_023EA,B20005H_023MA,B20005H_024MA,B20005H_024EA,B20005H_025MA,B20005H_025EA,B20005H_026EA,B20005H_026MA,B20005H_027MA,B20005H_027EA,B20005H_028EA,B20005H_028MA,B20005H_029MA,B20005H_029EA,B20005H_030EA,B20005H_030MA,B20005H_031EA,B20005H_031MA,B20005H_032EA,B20005H_032MA,B20005H_033EA,B20005H_033MA,B20005H_034EA,B20005H_034MA,B20005H_035EA,B20005H_035MA,B20005H_036MA,B20005H_036EA,B20005H_037EA,B20005H_037MA,B20005H_038MA,B20005H_038EA,B20005H_039EA,B20005H_039MA,B20005H_040EA,B20005H_040MA,B20005H_041EA,B20005H_041MA,B20005H_042EA,B20005H_042MA,B20005H_043EA,B20005H_043MA,B20005H_044EA,B20005H_044MA,B20005H_045MA,B20005H_045EA,B20005H_046EA,B20005H_046MA,B20005H_047MA,B20005H_047EA,B20005H_048EA,B20005H_048MA,B20005H_049MA,B20005H_049EA,B20005H_050EA,B20005H_050MA,B20005H_051EA,B20005H_051MA,B20005H_052EA,B20005H_052MA,B20005H_053EA,B20005H_053MA,B20005H_054EA,B20005H_054MA,B20005H_055EA,B20005H_055MA,B20005H_056MA,B20005H_056EA,B20005H_057EA,B20005H_057MA,B20005H_058MA,B20005H_058EA,B20005H_059EA,B20005H_059MA,B20005H_060MA,B20005H_060EA,B20005H_061EA,B20005H_061MA,B20005H_062EA,B20005H_062MA,B20005H_063MA,B20005H_063EA,B20005H_064MA,B20005H_064EA,B20005H_065EA,B20005H_065MA,B20005H_066EA,B20005H_066MA,B20005H_067EA,B20005H_067MA,B20005H_068MA,B20005H_068EA,B20005H_069EA,B20005H_069MA,B20005H_070EA,B20005H_070MA,B20005H_071MA,B20005H_071EA,B20005H_072EA,B20005H_072MA,B20005H_073MA,B20005H_073EA,B20005H_074EA,B20005H_074MA,B20005H_075EA,B20005H_075MA,B20005H_076EA,B20005H_076MA,B20005H_077EA,B20005H_077MA,B20005H_078EA,B20005H_078MA,B20005H_079MA,B20005H_079EA,B20005H_080MA,B20005H_080EA,B20005H_081EA,B20005H_081MA,B20005H_082MA,B20005H_082EA,B20005H_083EA,B20005H_083MA,B20005H_084MA,B20005H_084EA,B20005H_085EA,B20005H_085MA,B20005H_086EA,B20005H_086MA,B20005H_087EA,B20005H_087MA,B20005H_088EA,B20005H_088MA,B20005H_089EA,B20005H_089MA,B20005H_090EA,B20005H_090MA,B20005H_091MA,B20005H_091EA,B20005H_092EA,B20005H_092MA,B20005H_093MA,B20005H_093EA,B20005H_094EA,B20005H_094MA,B20005H_095EA,B20005H_095MA,state
0400000US01,2637765,3173,1274842,2311,610766,8545,110,146,610656,8555,1397,552,591,363,3070,971,4624,1090,10388,1655,5622,1017,14758,2278,11782,2044,25422,2822,16837,2274,39335,3226,43565,3619,44065,3481,47742,3663,34206,2791,46737,3305,53271,3500,43406,2881,70719,4130,93119,4619,664076,8125,431356,7508,232720,7219,37222,2991,27167,2444,27443,2628,17636,2357,25115,2251,11989,1786,11981,2018,6897,1155,10763,1826,3530,756,9919,1764,7607,1358,4970,1000,5304,1167,2130,634,3837,744,4550,879,3478,853,4317,890,6865,1131,1362923,2178,421138,8403,127,142,421011,8389,332,217,1239,670,3714,933,2634,758,13874,2003,10842,1799,18756,2300,16779,2402,26010,2185,19199,2102,37515,3267,42818,3488,35968,2865,37328,3627,26769,3124,27166,2501,33265,3043,18904,2432,25982,2952,21917,2307,941785,8509,648125,9384,293660,8393,55841,3597,38207,3231,30382,2937,24494,2481,32606,2987,14835,2264,15889,1713,7931,1478,13342,1953,6632,1271,10635,1602,9574,1529,5145,1191,5995,1177,4218,1042,5235,1178,4506,934,3502,1707,2618,668,2073,688,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,368914,1013,199135,728,105078,2517,38,52,105040,2526,241,207,200,177,680,528,276,323,1024,574,446,269,1009,494,1570,568,2413,696,2310,763,5493,1456,4611,930,5579,1135,6491,1453,4574,1156,7449,1324,9789,1588,11587,1578,17701,1993,21597,1905,94057,2662,36621,2289,57436,2617,5535,1127,4605,1110,4432,1199,2990,841,3292,954,1427,601,2638,732,1072,440,1707,497,1054,536,4146,1188,2908,847,1914,715,2301,662,1400,494,2619,1067,2153,657,1980,637,4510,1015,4753,1048,169779,717,63755,2884,124,172,63631,2885,177,164,131,111,678,377,462,373,804,328,643,388,695,356,1139,888,1486,599,1604,577,4629,983,4140,1063,4588,1234,5455,1150,3445,776,5367,1055,6649,1229,6150,1128,9465,1274,5924,1068,106024,3070,51711,2331,54313,2803,6482,1135,5599,1019,5114,983,2642,911,4731,954,1803,640,3422,995,1425,585,3132,951,1914,760,3342,1001,3175,887,2416,736,1537,638,851,340,1018,427,1554,600,1686,450,1695,775,775,369,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3229413,2859,1584883,1824,687734,8720,0,201,687734,8720,1458,588,382,216,3268,1132,3532,829,9669,1489,4890,1253,13342,2130,12162,2124,21925,2102,13701,2008,41903,4010,46566,3691,40825,3151,51905,3701,40005,3208,46692,3029,63628,4126,50956,3416,85882,3899,135043,5774,897149,8587,583215,6931,313934,7383,47890,3220,35504,2506,29957,2480,21942,2472,32886,2458,10178,1392,19853,2462,10204,1683,15688,2191,5624,1124,11614,1625,12635,1806,7734,1213,9035,1372,6717,1215,5576,1213,6654,1290,4105,825,6807,1442,13331,1737,1644530,2032,519995,8612,121,128,519874,8602,508,298,573,287,4070,1160,3193,858,10368,1441,7108,1463,13004,2072,10675,1436,20839,2383,17324,2385,44714,3675,56398,3588,49018,3583,45543,3313,32214,3052,35734,2872,41976,3167,35946,3269,46166,3505,44503,3158,1124535,8683,747197,8606,377338,8453,58211,3790,40161,3006,43167,3348,30745,2829,37446,2835,15410,1787,26220,2863,15026,2241,19280,2535,7809,1370,15860,1812,13527,1805,10540,1519,9749,1378,7021,1583,6305,1164,6224,1142,5081,1045,4505,905,5051,876,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1780345,2148,866572,1563,399971,6203,0,190,399971,6203,579,360,756,379,2599,892,2442,815,9379,1737,6601,1416,10914,1610,7978,1556,19791,2364,12980,1940,33103,2856,34976,3009,30183,2149,28675,2798,24688,2694,25976,2434,34089,2987,25611,2659,40246,3258,48405,3065,466601,6443,298624,5905,167977,5475,27407,2469,21456,2335,18267,2388,13309,1896,17099,2391,7832,1175,8810,1488,4137,1030,7221,1338,3889,988,8257,1671,7555,1400,3650,1050,2323,639,1967,692,3698,870,2463,601,1778,541,1915,757,4944,1057,913773,1574,297122,5827,74,128,297048,5827,159,191,978,503,2288,665,2242,684,8223,1362,7662,1412,14462,1607,12067,1706,21087,2468,14515,1861,32572,3144,31810,2720,25012,2191,26154,2425,18564,2481,15926,1881,20371,2363,14061,1770,15715,1876,13180,1966,616651,5594,415717,5453,200934,5057,36420,2726,25391,2475,22370,2176,17897,2161,24217,2569,10065,1533,13962,2200,5664,1136,7372,1224,3920,930,6873,1392,6040,1072,5038,974,3408,897,2698,763,2592,732,1989,512,1458,616,1190,468,2370,702,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12733729,7532,6333057,4300,2938488,20719,619,324,2937869,20734,8942,1535,5099,1397,13339,1972,9793,1739,35111,2758,18561,2269,41918,3549,36056,2846,75029,4263,49159,3651,97665,5592,137735,5978,123852,6194,144363,6400,122755,4860,169465,7274,245244,7019,205083,6725,426540,10754,972160,13797,3394569,21411,2001044,17223,1393525,19535,185795,7270,114753,5387,117368,5458,79179,4944,118486,4962,49210,3432,71599,3377,38150,3279,71022,4254,29659,2712,61662,4336,62810,4453,39551,3523,47097,3651,28048,2803,35218,2564,41309,3473,32340,2754,64330,4000,105939,4579,6400672,4963,1998830,15627,532,318,1998298,15641,5273,1222,4471,1056,12901,1782,9382,1428,34812,3361,17702,2088,33699,3356,30374,3032,59768,4091,47361,3314,104488,5926,124800,5880,117010,4617,133000,6255,106389,4854,145264,6490,185727,6898,166479,5549,284612,8660,374786,8958,4401842,15609,2720879,17944,1680963,16306,234758,7430,151880,5745,161016,6089,103604,5122,157612,6538,67292,4249,100091,4936,53817,3936,90341,4824,37001,2757,78009,3771,74619,3926,46618,3081,48659,3491,31196,2826,37103,3217,48226,2977,38571,3147,63098,3423,57452,3142,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3108656,3389,1548186,2807,835017,9521,114,97,834903,9543,1673,614,1137,523,3405,908,4347,1006,11526,1606,6815,1262,12956,1925,8817,1582,26022,2571,14509,2063,42026,3397,52465,3369,47468,3749,55011,3380,42494,3311,56367,3812,82836,4459,64239,3917,110300,4651,190490,5394,713169,9197,356566,6727,356603,7607,54504,3460,33890,2619,32520,2759,20748,2102,34060,3235,11864,1671,19390,2037,8698,1409,19969,2459,9012,1453,16310,2157,15814,1571,9893,1466,10362,1848,5944,1252,9206,1386,8480,1113,6285,1356,10908,1468,18746,1893,1560470,1734,591255,8927,297,316,590958,8937,1600,660,871,427,3727,941,4168,1193,12350,1796,7145,1509,13276,2019,11535,1819,24452,2696,16999,2105,40749,2979,52808,3464,45938,3211,51923,3669,42694,3213,40550,2967,58171,3420,43264,2906,57155,3451,61583,3168,969215,9024,511449,7193,457766,8377,69648,2967,50705,3671,46991,3547,29217,2736,42628,3151,20555,2180,27345,2481,16405,1981,24316,2243,11547,1656,23067,2330,20058,2152,15138,1912,11022,1728,7382,1243,10158,1294,9943,1409,6978,1201,7523,1278,7140,1224,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2064514,2890,995644,1752,508312,6543,61,100,508251,6542,603,368,842,558,2232,695,1186,527,3455,876,2062,679,4396,1009,4364,934,9665,1474,5262,1290,15128,2000,22398,2228,22168,2335,25603,2701,26695,3100,32393,2754,52248,3535,43606,3084,76928,4289,157017,4843,487332,6669,264482,6209,222850,5567,34492,2825,24678,2081,20531,2463,13203,1655,18997,2082,7932,1536,10026,1420,6040,1123,11848,1532,3751,1024,10426,1473,11409,1995,5632,1073,7279,1234,3757,1120,4996,894,6742,1133,3194,749,6952,1147,10965,1436,1068870,2038,377615,7033,0,198,377615,7033,558,354,420,232,1718,690,1451,759,3648,1026,3519,980,4619,1081,4390,1041,9970,1367,6268,1330,18039,2139,23394,2273,27157,2549,27107,2721,24129,2367,28274,2396,40307,3302,33685,3008,61512,3314,57450,3424,691255,6993,387739,6127,303516,7063,44524,3051,30361,2837,27508,2732,16980,2000,26836,2757,12420,1764,17389,2158,9857,1366,15878,1798,7122,1090,17214,1997,13866,1679,10453,1328,7673,1274,5121,1038,6591,1037,9377,1757,7184,1193,10337,1510,6825,1061,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,506352,1405,242751,883,115235,3053,0,190,115235,3053,0,190,0,190,303,248,233,188,591,258,1010,460,2160,606,1083,579,3939,914,3201,908,5054,1209,7092,1383,7270,1394,11260,1654,6523,1232,9637,1666,12654,1719,8758,1671,13598,1718,20869,1717,127516,3103,80212,2655,47304,2785,8173,1407,5860,1069,4433,993,2697,624,4234,858,3005,939,2402,683,1710,636,1626,727,544,284,1961,824,1765,515,1501,560,1487,557,676,420,1479,553,656,296,521,287,1195,531,1379,729,263601,965,94824,3751,0,190,94824,3751,0,190,276,306,468,327,203,171,833,358,1021,604,2725,1003,1595,940,3975,1259,2086,742,7551,1422,7885,1359,7556,1273,7298,1511,7511,1490,6868,1322,10028,1612,7868,1389,10457,1469,8620,1318,168777,3857,105665,2783,63112,3341,9384,1390,8470,1375,6951,1388,4225,1091,7082,1280,2797,815,4061,894,1393,504,3281,956,761,381,2628,804,2375,787,1919,687,1194,421,1810,909,1004,501,1217,377,773,356,975,430,812,382,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,217700,801,108640,321,71956,2179,0,200,71956,2179,75,124,0,200,287,226,38,63,246,261,41,69,212,176,134,205,571,354,418,531,717,311,884,399,1384,604,2290,767,2667,740,3286,998,5562,1183,6416,1197,12104,1333,34624,2186,36684,2213,13376,1330,23308,1956,3483,1017,2552,735,3545,900,1515,626,1131,767,496,295,790,355,350,378,789,596,112,116,1007,515,720,362,569,381,869,380,595,265,321,204,802,390,721,343,1003,420,1938,574,109060,752,61475,2211,0,200,61475,2211,41,66,0,200,299,208,64,80,174,165,0,200,233,271,232,358,843,612,227,251,912,564,862,447,2237,749,2611,742,3476,974,5119,1337,6651,930,5392,973,11672,1385,20430,1771,47585,2192,18586,1563,28999,2051,6173,1196,3419,1016,1861,564,895,395,1562,574,360,364,667,349,476,270,1294,381,423,292,1223,582,1195,541,1616,618,859,362,601,329,1137,620,1485,714,417,242,1706,634,1630,527,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,9620794,5962,4683165,4439,1976920,15486,433,283,1976487,15485,3796,960,3622,1100,11778,1783,10356,1815,32764,3453,18698,2889,47298,4046,39799,3967,86960,5197,50867,4486,132473,6031,160431,6996,143512,7459,150301,6632,104561,6360,141360,6791,160114,5831,126888,5340,204986,8134,345923,7848,2706245,16296,1822154,15854,884091,14850,123375,5778,88749,5441,87708,5238,64003,4341,94088,5252,37141,3806,54497,4390,30405,3300,47461,3640,19341,2537,36794,2871,34422,3494,24391,2954,20638,2445,13302,2362,17826,2255,18323,1938,14032,1880,18315,2581,39280,3014,4937629,4148,1524037,14177,134,128,1523903,14187,1996,1163,3373,1038,9226,1946,9007,1716,32951,3742,20732,3179,47496,4159,42289,3945,84652,5164,59862,4699,141607,7664,160052,8023,137158,5901,129874,6092,105918,5586,103209,4421,130720,7162,80955,4275,111152,5245,111674,5116,3413592,14701,2349971,16030,1063621,15506,156827,7717,104203,4689,113018,5329,84104,5241,127605,6070,53454,4532,71284,3961,36216,2912,58294,4197,20885,2111,47967,3575,38893,3025,28245,3029,26460,2606,16505,2238,19786,2531,22726,2289,9936,1417,12899,1706,14314,1599,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
