GEO_ID,B22005A_001E,B22005A_001M,B22005A_002E,B22005A_002M,B22005A_003E,B22005A_003M,NAME,B22005A_001MA,B22005A_001EA,B22005A_002EA,B22005A_002MA,B22005A_003EA,B22005A_003MA,state
0400000US01,1302524,8842,131057,6118,1171467,9080,Alabama,null,null,null,null,null,null,01
0400000US02,186476,2998,11179,1562,175297,3147,Alaska,null,null,null,null,null,null,02
0400000US04,2023193,11430,220313,6477,1802880,11807,Arizona,null,null,null,null,null,null,04
0400000US05,916378,6539,95656,4481,820722,6515,Arkansas,null,null,null,null,null,null,05
0400000US06,8525079,25925,731306,12373,7793773,24486,California,null,null,null,null,null,null,06
0400000US08,1816941,9025,132001,5772,1684940,9570,Colorado,null,null,null,null,null,null,08
0400000US09,1082618,7425,103947,4837,978671,7386,Connecticut,null,null,null,null,null,null,09
0400000US10,259964,3709,24823,2255,235141,3994,Delaware,null,null,null,null,null,null,10
0400000US11,126012,2881,1349,589,124663,2879,District of Columbia,null,null,null,null,null,null,11
0400000US12,5984824,21416,732060,12052,5252764,21447,Florida,null,null,null,null,null,null,12
0400000US13,2293936,12124,217944,7734,2075992,14125,Georgia,null,null,null,null,null,null,13
0400000US15,154247,3668,12493,1884,141754,3383,Hawaii,null,null,null,null,null,null,15
0400000US16,561533,4344,61118,3676,500415,5003,Idaho,null,null,null,null,null,null,16
0400000US17,3639190,11458,340842,8955,3298348,12682,Illinois,null,null,null,null,null,null,17
0400000US18,2173545,10203,206113,6585,1967432,11063,Indiana,null,null,null,null,null,null,18
0400000US19,1160812,6760,118092,4747,1042720,7498,Iowa,null,null,null,null,null,null,19
0400000US20,973367,6467,69269,4175,904098,7068,Kansas,null,null,null,null,null,null,20
0400000US21,1526541,8874,230764,7845,1295777,9341,Kentucky,null,null,null,null,null,null,21
0400000US22,1142367,7750,95230,5479,1047137,9075,Louisiana,null,null,null,null,null,null,22
0400000US23,523764,4942,79226,4680,444538,5852,Maine,null,null,null,null,null,null,23
0400000US24,1323059,7060,90329,4509,1232730,7447,Maryland,null,null,null,null,null,null,24
0400000US25,2121295,10416,204590,7405,1916705,12983,Massachusetts,null,null,null,null,null,null,25
0400000US26,3136175,11065,350330,7455,2785845,13153,Michigan,null,null,null,null,null,null,26
0400000US27,1897509,8512,119498,5204,1778011,9517,Minnesota,null,null,null,null,null,null,27
0400000US28,680417,5862,69542,4471,610875,7025,Mississippi,null,null,null,null,null,null,28
0400000US29,2002797,10023,191092,6147,1811705,10044,Missouri,null,null,null,null,null,null,29
0400000US30,383531,3153,30529,2408,353002,3662,Montana,null,null,null,null,null,null,30
0400000US31,676838,4291,49580,3131,627258,4671,Nebraska,null,null,null,null,null,null,31
0400000US32,760494,7519,82949,4248,677545,7542,Nevada,null,null,null,null,null,null,32
0400000US33,494249,4806,36143,2629,458106,5399,New Hampshire,null,null,null,null,null,null,33
0400000US34,2279658,10928,150156,5704,2129502,11980,New Jersey,null,null,null,null,null,null,34
0400000US35,593121,5893,90351,4840,502770,6564,New Mexico,null,null,null,null,null,null,35
0400000US36,4972668,17604,527011,9893,4445657,17811,New York,null,null,null,null,null,null,36
0400000US37,2777790,11553,268854,8953,2508936,13492,North Carolina,null,null,null,null,null,null,37
0400000US38,284262,3307,14633,1635,269629,3777,North Dakota,null,null,null,null,null,null,38
0400000US39,3846846,12301,428916,10163,3417930,14555,Ohio,null,null,null,null,null,null,39
0400000US40,1132976,6655,121547,4276,1011429,6963,Oklahoma,null,null,null,null,null,null,40
0400000US41,1377612,7074,242847,6595,1134765,9195,Oregon,null,null,null,null,null,null,41
0400000US42,4190170,11356,426341,9767,3763829,12370,Pennsylvania,null,null,null,null,null,null,42
0400000US44,342612,3930,46351,3445,296261,4087,Rhode Island,null,null,null,null,null,null,44
0400000US45,1303559,8519,118725,5693,1184834,9678,South Carolina,null,null,null,null,null,null,45
0400000US46,306014,2984,24291,2595,281723,3800,South Dakota,null,null,null,null,null,null,46
0400000US47,2024229,9328,263160,7620,1761069,11040,Tennessee,null,null,null,null,null,null,47
0400000US48,7202643,20005,776505,14128,6426138,23028,Texas,null,null,null,null,null,null,48
0400000US49,838145,5438,58315,3154,779830,6269,Utah,null,null,null,null,null,null,49
0400000US50,244434,3271,26998,1871,217436,3684,Vermont,null,null,null,null,null,null,50
0400000US51,2243936,10258,150161,5705,2093775,11257,Virginia,null,null,null,null,null,null,51
0400000US53,2232118,8998,266157,7530,1965961,10343,Washington,null,null,null,null,null,null,53
0400000US54,693782,4971,113900,4310,579882,5928,West Virginia,null,null,null,null,null,null,54
0400000US55,2071134,7163,201222,5871,1869912,8753,Wisconsin,null,null,null,null,null,null,55
0400000US56,216180,3523,8955,1663,207225,3779,Wyoming,null,null,null,null,null,null,56
0400000US72,825728,10696,303623,8304,522105,7823,Puerto Rico,null,null,null,null,null,null,72
