B23026_032E,B23026_032M,B23026_033E,B23026_033M,B23026_034E,B23026_034M,B23026_035E,B23026_035M,B23026_036E,B23026_036M,B23026_037E,B23026_037M,B23026_038E,B23026_038M,B23026_039E,B23026_039M,B23026_040E,B23026_040M,B23026_041E,B23026_041M,B23026_042E,B23026_042M,B23026_043E,B23026_043M,B23026_044E,B23026_044M,B23026_045E,B23026_045M,B23026_046E,B23026_046M,B23026_047E,B23026_047M,B23026_048E,B23026_048M,B23026_049E,B23026_049M,GEO_ID,B23026_001E,B23026_001M,B23026_002E,B23026_002M,B23026_003E,B23026_003M,B23026_004E,B23026_004M,B23026_005E,B23026_005M,B23026_006E,B23026_006M,B23026_007E,B23026_007M,B23026_008E,B23026_008M,B23026_009E,B23026_009M,B23026_010E,B23026_010M,B23026_011E,B23026_011M,B23026_012E,B23026_012M,B23026_013E,B23026_013M,B23026_014E,B23026_014M,B23026_015E,B23026_015M,B23026_016E,B23026_016M,B23026_017E,B23026_017M,B23026_018E,B23026_018M,B23026_019E,B23026_019M,B23026_020E,B23026_020M,B23026_021E,B23026_021M,B23026_022E,B23026_022M,B23026_023E,B23026_023M,B23026_024E,B23026_024M,B23026_025E,B23026_025M,B23026_026E,B23026_026M,B23026_027E,B23026_027M,B23026_028E,B23026_028M,B23026_029E,B23026_029M,B23026_030E,B23026_030M,B23026_031E,B23026_031M,B23026_032MA,B23026_032EA,B23026_033EA,B23026_033MA,B23026_034EA,B23026_034MA,B23026_035MA,B23026_035EA,B23026_036MA,B23026_036EA,B23026_037MA,B23026_037EA,B23026_038EA,B23026_038MA,B23026_039EA,B23026_039MA,B23026_040MA,B23026_040EA,B23026_041MA,B23026_041EA,B23026_042MA,B23026_042EA,B23026_043MA,B23026_043EA,B23026_044EA,B23026_044MA,B23026_045MA,B23026_045EA,B23026_046MA,B23026_046EA,B23026_047MA,B23026_047EA,B23026_048MA,B23026_048EA,B23026_049EA,B23026_049MA,NAME,B23026_001MA,B23026_001EA,B23026_002MA,B23026_002EA,B23026_003MA,B23026_003EA,B23026_004MA,B23026_004EA,B23026_005EA,B23026_005MA,B23026_006MA,B23026_006EA,B23026_007MA,B23026_007EA,B23026_008MA,B23026_008EA,B23026_009MA,B23026_009EA,B23026_010EA,B23026_010MA,B23026_011MA,B23026_011EA,B23026_012MA,B23026_012EA,B23026_013MA,B23026_013EA,B23026_014MA,B23026_014EA,B23026_015MA,B23026_015EA,B23026_016EA,B23026_016MA,B23026_017MA,B23026_017EA,B23026_018MA,B23026_018EA,B23026_019MA,B23026_019EA,B23026_020MA,B23026_020EA,B23026_021MA,B23026_021EA,B23026_022EA,B23026_022MA,B23026_023EA,B23026_023MA,B23026_024EA,B23026_024MA,B23026_025MA,B23026_025EA,B23026_026MA,B23026_026EA,B23026_027EA,B23026_027MA,B23026_028EA,B23026_028MA,B23026_029EA,B23026_029MA,B23026_030MA,B23026_030EA,B23026_031MA,B23026_031EA,state
1711,474,1386,567,868,370,20217,1857,10743,1345,575,317,1413,444,2251,607,2579,763,2656,612,9841,1359,3039,670,630,375,1189,507,1062,463,544,264,3377,899,374258,3426,0400000US01,761847,2695,329305,1890,74306,2936,45420,2617,36003,2542,573,316,1925,594,1990,559,1883,571,3046,708,22175,2011,10997,1244,1531,646,2209,668,2735,849,1902,568,2801,686,6711,1008,1817,536,280,233,466,265,625,281,596,327,2927,691,254999,3483,432542,1567,58284,3130,28226,2231,22376,1986,351,264,1534,631,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
400,262,107,74,876,472,2762,553,1153,356,195,150,276,182,298,164,406,276,434,241,890,292,263,141,0,149,216,161,90,95,0,149,321,165,27737,1142,0400000US02,71008,1096,35048,697,11535,992,7881,915,4927,690,302,250,392,257,409,230,826,387,1025,329,2819,625,1209,395,77,78,382,211,280,203,487,300,384,262,835,326,270,201,0,149,70,86,118,122,114,100,263,190,23513,1110,35960,859,8223,957,4571,863,2926,736,45,51,217,155,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
2193,664,1785,426,2768,575,33516,2426,16243,1739,1086,443,3735,887,3791,701,4818,1083,3843,941,13642,1547,3945,915,413,257,1080,436,1619,499,1682,463,4903,744,517086,3834,0400000US04,1120004,1647,515072,942,104431,3902,56954,3111,42210,2863,873,415,2965,701,3140,777,3647,879,4119,787,33880,2215,15531,1722,1200,487,4195,808,3500,817,3307,703,6147,1035,13597,1509,2511,675,213,147,1458,488,1659,520,2308,708,5448,963,410641,4042,604932,1255,87846,3694,40688,2693,30783,2476,876,545,2283,668,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
1920,590,1038,381,956,351,13743,1440,7950,1102,362,217,1240,472,1541,537,1458,422,1192,438,6668,1018,2473,769,269,275,882,403,796,388,710,366,1538,509,225107,2597,0400000US05,478114,1779,212325,1398,48211,2592,27638,2150,21480,1916,518,351,1060,506,1886,606,1277,471,1417,446,14685,1483,6793,1260,309,156,1940,711,2121,635,1653,564,1869,460,5888,1118,1251,430,69,85,149,128,1085,590,602,317,2732,640,164114,2901,265789,1497,40682,2303,20271,1722,15183,1726,350,308,824,416,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
9706,1188,10737,1407,12303,1344,157386,6327,87183,4446,6311,975,18164,1668,16335,1720,13247,1844,16146,2126,84928,3632,26959,2102,2674,530,8655,1175,10223,1375,9569,1389,26848,1967,2423041,8493,0400000US06,5189558,2790,2298554,2284,578247,8475,348567,7263,276218,6420,7428,1221,16147,1641,17134,1807,14454,1587,17186,1712,158219,4837,81841,4070,6290,997,17936,1863,19869,2036,13529,1512,18754,1655,71461,3121,19050,1881,2287,670,6821,1253,7895,1157,8528,1203,26880,1687,1720307,8815,2891004,2291,467963,8373,225649,6490,177142,6286,5037,1011,10724,1320,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
1319,444,1707,477,1716,548,27903,2130,13273,1656,1593,495,2365,474,3801,869,2870,722,4001,801,15420,1768,4923,1138,517,286,1940,615,1163,381,2477,741,4400,833,311824,3411,0400000US08,711572,2450,323620,1445,95818,3500,54767,2876,40296,2512,1273,516,2942,724,2784,747,3551,982,3921,783,28654,2153,12608,1598,1154,463,3640,905,2831,623,4326,936,4095,800,12397,1449,3012,782,552,254,777,382,1147,357,2326,661,4583,789,227802,3672,387952,1606,76128,3141,32805,2086,26158,1864,393,233,1512,571,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
2099,661,1199,464,1537,420,23765,2233,13433,1744,872,354,2372,698,3340,820,1842,534,1906,598,10741,1200,3370,579,559,283,1180,453,1162,561,1539,442,2931,613,258626,2925,0400000US09,565283,1034,243789,716,75828,3142,43583,2395,34218,2031,1057,344,1719,497,2448,621,2020,718,2121,604,23870,1816,9692,1326,1124,441,3582,873,4394,957,2289,585,2789,710,8375,1120,1839,602,455,266,687,370,1618,490,1019,390,2757,639,167961,3295,321494,835,62868,2762,28362,1861,21104,1837,874,426,1549,655,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
389,247,286,182,277,171,5647,863,3397,657,35,60,457,262,434,204,770,461,554,302,2627,583,1029,455,132,133,255,191,286,185,227,160,698,330,74042,1412,0400000US10,160824,664,71963,512,17803,1542,9022,1215,7448,1083,22,36,441,275,274,222,723,461,114,144,6545,1047,2215,569,284,190,807,331,1706,686,669,303,864,363,2236,605,683,326,0,190,114,92,210,173,398,199,831,435,54160,1521,88861,433,14819,1343,6545,1091,5152,993,209,232,232,167,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0,200,172,166,247,204,3315,739,1612,524,0,200,266,175,301,230,575,342,561,370,2116,627,926,452,146,167,60,98,39,64,116,116,829,370,34995,1211,0400000US11,76591,742,30771,700,9288,1050,6203,958,5146,924,132,153,0,200,356,254,436,256,133,129,2225,699,991,566,0,200,212,148,236,198,425,322,361,288,860,349,321,181,0,200,136,219,116,147,100,122,187,118,21483,849,45820,224,10825,1163,5394,987,4294,851,151,149,530,313,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
7423,1254,7289,1198,9612,1492,114311,5350,61181,3950,4397,923,11547,1434,12894,1683,10206,1559,14086,1769,49624,3002,13104,1526,1160,429,4865,1079,5949,1166,6762,1440,17784,1824,1868904,8117,0400000US12,3945233,4182,1771351,2781,378675,7669,206841,6602,163752,6040,3075,645,9940,1313,7655,1128,11709,1833,10710,1473,125862,5567,61584,4118,4563,1184,13396,1737,15521,1705,13648,1923,17150,1564,45972,3085,12056,1511,1613,665,4226,896,5399,920,6604,1025,16074,1855,1392676,8119,2173882,3422,304978,7590,141043,4759,108059,4784,2056,652,6604,1218,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
